,https://roic.ai/company/FTHM,2018,2019,2020,2021
64,Retained Earnings,-2055270,-6147567,-7488151,-19979000
65,Other Comprehensive Income/Loss,-90542,-116525,- -,- -
66,Other Total Stockholders Equity,2377854,5104907,37138896,100129000
67,Total Stockholders Equity,232042,-1159185,29650745,80150000
68,Total Liabilities And Stockholders Equity,3834139,2490033,35224979,104930000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,3834139,2490033,35224979,104930000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1753162/000110465921041032/0001104659-21-041032-index.htm,https://www.sec.gov/Archives/edgar/data/1753162/000141057822000318/0001410578-22-000318-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-1663205,-4092297,-1340584,-12491000
74,Depreciation and Amortization,23400,60441,165417,2748000
75,Deferred Income Tax,- -,- -,-45985,-3339000
76,Stock Based Compensation,253353,1629604,728443,4011000
77,Change in Working Capital,585812,29149066,-24815598,30327000
78,Accounts Receivable,-222877,944360,-1263351,-1254000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,885008,-216817,1467841,1674000
81,Other Working Capital,-1282468,27866598,3051000,33378000
82,Other Non-Cash Items,111467,-27857786,24094055,-32953000
83,Cash Provided by Operating Activities,-689173,-1110972,-1214252,-11697000
84,CAPEX,-180217,-372816,-744746,-877000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-586948,-13683000
89,Cash Used for Investing Activites,-180217,-372816,-909746,-14560000
90,Debt Repayment,-416510,-16800,-517095,-740000
91,Common Stock Issued,1710000,1071466,34383014,80000
92,Common Stock Repurchased,- -,- -,-30000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,430000,- -,-2729703,35276000
95,Cash Used/Provided by Financing Activities,1723490,1054666,31106216,34616000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,854100,-429122,28982218,8359366
98,Cash at the End of Period,1008538,579416,29561634,37921000
99,Cash at the Beginning of Period,154438,1008538,579416,29561634
100,Free Cash Flow,-869390,-1483788,-1958998,-12574000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1753162/000110465921041032/0001104659-21-041032-index.htm,https://www.sec.gov/Archives/edgar/data/1753162/000141057822000318/0001410578-22-000318-index.htm
102,false,,,,
