,https://roic.ai/company/CIXX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,15520418,16974753,3618970,1065351,36520643,31223138,163157000,53300000,233356000,179662000,26771000,65046000,150624000,311442000,52959000,76686000,99394000,97959000,107097000,126932000,189881000,94488000,354216000,662500000
53,Total Current Liabilities,- -,- -,15520418,16974753,39731126,30158280,82757333,97236575,293367000,352951000,432606000,1017559000,848388000,353129000,503752000,555984000,322453000,555271000,402783000,424380000,512987000,1023583000,814155000,1168960000,1849911000,2551400000
54,Long-Term Debt,- -,- -,- -,- -,118000000,61000000,68750000,120000000,219627000,350212000,492054000,792616000,812013000,668462000,767615000,522592000,570368000,299107000,305392000,557347000,758658000,896119000,1503733000,1216156000,2313618000,3632000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,31595544,31487723,77292828,99453191,77643569,169653419,442765000,485934000,443614000,346967000,312728000,373905000,361187000,361202000,379030000,379851000,367865000,376214000,379186000,522227000,466083000,464841000,470735000,480800000
57,Other Non-Current Liabilities,- -,- -,2108736,1922927,2276008,1976586,1656425,3212731,1290000,2211000,- -,18740000,19678000,- -,19072000,6530000,23776000,36118000,33489000,42461000,59833000,49599000,75319000,18493000,107842000,379800000
58,Total Non-Current Liabilities,- -,- -,33704280,33410650,197568836,162429777,148049994,292866150,663682000,838357000,935668000,1158323000,1144419000,1042367000,1147874000,908813000,973174000,715076000,706746000,976022000,1197677000,1467945000,2045135000,1699490000,2892195000,4492600000
59,Other Liabilities,- -,41500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72519000,76233000,173700000
61,Total Liabilities,- -,41500000,49224698,50385403,237299962,192588057,230807327,390102725,957049000,1191308000,1368274000,2175882000,1992807000,1395496000,1651626000,1464797000,1295627000,1270347000,1109529000,1400402000,1710664000,2491528000,2859290000,2868450000,4742106000,7044000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,130423379,130350843,307096278,306533632,293449762,938657151,1740983000,1690663000,1652472000,1788501000,1985912000,- -,- -,- -,1964433000,1987642000,1968692000,1960622000,1885066000,2360257000,2125130000,1944311000,1867997000,1810200000
64,Retained Earnings,- -,23600000,9731713,-3723887,-15011241,-45699810,-236689593,-305932212,-207114000,-217901000,-281344000,-377983000,-431162000,-409086000,-387138000,-362377000,-303126000,-183349000,-84692000,-86827000,-166878000,-339890000,-720600000,-474013000,-287621000,-226700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,849000,-625000,-270000,-57897000,-1831000,170000,6684000,8311000,6690000,9148000,14301000,277000,255000,-20746000,-23300000
66,Other Total Stockholders Equity,- -,32200000,- -,- -,2961367,3581944,3174090,- -,- -,- -,- -,39300000,47587000,- -,- -,- -,14511000,8350000,10386000,13615000,18062000,22058000,25270000,23435000,22817000,28400000
67,Total Stockholders Equity,- -,55800000,140155092,126626956,295046404,264415766,59934259,632724939,1533869000,1472762000,1371128000,1450667000,1601712000,1610935000,1613640000,1620185000,1675988000,1819327000,1902697000,1894100000,1745398000,2056726000,1430077000,1493988000,1582447000,1588600000
68,Total Liabilities And Stockholders Equity,- -,97300000,189379790,177012359,532346366,457003823,290741586,1022827664,2490918000,2664070000,2739402000,3626549000,3594519000,3006431000,3265266000,3084982000,2971615000,3089674000,3012226000,3294502000,3456062000,4548254000,4289367000,4362438000,6324553000,8632600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,2822340,2844000,- -,- -,- -,- -,- -,- -,- -,- -,4295000,3741000,2865000,2633000,2478000,2849000,5368000,35283000,27000000
70,Total Liabilities & Equity,- -,97300000,189379790,177012359,532346366,457003823,290741586,1025650004,2493762000,2664070000,2739402000,3626549000,3594519000,3006431000,3265266000,3084982000,2971615000,3093969000,3015967000,3297367000,3458695000,4550732000,4292216000,4367806000,6359836000,8659600000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,9500000,8550611,8746409,-2089542,11498937,-61444588,70991741,221044000,284749000,309038000,625055000,445356000,244846000,330815000,376899000,352163000,426395000,525044000,553494000,503002000,499927000,617476000,538396000,475978000,409300000
74,Depreciation and Amortization,- -,27900000,48929913,69236799,182619989,267439441,301681137,171946578,41898000,71777000,88841000,136978000,- -,- -,174144000,2386000,2437000,3351000,4571000,7350000,4100000,6424000,9645000,32891000,43514000,96800000
75,Deferred Income Tax,- -,7200000,6549437,11411953,41940863,25784698,-21809622,-45638097,84386000,54074000,19226000,-71189000,-25751000,48399000,297000,12751000,17522000,-4304000,-12234000,-14539000,-20779000,-21258000,-3556000,450000,-1722000,-42400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27056000,33782000,-9670000,7000000,3886000,4409000,5206000,6221000,5569000,10228000,13728000,14701000,10657000,22000000
77,Change in Working Capital,- -,- -,2750447,-988107,11211665,-9381438,39517370,-67801775,1036000,51731000,-20721000,4312000,18737000,53620000,73490000,177154000,-6700000,28369000,25193000,-40248000,35067000,6377000,-47336000,-23211000,18595000,15700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,39517370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-39517370,- -,- -,- -,- -,36006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,4400000,300000,380000,7548298,-12786333,4392840,48339929,21179000,-20856000,23660000,-17545000,172018000,172624000,7609000,-65140000,172125000,163214000,154810000,135163000,127751000,110705000,18254000,-5218000,-5053000,164500000
83,Cash Provided by Operating Activities,- -,49000000,67080408,88787054,241231273,282555305,262337137,177838376,369543000,441475000,420044000,677611000,583304000,553271000,576685000,511050000,541433000,621434000,702590000,647441000,654710000,612403000,608211000,558009000,541969000,665900000
84,CAPEX,- -,-1600000,-2092067,-2121985,-69660551,-5844938,-1333368,-507344,-14780000,-14426000,-42396000,-7886000,-9402000,-4116000,-184488000,-21477000,-7278000,-5404000,-5322000,-4111000,-12193000,-19926000,-16068000,-16776000,-29122000,-20200000
85,Acquisitions Net,- -,- -,- -,- -,-63118631,- -,- -,- -,-412133000,-37259000,- -,-137271000,- -,- -,- -,- -,- -,- -,- -,-22457000,-73952000,-226710000,- -,-26077000,-527298000,-934500000
86,Purchases of Investments,- -,-3100000,-2184897,-29450659,-32464762,-67150702,-65910415,-57676984,-50450000,-106154000,-65834000,-34125000,-1200000,-465000,-28121000,-43740000,-26761000,-25758000,-9692000,-18389000,-7124000,-38343000,-17768000,-11503000,-17648000,-5100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,47381133,90162059,30139775,44773930,18052000,65593000,128858000,27207000,1948000,8099000,1651000,32082000,5315000,26988000,2631000,27408000,7227000,19676000,21960000,36741000,23599000,15400000
88,Other Investing Activites,- -,-49800000,-84398497,-87036797,-194159074,-193558294,-96097391,-68356603,-126204000,-150772000,-198027000,-180479000,-191325000,-33746000,-260705000,-135411000,-126321000,-129279000,-124267000,-269317000,-51481000,71508000,-20877000,-33124000,-64777000,-469800000
89,Cash Used for Investing Activites,- -,-54500000,-88675461,-118609441,-308761334,-173469406,-132534715,-81513329,-578125000,-235805000,-156201000,-328611000,-199979000,-30228000,-313910000,-168546000,-153327000,-133149000,-134236000,-285736000,-132756000,-183098000,-28394000,-46314000,-598114000,-1401800000
90,Debt Repayment,- -,- -,- -,- -,-51058395,-57000000,- -,- -,- -,- -,- -,-69550000,- -,-870376000,-105000000,- -,-250000000,-96000000,-200000000,-300000000,- -,- -,- -,-602536000,-637168000,-707800000
91,Common Stock Issued,- -,3000000,104062492,6459525,10624512,5586128,7291563,14192322,265948000,219000,120000,106252000,202285000,- -,386000,3812000,199000,119000,109000,70000,158000,- -,406000,- -,- -,- -
92,Common Stock Repurchased,- -,-4900000,-27318997,-25120658,-6515542,-47376185,-139289860,-104176733,-21392000,-147745000,-19551000,-115222000,-108091000,-36573000,-96965000,-95194000,-30534000,- -,-108088000,-243586000,-290946000,-413243000,-656907000,-447293000,-257939000,-364300000
93,Dividends Paid,- -,-2600000,-2838798,-3613412,-9093446,-13967539,-16236473,-69176193,-113795000,-200725000,-200264000,-623937000,-524304000,-166535000,-220029000,-254201000,-269184000,-297729000,-335510000,-362184000,-368655000,-367995000,-295405000,-170750000,-155313000,-146500000
94,Other Financing Activites,- -,- -,4090603,3613412,118000000,- -,21500000,61500000,101165000,145769000,26195000,386653000,71460000,547480000,298250000,-90908000,63000000,- -,7569000,549347000,198790000,358616000,384667000,690084000,1471803000,1701700000
95,Cash Used/Provided by Financing Activities,- -,-4500000,77995300,-18661133,61957129,-112757596,-126734770,-97660604,231926000,-202482000,-193500000,-315804000,-358650000,-526004000,-123358000,-436491000,-486519000,-393610000,-635920000,-356353000,-460653000,-422622000,-567239000,-530495000,421383000,483100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-10100000,53561449,-52096932,-5572932,-3671697,3067652,-1335557,23344000,3188000,70343000,33196000,24675000,-2961000,139417000,-93987000,-98413000,94675000,-67566000,5352000,61301000,6683000,12578000,-18800000,365238000,-252800000
98,Cash at the End of Period,- -,7800000,61382122,9285190,3712258,40561,3108213,1772656,25117000,28305000,98648000,55406000,80081000,77120000,216537000,122550000,24137000,118812000,51246000,56598000,117899000,124582000,137160000,118360000,483598000,230800000
99,Cash at the Beginning of Period,- -,17900000,7820673,61382122,9285190,3712258,40561,3108213,1773000,25117000,28305000,22210000,55406000,80081000,77120000,216537000,122550000,24137000,118812000,51246000,56598000,117899000,124582000,137160000,118360000,483600000
100,Free Cash Flow,- -,47400000,64988341,86665069,171570722,276710367,261003769,177331032,354763000,427049000,377648000,669725000,573902000,549155000,392197000,489573000,534155000,616030000,697268000,643330000,642517000,592477000,592143000,541233000,512847000,645700000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.7265,0.6865,0.6784,0.6681,0.65,0.6523,0.7318,0.7339,0.7973,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
