,https://roic.ai/company/LIVN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0509,0.0631,-0.1179,-0.4777,-0.3902,-0.0874,0.1912,0.2294,0.2555,0.2765,0.2960,0.2832,0.3063,-0.0272,0.1197,-0.2235,-0.1713,-0.3682,-0.1202
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,129563,230789,26113,99266,78775,-264837,729441,-39960413,1939221,24343696,28917123,24988439,31446543,7128000,28954000,-69629000,-30153000,-736000,11200000
23,Net Income,-5900000,-7200000,-10100000,-11200000,-14200000,-12500000,-3053244,- -,-26119905,5184931,6759509,-12218348,-59069192,-51180107,-10334765,26720620,78448884,46725710,36077732,46357502,54890257,57847534,-62789000,-25089000,-189399000,-155176000,-345008000,-135800000
24,Net Income ratio,-14.7500,-7.2000,-7.2143,-8.0000,-0.9530,-0.4181,-0.0638,- -,-0.3725,0.0496,0.0610,-0.1181,-0.4785,-0.3908,-0.0852,0.1861,0.4676,0.2453,0.1651,0.1823,0.1946,0.1984,-0.0517,-0.0248,-0.1711,-0.1431,-0.3693,-0.1312
25,EPS,-0.66,-0.79,-1.06,-0.93,-0.88,-0.72,-0.17,- -,-1.21,0.24,0.29,-0.51,-2.37,-2.01,-0.39,1.00,2.83,1.67,1.30,1.68,2.02,2.19,-1.29,-0.52,-3.91,-3.21,-7.10,-2.62
26,EPS Diluted,-0.66,-0.79,-1.06,-0.93,-0.88,-0.72,-0.17,- -,-1.21,0.22,0.26,-0.51,-2.37,-2.01,-0.39,0.61,2.67,1.64,1.28,1.66,2.00,2.17,-1.29,-0.52,-3.91,-3.21,-7.10,-2.62
27,Weighted Average Shares Outstanding,8939394,9113924,9513038,12030171,16104922,17503169,18044692,- -,21655009,22034651,22921031,24036736,24916938,25514232,26499397,26632115,27702731,28050638,27826586,27604006,27142597,26391064,48900000,48200000,48500000,48300000,48600000,51582000
28,Weighted Average Shares Outstanding Diluted,8939394,9113924,9513038,12030171,16104922,17503169,18044692,- -,21655009,23173324,26053330,24036736,24916938,25514232,26499397,27542198,28696375,28609619,28306732,28008960,27466474,26625721,48900000,48500000,48500000,48300000,48600000,51582000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639691/000163969118000016/0001639691-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969119000035/0001639691-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969120000018/0001639691-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969121000016/0001639691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1639691/000163969122000013/0001639691-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4600000,8900000,2100000,800000,1700000,1600000,14969479,- -,- -,43576305,58363731,38675892,92355071,84804876,91058692,66225479,59229911,89313850,96654275,120708572,103299116,112613000,39789000,93615000,47204000,61137000,252832000,208000000
32,Short-Term Investments,- -,- -,- -,- -,- -,19200000,5168777,- -,- -,- -,- -,22800000,- -,- -,- -,- -,- -,- -,- -,15000000,25028957,6997000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4600000,8900000,2100000,800000,1700000,20800000,20138256,- -,- -,43576305,58363731,61475892,92355071,84804876,91058692,66225479,59229911,89313850,96654275,135708572,128328073,119610000,39789000,93615000,47204000,61137000,252832000,208000000
34,Net Receivables,100000,300000,500000,500000,5900000,5500000,8390558,- -,- -,14164771,16951176,16476084,21341942,18914206,20039832,22250653,26185143,28578622,29266847,39450113,50674041,314777000,336345000,282145000,256135000,257769000,244596000,223000000
35,Inventory,400000,600000,700000,1000000,2100000,5200000,6639784,- -,- -,6046106,7793856,8545385,17304794,17580830,12829710,12841064,14207759,15270904,14385875,17718454,17630111,212448000,183489000,144470000,153535000,164154000,126675000,105800000
36,Other Current Assets,5800000,1300000,200000,7300000,37500000,800000,1414719,- -,- -,1344777,2663299,3355778,6274133,4127345,3108185,3216706,15621777,18436800,20795914,14481204,23798977,26579000,60450000,349628000,76423000,66383000,95331000,142400000
37,Total Current Assets,10900000,11100000,3500000,9600000,47200000,32300000,36583317,- -,- -,65131959,85772062,89853139,137275940,125427257,127036419,104533902,115244590,151600176,161102911,207358343,220431202,673414000,620073000,869858000,533297000,549443000,719434000,679200000
38,PP&E,600000,500000,300000,400000,3200000,3300000,7466556,- -,- -,9590240,8348595,8854063,10322289,8028037,5503139,5612791,7510864,8203392,22160671,28555742,39534873,244587000,223842000,192359000,191400000,235726000,214330000,190700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745356000,691712000,784242000,956815000,915794000,922318000,899500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1948266,5237857,4509612,9219999,11654690,658942000,609197000,535397000,770439000,607546000,437636000,399700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1948266,5237857,4509612,9219999,11654690,1404298000,1300909000,1319639000,1727254000,1523340000,1359954000,1299200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5209590,9508768,10588202,15944427,77486000,61092000,37435000,27455000,27256000,31094000,16600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29624489,40137463,14265574,7825286,5770644,153509000,6017000,123342000,68189000,32219000,2990000,2200000
44,Other Non-Current Assets,8300000,2000000,100000,200000,2200000,4200000,554172,- -,- -,232532,175867,148195,4702055,4189589,3691529,1896935,1435768,1080727,360659,495738,855558,5445000,130698000,-38742000,2106000,43813000,83549000,13100000
45,Total Non-Current Assets,8900000,2500000,400000,600000,5400000,7500000,8020728,- -,- -,9822772,8524462,9002258,15024344,12217626,9194668,7509726,40519387,59869029,50805284,56684967,73760192,1885325000,1722558000,1634033000,2016404000,1862354000,1691917000,1521800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19800000,13600000,3900000,10200000,52600000,39800000,44604045,- -,- -,74954731,94296524,98855397,152300284,137644883,136231087,112043628,155763977,211469205,211908195,264043310,294191394,2558739000,2342631000,2503891000,2549701000,2411797000,2411351000,2201000000
48,Accounts Payable,300000,600000,900000,400000,3700000,1700000,1797904,- -,- -,5420831,4439407,6620464,5190385,5951931,2740075,3046736,4197986,4121586,4886448,8025512,7569784,109588000,92952000,85915000,76735000,85892000,73668000,68000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8502133,10172066,3000000,127500000,132500000,- -,- -,- -,7048000,4000,- -,- -,82513000,47650000,84034000,28794000,88506000,24619000,229700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1570377,1011457,550697,- -,26699000,22340000,12826000,22530000,12719000,16463000,15100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25486000,1708000,123342000,- -,6728000,6929000,- -
52,Other Current Liabilities,900000,1500000,1600000,1400000,4200000,4600000,3904073,- -,- -,12378698,10704572,13429164,13831576,14959997,14547877,14598504,19127267,17964507,18146188,20999966,22327913,141534000,174501000,112725000,391217000,331427000,203836000,399300000
53,Total Current Liabilities,1200000,2100000,2500000,1800000,7900000,6300000,5701977,- -,- -,26301662,25316045,23049628,146521961,153411928,17287952,17645240,23325253,29134093,23036636,29025478,29897697,359121000,316811000,406016000,496746000,512553000,309052000,697000000
54,Long-Term Debt,100000,- -,- -,- -,- -,- -,494093,- -,- -,141066,- -,- -,- -,- -,125000000,62339000,15460000,- -,- -,- -,- -,94304000,76887000,61958000,139538000,260330000,684519000,45700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4455805,- -,1467869,- -,3918000,3803000,- -,- -,8600000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2260226,- -,- -,- -,235483000,172541000,123342000,68189000,32219000,8915000,7700000
57,Other Non-Current Liabilities,- -,100000,-100000,- -,- -,100000,- -,- -,- -,- -,- -,209928,1148457,295184,9166440,7647544,6119077,165731,5402189,3981735,5193853,54451000,65680000,97261000,341490000,214378000,290036000,156000000
58,Total Non-Current Liabilities,100000,100000,-100000,- -,- -,100000,494093,- -,- -,141066,- -,209928,1148457,295184,134166440,69986544,21579077,6881762,5402189,5449604,5193853,388156000,318911000,282561000,549217000,515527000,983470000,209400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2513000,1672000,252000,- -,57137000,53497000,35900000
61,Total Liabilities,1300000,2200000,2400000,1800000,7900000,6400000,6196070,- -,- -,26442728,25316045,23259556,147670418,153707112,151454392,87631784,44904330,36015855,28438825,34475082,35091550,747277000,635722000,688577000,1045963000,1028080000,1292522000,906400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,186428,- -,- -,223857,234574,247815,257813,267011,277122,281755,286115,297120,306386,312885,318197,75444000,74578000,74750000,76144000,76257000,76300000,- -
64,Retained Earnings,-20600000,-27800000,-37900000,-49200000,-63300000,-75900000,-78932510,- -,- -,-124565217,-117805708,-130024056,-207466149,-258646256,-269241437,-242520817,-164071933,-117346223,-81268491,-34910989,19979268,48214000,-14575000,-39664000,-251579000,-406755000,-752402000,- -
65,Other Comprehensive Income/Loss,-500000,-1200000,-1400000,-1700000,-2400000,-2600000,-3126548,- -,- -,-1471976,-1443967,-627439,-22816791,-13298588,-12748606,-237842,-63797,-571485,421801,167977,454850,-54228000,-68487000,45313000,-24476000,-19392000,27809000,-7177000
66,Other Total Stockholders Equity,39600000,40400000,40800000,59300000,110400000,111700000,120280605,- -,- -,174325339,187995580,205999521,234654993,255615604,266489616,266888748,274709262,293073938,264009674,263998355,238347529,- -,- -,1734915000,1703649000,1733607000,1767122000,- -
67,Total Stockholders Equity,18500000,11400000,1500000,8400000,44700000,33400000,38407975,- -,- -,48512003,68980479,75595841,4629866,-16062229,-15223305,24411844,110859647,175453350,183469370,229568228,259099844,1811462000,1706909000,1815314000,1503738000,1383717000,1118829000,1294600000
68,Total Liabilities And Stockholders Equity,19800000,13600000,3900000,10200000,52600000,39800000,44604045,- -,- -,74954731,94296524,98855397,152300284,137644883,136231087,112043628,155763977,211469205,211908195,264043310,294191394,2558739000,2342631000,2503891000,2549701000,2411797000,2411351000,2201000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19800000,13600000,3900000,10200000,52600000,39800000,44604045,- -,- -,74954731,94296524,98855397,152300284,137644883,136231087,112043628,155763977,211469205,211908195,264043310,294191394,2558739000,2342631000,2503891000,2549701000,2411797000,2411351000,2201000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639691/000163969118000016/0001639691-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969119000035/0001639691-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969120000018/0001639691-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969121000016/0001639691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1639691/000163969122000013/0001639691-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5900000,-7200000,-10100000,-11200000,-14200000,-12500000,-3053244,- -,-26119905,5184931,6759509,-12218348,-59069192,-51180107,-10334765,26720620,78448884,46725710,36077732,46357502,54890257,57847534,-62789000,-25089000,-189399000,-155176000,-345008000,-135800000
74,Depreciation and Amortization,300000,300000,200000,300000,700000,1500000,1449333,- -,4290600,5120561,4918051,3986690,4488146,4490348,3959360,2179900,2228619,2737953,4728337,4638369,5602493,7254569,85363000,82935000,69940000,82989000,81320000,67900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-425944,9804,-41335107,1101763,22666255,22421044,-5200888,9399511,-26711000,-9272000,-95050000,-26277000,37292000,2900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9681593,8622949,6365003,11102237,11683249,11239987,11939894,19569000,19062000,26923000,32553000,35089000,40600000
77,Change in Working Capital,-10800000,-700000,-8000000,6800000,31500000,-13300000,4881340,- -,7948957,21625720,6347494,-76049532,-18738650,137733138,-22859805,5030675,30546746,15600192,40266590,12200640,18738289,105021206,-11031000,160580000,-427291000,339000,373492000,26000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3312205,-3825340,-1952789,-1247219,-10184633,-10656327,-2654488,-16448000,-48934000,21181000,-5321000,58796000,-15700000
79,Inventory,-200000,-200000,-100000,-300000,-1100000,-3100000,-1444670,- -,-281818,-1513822,-1648759,-758512,-8767305,90620,4517214,-37949,-1509542,-819399,682445,-3395899,254190,-7113182,26703000,7187000,-10647000,-10608000,1403000,4500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6563629,- -,- -,1645000,-41100000,7200000,-31830000,-923000,13000000
81,Other Working Capital,9700000,9000000,1000000,7800000,39300000,26000000,30881340,- -,38830297,60456017,66803511,-9246021,-27984671,109748467,86888662,91919337,122466083,138066275,178332865,190533505,209271794,314293000,303262000,463842000,36551000,36890000,410382000,- -
82,Other Non-Cash Items,10800000,1300000,8300000,-7900000,-32800000,9600000,-11452966,- -,-9071042,-30655546,-14429705,80311518,2443487,-111732235,44116361,-19032642,-35626604,-22658514,-39814986,-18247045,-31074322,-111787598,85750000,-136877000,735366000,-25570000,-261607000,100900000
83,Cash Provided by Operating Activities,-5600000,-6300000,-9600000,-12000000,-14800000,-14700000,-8175537,- -,-22951390,1275666,3595349,-3969672,-70876209,-20688856,14455207,24589950,42885487,49872107,75026165,79053759,54195816,79675116,90151000,91339000,120489000,-91142000,-79422000,102500000
84,CAPEX,-400000,-300000,-100000,-300000,-3500000,-1700000,-4114820,- -,-5082432,-4206728,-2600592,-3713637,-4298859,-1425349,-817064,-2668266,-6122607,-7387000,-17984102,-14305446,-19061440,-6686589,-38362000,-34107000,-37997000,-27980000,-35024000,-25500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5356225,- -,- -,-14194000,-93009000,-10750000,-1719000,41200000
86,Purchases of Investments,-15500000,-8100000,-3200000,-11600000,-75200000,-46000000,-52528156,- -,- -,- -,- -,-10400229,- -,- -,- -,-250000,-100000,-5000000,-4000000,-21588201,-45340864,-33167389,-15080000,-6255000,-3770000,-2500000,-3184000,-3700000
87,Sales/Maturities of Investments,17600000,18900000,6100000,4400000,44100000,61100000,55055237,- -,1791724,- -,- -,2500693,22800000,- -,- -,- -,- -,- -,- -,- -,29990389,30088978,14051000,3192000,- -,- -,- -,23100000
88,Other Investing Activites,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,-2000000,-2844401,-500000,-4699573,1517225,- -,-733000,-1491000,14220000,-3349000,-1917000,1800000
89,Cash Used for Investing Activites,1700000,10600000,2800000,-7500000,-34600000,13400000,-1587739,- -,-3290708,-4206728,-2600592,-11613173,17501141,-1425349,-817064,-2918266,-6222607,-11387000,-21984102,-35993220,-34411915,-9765000,-38246000,-52855000,-120556000,-41290000,-41844000,36900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50402417,-43046250,-8241260,-7044000,- -,- -,- -,-54817000,-22755000,-314572000,-25398000,-527775000,-487900000
91,Common Stock Issued,200000,100000,100000,18000000,50400000,1400000,8052629,- -,2687802,6476245,12967778,18023804,35679765,9684666,6435055,- -,1024960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322600000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9993200,- -,-6305635,-532293,-1697861,-14177574,-50444649,-33009394,-72358863,-55015419,-54487000,- -,-61611000,-7064000,-5601000,-12900000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,- -,- -,- -,- -,- -,-43090,- -,6385843,1744465,1528867,-7172066,81308222,4749742,-7558620,4307694,- -,15230997,10772767,14159531,35092042,6759858,-15005000,34049000,333835000,179043000,844132000,-3300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,18000000,50400000,1400000,8009539,- -,9073645,8220710,14496645,10851738,106994787,14434408,-7429200,-46627016,-43719151,-7187837,-46715882,-18849863,-37266821,-48255561,-124309000,11294000,-42348000,146581000,310756000,-181500000
96,Effect of Forex Changes on Cash,- -,- -,100000,100000,-100000,-200000,-39855,- -,-94768,90695,-703976,-56268,59460,129602,44873,122119,60703,-1213331,1014244,-156379,73464,-766577,-420000,4048000,-3996000,-216000,2205000,-2800000
97,Net Change In Cash,- -,- -,- -,18000000,50400000,-100000,-1793592,- -,-17263221,5380343,14787426,-4787375,53679179,-7550195,6253816,-24833213,-6995568,30083939,7340425,24054297,-17409456,20887978,-72824000,53826000,-46411000,13933000,191695000,-44800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,1600000,14969479,- -,38195962,43576305,58363731,38675892,92355071,84804876,91058692,66225479,59229911,89313850,96654275,120708572,103299116,124187094,39789000,93615000,47204000,61137000,252832000,208000000
99,Cash at the Beginning of Period,8400000,4600000,8900000,2100000,800000,1700000,16763071,- -,55459183,38195962,43576305,43463267,38675892,92355071,84804876,91058692,66225479,59229911,89313850,96654275,120708572,103299116,112613000,39789000,93615000,47204000,61137000,252800000
100,Free Cash Flow,-6000000,-6600000,-9700000,-12300000,-18300000,-16400000,-12290357,- -,-28033822,-2931062,994757,-7683309,-75175068,-22114205,13638143,21921684,36762880,42485107,57042063,64748313,35134376,72988527,51789000,57232000,82492000,-119122000,-114446000,77000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639691/000163969118000016/0001639691-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969119000035/0001639691-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969120000018/0001639691-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1639691/000163969121000016/0001639691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1639691/000163969122000013/0001639691-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
