,https://roic.ai/company/PLAN,2016,2017,2018,2019,2020,2021,2022
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1540755/000119312519092804/0001193125-19-092804-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459020014183/0001564590-20-014183-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/0001564590-21-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1540755/000154075522000018/0001540755-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-54227000,-40194000,-47554000,-131016000,-149217000,-153967000,-203599000
74,Depreciation and Amortization,2588000,4324000,7399000,12937000,20341000,25831000,28511000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-7639000
76,Stock Based Compensation,3508000,6103000,8639000,52806000,80046000,103626000,149545000
77,Change in Working Capital,-7993000,50580000,8095000,176376000,-85078000,-31364000,-68517000
78,Accounts Receivable,-17190000,-16316000,-9982000,-28542000,-15833000,-39947000,-51853000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,25120000
81,Other Working Capital,5250000,55830000,63925000,240301000,155223000,123859000,55342000
82,Other Non-Cash Items,3320000,-46974000,8920000,-156956000,119503000,51243000,86616000
83,Cash Provided by Operating Activities,-52804000,-26161000,-14501000,-45853000,-14405000,-4631000,-15083000
84,CAPEX,-6988000,-4971000,-15366000,-22519000,-15014000,-15743000,-24113000
85,Acquisitions Net,- -,- -,- -,- -,-33000000,- -,- -
86,Purchases of Investments,-3000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1997000,3000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-1490000,-2584000,-5801000,-7397000,-11515000,-10063000,-13735000
89,Cash Used for Investing Activites,-7991000,-2371000,-15366000,-22519000,-48506000,-15743000,-24113000
90,Debt Repayment,- -,- -,- -,-1628000,-5444000,-8680000,-9635000
91,Common Stock Issued,- -,- -,- -,301813000,18565000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,87121000,2239000,64724000,-20262000,33385000,36512000,32963000
95,Cash Used/Provided by Financing Activities,87121000,2239000,64724000,279923000,46506000,27832000,23328000
96,Effect of Forex Changes on Cash,382000,-2835000,1264000,-1714000,-564000,3638000,-5751000
97,Net Change In Cash,26708000,-29128000,36121000,209837000,-16969000,11096000,-21619000
98,Cash at the End of Period,110033000,80905000,117026000,326863000,309894000,320990000,299371000
99,Cash at the Beginning of Period,83325000,110033000,80905000,117026000,326863000,309894000,320990000
100,Free Cash Flow,-59792000,-31132000,-29867000,-68372000,-29419000,-20374000,-39196000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1540755/000119312519092804/0001193125-19-092804-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459020014183/0001564590-20-014183-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/0001564590-21-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1540755/000154075522000018/0001540755-22-000018-index.htm
102,false,,,,,,,
