,https://roic.ai/company/BEAM,2017,2018,2019,2020,2021
52,Other Current Liabilities,5839000,18236000,15652000,89687000,109864000
53,Total Current Liabilities,6565000,25587000,29138000,102337000,213435000
54,Long-Term Debt,- -,- -,4411000,5294000,137817000
55,Deferred Revenue,- -,- -,- -,- -,262303000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,20000,7397000,21605000,98485000,34160000
58,Total Non-Current Liabilities,20000,7397000,26016000,103779000,434280000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,25524000,100232000,142350000
61,Total Liabilities,6585000,32984000,55154000,206116000,647715000
62,Preferred Stock,5256000,251434000,302049000,- -,- -
63,Common Stock,5000,56000,73000,573000,684000
64,Retained Earnings,-9461000,-124718000,-203044000,-397636000,-768274000
65,Other Comprehensive Income/Loss,-11000,-661000,16000,-9000,-50000
66,Other Total Stockholders Equity,28000,7917000,1851000,642633000,- -
67,Total Stockholders Equity,-4183000,134028000,100945000,245561000,826738000
68,Total Liabilities And Stockholders Equity,2402000,167012000,156099000,451677000,1474453000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2402000,167012000,156099000,451677000,1474453000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745999/000156459020014308/0001564590-20-014308-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000156459021013190/0001564590-21-013190-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000095017022002166/0000950170-22-002166-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-8002000,-115257000,-78326000,-194592000,-370638000
74,Depreciation and Amortization,11000,650000,3503000,4735000,7451000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,198000,7002000,7028000,15380000,43570000
77,Change in Working Capital,740000,127216000,-57282000,140578000,111254000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,726000,2436000,4092000,60000,818000
81,Other Working Capital,-4528000,122688000,65406000,205984000,348156000
82,Other Non-Cash Items,4346000,-39909000,53074000,-61842000,142095000
83,Cash Provided by Operating Activities,-2707000,-20298000,-72003000,-95741000,-66268000
84,CAPEX,-346000,-13124000,-12518000,-16357000,-46811000
85,Acquisitions Net,- -,- -,- -,- -,620000
86,Purchases of Investments,- -,-300000,-130210000,-282362000,-777223000
87,Sales/Maturities of Investments,- -,- -,76069000,198596000,529270000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-346000,-13424000,-66659000,-100123000,-294144000
90,Debt Repayment,- -,- -,-464000,-1569000,-2118000
91,Common Stock Issued,- -,- -,- -,319528000,757449000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,4984000,179727000,41743000,4363000,810000
95,Cash Used/Provided by Financing Activities,4984000,179727000,41279000,322322000,756141000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,146005000,-97383000,126458000,395729000
98,Cash at the End of Period,1931000,147936000,50553000,177011000,572740000
99,Cash at the Beginning of Period,- -,1931000,147936000,50553000,177011000
100,Free Cash Flow,-3053000,-33422000,-84521000,-112098000,-113079000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745999/000156459020014308/0001564590-20-014308-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000156459021013190/0001564590-21-013190-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000095017022002166/0000950170-22-002166-index.htm
102,false,,,,,
