,https://roic.ai/company/MNKKQ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,2171700000,6607000,14558000000,13992100000,12995700000,9450100000,8508200000,7411100000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,3556600000,8916000,16404100000,15498700000,15280900000,10877300000,10338900000,9715400000,329100000
48,Accounts Payable,- -,- -,- -,120900000,123000,133000000,110100000,113300000,147500000,139800000,93300000,- -
49,Short-Term Debt,- -,- -,- -,100000,1388000,21000000,255300000,313700000,22400000,633600000,3587900000,- -
50,Tax Payable,- -,- -,- -,- -,83000,- -,- -,15800000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,479200000,431000,775400000,869300000,623400000,773800000,653500000,437500000,2600000
53,Total Current Liabilities,- -,- -,- -,600200000,1942000,929400000,1234700000,1050400000,943700000,1426900000,4118700000,2600000
54,Long-Term Debt,- -,- -,- -,916500000,- -,6473300000,5788500000,6420900000,6069200000,4741200000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,310100000,20000,3132400000,2581400000,689000000,324300000,11000000,80600000,- -
57,Other Non-Current Liabilities,- -,- -,- -,474200000,6620000,557800000,623400000,598600000,652800000,2219100000,4496900000,488700000
58,Total Non-Current Liabilities,- -,- -,- -,1700800000,6660000,10163500000,8993300000,7708500000,7046300000,6971300000,4577500000,488700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3200000,- -,2300000,1200000,200000,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,2301000000,8602000,11092900000,10228000000,8758900000,7990000000,8398200000,8696200000,491300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11500000,- -,23500000,23600000,18400000,18500000,18700000,18800000,18900000
64,Retained Earnings,- -,- -,- -,33500000,- -,38900000,682600000,2588600000,-1017700000,-2016900000,-2961500000,-192100000
65,Other Comprehensive Income/Loss,- -,- -,- -,-876300000,-8000,-879300000,-771700000,-12900000,-954200000,-1003600000,-9600000,-8000
66,Other Total Stockholders Equity,- -,- -,- -,2086900000,321000,6128100000,5336200000,3927900000,4840700000,4942500000,3971500000,11008000
67,Total Stockholders Equity,- -,- -,- -,1255600000,313000,5311200000,5270700000,6522000000,2887300000,1940700000,1019200000,-162200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,3556600000,8915000,16404100000,15498700000,15280900000,10877300000,10338900000,9715400000,329100000
69,Minority Interest,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,3556600000,8916000,16404100000,15498700000,15280900000,10877300000,10338900000,9715400000,329100000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1567892/000156789213000029/0001567892-13-000029-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789215000047/0001567892-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789216000098/0001567892-16-000098-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789219000009/0001567892-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789220000005/0001567892-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789221000011/0001567892-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789222000007/0001567892-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,150700000,134600000,58800000,-717000000,324700000,643700000,2134400000,-3607000000,-996500000,-944600000,-717000000
74,Depreciation and Amortization,- -,119800000,130900000,139600000,675000000,672500000,834500000,808300000,852100000,951100000,885200000,- -
75,Deferred Income Tax,- -,36400000,9000000,-9000000,-59000000,-191600000,-432900000,-1744100000,-541500000,-604300000,385300000,- -
76,Stock Based Compensation,- -,10300000,10700000,16200000,10000000,117000000,42900000,59200000,34600000,33800000,25300000,- -
77,Change in Working Capital,- -,58100000,740600000,- -,-1165833000,916333000,-644800000,962900000,-751300000,-79700000,-2218200000,2140900000
78,Accounts Receivable,- -,700000,-6800000,-181200000,98000000,700000,31200000,-16200000,-145800000,31600000,37900000,- -
79,Inventory,- -,12200000,-62800000,27700000,11000000,61300000,-17300000,-23600000,63100000,-23100000,-51100000,- -
80,Accounts Payable,- -,4600000,-8300000,7200000,-1000000,20400000,-9700000,-25800000,24600000,6700000,15700000,- -
81,Other Working Capital,- -,44100000,784700000,784700000,367000,916700000,271900000,1234800000,483500000,403800000,-1814400000,326500000
82,Other Non-Cash Items,- -,-5100000,-770000000,-69700000,1711833000,-942533000,741200000,-1493400000,4678600000,1438500000,2365900000,-1423900000
83,Cash Provided by Operating Activities,- -,370200000,255800000,135900000,455000000,896400000,1184600000,727300000,665500000,742900000,498900000,- -
84,CAPEX,- -,-120400000,-157400000,-236000000,-55000000,-2302700000,-428300000,-262400000,-826900000,-133000000,-47700000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,267000000,576900000,313000000,95100000,-700000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-112600000,-152200000,-234700000,-37000000,-2296600000,-375000000,-258500000,-793300000,-103400000,-10500000,- -
89,Cash Used for Investing Activites,- -,-112600000,-152200000,-234700000,-37000000,-2296600000,-108000000,318400000,-480300000,-8300000,-11200000,- -
90,Debt Repayment,- -,-1300000,-1300000,-1300000,-137000000,-1848400000,-568600000,-917200000,-1693600000,-945100000,-139500000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-92200000,-652900000,-651700000,-57500000,-2600000,-400000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-256300000,-102300000,374300000,- -,3010500000,59200000,1438700000,656100000,667600000,-45700000,- -
95,Cash Used/Provided by Financing Activities,- -,-257600000,-103600000,373000000,-137000000,1069900000,-1162300000,-130200000,-1095000000,-280100000,-185600000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,1300000,- -,-11600000,300000,2500000,-1800000,600000,2300000,- -
97,Net Change In Cash,- -,-257600000,-103600000,373000000,697200000,-341900000,-85400000,918000000,-911600000,455100000,304400000,- -
98,Cash at the End of Period,- -,- -,- -,275500000,1405000000,365900000,280500000,1279100000,367500000,822600000,1127000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,707800000,707800000,365900000,361100000,1279100000,367500000,822600000,1127000000
100,Free Cash Flow,- -,249800000,98400000,-100100000,400000000,-1406300000,756300000,464900000,-161400000,609900000,451200000,- -
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789213000029/0001567892-13-000029-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789215000047/0001567892-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789216000098/0001567892-16-000098-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789219000009/0001567892-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789220000005/0001567892-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789221000011/0001567892-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789222000007/0001567892-22-000007-index.htm
102,false,,,,,,,,,,,,
