,https://roic.ai/company/CSX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,409000000,344000000,544000000,467000000,447000000,473000000,501000000,527000000,572000000,- -,5289000000,4915000000,4957000000,4825000000,9747000000,4115000000,4241000000,4136000000,4297000000,7774000000,4162000000,4126000000,4293000000,4460000000,3928000000,3904000000,4428000000,4471000000,4622000000,4956000000,4934000000,4966000000,7688000000,7381000000,6972000000,- -,- -
11,COGS and Expenses,6439000000,5308000000,7148000000,6683000000,6876000000,7390000000,8537000000,8468000000,8027000000,8227000000,9332000000,9014000000,9038000000,8738000000,13911000000,7386000000,7153000000,7025000000,7167000000,12050000000,7068000000,7428000000,7774000000,8663000000,6756000000,6817000000,8325000000,8299000000,8553000000,9056000000,8227000000,7771000000,7635000000,7477000000,7063000000,6221000000,7382000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,11000000,6000000,5000000,5000000,8000000,5000000,6000000,10000000,13000000,32000000,48000000,17000000,7000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-281000000,-166000000,-241000000,-433000000,-308000000,- -,-539000000,-537000000,-556000,-418000000,- -,423000000,392000000,417000000,519000000,558000000,557000000,552000000,566000000,562000000,545000000,544000000,579000000,546000000,639000000,737000000,754000000,722000000
14,Depreciation and Amortization,409000000,427000000,544000000,467000000,-447000000,-473000000,-501000000,-527000000,-572000000,577000000,600000000,620000000,688000000,630000000,621000000,600000000,622000000,649000000,643000000,730000000,833000000,867000000,890000000,918000000,908000000,947000000,976000000,1059000000,1104000000,1151000000,1208000000,1301000000,1315000000,1331000000,1349000000,1383000000,1420000000
15,EBITDA,146000000,1156000000,1226000000,412000000,247000000,63000000,-614000000,-534000000,61000000,1302000000,1408000000,1695000000,1438000000,1095000000,711000000,717000000,533000000,1072337000,547000000,1288000000,2085000000,2038000000,1937000000,2021000000,1994000000,4050000000,4416000000,4589000000,4588000000,4740000000,4890000000,4621000000,5003000000,6274000000,6402000000,5764000000,7093000000
16,EBITDA ratio,0.0199,0.1822,0.1524,0.0543,0.0319,0.0077,-0.0711,-0.0611,0.0068,0.1384,0.1340,0.1609,0.1354,0.1106,0.0658,0.0875,0.0657,0.1315,0.0702,0.1606,0.2419,0.2130,0.1931,0.1796,0.2206,0.3808,0.3761,0.3904,0.3815,0.3741,0.4140,0.4175,0.4386,0.5122,0.5363,0.5446,0.5664
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1232000000,1172000000,1522000000,1583000000,1160000000,608000000,805000000,957000000,1127000000,626000000,1000000000,1550000000,2138000000,2256000000,2768000000,2285000000,3071000000,3418000000,3457000000,3473000000,3613000000,3584000000,3389000000,3667000000,4869000000,4965000000,4362000000,5594000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1309,0.1116,0.1445,0.1490,0.1172,0.0562,0.0983,0.1180,0.1382,0.0803,0.1247,0.1799,0.2235,0.2249,0.2459,0.2527,0.2887,0.2911,0.2941,0.2888,0.2852,0.3034,0.3062,0.3214,0.3975,0.4159,0.4122,0.4467
19,Total Other Income Expenses (Gains),-1144000000,-308000000,-213000000,-969000000,-177000000,-278000000,-212000000,-273000000,-280000000,-226000000,-198000000,-206000000,-400000000,-387000000,-469000000,-528000000,-509000000,-404000000,-361000000,-363000000,-514000000,-297000000,-324000000,-622000000,-524000000,-525000000,-530000000,-493000000,-551000000,-569000000,-446000000,-648000000,-525000000,-565000000,-649000000,-735000000,-643000000
20,Income Before Tax,-263000000,729000000,682000000,-60000000,692000000,537000000,-113000000,-7000000,633000000,1006000000,974000000,1316000000,1183000000,773000000,139000000,277000000,448000000,723000000,265000000,637000000,1036000000,1841000000,1932000000,2146000000,1761000000,2546000000,2888000000,2964000000,2922000000,3044000000,3138000000,2741000000,3142000000,4304000000,4316000000,3627000000,4951000000
21,Income Before Tax Ratio,-0.0359,0.1149,0.0848,-0.0079,0.0893,0.0654,-0.0131,-0.0008,0.0708,0.1069,0.0927,0.1249,0.1114,0.0781,0.0129,0.0338,0.0552,0.0887,0.0340,0.0794,0.1202,0.1925,0.1926,0.1907,0.1948,0.2394,0.2459,0.2521,0.2430,0.2403,0.2657,0.2476,0.2754,0.3513,0.3616,0.3427,0.3954
22,Income Tax expense (Gain),-145000000,311000000,250000000,-22000000,265000000,172000000,-37000000,-27000000,274000000,354000000,356000000,461000000,384000000,236000000,88000000,91000000,155000000,-107000,76000000,219000000,-316000000,-531000000,-706000000,-781000000,-624000000,983000000,1066000000,1105000000,1058000000,1117000000,1170000000,1027000000,-2329000000,995000000,985000000,862000000,1170000000
23,Net Income,-118000000,418000000,432000000,-33000000,429000000,364000000,-76000000,20000000,359000000,652000000,618000000,855000000,799000000,537000000,2000000,565000000,293000000,424000000,246000000,339000000,1145000000,1310000000,1336000000,1365000000,1152000000,1563000000,1822000000,1859000000,1864000000,1927000000,1968000000,1714000000,5471000000,3309000000,3331000000,2765000000,3781000000
24,Net Income ratio,-0.0161,0.0659,0.0537,-0.0043,0.0554,0.0444,-0.0088,0.0023,0.0402,0.0693,0.0588,0.0812,0.0752,0.0543,0.0002,0.0690,0.0361,0.0520,0.0316,0.0423,0.1329,0.1369,0.1332,0.1213,0.1274,0.1470,0.1552,0.1581,0.1550,0.1521,0.1666,0.1548,0.4796,0.2701,0.2790,0.2613,0.3019
25,EPS,-0.02,0.08,0.08,-0.01,0.11,0.10,-0.02,0.01,0.10,0.17,0.16,0.22,0.20,0.14,0.00,0.15,0.08,0.11,0.06,0.09,0.29,0.33,0.35,0.38,0.33,0.47,0.56,0.61,0.62,0.65,0.68,0.62,2.05,1.35,1.44,1.21,1.68
26,EPS Diluted,-0.02,0.08,0.08,-0.01,0.11,0.10,-0.02,0.01,0.10,0.17,0.16,0.22,0.20,0.14,0.00,0.15,0.08,0.11,0.06,0.08,0.28,0.31,0.33,0.37,0.32,0.45,0.56,0.60,0.61,0.64,0.67,0.60,2.00,1.28,1.39,1.20,1.68
27,Weighted Average Shares Outstanding,5446153846,5491970803,5568345324,5365384615,3634951456,3530386740,3600000000,3600000000,3735260116,3767472000,3784860000,3845394000,3920328000,3795480000,3791088000,3796956000,3810024000,3829122000,3851352000,3866328000,3895650000,3960756000,3872430000,3637764000,3526623000,3333078000,3267000000,3060000000,3027000000,2976000000,2898000000,2784000000,2670000000,2454000000,2319000000,2289000000,2250000000
28,Weighted Average Shares Outstanding Diluted,5446153846,5491970803,5568345324,5365384615,3634951456,3530386740,3600000000,3600000000,3778947368,3767472000,3784860000,3845394000,3974256000,3855528000,3828528000,3803652000,3823362000,3843216000,3859128000,4050540000,4104432000,4193406000,4034520000,3677418000,3561174000,3460554000,3267000000,3120000000,3057000000,3006000000,2952000000,2844000000,2742000000,2583000000,2394000000,2304000000,2255000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/0000277948-95-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/000027794899000002/0000277948-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/277948/000102140801001422/0001021408-01-001422-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664102000350/0000916641-02-000350-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664103000356/0000916641-03-000356-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014404002244/0000950144-04-002244-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014405002216/0000950144-05-002216-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014406001485/0000950144-06-001485-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000119312507032135/0001193125-07-032135-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794808000036/0000277948-08-000036-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794809000042/0000277948-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794810000013/0000277948-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000114036111010655/0001140361-11-010655-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794812000014/0000277948-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794813000008/0000277948-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794814000011/0000277948-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794815000010/0000277948-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794816000046/0000277948-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794817000009/0000277948-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794818000009/0000277948-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794819000011/0000277948-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794820000008/0000277948-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794821000014/0000277948-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794822000009/0000277948-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,187000000,315000000,921000000,625000000,534000000,609000000,465000000,530000000,298000000,535000000,660000000,682000000,690000000,533000000,974000000,684000000,618000000,264000000,368000000,859000000,309000000,461000000,368000000,669000000,1029000000,1292000000,783000000,784000000,592000000,669000000,628000000,603000000,401000000,858000000,958000000,3129000000,2239000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,368000000,- -,293000000,439000000,346000000,76000000,61000000,54000000,523000000,587000000,487000000,292000000,810000000,417000000,18000000,253000000,996000000,2000000,77000000
33,Cash and Short-Term Investments,187000000,315000000,921000000,625000000,534000000,609000000,465000000,530000000,298000000,535000000,660000000,682000000,690000000,533000000,974000000,684000000,618000000,264225000,736000000,859000000,602000000,900000000,714000000,745000000,1090000000,1346000000,1306000000,1371000000,1079000000,961000000,1438000000,1020000000,419000000,1111000000,1954000000,3131000000,2316000000
34,Net Receivables,1299000000,1182000000,876000000,896000000,645000000,728000000,728000000,605000000,668000000,706000000,832000000,894000000,987000000,898000000,1135000000,850000000,878000000,799000000,1163000000,1143000000,1202000000,1174000000,1174000000,1107000000,995000000,993000000,1129000000,962000000,1052000000,1129000000,982000000,938000000,970000000,1010000000,986000000,912000000,1148000000
35,Inventory,428000000,356000000,363000000,241000000,237000000,257000000,206000000,189000000,199000000,211000000,220000000,229000000,227000000,225000000,220000000,245000000,206000000,180000000,170000000,165000000,199000000,204000000,240000000,217000000,203000000,218000000,240000000,274000000,252000000,273000000,350000000,407000000,372000000,263000000,261000000,302000000,339000000
36,Other Current Assets,136000000,248000000,230000000,673000000,295000000,131000000,136000000,97000000,406000000,213000000,223000000,267000000,271000000,328000000,234000000,267000000,372000000,545775000,-166000000,820000000,369000000,394000000,363000000,322000000,282000000,298000000,260000000,194000000,219000000,209000000,70000000,122000000,154000000,181000000,77000000,96000000,70000000
37,Total Current Assets,2050000000,2101000000,2390000000,2435000000,1711000000,1725000000,1535000000,1421000000,1571000000,1665000000,1935000000,2072000000,2175000000,1984000000,2563000000,2046000000,2074000000,1789000000,1903000000,2987000000,2372000000,2672000000,2491000000,2391000000,2570000000,2855000000,2935000000,2801000000,2602000000,2572000000,2840000000,2487000000,1915000000,2565000000,3278000000,4441000000,3873000000
38,PP&E,9107000000,9403000000,10162000000,9631000000,9652000000,9991000000,10177000000,10636000000,10788000000,11044000000,11297000000,11906000000,12406000000,12645000000,12257000000,12642000000,12972000000,13286000000,13730000000,19945000000,20163000000,20923000000,21780000000,22688000000,23213000000,23799000000,24974000000,26050000000,27291000000,28584000000,30174000000,31150000000,31764000000,31998000000,32700000000,32916000000,33516000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,64000000,70000000,64000000,- -,- -,- -,- -,- -,63000000,- -,- -,- -,276000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,64000000,70000000,64000000,- -,- -,- -,- -,- -,63000000,- -,- -,- -,451000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000000,312000000,2310000000,4638000000,5246000000,- -,5030000000,5037000000,4653000000,4678000000,574000000,603000000,607000000,1004000000,1015000000,1088000000,1134000000,1171000000,1206000000,1298000000,1356000000,1394000000,1459000000,1686000000,1779000000,1879000000,1985000000,2099000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2570000000,2560000000,2720000000,2939000000,3173000000,- -,3384000000,3621000000,3567000000,3752000000,- -,6082000000,6110000000,6096000000,6235000000,6585000000,- -,7601000000,8096000000,8662000000,8858000000,9179000000,9596000000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,337000000,1157000000,679000000,960000000,935000000,1088000000,1086000000,992000000,1061000000,-1857000000,-1822000000,-2043000000,-2201000000,-2621000000,5900000000,-2611000000,-2903000000,-2344000000,-2303000000,1075000000,-4988000000,-5183000000,-5837000000,-6105000000,-6484000000,283000000,-7272000000,-7582000000,-8071000000,-8317000000,-8842000000,-9278000000,311000000,387000000,400000000,451000000,592000000
45,Total Non-Current Assets,9444000000,10560000000,10841000000,10591000000,10587000000,11079000000,11263000000,11628000000,11849000000,12059000000,12347000000,14893000000,17782000000,18443000000,18157000000,18445000000,18727000000,19162000000,19857000000,21594000000,21860000000,22457000000,23043000000,23897000000,24466000000,25286000000,26538000000,27770000000,29180000000,30481000000,31905000000,32927000000,33824000000,34164000000,34979000000,35352000000,36658000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11494000000,12661000000,13231000000,13026000000,12298000000,12804000000,12798000000,13049000000,13420000000,13724000000,14282000000,16965000000,19957000000,20427000000,20720000000,20491000000,20801000000,20951000000,21760000000,24581000000,24232000000,25129000000,25534000000,26288000000,27036000000,28141000000,29473000000,30571000000,31782000000,33053000000,34745000000,35414000000,35739000000,36729000000,38257000000,39793000000,40531000000
48,Accounts Payable,- -,- -,- -,- -,1867000000,1946000000,2079000000,2066000000,1965000000,1992000000,1121000000,1189000000,1179000000,1216000000,1197000000,1079000000,966000000,802000000,827000000,879000000,954000000,974000000,976000000,973000000,967000000,1046000000,1147000000,1014000000,957000000,845000000,764000000,806000000,847000000,949000000,1043000000,809000000,963000000
49,Short-Term Debt,208000000,336000000,323000000,1196000000,464000000,357000000,398000000,214000000,310000000,201000000,148000000,335000000,126000000,187000000,923000000,749000000,225000000,534000000,428000000,1084000000,937000000,600000000,787000000,320000000,113000000,613000000,507000000,780000000,533000000,228000000,20000000,331000000,19000000,18000000,245000000,401000000,181000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,123000000,170000000,102000000,114000000,113000000,125000000,112000000,85000000,129000000,85000000,91000000,163000000,108000000,129000000,157000000,106000000,69000000,73000000,134000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,- -,225000000,251000000,254000000,11000000,158000000,- -,182000000,119000000,155000000,141000000,126000000,9596000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,1744000000,1511000000,1575000000,1865000000,- -,- -,- -,- -,- -,312000000,1722000000,1233000000,1402000000,1197000000,1353000000,1452000000,2112000000,1118000000,819000000,1354000000,863000000,697000000,654000000,1100000000,627000000,878000000,851000000,714000000,779000000,893000000,1042000000,-8693000000,1028000000,948000000,863000000,809000000,1089000000
53,Total Current Liabilities,1952000000,1847000000,1898000000,3061000000,2331000000,2303000000,2477000000,2280000000,2275000000,2505000000,2991000000,2757000000,2707000000,2600000000,3473000000,3280000000,3303000000,2454000000,2210000000,3317000000,2979000000,2522000000,2671000000,2404000000,1865000000,2537000000,2687000000,2627000000,2424000000,2107000000,1952000000,2040000000,1894000000,1915000000,2151000000,2019000000,2233000000
54,Long-Term Debt,2499000000,3285000000,3162000000,3032000000,2727000000,3025000000,2804000000,3245000000,3133000000,2618000000,2222000000,4331000000,6416000000,6432000000,6196000000,5810000000,5839000000,6519000000,6886000000,6234000000,5093000000,5362000000,6470000000,7512000000,7895000000,8051000000,8734000000,9052000000,9022000000,9514000000,10515000000,10962000000,11790000000,14739000000,15993000000,16759000000,16663000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1572000000,1903000000,2296000000,2176000000,2378000000,2534000000,2221000000,2082000000,2341000000,- -,- -,- -,- -,- -,3227000000,- -,- -,- -,- -,5979000000,- -,- -,- -,- -,- -,7053000000,7601000000,8096000000,8662000000,8858000000,9305000000,9596000000,6418000000,6690000000,6961000000,7168000000,7383000000
57,Other Non-Current Liabilities,876000000,753000000,1017000000,1515000000,1341000000,1401000000,2114000000,2467000000,2491000000,4870000000,4827000000,4882000000,5068000000,5515000000,2068000000,5384000000,5539000000,5737000000,6211000000,2240000000,8206000000,8303000000,7708000000,8324000000,8430000000,1800000000,1996000000,1808000000,1191000000,1422000000,1321000000,1137000000,916000000,805000000,1289000000,737000000,752000000
58,Total Non-Current Liabilities,4947000000,5941000000,6475000000,6723000000,6446000000,6960000000,7139000000,7794000000,7965000000,7488000000,7049000000,9213000000,11484000000,11947000000,11491000000,11194000000,11378000000,12256000000,13097000000,14453000000,13299000000,13665000000,14178000000,15836000000,16325000000,16904000000,18331000000,18956000000,18875000000,19794000000,21141000000,21695000000,19124000000,22234000000,24243000000,24664000000,24798000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493000000,455000000,478000000
61,Total Liabilities,6899000000,7788000000,8373000000,9784000000,8777000000,9263000000,9616000000,10074000000,10240000000,9993000000,10040000000,11970000000,14191000000,14547000000,14964000000,14474000000,14681000000,14710000000,15307000000,17770000000,16278000000,16187000000,16849000000,18240000000,18190000000,19441000000,21018000000,21583000000,21299000000,21901000000,23093000000,23735000000,21018000000,24149000000,26394000000,26683000000,27031000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,210000000,217000000,218000000,217000000,218000000,213000000,214000000,215000000,215000000,216000000,218000000,438000000,408000000,391000000,393000000,370000000,1049000000,1020000000,1009000000,992000000,966000000,928000000,890000000,818000000,773000000,763000000,2202000000
64,Retained Earnings,2741000000,2980000000,2932000000,1907000000,2013000000,2282000000,1863000000,1622000000,1927000000,2391000000,2822000000,3452000000,4016000000,4294000000,4034000000,4337000000,4459000000,4797000000,4957000000,5210000000,6262000000,7427000000,8565000000,8398000000,9182000000,9087000000,8275000000,8876000000,9936000000,10734000000,11238000000,11253000000,14084000000,12157000000,11404000000,12527000000,11630000000
65,Other Comprehensive Income/Loss,-4555000000,-4461000000,-4681000000,-4417000000,-4610000000,-4936000000,-4999000000,-5066000000,-5066000000,2470000000,2420000000,2652000000,3064000000,2738000000,-5269000000,2934000000,2894000000,-318000000,-298000000,-220000000,-277000000,-392000000,-325000000,-741000000,-809000000,-771000000,-875000000,-936000000,-523000000,-666000000,-665000000,-640000000,-486000000,-661000000,-675000000,-598000000,-408000000
66,Other Total Stockholders Equity,6409000000,6354000000,6607000000,5752000000,6118000000,6195000000,6318000000,6419000000,6319000000,- -,- -,- -,- -,- -,6773000000,- -,- -,1547000000,1579000000,1605000000,1751000000,1469000000,37000000,- -,80000000,- -,6000000,28000000,61000000,92000000,113000000,138000000,217000000,249000000,346000000,409000000,- -
67,Total Stockholders Equity,4595000000,4873000000,4858000000,3242000000,3521000000,3541000000,3182000000,2975000000,3180000000,3731000000,4242000000,4995000000,5766000000,5880000000,5756000000,6017000000,6120000000,6241000000,6453000000,6811000000,7954000000,8942000000,8685000000,8048000000,8846000000,8686000000,8455000000,8988000000,10483000000,11152000000,11652000000,11679000000,14705000000,12563000000,11848000000,13101000000,13490000000
68,Total Liabilities And Stockholders Equity,11494000000,12661000000,13231000000,13026000000,12298000000,12804000000,12798000000,13049000000,13420000000,13724000000,14282000000,16965000000,19957000000,20427000000,20720000000,20491000000,20801000000,20951000000,21760000000,24581000000,24232000000,25129000000,25534000000,26288000000,27036000000,28127000000,29473000000,30571000000,31782000000,33053000000,34745000000,35414000000,35723000000,36712000000,38242000000,39784000000,40521000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,16000000,17000000,15000000,9000000,10000000
70,Total Liabilities & Equity,11494000000,12661000000,13231000000,13026000000,12298000000,12804000000,12798000000,13049000000,13420000000,13724000000,14282000000,16965000000,19957000000,20427000000,20720000000,20491000000,20801000000,20951000000,21760000000,24581000000,24232000000,25129000000,25534000000,26288000000,27036000000,28141000000,29473000000,30571000000,31782000000,33053000000,34745000000,35414000000,35739000000,36729000000,38257000000,39793000000,40531000000
