,https://roic.ai/company/GOGL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189000,155000,56000,232000,237000,131000,389000
23,Net Income,- -,19500000,17400000,12600000,48700000,33900000,12600000,47500000,85800000,44000000,45700000,84800000,48100000,21700000,38600000,32700000,-53400000,-3900000,15995000,-220839000,-127711000,-2348000,84535000,37189000,-137669000,527218000
24,Net Income ratio,- -,0.4632,0.3867,0.3127,0.6383,0.5512,0.3127,0.6316,0.6323,0.4391,0.4324,0.9615,0.5802,0.3224,0.9461,0.5892,-1.4316,-0.1040,0.1654,-1.1609,-0.4972,-0.0051,0.1289,0.0527,-0.2265,0.4382
25,EPS,- -,7.41,4.70,3.41,13.12,9.12,3.36,12.80,23.11,11.83,12.29,22.84,12.94,5.85,9.30,6.17,-10.08,-0.69,1.38,-6.72,-1.34,-0.02,0.59,0.26,-0.96,3.68
26,EPS Diluted,- -,7.41,4.70,3.41,13.12,9.12,3.36,12.80,23.11,11.83,12.29,22.84,12.94,5.85,9.30,6.12,-10.08,-0.69,1.38,-6.72,-1.34,-0.02,0.59,0.26,-0.96,3.68
27,Weighted Average Shares Outstanding,- -,2633804,3713860,3713860,3713860,3713860,3713860,3713860,3713730,3715550,3718741,3714736,3714092,3707533,4145542,5304890,5298615,5651148,17801165,32851284,95237611,125019486,144131752,143504861,143405208,143405208
28,Weighted Average Shares Outstanding Diluted,- -,2642415,3713860,3713860,3713860,3713860,3713860,3713860,3713860,3715550,3718741,3714736,3714092,3725600,4145542,5337974,5298615,5651148,17801165,32851284,95237611,125019486,144131752,143504861,143405208,143405208
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029145/000091957409012740/d1008079_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957410002629/d1081452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957411002407/d1180542_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957412002932/d1282142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000144530513000820/ktl-201220f.htm,- -,https://www.sec.gov/Archives/edgar/data/1029145/000162828015003027/ktl-201420f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828016014205/gogl-201520f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828017003352/gogl-201620f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914518000004/gogl-201720f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914519000005/gogl-201820f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914520000011/gogl-20191231.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,300000,100000,200000,300000,200000,6300000,31700000,12600000,8500000,82100000,78000000,8000000,56800000,46800000,79300000,98300000,42221000,102617000,212942000,309029000,305352000,88931000,153093000,197032000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14615000,6524000,16300000,12033000,13861000,3684000,- -
33,Cash and Short-Term Investments,- -,200000,300000,100000,200000,300000,200000,6300000,31700000,12600000,8500000,82100000,78000000,8000000,56800000,46800000,79300000,98300000,42221000,117232000,219466000,325329000,317385000,102792000,156777000,197032000
34,Net Receivables,- -,22200000,17000000,11900000,31100000,10500000,10200000,22600000,13800000,8800000,9200000,10700000,3200000,5100000,3300000,11400000,4800000,4200000,6649000,33074000,27669000,50790000,58307000,50815000,65530000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1600000,2000000,2600000,3900000,1200000,3200000,1500000,3800000,1200000,1700000,13243000,15156000,17953000,20142000,28154000,28235000,25165000,- -
36,Other Current Assets,- -,- -,- -,-100000,100000,- -,- -,100000,16600000,14300000,13000000,10700000,10500000,13000000,16300000,4400000,500000,500000,2166000,38198000,34844000,48239000,57388000,91235000,37057000,172358000
37,Total Current Assets,- -,22400000,17300000,11900000,31400000,10800000,10400000,29000000,63700000,37700000,33300000,107400000,92900000,29300000,77900000,66400000,85800000,104700000,64279000,203660000,299932000,444500000,461234000,273077000,284529000,369390000
38,PP&E,- -,425000000,407400000,389800000,372200000,354600000,337000000,319400000,301500000,285100000,267900000,234500000,238700000,344400000,459000000,436300000,273800000,289500000,1176005000,1835173000,1942457000,2322791000,2407621000,2589593000,2403905000,3034499000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6225000,4224000,2287000,1658000,21483000,16399000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10700000,3600000,1600000,1100000,800000,400000,- -,400000,400000,300000,300000,100000,1200000,5100000,18500000,37800000,15700000,22456000,127812000,115010000,100480000,80841000,81904000,16234000,50288000
45,Total Non-Current Assets,- -,435700000,411000000,391400000,373300000,355400000,337400000,319400000,301900000,285500000,268200000,234800000,238800000,345600000,464100000,454800000,311600000,305200000,1198461000,1969210000,2061691000,2425558000,2490120000,2692980000,2436538000,3084787000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,458100000,428300000,403300000,404700000,366200000,347800000,348400000,365600000,323200000,301500000,342200000,331700000,374900000,542000000,521200000,397400000,409900000,1262740000,2172870000,2361623000,2870058000,2951354000,2966057000,2721067000,3454177000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,500000,2000000,8100000,600000,1800000,3700000,3900000,2400000,1300000,1400000,7492000,6634000,4269000,8131000,7752000,16372000,18402000,- -
49,Short-Term Debt,- -,6726151,6726152,1681538,- -,- -,- -,8400000,11309000,11200000,11211000,8960000,42560000,13960000,3600000,3600000,4700000,- -,19812000,36129000,4858000,114910000,477413000,119666000,128089000,141479000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,12000,9000,76000,117000,171000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3020000,3623000,3285000,- -,- -,- -,- -,- -,25939000,- -
52,Other Current Liabilities,- -,2373849,2273848,2218462,2100000,2200000,2200000,7500000,4491000,5700000,4989000,8340000,4540000,11040000,4800000,5100000,2480000,2377000,4190000,37271000,34474000,58686000,56335000,97329000,69245000,106594000
53,Total Current Liabilities,- -,9100000,9000000,3900000,2100000,2200000,2200000,15900000,16300000,18900000,24300000,17900000,48900000,28700000,12300000,11100000,11500000,7400000,34779000,80034000,43601000,181727000,541500000,233367000,241675000,248073000
54,Long-Term Debt,- -,133800000,127100000,125400000,125400000,125400000,125400000,117000000,120400000,109200000,98000000,103000000,60500000,106500000,153700000,150100000,107000000,95000000,343688000,925647000,1071091000,1186223000,879064000,1177289000,957652000,1277363000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,9500000,11600000,- -,- -,- -,- -,- -,- -,- -,100000,100000,1200000,- -,- -,8540000,8212000,8059000,7278000,42010000,152984000,- -
58,Total Non-Current Liabilities,- -,133800000,127100000,125400000,125400000,134900000,137000000,117000000,120400000,109200000,98000000,103000000,60500000,106500000,153800000,150200000,108200000,95000000,343688000,934187000,1079303000,1194282000,886342000,1219299000,1110636000,1277363000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33280000,17531000,12674000,7435000,225095000,193242000,156497000
61,Total Liabilities,- -,142900000,136100000,129300000,127500000,137100000,139200000,132900000,136700000,128100000,122300000,120900000,109400000,135200000,166100000,161300000,119700000,102400000,378467000,1014221000,1122904000,1376009000,1427842000,1452666000,1352311000,1525436000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,300000,801000,1727000,5299000,7111000,7215000,7215000,7215000,10061000
64,Retained Earnings,- -,315000000,292000000,273800000,277000000,238500000,220100000,220700000,228700000,194900000,179000000,221100000,222100000,239500000,244600000,228400000,145700000,123600000,110609000,1156922000,1029269000,1026921000,1518707000,1511130000,-366722000,160055000
65,Other Comprehensive Income/Loss,- -,-14900000,-32400000,-50000000,-67600000,-19200000,-11590392,-5309885,- -,-154800000,-171900000,-151200000,-164900000,-179300000,-198900000,-221600000,-31800000,-42800000,-42834000,- -,2287000,5323000,- -,-366041000,-458419000,- -
66,Other Total Stockholders Equity,- -,14858247,32388066,49980543,67618288,9577216,-70494,-63263,-29000,154733000,171890000,151176000,164905000,179310000,330001000,352932000,163594000,226341000,815697000,- -,201864000,454694000,-2410000,361087000,2186682000,- -
67,Total Stockholders Equity,- -,315158247,292188066,273980543,277218288,229077216,208639114,215526852,228871000,195033000,179190000,221276000,222305000,239710000,375901000,359932000,277694000,307441000,884273000,1158649000,1238719000,1494049000,1523512000,1513391000,1368756000,1928741000
68,Total Liabilities And Stockholders Equity,- -,458058247,428288066,403280543,404718288,366177216,347839114,348426852,365571000,323133000,301490000,342176000,331705000,374910000,542001000,521232000,397394000,409841000,1262740000,2172870000,2361623000,2870058000,2951354000,2966057000,2721067000,3454177000
69,Minority Interest,- -,41753,11934,19457,-18288,22784,-39114,-26852,29000,67000,10000,24000,-5000,-10000,-1000,-32000,6000,59000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,458100000,428300000,403300000,404700000,366200000,347800000,348400000,365600000,323200000,301500000,342200000,331700000,374900000,542000000,521200000,397400000,409900000,1262740000,2172870000,2361623000,2870058000,2951354000,2966057000,2721067000,3454177000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029145/000091957409012740/d1008079_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957410002629/d1081452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957411002407/d1180542_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957412002932/d1282142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000144530513000820/ktl-201220f.htm,- -,https://www.sec.gov/Archives/edgar/data/1029145/000162828015003027/ktl-201420f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828016014205/gogl-201520f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828017003352/gogl-201620f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914518000004/gogl-201720f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914519000005/gogl-201820f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914520000011/gogl-20191231.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,19500000,17400000,12600000,48700000,33900000,12600000,47500000,85800000,44000000,45700000,84800000,48100000,21700000,38600000,32700000,-53400000,-3900000,15995000,-220839000,-127711000,-2348000,84535000,37189000,-137669000,527218000
74,Depreciation and Amortization,- -,14856193,17592860,17592860,17592860,17592860,17592860,17592860,17219000,17186000,17191000,17164000,13712000,14532000,20219000,22759000,20485000,11079000,19561000,52728000,63433000,78093000,92148000,93845000,111303000,123699000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906000,919000,242000,-10000,86000,575000,537000,482000,264000,- -
77,Change in Working Capital,- -,-13085863,11729779,6624745,-19425802,20707793,383757,-12486021,3420000,8975000,5745000,-4695000,7773000,-1650000,3543000,-14478000,815000,-1654000,-11619000,33000,-5946000,-7134000,-20259000,-1281000,31190000,-37426000
78,Accounts Receivable,- -,-22200000,11900000,6800000,-19262068,20602331,362818,-12496863,8785000,5068000,-429000,-1840000,2097000,-1692000,2428000,-5713000,-4536000,-1422000,528000,-5039000,-5323000,-8608000,-4760000,-18241000,22896000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1631000,-381000,-609000,-1302000,2702000,-1945000,1675000,-2299000,1535000,-1189000,-11514000,7705000,-2797000,-2188000,-8012000,-81000,3070000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,465000,1509000,6120000,-7112000,1201000,-1761000,202000,-1811000,-943000,153000,1862000,-5445000,348000,2519000,2352000,4649000,6000000,- -
81,Other Working Capital,- -,-9100000,- -,- -,- -,- -,-20939,-10842,1258000,-587000,- -,- -,- -,-2679000,2679000,-931000,3293000,-647000,283000,-5177000,-2988000,-1575000,-7620000,2751000,6041000,- -
82,Other Non-Cash Items,- -,293045,457363,444019,477155,334245,322330,332775,149000,-33000,17000,-49083000,102000,-20000,109000,1626000,67993000,5869000,685000,153261000,47085000,24353000,29585000,28196000,135552000,-53093000
83,Cash Provided by Operating Activities,- -,21563375,47180002,37261624,47344213,72534898,30898947,52939614,106588000,70128000,68653000,48186000,69687000,34562000,62471000,42607000,36799000,12313000,24864000,-14827000,-23053000,93539000,186546000,158431000,140640000,560398000
84,CAPEX,- -,-439821545,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33459000,-17847000,-116475000,-97600000,- -,- -,-26706000,-381487000,-519013000,-267535000,-159548000,-158236000,-44118000,-25271000,-444999000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68560000,237729000,-754000,-1000000,- -,-19470000,1694000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32159000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,- -,663000,1062000,- -,- -
88,Other Investing Activites,- -,894776931,- -,- -,- -,- -,- -,- -,-9310000,- -,- -,98980000,- -,- -,-5000000,- -,66993000,17075000,-3924000,426011000,92853000,134509000,16378000,-10524000,4426000,54975000
89,Cash Used for Investing Activites,- -,454955386,- -,- -,- -,- -,- -,- -,-9310000,- -,- -,65521000,-17847000,-116475000,-102600000,- -,66993000,-9631000,-316851000,112568000,-175311000,-26039000,-141195000,-73050000,-19151000,-390024000
90,Debt Repayment,- -,-5044614,-6726152,-6726152,-1681538,- -,- -,- -,-133688000,-11309000,-11276000,-30811000,-8960000,-43846000,-168880000,-3600000,-42062000,-16678000,-1500000,-249495000,-37968000,-168628000,-247028000,-626885000,-439110000,-661137000
91,Common Stock Issued,- -,317224950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87602000,- -,- -,51167000,- -,- -,205355000,122523000,304000,- -,- -,352225000
92,Common Stock Repurchased,- -,-12000,- -,- -,- -,-72504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1894000,-5504000,- -,- -
93,Dividends Paid,- -,-21546000,-40356001,-30780000,-45486000,-72504000,-30951000,-46854000,-77805000,-77805000,-61560000,-42750000,-47025000,-4275000,-33465000,-48851000,-29319000,-18180000,-28987000,- -,- -,- -,-64912000,-46617000,-7164000,-320692000
94,Other Financing Activites,- -,142975049,94164306,75012304,- -,72504000,- -,- -,139556000,-33000,87000,33459000,- -,60000000,203679000,-79000,- -,- -,266445000,212150000,141302000,74692000,268800000,384264000,336643000,494145000
95,Cash Used/Provided by Financing Activities,- -,433597385,47082153,37506152,-47167538,-72504000,-30951000,-46854000,-71937000,-89147000,-72749000,-40102000,-55985000,11879000,88936000,-52530000,-71381000,16309000,235958000,-37345000,308689000,28587000,-44730000,-294742000,-109631000,-135459000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,205374,97849,-244528,176675,30898,-52053,6085614,25341000,-19019000,-4096000,73605000,-4145000,-70034000,48807000,-9923000,32411000,18991000,-56029000,60396000,110325000,96087000,621000,-209361000,11858000,34915000
98,Cash at the End of Period,- -,217374,315223,70695,247370,278268,226215,6311829,31653000,12634000,8538000,82143000,77998000,7964000,56771000,46848000,79259000,98250000,42221000,102617000,212942000,309029000,372605000,163244000,175102000,210017000
99,Cash at the Beginning of Period,- -,12000,217374,315223,70695,247370,278268,226215,6312000,31653000,12634000,8538000,82143000,77998000,7964000,56771000,46848000,79259000,98250000,42221000,102617000,212942000,371984000,372605000,163244000,175102000
100,Free Cash Flow,- -,-418258170,47180002,37261624,47344213,72534898,30898947,52939614,106588000,70128000,68653000,14727000,51840000,-81913000,-35129000,42607000,36799000,-14393000,-356623000,-533840000,-290588000,-66009000,28310000,114313000,115369000,115399000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029145/000091957409012740/d1008079_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957410002629/d1081452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957411002407/d1180542_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000091957412002932/d1282142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000144530513000820/ktl-201220f.htm,- -,https://www.sec.gov/Archives/edgar/data/1029145/000162828015003027/ktl-201420f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828016014205/gogl-201520f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000162828017003352/gogl-201620f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914518000004/gogl-201720f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914519000005/gogl-201820f.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914520000011/gogl-20191231.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
