,https://roic.ai/company/MKD,2016,2017,2018,2019,2020
67,Total Stockholders Equity,- -,5901000,-61625000,-216497000,-27928000
68,Total Liabilities And Stockholders Equity,- -,381148000,371598000,492717000,684772000
69,Minority Interest,- -,- -,- -,- -,49000
70,Total Liabilities & Equity,- -,381148000,371598000,492717000,684821000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-113936000,-107807000,-254639000,-193548000,-328038000
74,Depreciation and Amortization,978000,1488000,2438000,3050000,1724000
75,Deferred Income Tax,- -,- -,- -,- -,-5116000
76,Stock Based Compensation,- -,- -,124022000,38992000,44526000
77,Change in Working Capital,-43498000,-96511000,-8066000,16186000,41045000
78,Accounts Receivable,-44658000,15152000,13428000,16029000,13155000
79,Inventory,-14800000,-3231000,11943000,2905000,1530000
80,Accounts Payable,33058000,-26486000,14000000,206208000,11346000
81,Other Working Capital,137399000,-103231000,108288000,-46316000,-36254000
82,Other Non-Cash Items,10864000,16127000,1609000,39499000,11811000
83,Cash Provided by Operating Activities,-145592000,-186703000,-134636000,-95821000,-234048000
84,CAPEX,-2645000,-1932000,-2242000,-1820000,-116000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2050000,- -,- -,-337038000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-77000,-1395000,-1758000,-967000,16730000
89,Cash Used for Investing Activites,-2645000,-3982000,-2242000,-1820000,-320308000
90,Debt Repayment,-633477000,-1057415000,-905570000,-42365000,- -
91,Common Stock Issued,92022000,179950000,69904000,- -,419955000
92,Common Stock Repurchased,- -,-370000,-6813000,- -,- -
93,Dividends Paid,- -,-370000,-6813000,- -,- -
94,Other Financing Activites,714757000,1141054000,886625000,191764000,109188000
95,Cash Used/Provided by Financing Activities,173302000,262849000,37333000,149399000,529143000
96,Effect of Forex Changes on Cash,- -,- -,- -,-561000,-20873000
97,Net Change In Cash,25065000,72164000,-99545000,51197000,-46086000
98,Cash at the End of Period,33858000,106022000,6477000,57674000,11588000
99,Cash at the Beginning of Period,8793000,33858000,106022000,6477000,57674000
100,Free Cash Flow,-148237000,-188635000,-136878000,-97641000,-234164000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
