,https://roic.ai/company/ENG,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000119312504053483/0001193125-04-053483-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000105050209000073/0001050502-09-000073-index.html,https://www.sec.gov/Archives/edgar/data/933738/000105050210000048/0001050502-10-000048-index.html,https://www.sec.gov/Archives/edgar/data/933738/000093373811000004/0000933738-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000144530512001012/0001445305-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518513000838/0001185185-13-000838-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518514000552/0001185185-14-000552-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518515000495/0001185185-15-000495-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518516003829/0001185185-16-003829-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315217002297/0001493152-17-002297-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315218003404/0001493152-18-003404-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315219004079/0001493152-19-004079-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315220004865/0001493152-20-004865-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495421002654/0001654954-21-002654-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495422002983/0001654954-22-002983-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,400000,-300000,380878,981832,1751823,2311703,2364389,4782381,-3485853,12464000,18258000,1233000,-11752000,-7076000,-33600000,-3000000,6031000,10536000,-2342000,-16258000,-5671000,-1466000,-625000,-5685000
74,Depreciation and Amortization,100000,200000,100000,216237,265758,806543,824476,1246532,1836376,3369244,4550000,4642000,4795000,4341000,3564000,1919000,2069000,2326000,1456000,1143000,970000,460000,389000,449000,561000
75,Deferred Income Tax,- -,- -,- -,-49000,319154,437000,542000,254000,-313150,-2317275,-1962000,-1200000,577000,-180000,-2745000,6808000,- -,- -,-9137000,-1071000,10208000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,683000,438000,450000,401000,173000,374000,498000,489000,387000,- -,61000,223000,270000
77,Change in Working Capital,-1200000,100000,300000,-112546,3469255,2298363,-2450367,7998417,7322103,13361424,7728351,15671000,-22278000,-6196000,-3437000,-13375000,- -,7140000,5114000,-3354000,-5353000,-3122000,-2436000,2750000,12224000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48307000,-5069000,-347000,1655000,4127000,-3180000,5777000,13562000,1341000,-1097000,-1224000,3646000,97000
79,Inventory,-300000,200000,100000,-93533,174292,159473,110056,-54375,18747,153968,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10578000,-2160000,-636000,2255000,-3250000,-2679000,-2675000,-306000,866000,-570000,89000,-1123000,-137000
81,Other Working Capital,2900000,3000000,3300000,3187454,6656709,8955072,6504705,14503122,21825225,35186649,42915000,58586000,36308000,30112000,26675000,13300000,13300000,20440000,25554000,22200000,16847000,13725000,11289000,14039000,26263000
82,Other Non-Cash Items,-100000,-100000,-300000,-408351,-4292290,-3991378,5329689,-14254390,-14547427,-19880504,-24760351,-29025000,37992000,7198000,14823000,32973000,11424000,-12104000,-11314000,14700000,4942000,4905000,6117000,-3316000,-21034000
83,Cash Provided by Operating Activities,-800000,600000,-200000,27218,743709,1302351,6557501,-2391052,-919717,-8952964,-1980000,8346000,23002000,-6151000,5579000,-4874000,10666000,3767000,-2847000,9565000,-5104000,-3428000,2665000,-519000,-13664000
84,CAPEX,-1000000,-100000,-200000,-367753,-459068,-423344,-1146351,-1195588,-3229925,-3405141,-2195000,-1920000,-3217000,-1174000,-664000,-666000,-836000,-438000,-1005000,-64000,-713000,-107000,-345000,-428000,-240000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-424900,- -,796982,-6528583,18000,-2843000,-1050000,-1896000,- -,- -,14111000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,15000,- -,- -,- -,- -,- -,- -,- -,24000,- -,- -,- -
88,Other Investing Activites,-100000,300000,- -,- -,464223,-867104,1100064,-615103,15400,603423,470000,398000,4000,29000,-2210000,-3215000,6135000,446000,448000,115000,49000,- -,24000,- -,- -
89,Cash Used for Investing Activites,-1100000,200000,-200000,-467753,5155,-1290448,-471187,-1810691,-2417543,-9330301,-1707000,-4365000,-4205000,-3026000,-2874000,-3881000,19410000,8000,-557000,51000,-664000,-83000,-321000,-428000,-240000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118397000,-110023000,-162617000,-195085000,-205086000,-1444000,-577000,-362000,-180000,-62000,-36000,-93000,-129000
91,Common Stock Issued,800000,- -,- -,- -,- -,- -,25250,103918,15034940,933598,1007000,1650000,72000,58000,23000,- -,- -,72000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2362000,- -,- -,- -,- -,-54000,-1353000,-91000,-15000,-61000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-120773,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,600000,- -,-100000,19155,253451,-1060942,-6147220,4066392,-11542641,18619215,2160000,-5429000,98652000,121406000,159865000,204553000,178227000,-145000,5628000,-20000,- -,- -,- -,6439000,19529000
95,Cash Used/Provided by Financing Activities,1400000,- -,-200000,19155,253451,-1181715,-6121970,4170310,3492299,19552813,3167000,-3779000,-19673000,9079000,-2729000,9468000,-26859000,-1517000,4997000,-1735000,-271000,-77000,-97000,6346000,19400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-3631,-26082,25000,-110000,19000,4000,1000,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1400000,- -,-500000,-421380,1002315,-1169812,-35656,-31433,151408,1243466,-495000,92000,-857000,-94000,-23000,712000,3217000,2258000,1593000,7881000,-6039000,-3588000,2247000,5399000,5496000
98,Cash at the End of Period,- -,- -,700000,242592,1244907,75095,39439,8006,159414,1402880,908000,1000000,143000,49000,26000,738000,3955000,6213000,7806000,15687000,9648000,6060000,8307000,13706000,19202000
99,Cash at the Beginning of Period,1000000,500000,1200000,663972,242592,1244907,75095,39439,8006,159414,1403000,908000,1000000,143000,49000,26000,738000,3955000,6213000,7806000,15687000,9648000,6060000,8307000,13706000
100,Free Cash Flow,-1800000,500000,-400000,-340535,284641,879007,5411150,-3586640,-4149642,-12358105,-4175000,6426000,19785000,-7325000,4915000,-5540000,9830000,3329000,-3852000,9501000,-5817000,-3535000,2320000,-947000,-13904000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000119312504053483/0001193125-04-053483-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000105050209000073/0001050502-09-000073-index.html,https://www.sec.gov/Archives/edgar/data/933738/000105050210000048/0001050502-10-000048-index.html,https://www.sec.gov/Archives/edgar/data/933738/000093373811000004/0000933738-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000144530512001012/0001445305-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518513000838/0001185185-13-000838-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518514000552/0001185185-14-000552-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518515000495/0001185185-15-000495-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518516003829/0001185185-16-003829-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315217002297/0001493152-17-002297-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315218003404/0001493152-18-003404-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315219004079/0001493152-19-004079-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315220004865/0001493152-20-004865-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495421002654/0001654954-21-002654-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495422002983/0001654954-22-002983-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
