,https://roic.ai/company/VCTR,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,370960000,519953000,561439000,345963000,1215438000,1023188000,1649819000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,466000,548000,572000,706000,720000,742000,772000
64,Retained Earnings,-67834000,-74532000,-183888000,-119709000,-34705000,161581000,402811000
65,Other Comprehensive Income/Loss,-542000,-537000,64000,-86000,- -,-7460000,5972000
66,Other Total Stockholders Equity,317339000,405519000,414435000,574637000,571856000,552678000,520372000
67,Total Stockholders Equity,249429000,330998000,231183000,455548000,537871000,707541000,929927000
68,Total Liabilities And Stockholders Equity,620389000,850951000,792622000,801511000,1753309000,1730729000,2579746000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,620389000,850951000,792622000,801511000,1753309000,1730729000,2579746000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570827/000155837019002082/0001558370-19-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459020010652/0001564590-20-010652-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459021013018/0001564590-21-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459022010087/0001564590-22-010087-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,3800000,-6071000,25826000,63704000,92491000,212522000,278389000
74,Depreciation and Amortization,27291000,30405000,29910000,23277000,23873000,16381000,- -
75,Deferred Income Tax,2480000,-3080000,11191000,4116000,-745000,34599000,- -
76,Stock Based Compensation,8992000,12022000,17179000,17346000,22124000,22519000,- -
77,Change in Working Capital,-4189000,29120000,-13426000,29584000,-142754000,52430000,174351000
78,Accounts Receivable,2922000,-5306000,2012000,- -,- -,6364000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-60000,2299000,-3550000,278000,-336000,1087000,- -
81,Other Working Capital,27410000,56530000,43104000,72688000,-70066000,-17636000,156715000
82,Other Non-Cash Items,2280000,-22856000,25489000,-3682000,232395000,-87835000,-452740000
83,Cash Provided by Operating Activities,40654000,39540000,96169000,134345000,227384000,250616000,- -
84,CAPEX,-1928000,-1164000,-5105000,-2546000,-5239000,-8059000,- -
85,Acquisitions Net,-16000000,-207438000,-2000000,-4000000,-840704000,-1523000,- -
86,Purchases of Investments,-5176000,-6173000,-9678000,-7775000,-6776000,-6777000,- -
87,Sales/Maturities of Investments,2924000,4681000,5245000,2772000,2907000,- -,- -
88,Other Investing Activites,31000,12000,3006000,- -,- -,4019000,- -
89,Cash Used for Investing Activites,-20149000,-210082000,-8532000,-11549000,-849812000,-12340000,- -
90,Debt Repayment,-16673000,-21492000,-67952000,-580325000,-428096000,-162387000,- -
91,Common Stock Issued,1671000,89259000,3193000,157799000,4076000,135000,- -
92,Common Stock Repurchased,-1185000,-10529000,-4654000,-8178000,-15535000,-29875000,- -
93,Dividends Paid,-60101000,-627000,-135171000,-831000,-7436000,-16236000,- -
94,Other Financing Activites,45164000,115228000,113311000,347374000,1055007000,-44333000,- -
95,Cash Used/Provided by Financing Activities,-31124000,171839000,-91273000,-84161000,608016000,-252696000,- -
96,Effect of Forex Changes on Cash,- -,- -,116000,-65000,42000,43000,- -
97,Net Change In Cash,-10619000,1297000,-3520000,38570000,-14370000,-14377000,- -
98,Cash at the End of Period,15144000,16441000,12921000,51491000,37121000,22744000,- -
99,Cash at the Beginning of Period,25763000,15144000,16441000,12921000,51491000,37121000,22744000
100,Free Cash Flow,38726000,38376000,91064000,131799000,222145000,242557000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570827/000155837019002082/0001558370-19-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459020010652/0001564590-20-010652-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459021013018/0001564590-21-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459022010087/0001564590-22-010087-index.htm
102,false,,,,,,,
