,https://roic.ai/company/SDON,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,7630000,15204603,10276081,- -,7200000,7754116,5682347,4272596,4944068,42286,10654,100259,70862,46873,22156,17274,13247,8116,4807,2356,872,303,270,209,197,203,203
38,PP&E,- -,2960000,3384285,4264301,- -,2400000,2544041,2190104,1850392,1596129,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,4610000,5625457,- -,- -,900000,3212345,3636780,3326281,3140074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,4610000,5625457,5733366,- -,900000,3212345,3636780,3326281,3140074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,3600000,3369660,886286,574407,449270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,7570000,9009742,9997667,- -,6900000,9126046,6713170,5751080,5185473,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15200000,24214345,20273748,- -,14100000,16880162,12395517,10023676,10129541,42286,10654,100259,70862,46873,22156,17274,13247,8116,4807,2356,872,303,270,209,197,203,203
48,Accounts Payable,- -,2740000,1661120,1711936,- -,1800000,1642039,1452658,1582958,1363150,9872,14038,646,1537,2388,591,4471,8094,5479,26468,23118,22780,24543,21826,23507,23926,13682,13293
49,Short-Term Debt,- -,2450000,158340,1822231,- -,200000,6013226,6725011,4745572,6701445,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1851956,1748594,2940562,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1170000,671678,1818138,- -,2300000,2011825,- -,- -,- -,2000,3000,- -,- -,- -,- -,- -,1200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,6360000,2491138,5352305,- -,4300000,9667090,10029625,8077124,11005157,11872,17038,646,1537,2388,591,4471,9294,5479,26468,23118,22780,24543,21826,23507,23926,13682,13293
54,Long-Term Debt,- -,2310000,3993309,3595378,- -,2700000,- -,28940,2522740,2332723,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,2310000,3993309,4595378,- -,2800000,- -,28940,2522740,2332723,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,8670000,6484447,9947683,- -,7100000,9667090,10058565,10599864,13337880,11872,17038,646,1537,2388,591,4471,9294,5479,26468,23118,22780,24543,21826,23507,23926,13682,13293
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6800000,17572814,21589413,- -,28700000,30892089,33054089,33246346,33629784,33679784,33679784,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33951249,33971238,34006218,34033975
64,Retained Earnings,- -,-210000,242602,-11255777,- -,-21800000,-23677411,-30735233,-33848179,-36773366,-33649370,-33686168,-33700171,-33730459,-33755299,-33778219,-33801981,-33825831,-33842147,-33877298,-33898202,-33915128,-33935095,-33954673,-33974547,-33994967,-34019697,-34047065
65,Other Comprehensive Income/Loss,- -,-2690000,-3139560,-3865092,- -,-6100000,-6703078,-7192705,-7563474,-7843152,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,2640000,3054042,3857521,- -,6200000,6701472,7210801,7589119,7778395,- -,- -,33799784,33799784,33799784,33799784,33814784,33829784,33844784,33855637,33877440,33893220,33910855,33933117,- -,- -,- -,- -
67,Total Stockholders Equity,- -,6540000,17729898,10326065,- -,7000000,7213072,2336952,-576188,-3208339,30414,-6384,99613,69325,44485,21565,12803,3953,2637,-21661,-20762,-21908,-24240,-21556,-23298,-23729,-13479,-13090
68,Total Liabilities And Stockholders Equity,- -,15210000,24214345,20273748,- -,14100000,16880162,12395517,10023676,10129541,42286,10654,100259,70862,46873,22156,17274,13247,8116,4807,2356,872,303,270,209,197,203,203
69,Minority Interest,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,15200000,24214345,20273748,- -,14100000,16880162,12395517,10023676,10129541,42286,10654,100259,70862,46873,22156,17274,13247,8116,4807,2356,872,303,270,209,197,203,203
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420408013899/0001144204-08-013899-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420409016454/0001144204-09-016454-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420410015760/0001144204-10-015760-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420412017890/0001144204-12-017890-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420413017842/0001144204-13-017842-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420415018907/0001144204-15-018907-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420416090951/0001144204-16-090951-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420417017195/0001144204-17-017195-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420418017126/0001144204-18-017126-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420419016108/0001144204-19-016108-index.html,https://www.sec.gov/Archives/edgar/data/892832/000110465920039428/0001104659-20-039428-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000110465921043012/0001104659-21-043012-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000141057822000504/0001410578-22-000504-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2800000,300000,451690,-11498379,-9009828,2000000,-1917307,-7057822,-3112946,-2925187,3123996,-36798,-14003,-30288,-24840,-22920,-23762,-23850,-16316,-35151,-20904,-16926,-20967,-18578,-19874,-20420,-24730,-27368
74,Depreciation and Amortization,910000,730000,837666,6179918,3944397,2200000,1884670,2065982,915696,645749,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,-811000,- -,-291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1890000,1270000,- -,11443465,-7789689,-2023776,-4812974,-2434304,542750,-2256561,6091503,-36798,105997,-30288,-24840,-22920,-8762,-8850,-1316,-24298,899,-1146,-2332,2684,-1742,-431,10250,389
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-397915,143617,2295992,200000,-284607,1458339,262391,155044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,851,-1797,3880,3623,-2615,20989,-3350,-338,1763,-2717,1681,419,-10244,-389
81,Other Working Capital,- -,1270000,1270000,12713465,4923776,2900000,-1912974,-4347278,-3804528,-6061089,30414,-6384,99613,69325,44485,21565,12803,3953,2637,-21661,-20762,-21908,-24240,-21556,-23298,-23729,-13479,-13090
82,Other Non-Cash Items,160000,-2570000,-5167333,-6720394,13602468,623776,6148291,8278286,1068839,2986141,-9375764,41964,-124189,31179,25691,21123,12642,13673,-699,45287,-4249,808,4095,-5401,3423,850,-20494,-778
83,Cash Provided by Operating Activities,160000,-270000,-3877977,-595390,-63652,2800000,1011680,852142,-585661,-1549858,-160265,-31632,-32195,-29397,-23989,-24717,-19882,-19027,-18331,-14162,-24254,-17264,-19204,-21295,-18193,-20001,-34974,-27757
84,CAPEX,-290000,-720000,-2101557,-3339972,-2288451,-200000,-160267,-118663,-92138,-30267,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-374731,- -,- -,-3189586,-278877,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8008,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-280000,-100000,-1171827,-1949995,-1956463,-600000,-325785,-486032,1253,- -,-230230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-570000,-820000,-2101557,-3152587,-2227530,-800000,-3675638,-883572,-90885,-22259,-230230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,-2990245,-2264350,-943969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,10776621,307588,75396,3000000,914251,278000,- -,- -,50000,- -,105000,- -,- -,- -,15000,15000,15000,10853,21803,15780,18635,21262,18132,19989,34980,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,310000,1110000,2092434,2901789,2373000,-4800000,1471226,-49258,481073,1765856,188934,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27757
95,Cash Used/Provided by Financing Activities,310000,1110000,9878810,945027,1504427,-1800000,2385477,228742,481073,1765856,238934,- -,120000,- -,- -,- -,15000,15000,15000,10853,21803,15780,18635,21262,18132,19989,34980,27757
96,Effect of Forex Changes on Cash,- -,- -,-34571,2975,1491,- -,-3475,19702,7549,-90402,-13292,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-100000,20000,3864705,-2799975,-785264,300000,-281956,217014,-187924,103337,-164853,-31632,87805,-29397,-23989,-24717,-4882,-4027,-3331,-3309,-2451,-1484,-569,-33,-61,-12,6,- -
98,Cash at the End of Period,-99790,20000,3942963,1142988,357724,400000,74712,291726,103802,207139,42286,10654,98459,69062,45073,20356,15474,11447,8116,4807,2356,872,303,270,209,197,203,203
99,Cash at the Beginning of Period,210,- -,78258,3942963,1142988,100000,356668,74712,291726,103802,207139,42286,10654,98459,69062,45073,20356,15474,11447,8116,4807,2356,872,303,270,209,197,203
100,Free Cash Flow,-130000,-990000,-5979534,-3935362,-2352103,2600000,851413,733479,-677799,-1580125,-160265,-31632,-32195,-29397,-23989,-24717,-19882,-19027,-18331,-14162,-24254,-17264,-19204,-21295,-18193,-20001,-34974,-27757
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420408013899/0001144204-08-013899-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420409016454/0001144204-09-016454-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420410015760/0001144204-10-015760-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420412017890/0001144204-12-017890-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420413017842/0001144204-13-017842-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420415018907/0001144204-15-018907-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420416090951/0001144204-16-090951-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420417017195/0001144204-17-017195-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420418017126/0001144204-18-017126-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420419016108/0001144204-19-016108-index.html,https://www.sec.gov/Archives/edgar/data/892832/000110465920039428/0001104659-20-039428-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000110465921043012/0001104659-21-043012-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000141057822000504/0001410578-22-000504-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
