,https://roic.ai/company/AVIR,2018,2019,2020,2021
64,Retained Earnings,-40179000,-54213000,-65160000,56030000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,4008000,4632000,612879000,653964000
67,Total Stockholders Equity,-36161000,-49571000,547801000,710077000
68,Total Liabilities And Stockholders Equity,34861000,22073000,863632000,772892000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,34861000,22073000,863632000,772892000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1593899/000156459021016724/0001564590-21-016724-index.htm,https://www.sec.gov/Archives/edgar/data/1593899/000156459022007672/0001564590-22-007672-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-9064000,-14034000,-10947000,121190000
74,Depreciation and Amortization,17000,17000,19000,29000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,414000,624000,7457000,39621000
77,Change in Working Capital,725000,-13463000,300205000,167838000
78,Accounts Receivable,- -,- -,-5815000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-90000,157000,-488000,10289000
81,Other Working Capital,32938000,19475000,301367000,715520000
82,Other Non-Cash Items,- -,14042000,- -,-415683000
83,Cash Provided by Operating Activities,-7908000,-12814000,296734000,-87005000
84,CAPEX,-12000,-2000,-26000,-4000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12000,-2000,-26000,-4000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,124000,- -,317632000,1465000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,27359000,-15000,214116000,- -
95,Cash Used/Provided by Financing Activities,27483000,-15000,531748000,1465000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,19563000,-12831000,828456000,-85544000
98,Cash at the End of Period,34599000,21768000,850224000,764680000
99,Cash at the Beginning of Period,15036000,34599000,21768000,850224000
100,Free Cash Flow,-7920000,-12816000,296708000,-87009000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1593899/000156459021016724/0001564590-21-016724-index.htm,https://www.sec.gov/Archives/edgar/data/1593899/000156459022007672/0001564590-22-007672-index.htm
102,false,,,,
