,https://roic.ai/company/NUZE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,-285058,-1097980,-3135728,-1469353,-1275293,-1776190,-3569592,-12214936,-9524184,-18552030
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-8.9828,-43.6962,-12.7745,-2.7998,-1.0908,-2.5700,-6.8103,-6.7878,-9.6291
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-8000,-285058,-1097980,-3135728,-1469353,-1275293,-1767139,-3577171,-12187965,-9524184,-18552030
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-8.9828,-43.6962,-12.7745,-2.7998,-1.0852,-2.5754,-6.7953,-6.7878,-9.6291
25,EPS,- -,- -,-0.01,-0.14,-0.09,-0.30,-0.15,-0.12,-0.15,-0.30,-0.87,-0.68,-1.13
26,EPS Diluted,- -,- -,-0.01,-0.14,-0.09,-0.30,-0.15,-0.12,-0.15,-0.30,-0.87,-0.68,-1.13
27,Weighted Average Shares Outstanding,- -,- -,1333332,2066664,11638487,10040329,10001436,10250745,10711776,12234094,14007706,13867643,16413162
28,Weighted Average Shares Outstanding Diluted,- -,- -,1333332,2066664,11638487,10040329,10001436,10250745,10711776,12234094,14007706,13867643,16413162
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527613/000129460615000014/0001294606-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000129460616000205/0001294606-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000112785516000857/0001127855-16-000857-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000112785518000027/0001127855-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000038/0001376474-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000307/0001376474-19-000307-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000149315220024308/0001493152-20-024308-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000149315221032231/0001493152-21-032231-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,165484,1110661,238160,107678,40613,347327,1806666,1326040,4398545,10815954
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183314,- -
33,Cash and Short-Term Investments,- -,- -,- -,165484,1110661,238160,107678,40613,347327,1806666,1326040,4581859,10815954
34,Net Receivables,- -,- -,- -,- -,152856,5205,18205,57711,156273,144854,540310,195610,555238
35,Inventory,- -,- -,- -,73241,- -,50881,201764,206356,266620,134877,500986,245370,573464
36,Other Current Assets,- -,- -,8000,14938,16896,69099,21532,65726,132304,168519,372916,462061,464288
37,Total Current Assets,- -,- -,8000,253663,1280413,363345,349179,370406,902524,2254916,2740252,5484900,12408944
38,PP&E,- -,- -,- -,2475,8663,- -,- -,- -,- -,- -,- -,1668348,386587
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,17112,17112,- -,- -,- -
40,Intangible Assets,- -,- -,- -,42818,- -,- -,- -,- -,45899,34424,- -,- -,- -
41,Intangible Assets,- -,- -,- -,42818,- -,- -,- -,- -,63011,51536,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10733,- -,- -,183314,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,33368,192103,151946,277987,676060,2510292,-183314,947271
45,Total Non-Current Assets,- -,- -,- -,45293,8663,33368,192103,151946,351731,727596,2510292,1668348,1333858
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,8000,298956,1289076,396713,541282,522352,1254255,2982512,5250544,7153248,13742802
48,Accounts Payable,- -,- -,1000,79886,55822,43384,65522,189317,104973,268283,341095,49778,342790
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,600000,748385,44881,44229,101148,56072,329695
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,72750,- -,- -,34000,175822
52,Other Current Liabilities,- -,- -,- -,156721,59563,8180,607,7337,127776,163555,534673,1092870,305327
53,Total Current Liabilities,- -,- -,1000,236607,115385,51564,666129,945039,350380,476067,976916,1232720,1153634
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,133644,88063,156816,- -,247656
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,9610,6317,1750,21707,129065
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,143254,94380,158566,21707,376721
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574372,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759389,- -
61,Total Liabilities,- -,- -,1000,236607,115385,51564,666129,945039,493634,570447,1135482,1785385,1530355
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,40,304,380,306,301,311,347,396,137,146,178
64,Retained Earnings,- -,- -,-8000,-285058,-1383038,-4518766,-5988119,-7263412,-9030551,-12607722,-24795687,- -,-52824808
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-59088,-136697,-273896,-657050,190161,197823
66,Other Total Stockholders Equity,- -,- -,14960,347103,2556349,4863609,5862971,6899502,9834665,15200156,29464759,6199451,64839254
67,Total Stockholders Equity,- -,- -,7000,62349,1173691,345149,-124847,-422687,667764,2318934,4012159,6389758,12212447
68,Total Liabilities And Stockholders Equity,- -,- -,8000,298956,1289076,396713,541282,522352,1161398,2889381,5147641,8175143,13742802
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,92857,93131,102903,-1021895,- -
70,Total Liabilities & Equity,- -,- -,8000,298956,1289076,396713,541282,522352,1254255,2982512,5250544,7153248,13742802
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527613/000129460615000014/0001294606-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000129460616000205/0001294606-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000112785516000857/0001127855-16-000857-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000112785518000027/0001127855-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000038/0001376474-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000307/0001376474-19-000307-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000149315220024308/0001493152-20-024308-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000149315221032231/0001493152-21-032231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,- -,-8000,-285058,-1097980,-3135728,-1469353,-1275293,-1767139,-3577171,-12187965,-9524184,-18552030
74,Depreciation and Amortization,- -,- -,- -,124,587,3249,22147,41921,87392,163323,452207,408489,344669
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,838779,7859141,4167616,1251402
77,Change in Working Capital,- -,- -,-7000,1147972,-853247,-628731,556950,-814633,1126777,1226705,-15513,2488844,7003130
78,Accounts Receivable,- -,- -,- -,- -,-13195,7990,-13000,-39506,-130440,-73008,-365142,333933,-359628
79,Inventory,- -,- -,- -,-153664,11761,-50881,-150883,-53816,140784,49111,-366109,157845,-328094
80,Accounts Payable,- -,- -,1000,79886,-24064,-12438,22138,123796,-159859,163349,-19490,-155174,293012
81,Other Working Capital,- -,- -,11991,1165028,311781,-316950,240000,-574633,552144,1778849,1763336,4252180,11255310
82,Other Non-Cash Items,- -,- -,- -,-1149254,750162,2056846,-558529,900219,-844858,-962392,-508471,-1777021,2845674
83,Cash Provided by Operating Activities,- -,- -,-15000,-286216,-1200478,-1704364,-1448785,-1147786,-1397828,-2310756,-4400601,-4236256,-7107155
84,CAPEX,- -,- -,- -,-2599,-6775,-27954,-235558,-4479,-186973,-550206,-2061568,-119838,840391
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,151676,- -,- -,3142,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600,110000,-955752
89,Cash Used for Investing Activites,- -,- -,- -,-2599,-6775,-27954,-235558,-4479,-35297,-550206,-2037968,-6696,-115361
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-55000,-662572,-389577,-54350,-116872,-21598
91,Common Stock Issued,- -,- -,15000,304589,2102430,964817,953861,938700,1760828,4542659,5947922,7580067,1251402
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-105000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,149710,50000,- -,600000,201500,659574,183310,111325,-212718,12402459
95,Cash Used/Provided by Financing Activities,- -,- -,15000,454299,2152430,859817,1553861,1085200,1757830,4336392,6004897,7250477,13632263
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-17991,-16091,-46954,64980,7662
97,Net Change In Cash,- -,- -,15000,454299,945177,-872501,-130482,-67065,306714,1459339,-480626,3072505,6417409
98,Cash at the End of Period,- -,- -,- -,165484,1110661,238160,107678,40613,347327,1806666,1326040,4398545,10815954
99,Cash at the Beginning of Period,- -,- -,- -,- -,165484,1110661,238160,107678,40613,347327,1806666,1326040,4398545
100,Free Cash Flow,- -,- -,-15000,-288815,-1207253,-1732318,-1684343,-1152265,-1584801,-2860962,-6462169,-4356094,-6266764
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527613/000129460615000014/0001294606-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000129460616000205/0001294606-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000112785516000857/0001127855-16-000857-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000112785518000027/0001127855-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000038/0001376474-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000137647419000307/0001376474-19-000307-index.html,https://www.sec.gov/Archives/edgar/data/1527613/000149315220024308/0001493152-20-024308-index.htm,https://www.sec.gov/Archives/edgar/data/1527613/000149315221032231/0001493152-21-032231-index.htm
102,false,,,,,,,,,,,,,
