,https://roic.ai/company/BRVO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-2.2208,-7.0199,-18.2225,-Infinity,-2.9446,-0.9719,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1220727,-312294,-310650,-1364046,-2104268,-2220774,-7019876,-2943120,-2284370,-2184472,-1765004,-1400441,-179985,-60473829,-420126
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-5.4387,-Infinity,-2.2208,-7.0199,-18.2225,-Infinity,-2.9446,-0.9719,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-30.00,-5.26,-5.13,-30.00,-30.00,-30.00,-54.01,105.01,-2.64,-2.08,-0.65,-0.18,-0.02,-3.36,-0.02
26,EPS Diluted,-30.00,-4.86,-4.73,-30.00,-30.00,-30.00,-54.01,105.01,-2.64,-2.08,-0.65,-0.18,-0.02,-3.36,-0.02
27,Weighted Average Shares Outstanding,38092,59381,60509,65543,80476,95115,132440,28199,863752,1048262,2719593,7594308,8847276,17982076,17982076
28,Weighted Average Shares Outstanding Diluted,38092,64294,65655,65543,80476,95115,132440,28199,863752,1048262,2719593,7594308,8847276,17982076,17982076
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181810000109/0001091818-10-000109-index.html,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181812000152/0001091818-12-000152-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181813000181/0001091818-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181814000300/0001091818-14-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181817000104/0001091818-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181820000050/0001091818-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181821000030/0001091818-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181822000023/0001091818-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,256,419,- -,82483,276,- -,478,3604,2563,- -,64,50,6286,6273,93
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,256,419,- -,82483,276,- -,478,3604,2563,- -,64,50,6286,6273,93
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3000,3000,9000,73000,55498,37998,- -,439389,5452,- -,10000,10000,- -,40
37,Total Current Assets,256,3419,3000,91483,73276,55498,38476,3604,441952,203452,64,10050,16286,6273,133
38,PP&E,360000,360000,360000,360000,360000,360000,360000,342376,287598,637,410,184,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,360000,360000,360000,360000,360000,360000,360000,342376,287598,637,410,184,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,360256,363419,363000,451483,433276,415498,398476,345980,729550,204089,474,10234,16286,6273,133
48,Accounts Payable,72656,122601,74715,50820,76470,70470,106316,162975,- -,111395,130892,109946,99408,100232,766
49,Short-Term Debt,9750,34532,374695,- -,- -,- -,- -,68500,54201,115712,1068138,13990,13990,9490,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3737,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35800,35800,35800,35800,35800
52,Other Current Liabilities,1186830,1026092,1296766,1470209,452799,1168882,6556935,10166,66200,637209,464429,1924350,1954549,680131,1203073
53,Total Current Liabilities,1269236,1183225,1746176,1521029,529269,1239352,6663251,241641,120401,864316,1699259,2084086,2103747,825653,1239639
54,Long-Term Debt,81408,407651,5959,- -,- -,- -,3000,- -,- -,2045774,480881,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,66222,- -,- -,- -,- -,56847,158497,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,81408,407651,72181,- -,- -,- -,3000,56847,158497,2045774,480881,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1350644,1590876,1818357,1521029,529269,1239352,6666251,298488,278898,2910090,2180140,2084086,2103747,825653,1239639
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,300,500,- -,- -,- -,- -,- -
63,Common Stock,17759,18009,18285,21859,27181,31860,3983,14275,26340,85,380,877,892,4763,4763
64,Retained Earnings,-5141809,-5454103,-5764753,-7128799,-9233067,-11453841,-18473717,-21416837,-23701207,-26173277,-27938281,-29338722,-29518707,-89992536,-90412662
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71,-298,-524,-708,- -,- -
66,Other Total Stockholders Equity,4133662,4208637,4291111,6037394,9109893,10598127,12201959,21450054,24125219,23466762,25758533,27264517,27431062,89168393,- -
67,Total Stockholders Equity,-990388,-1227457,-1455357,-1069546,-95993,-823854,-6267775,47492,450652,-2706001,-2179666,-2073852,-2087461,-819380,-1239506
68,Total Liabilities And Stockholders Equity,360256,363419,363000,451483,433276,415498,398476,345980,729550,204089,474,10234,16286,6273,133
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,360256,363419,363000,451483,433276,415498,398476,345980,729550,204089,474,10234,16286,6273,133
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181810000109/0001091818-10-000109-index.html,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181812000152/0001091818-12-000152-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181813000181/0001091818-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181814000300/0001091818-14-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181817000104/0001091818-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181820000050/0001091818-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181821000030/0001091818-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181822000023/0001091818-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1220727,-312294,-310650,-1364046,-2104268,-2220774,-7019876,-2943120,-2284370,-2184472,-1765004,-1400441,-179985,-60473829,-420126
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,33861,67722,5071,258552,226,184,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1105138,- -,1526704,- -,689128,- -,563000,142500,- -,- -,- -
77,Change in Working Capital,1194691,89174,-563370,313630,973553,-727861,-5440921,6386738,559588,-982415,-1038331,-374841,-13425,1268081,473867
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,477000,198000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44497,-20946,-10538,823,-1093
81,Other Working Capital,-1268980,-1179806,-1743176,-1429546,-455993,-1183854,-6624775,-238037,321551,-660864,-1699195,-2074036,-2087461,-819380,- -
82,Other Non-Cash Items,- -,187921,812677,1208398,-56630,2948359,10931571,-3098142,947167,3564069,1026826,1574404,32887,59129237,-107863
83,Cash Provided by Operating Activities,-26036,-35199,-61343,157982,-82207,-276,-2522,379337,-20765,402253,-954957,-58152,-160339,-76511,-54122
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-708,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-708,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-247111,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42843,30000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26292,35362,60924,-75499,- -,- -,3000,-376211,19724,-156997,955021,15295,136575,76498,47942
95,Cash Used/Provided by Financing Activities,26292,35362,60924,-75499,- -,- -,3000,-376211,19724,-404108,955021,58138,166575,76498,47942
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,163,- -,- -,-82207,- -,- -,3126,-1041,- -,- -,-14,6236,-13,-6180
98,Cash at the End of Period,256,419,- -,82483,276,- -,478,3604,2563,- -,64,50,6286,6273,93
99,Cash at the Beginning of Period,- -,256,419,- -,82483,276,- -,478,3604,2563,- -,64,50,6286,6273
100,Free Cash Flow,-26036,-35199,-61343,157982,-82207,-276,-2522,379337,-20765,401545,-954957,-58152,-160339,-76511,-54122
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181810000109/0001091818-10-000109-index.html,- -,https://www.sec.gov/Archives/edgar/data/1444839/000109181812000152/0001091818-12-000152-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181813000181/0001091818-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181814000300/0001091818-14-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181816000216/0001091818-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181817000104/0001091818-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181819000074/0001091818-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181820000050/0001091818-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1444839/000109181821000030/0001091818-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1444839/000109181822000023/0001091818-22-000023-index.htm
102,false,,,,,,,,,,,,,,,
