,https://roic.ai/company/GTCH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,0.5000,-2.9650,-74.0000,-Infinity,-2.9000,-2.4631,-1.0680,-9.6135,-1.1191,-3.5414,-9.7217,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,2500,-439654,-740000,-590000,-290000,-295570,-96120,-1586230,-10287290,-51769670,-186505120,-17994888,-33930433000000
24,Net Income ratio,- -,0.5000,-2.9650,-74.0000,-Infinity,-2.9000,-2.4631,-1.0680,-9.6135,-1.1191,-3.5684,-9.6750,-Infinity,-Infinity
25,EPS,- -,208.33,-36637.83,-61666.67,-49166.67,-24166.67,-24630.75,-81.59,-400.00,-1100.00,-2000.00,-1948.00,-5.50,-212074.52
26,EPS Diluted,- -,208.33,-36637.83,-61666.67,-49166.67,-24166.67,-24630.75,-81.59,-400.00,-1100.00,-2000.00,-1948.00,-5.50,-212074.52
27,Weighted Average Shares Outstanding,- -,12,12,6,7,49,12,1178,3980,9251,26124,95733,3199859,159992976
28,Weighted Average Shares Outstanding Diluted,- -,12,12,6,7,49,12,1178,3980,9251,26124,95733,3199859,159992976
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471781/000101376213000687/0001013762-13-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000101376214000392/0001013762-14-000392-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577415000751/0001615774-15-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577416004519/0001615774-16-004519-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577417001376/0001615774-17-001376-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577418002560/0001615774-18-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577419004691/0001615774-19-004691-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000173112220000626/0001731122-20-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112221000484/0001731122-21-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112222000544/0001731122-22-000544-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,800,3078339,410000,- -,- -,- -,21050,5100,1305060,1863510,59630,113034,155106
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,1000000,- -,- -
33,Cash and Short-Term Investments,- -,800,3078339,410000,- -,- -,- -,21050,5100,1305060,6063510,1059630,113034,155106
34,Net Receivables,- -,- -,473146,1320000,500000,440000,- -,25970,- -,41950,40470,89120,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,262750,- -,- -,- -,- -
36,Other Current Assets,- -,5000,188076,10000,10000,- -,- -,26000,5240,- -,4250610,10,1051532,3862942
37,Total Current Assets,- -,5800,3739561,1740000,510000,440000,- -,73020,10340,1609760,10354590,1148760,1164566,4018048
38,PP&E,- -,- -,1442222,10000,10000,10000,3390,2050,700,263080,191090,117690,- -,- -
39,Goodwill,- -,- -,26594710,- -,- -,- -,- -,- -,- -,950620,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6666670,- -,- -,- -,- -
41,Intangible Assets,- -,- -,26594710,- -,- -,- -,- -,- -,- -,7617290,4075617,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,50625,346754,20000,- -,600000,- -,12250,7500,1980,-4075617,3999990,- -,- -
45,Total Non-Current Assets,- -,50625,28383686,30000,10000,610000,3390,14300,8200,7882350,14191090,4117680,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,56425,32123247,1770000,520000,1050000,3390,87320,18540,9492110,24545680,5266440,1164566,4018048
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2965682,3353658,- -
49,Short-Term Debt,- -,- -,1208800,1142492,622607,807341,251772,- -,- -,25623,2897332,5923590,16168443,8109436
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257848,200000,- -,249384
52,Other Current Liabilities,- -,53125,3416480,497508,87393,122659,-47832,162270,767720,2644637,6874110,3890058,9352505,24047809
53,Total Current Liabilities,- -,53125,4625280,1640000,710000,930000,203940,162270,767720,2670260,10029290,12979330,28874606,32406629
54,Long-Term Debt,- -,- -,654658,- -,- -,- -,251750,38920,53850,2600000,- -,11000000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,74999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373400
58,Total Non-Current Liabilities,- -,- -,729657,- -,- -,- -,251750,38920,53850,2600000,- -,11000000,- -,373400
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148263,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,53125,5354937,1640000,710000,930000,455690,201190,821570,5270260,10029290,23979330,29022869,32780029
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1,1,21,- -,- -,- -,- -
63,Common Stock,- -,800,636,- -,- -,- -,2000,2060,2410,2580,3820,4310,6711,332
64,Retained Earnings,- -,2500,-490351,-1230000,-1820000,-2120000,-2412030,-2508150,-4094370,-14381660,-66151330,-252656450,- -,-304581773
65,Other Comprehensive Income/Loss,- -,- -,-439986,- -,- -,- -,- -,- -,- -,- -,-136390,-227260,- -,- -
66,Other Total Stockholders Equity,- -,- -,27200650,1360207,1625673,2233896,1957735,2392219,3288930,18600900,80800289,234166514,-27865014,275819460
67,Total Stockholders Equity,- -,3300,26270949,130207,-194327,113896,-452295,-113870,-803029,4221841,14516389,-18712886,-27858303,-28761981
68,Total Liabilities And Stockholders Equity,- -,56425,31625886,1770207,515673,1043896,3395,87320,18541,9492101,24545679,5266444,1164566,4018048
69,Minority Interest,- -,- -,497361,-207,4327,6104,-5,- -,-1,9,1,-4,- -,- -
70,Total Liabilities & Equity,- -,56425,32123247,1770000,520000,1050000,3390,87320,18540,9492110,24545680,5266440,1164566,4018048
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471781/000101376213000687/0001013762-13-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000101376214000392/0001013762-14-000392-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577415000751/0001615774-15-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577416004519/0001615774-16-004519-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577417001376/0001615774-17-001376-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577418002560/0001615774-18-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577419004691/0001615774-19-004691-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000173112220000626/0001731122-20-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112221000484/0001731122-21-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112222000544/0001731122-22-000544-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,2500,-439654,-740000,-590000,-290000,-295570,-96120,-1586230,-10287290,-51769670,-186505120,-17994888,-33930433000000
74,Depreciation and Amortization,- -,- -,105458,57911,23087,3383,1641,1347,1347,359502,1256862,465361,46363,824238
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,99000,26000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,48125,-1274432,985719,-300000,-290000,286060,114690,-668130,-303120,1385800,-12155870,-15879470,-678541
78,Accounts Receivable,- -,-5000,-23236,-10000,- -,- -,- -,-25974,25974,-41947,-110171,-616084,1674,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,135402,262749,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-145820,34842,80119,109262,605456,766944,1162602,1720799,2137949,5073651
81,Other Working Capital,- -,-47325,-885719,100000,-200000,-490000,-203940,-89250,-757380,-1060500,325300,-11830570,-27710040,-28388581
82,Other Non-Cash Items,- -,- -,1253471,-949874,280294,524118,-155076,-24866,2237058,10459619,44475179,191572166,32833569,33930431485189
83,Cash Provided by Operating Activities,- -,50625,-355157,-646244,-586619,-52499,-63945,21051,-15955,228711,-4651829,-6623463,-994426,-1369114
84,CAPEX,- -,- -,-60829,-1515,- -,- -,- -,- -,- -,-78352,-16958,-17471,-4200,- -
85,Acquisitions Net,- -,- -,-27000000,- -,- -,- -,- -,- -,- -,- -,-465000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265000,-1200000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1419900,- -,- -,- -,- -,- -,- -,336000,- -,- -
88,Other Investing Activites,- -,- -,2618190,581980,-95777,- -,- -,- -,- -,- -,266979,-270947,-227571,- -
89,Cash Used for Investing Activites,- -,- -,-24442639,580465,1324123,- -,- -,- -,- -,-78352,-479979,-1152418,-231771,- -
90,Debt Repayment,- -,- -,-616406,- -,-1148542,- -,-58562,- -,- -,-290393,-2165744,-99256,- -,- -
91,Common Stock Issued,- -,800,441200,28345,- -,- -,- -,- -,- -,1000000,1500000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-11059,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-50625,28051034,- -,- -,51881,122507,- -,- -,440000,6356000,6071261,1279597,1411186
95,Cash Used/Provided by Financing Activities,- -,-49825,27875828,17286,-1148542,51881,63945,- -,- -,1149607,5690256,5972005,1279597,1411186
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-49825,3078032,-48493,-411038,51881,63945,- -,-15955,1299966,558448,-1803876,53400,42072
98,Cash at the End of Period,- -,800,3078339,411656,618,- -,- -,21051,5096,1305062,1863510,59634,113034,155106
99,Cash at the Beginning of Period,- -,- -,307,460149,411656,618,- -,- -,21051,5096,1305062,1863510,59634,113034
100,Free Cash Flow,- -,50625,-415986,-647759,-586619,-52499,-63945,21051,-15955,150359,-4668787,-6640934,-998626,-1369114
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471781/000101376213000687/0001013762-13-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000101376214000392/0001013762-14-000392-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577415000751/0001615774-15-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577416004519/0001615774-16-004519-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577417001376/0001615774-17-001376-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000161577418002560/0001615774-18-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000161577419004691/0001615774-19-004691-index.html,https://www.sec.gov/Archives/edgar/data/1471781/000173112220000626/0001731122-20-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112221000484/0001731122-21-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1471781/000173112222000544/0001731122-22-000544-index.htm
102,false,,,,,,,,,,,,,,
