,https://roic.ai/company/BNED,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,48000000,65880000,54865000,58325000,33560000,4623000,13555000,-262703000,-27654000,-42783000,-176176000
18,Operating Income ratio,0.0270,0.0378,0.0311,0.0334,0.0189,0.0026,0.0072,-0.1192,-0.0136,-0.0231,-0.1229
19,Total Other Income Expenses (Gains),-10500000,-5680000,-4865000,-425000,-210000,-1872000,-3464000,-10306000,-9780000,-7445000,-8087000
20,Income Before Tax,37500000,60200000,50000000,57900000,33350000,2751000,10091000,-273009000,-37434000,-50228000,-184263000
21,Income Before Tax Ratio,0.0211,0.0345,0.0284,0.0331,0.0188,0.0015,0.0054,-0.1239,-0.0184,-0.0271,-0.1285
22,Income Tax expense (Gain),14800000,23800000,19800000,22800000,14218000,2667000,4730000,-20443000,-13060000,-11978000,-52476000
23,Net Income,22700000,36400000,30200000,35100000,19132000,84000,5361000,-252566000,-24374000,-38250000,-131787000
24,Net Income ratio,0.0128,0.0209,0.0171,0.0201,0.0108,0.0000,0.0029,-0.1146,-0.0120,-0.0207,-0.0919
25,EPS,0.47,0.76,0.60,0.73,0.26,0.00,0.12,-5.40,-0.52,-0.80,-2.65
26,EPS Diluted,0.47,0.76,0.60,0.73,0.26,0.00,0.11,-5.40,-0.52,-0.80,-2.65
27,Weighted Average Shares Outstanding,48200000,48200000,48200000,48200000,48200000,46238000,46317000,46763000,47306000,48013000,49669000
28,Weighted Average Shares Outstanding Diluted,48200000,48200000,48200000,48200000,48200000,46479000,46763000,46763000,47306000,48013000,49669000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634117/000163411716000082/bned-20160430x10kq416.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411717000075/bned-20170429x10kq417.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411718000014/bned-20180428x10kq418.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411719000047/bned-20190427x10kq419.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411720000041/0001634117-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411721000041/0001634117-21-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,55400000,144300000,44816000,28568000,19003000,16126000,14013000,8242000,8024000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,55400000,144300000,44816000,28568000,19003000,16126000,14013000,8242000,8024000
34,Net Receivables,- -,- -,36300000,39000000,76551000,50924000,86040000,100060000,98246000,90851000,118171000
35,Inventory,- -,- -,289400000,322400000,344974000,360507000,486890000,493948000,467323000,469649000,309804000
36,Other Current Assets,- -,- -,22200000,25800000,4625000,6453000,10698000,9237000,11778000,16177000,64834000
37,Total Current Assets,- -,- -,403300000,531500000,470966000,446452000,602631000,619371000,591360000,584919000,500833000
38,PP&E,- -,- -,99400000,99600000,107557000,111185000,116613000,111287000,109777000,348576000,329628000
39,Goodwill,- -,- -,274100000,274100000,274070000,280911000,329467000,49282000,4700000,4700000,4700000
40,Intangible Assets,- -,- -,218700000,208400000,198190000,199663000,209885000,219129000,194978000,175125000,150904000
41,Intangible Assets,- -,- -,492800000,482500000,472260000,480574000,539352000,268411000,199678000,179825000,155604000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,84300000,74900000,41733000,- -,94012000,42531000,32847000,25748000,23248000
44,Other Non-Current Assets,- -,- -,-53300000,-44700000,-1848000,33472000,-52776000,-2389000,12518000,17364000,29105000
45,Total Non-Current Assets,- -,- -,623200000,612300000,619702000,625231000,697201000,419840000,354820000,571513000,537585000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1026500000,1143800000,1090668000,1071683000,1299832000,1039211000,946180000,1156432000,1038418000
48,Accounts Payable,- -,- -,143000000,165600000,155203000,152175000,192742000,187909000,186818000,143678000,137578000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000000,100000000,100000000,167571000,142513000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,20418000,- -,- -
52,Other Current Liabilities,- -,- -,85500000,92600000,97575000,105877000,120478000,125556000,101302000,95420000,92871000
53,Total Current Liabilities,- -,- -,228500000,258200000,252778000,258052000,413220000,413465000,408538000,406669000,372962000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,59600000,96400000,33500000,99700000,312380000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,29865000,16871000,2106000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,469100000,461000000,111221000,75380000,96433000,59277000,53514000,232312000,52042000
58,Total Non-Current Liabilities,- -,- -,469100000,461000000,111221000,105245000,172904000,157783000,87014000,332012000,364422000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,278713000,277293000
61,Total Liabilities,- -,- -,697600000,719200000,363999000,363297000,586124000,571248000,495552000,738681000,737384000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,486000,494000,501000,510000,521000,533000
64,Retained Earnings,- -,- -,- -,- -,- -,27002000,32363000,-220203000,-244577000,-282827000,-414614000
65,Other Comprehensive Income/Loss,- -,- -,657800000,849000000,1453338000,1000,-434439000,-460061000,-491095000,-518890000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,680897000,1115290000,1147726000,1185790000,1218947000,715115000
67,Total Stockholders Equity,- -,- -,710522000,807935000,790128000,708386000,713708000,467963000,450628000,417751000,301034000
68,Total Liabilities And Stockholders Equity,- -,- -,1408122000,1527135000,1154127000,1071683000,1299832000,1039211000,946180000,1156432000,1038418000
69,Minority Interest,- -,- -,-381622000,-383335000,-63459000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1026500000,1143800000,1090668000,1071683000,1299832000,1039211000,946180000,1156432000,1038418000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634117/000163411716000082/bned-20160430x10kq416.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411717000075/bned-20170429x10kq417.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411718000014/bned-20180428x10kq418.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411719000047/bned-20190427x10kq419.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411720000041/0001634117-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411721000041/0001634117-21-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,36400000,30200000,35100000,19132000,84000,5361000,-252566000,-24374000,-38250000,-131787000
74,Depreciation and Amortization,- -,45343000,46849000,48014000,50509000,52690000,53318000,65586000,65865000,61860000,52967000
75,Deferred Income Tax,- -,-2189000,-7621000,-9962000,-11332000,-11868000,-11961000,-14765000,-4531000,-5380000,-15443000
76,Stock Based Compensation,- -,620000,1019000,1817000,2951000,6670000,9366000,8459000,9017000,6638000,5095000
77,Change in Working Capital,- -,-19671000,175173000,98500000,-55112000,-29788000,1011000,16495000,-23084000,-4572000,-50379000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-42898000,-26076000,-32991000,-22565000,-15533000,2047000,-7058000,24015000,-2326000,144885000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-373000,174800000,273300000,218188000,188400000,189411000,205906000,182822000,178250000,127871000
82,Other Non-Cash Items,- -,186000,-186132000,-107665000,7372000,64993000,10891000,236833000,97924000,-36399000,172429000
83,Cash Provided by Operating Activities,- -,60689000,59488000,65804000,13520000,82781000,67986000,60042000,120817000,-16103000,32882000
84,CAPEX,- -,-40479000,-38760000,-38253000,-48452000,-50790000,-34670000,-42809000,-46420000,-36192000,-37223000
85,Acquisitions Net,- -,- -,- -,- -,- -,-17843000,-186720000,-58259000,-10000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2823000,-10348000,808000,-9733000,-2107000,-3048000,1036000,1774000,6600000,348000
89,Cash Used for Investing Activites,- -,-43302000,-49108000,-37445000,-58185000,-70740000,-224438000,-100032000,-54646000,-29592000,-36875000
90,Debt Repayment,- -,- -,- -,- -,- -,-60600000,-153100000,-637700000,-584100000,-559700000,-719700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10869000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-18615000,-9405000,-1638000,-1977000,-1265000,-894000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-23704000,6794000,60490000,32527000,50926000,309788000,674500000,517805000,600900000,721524000
95,Cash Used/Provided by Financing Activities,- -,-23704000,6794000,60490000,32527000,-28289000,147283000,35162000,-68272000,39935000,11799000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-6317000,17174000,88849000,-84555000,-16248000,-9169000,-4828000,-2101000,-5760000,7806000
98,Cash at the End of Period,- -,38246000,55420000,144269000,59714000,28568000,21697000,16869000,14768000,9008000,16814000
99,Cash at the Beginning of Period,- -,44563000,38246000,55420000,144269000,44816000,30866000,21697000,16869000,14768000,9008000
100,Free Cash Flow,- -,20210000,20728000,27551000,-34932000,31991000,33316000,17233000,74397000,-52295000,-4341000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634117/000163411716000082/bned-20160430x10kq416.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411717000075/bned-20170429x10kq417.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411718000014/bned-20180428x10kq418.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411719000047/bned-20190427x10kq419.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411720000041/0001634117-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1634117/000163411721000041/0001634117-21-000041-index.htm
102,false,,,,,,,,,,,
