,https://roic.ai/company/WTT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,1100000,1300000,1700000,2500000,4200000,5600000,7400000,3200000,2651430,489809,5598151,7184913,8125284,9461819,16527603,25082645,28374952,26933148,11552881,10749956,10616857,12019179,13932587,14364691,14080835,15709863,22459000,22810000,23768000,23251000,24588000
11,COGS and Expenses,- -,3500000,2800000,3800000,5200000,8300000,11200000,15200000,5500000,4406107,15383168,14273408,18048792,17590162,19783735,34411177,49575853,53439361,53430066,23752277,23758703,24973593,26836926,31629310,35658366,32362067,33874836,49276000,51431000,50400000,44032000,48746000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979197,542892,- -,441499,418017,281802,339074,319777,200683,45869,22655,3441,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221017,277037,212149,207188,201191,114193,- -,- -,- -,296000,575000,305000,985000,1143000
14,Depreciation and Amortization,- -,100000,100000,100000,100000,100000,200000,300000,500000,266648,489809,539743,592611,497599,491257,1504811,1971491,1888040,1872015,911199,635612,473460,351356,344577,370271,458633,503060,1747000,2305000,2151000,2238000,2152000
15,EBITDA,3200000,1000000,1500000,1600000,3700000,8300000,11900000,12700000,2100000,8165398,3852511,3819014,3183379,3073176,3112134,6087009,6384007,6029679,-33435319,-3146362,28081,2671781,3333585,3025311,4959141,1181254,-1681198,-1203000,2963000,670000,-5674000,4122000
16,EBITDA ratio,1.0000,0.2273,0.3750,0.3200,0.4302,0.5188,0.5289,0.4652,0.3088,1.1923,0.2088,0.2006,0.1534,0.1558,0.1408,0.1570,0.1187,0.1065,-0.6552,-0.1378,0.0011,0.0996,0.1126,0.0894,0.1229,0.0357,-0.0537,-0.0261,0.0561,0.0137,-0.1359,0.0837
17,Operating Income,- -,900000,1200000,1200000,3400000,7700000,11300000,12100000,1300000,2442450,3067350,4768430,2698915,2134078,2321472,4359467,4187396,3162689,-35530827,-923949,805523,1849847,2757618,2195763,4679002,747039,-2548109,-2945000,779000,-1479000,-8099000,-145000
18,Operating Income ratio,- -,0.2045,0.3000,0.2400,0.3953,0.4813,0.5022,0.4432,0.1912,0.3566,0.1662,0.2504,0.1301,0.1082,0.1050,0.1124,0.0779,0.0559,-0.6963,-0.0405,0.0328,0.0690,0.0932,0.0649,0.1160,0.0226,-0.0813,-0.0639,0.0148,-0.0302,-0.1940,-0.0029
19,Total Other Income Expenses (Gains),- -,- -,100000,300000,200000,500000,400000,300000,500000,1240512,295352,-1489159,-108147,441499,299405,222731,225120,978950,2476,17420,117650,141286,23420,370778,-90132,-24418,363851,-301000,-696000,-307000,-798000,972000
20,Income Before Tax,- -,900000,1300000,1500000,3600000,8200000,11700000,12400000,1800000,3682962,3362702,3279271,2590768,2575577,2620877,4582198,4412516,4141639,-35528351,-906529,923173,1991133,2781038,2566541,4588870,722621,-2184258,-3246000,83000,-1786000,-8897000,827000
21,Income Before Tax Ratio,- -,0.2045,0.3250,0.3000,0.4186,0.5125,0.5200,0.4542,0.2647,0.5378,0.1823,0.1722,0.1249,0.1306,0.1186,0.1182,0.0821,0.0732,-0.6962,-0.0397,0.0376,0.0742,0.0940,0.0759,0.1138,0.0218,-0.0697,-0.0704,0.0016,-0.0365,-0.2131,0.0168
22,Income Tax expense (Gain),- -,100000,500000,600000,1400000,3100000,4200000,4500000,300000,1260169,1231462,2062000,823150,812582,289400,1038234,888405,684983,-4263286,-6366851,-91870,-438515,-389763,-1275659,2164718,345940,-352234,1247000,48000,-1372000,-809000,-673000
23,Net Income,- -,800000,900000,900000,2200000,5100000,7500000,7900000,1300000,6638581,2131240,1217271,1767618,1762995,2331477,3543964,3524111,3456656,-31265065,2032253,-727810,2429648,3170801,3842200,2424152,376681,-1832024,-4493000,35000,-414000,-8088000,1500000
24,Net Income ratio,- -,0.1818,0.2250,0.1800,0.2558,0.3187,0.3333,0.2894,0.1912,0.9693,0.1155,0.0639,0.0852,0.0894,0.1055,0.0914,0.0655,0.0611,-0.6127,0.0890,-0.0296,0.0906,0.1071,0.1136,0.0601,0.0114,-0.0585,-0.0975,0.0007,-0.0085,-0.1937,0.0305
25,EPS,0.04,0.06,0.06,0.06,0.14,0.29,0.42,0.46,0.07,0.38,0.11,0.07,0.10,0.10,0.14,0.16,0.14,0.13,-1.22,0.08,-0.03,0.10,0.13,0.16,0.12,0.02,-0.10,-0.22,0.00,-0.02,-0.37,0.07
26,EPS Diluted,0.04,0.06,0.06,0.06,0.13,0.29,0.42,0.45,0.07,0.38,0.11,0.07,0.10,0.10,0.13,0.16,0.14,0.13,-1.22,0.08,-0.03,0.10,0.13,0.16,0.11,0.02,-0.10,-0.22,0.00,-0.02,-0.37,0.06
27,Weighted Average Shares Outstanding,8996000,13333333,15000000,15000000,15714286,17586207,17857143,17173913,18571429,17469950,19159975,17746979,17080648,16904036,17192728,21560676,25820909,25896547,25712424,25658203,25658203,24963271,24258853,23935486,20643470,19335768,18464022,19983747,20858000,21111000,21657000,22050000
28,Weighted Average Shares Outstanding Diluted,8996000,13333333,15000000,15000000,16923077,17586207,17857143,17555556,18571429,17469950,19724188,18046498,17340264,17113472,17578185,21696981,25919663,26007367,25712424,25658203,25685291,25138035,24632755,24534162,21800700,20378140,19170322,19983747,21566000,21111000,21657000,24297000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878828/000120677407000875/0001206774-07-000875-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000120677408000641/0001206774-08-000641-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041309001740/0000930413-09-001740-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041310001933/0000930413-10-001933-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041311002396/0000930413-11-002396-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041312001943/0000930413-12-001943-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041313001973/0000930413-13-001973-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041314001516/0000930413-14-001516-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041315001568/0000930413-15-001568-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041316006253/0000930413-16-006253-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041317001098/0000930413-17-001098-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041318000952/0000930413-18-000952-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041319000925/0000930413-19-000925-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315220004306/0001493152-20-004306-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315221006365/0001493152-21-006365-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315222007057/0001493152-22-007057-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,8000000,7500000,9000000,22139504,21451256,15138640,15523180,16265765,15783816,13851120,15683411,10387250,6627397,14076382,13643220,12089782,12969513,16599249,10723513,9726007,9350803,2458000,5015000,4245000,4910000,4472000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5016092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,8000000,7500000,9000000,22139504,21451256,15138640,15523180,16265765,15783816,13851120,15683411,10387250,11643489,14076382,13643220,12089782,12969513,16599249,10723513,9726007,9350803,2458000,5015000,4245000,4910000,4472000
34,Net Receivables,- -,- -,- -,- -,- -,- -,4300000,4700000,2600000,919404,2932461,2867538,3087983,3076080,3196750,7869537,9499555,9273360,8572561,4934164,4303720,4670630,5676015,5357769,5106241,5451161,5183869,9041000,8638000,6152000,5520000,5290000
35,Inventory,- -,- -,- -,- -,- -,- -,5000000,8800000,7900000,1389887,4664264,6316085,5484622,5903191,6780445,8376750,9733008,11988610,10028314,6944231,6935172,7577051,8289635,8169276,8541077,8068728,8452751,6526000,6884000,7325000,8796000,9074000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,300000,300000,1100000,1636245,404716,616454,614447,930246,536410,1071319,1144980,1082732,1346215,7965997,923013,2081119,4895281,2182781,2861519,586889,866035,4733000,1689000,1871000,2172000,1689000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,17600000,21300000,20600000,26085040,29452697,24938717,24710232,26175282,26297421,31168726,36060954,32731952,31590579,33920774,25805125,26418582,31830444,32309075,27232350,23832785,23853458,22758000,22226000,19593000,21398000,20525000
38,PP&E,- -,- -,- -,- -,- -,- -,1000000,2300000,2900000,4857565,5251603,5499540,5573316,5528931,5937788,6681696,6486830,6470411,5835178,4436339,4238015,4349150,1266692,1609427,1689289,1742888,2166566,2730000,2578000,3583000,3504000,2678000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1351392,24066284,24113284,24113284,1351392,1351392,1351392,1351392,1351392,1351392,1351392,1351392,1351392,10260000,9778000,10069000,11512000,11459000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365385,2198718,1351392,1351392,1351392,- -,13910000,12730000,11550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4511000,3206000,2219000,5242000,3661000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365385,2198718,1351392,1351392,1351392,1351392,37976284,36843284,35663284,1351392,1351392,1351392,1351392,1351392,1351392,1351392,1351392,1351392,14771000,12984000,12288000,16754000,15120000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386956,383861,886741,752256,656363,885894,527599,4560312,5236175,4684571,6084042,7454935,5263380,7013929,7403600,5939000,5592000,6013000,5701000,5580000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,400000,600000,600000,57385,753255,1115609,193700,184745,933526,2714888,3281671,3942736,3970861,863023,988108,898265,697054,712202,752511,765330,660119,723000,787000,874000,561000,448000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,1400000,2900000,3500000,7280335,8203576,7966541,7505364,7448929,9109447,48125124,47268148,46962325,11685030,11211066,11813690,11283378,9399180,11127956,9056572,10873539,11581677,24163000,21941000,22758000,26520000,23826000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,19000000,24200000,24100000,33365375,37656273,32905258,32215596,33624211,35406868,79293850,83329102,79694277,43275609,45131840,37618815,37701960,41229624,43437031,36288922,34706324,35435135,46921000,44167000,42351000,47918000,44351000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1400000,1700000,800000,287488,979040,660249,692383,1256672,1915707,3655008,3616094,3234060,3893436,904542,743398,841582,1258426,1459594,1185230,1046651,2986797,4109000,3252000,2227000,1546000,2264000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,31509,32168,34686,37401,40329,43485,4192289,4671669,247320,369059,375238,- -,73697,2629215,- -,- -,- -,- -,1335000,2016000,3136000,1046000,711000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76434,105378,79339,114806,112734,98000,374000,355000,315000,277000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629000,103000,42000,924000,408000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,200000,200000,990402,888158,925518,469645,906423,778704,5414638,5827403,3511834,2534238,6487020,2390482,944484,1426788,1644034,1441273,721770,673067,2894000,6083000,2657000,7997000,7858000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1400000,1900000,1000000,1309399,1899366,1620453,1199429,2203424,2737896,13261935,14115166,6993214,6796733,7766800,3133880,1859763,5314429,3103628,2626503,1768421,3659864,8967000,11454000,8062000,11513000,11241000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3229976,3201295,3177705,3129209,3088880,3045395,4503641,5021813,5014257,4495413,4084592,2702912,2629215,- -,- -,- -,- -,- -,494000,- -,1018000,10095000,4210000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101666,90946,37922,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,100000,100000,300000,206610,- -,- -,- -,- -,- -,4896936,4481576,4066216,- -,- -,- -,- -,- -,- -,- -,- -,- -,767000,616000,503000,377000,228000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-30000,- -,- -,144440,172574,- -,- -,111855,144745,4019805,2814796,2069907,1204350,- -,- -,- -,- -,59296,32054,33452,69058,1590000,115000,77000,82000,52000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,70000,100000,300000,3581026,3373869,3177705,3129209,3200735,3190140,13420382,12318185,11150380,5801429,4175538,2740834,2629215,- -,59296,32054,33452,69058,2851000,731000,1598000,10554000,4490000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1458000,1734000,1200000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1400000,2000000,1300000,4890425,5273235,4798158,4328638,5404159,5928036,26682317,26433351,18143594,12598162,11942338,5874714,4488978,5314429,3162924,2658557,1801873,3728922,11818000,12185000,9660000,22067000,15731000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,177023,197817,198077,198754,199924,205110,286476,286536,287539,287539,287539,287539,288839,290126,292326,295109,296279,297862,339000,344000,345000,349000,359000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,11400000,15900000,16300000,22937701,21466402,21979416,22379333,22620700,22888395,24237226,27761337,31217993,-47072,1985181,1257371,3687019,6857820,10700020,13124172,13500853,11668829,7176000,7556000,7142000,-946000,554000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-700000,-1000000,-1500000,-1177594,-3467766,-2217547,-2809357,-3237243,-3725301,52075,-153218,328770,724408,934755,- -,-4836763,-4109935,-4299145,-4629876,-5057541,-5470064,1004000,112000,651000,841000,771000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,6900000,7300000,8000000,6537820,14186585,8147154,8118228,8636671,10110628,28035756,29001096,29716381,29712572,29982027,30199191,34073887,32877184,33580906,24840960,24164860,25209586,26584000,23970000,24553000,25607000,26936000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,17600000,22200000,22800000,28474950,32383038,28107100,27886958,28220052,29478832,52611533,56895751,61550683,30677447,33189502,31744101,33212982,35915195,40274107,33630365,32904451,31706213,35103000,31982000,32691000,25851000,28620000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,19000000,24200000,24100000,33365375,37656273,32905258,32215596,33624211,35406868,79293850,83329102,79694277,43275609,45131840,37618815,37701960,41229624,43437031,36288922,34706324,35435135,46921000,44167000,42351000,47918000,44351000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,19000000,24200000,24100000,33365375,37656273,32905258,32215596,33624211,35406868,79293850,83329102,79694277,43275609,45131840,37618815,37701960,41229624,43437031,36288922,34706324,35435135,46921000,44167000,42351000,47918000,44351000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878828/000120677407000875/0001206774-07-000875-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000120677408000641/0001206774-08-000641-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041309001740/0000930413-09-001740-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041310001933/0000930413-10-001933-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041311002396/0000930413-11-002396-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041312001943/0000930413-12-001943-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041313001973/0000930413-13-001973-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041314001516/0000930413-14-001516-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041315001568/0000930413-15-001568-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041316006253/0000930413-16-006253-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041317001098/0000930413-17-001098-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041318000952/0000930413-18-000952-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000093041319000925/0000930413-19-000925-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315220004306/0001493152-20-004306-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315221006365/0001493152-21-006365-index.htm,https://www.sec.gov/Archives/edgar/data/878828/000149315222007057/0001493152-22-007057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,800000,900000,900000,2200000,5100000,7500000,7900000,1300000,6638581,2131240,1217271,1767618,1762995,2331477,3543964,3524111,3456656,-31265065,2032253,-727810,2429648,3170801,3842200,2424152,376681,-1832024,-4493000,35000,-414000,-8088000,1500000
74,Depreciation and Amortization,- -,100000,100000,100000,100000,100000,200000,300000,500000,266648,489809,539743,592611,497599,491257,1504811,1971491,1888040,1872015,911199,635612,473460,351356,344577,370271,458633,503060,1747000,2305000,2151000,2238000,2152000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,100000,200000,-100000,121390,-294492,11971,-155785,-436266,-176064,-319467,-644891,-3784556,-4298689,-668886,-752610,-765595,-1705892,1627838,275720,-389671,1395000,233000,-551000,178000,-26000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474076,269455,217164,174139,309364,746062,356925,312776,699254,536000,702000,584000,474000,316000
77,Change in Working Capital,- -,- -,- -,- -,- -,16200000,3200000,200000,5175641,2777690,-4235067,192539,461055,-412333,-5652734,4038997,3792950,-944892,1360128,-3482729,1887574,1957196,2689432,-4599600,-2541483,-1870770,-6402594,-3019000,759000,-1085000,3042000,1879000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1415313,1041512,-269247,-415626,-940183,239837,335849,-399067,362120,-1456000,231000,2465000,1209000,150000
79,Inventory,- -,-200000,-200000,-300000,-600000,-1200000,-2200000,-3800000,900000,-188596,-1806808,-745317,831463,-418568,-877255,498011,-1356258,-1930417,1423918,985587,-314836,-641879,-712584,120359,-643635,399308,-822824,1713000,-751000,-502000,-186000,-427000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138579,1873163,-210000,-735000,-1055000,-842000,770000
81,Other Working Capital,- -,- -,- -,- -,- -,16200000,19400000,19600000,24775641,27553331,23318264,23510803,23971858,23559525,17906791,21945788,25738738,24793846,26153974,22671245,24558819,26516015,29205447,24605847,22064364,20193594,13791000,10772000,11531000,-772000,- -,-515000
82,Other Non-Cash Items,- -,100000,-400000,-700000,-1700000,-18700000,-5600000,-3900000,-3975641,-6988034,2383237,1051618,260507,969106,5547435,-5070625,-7909260,-3964723,33896836,7677220,-2504136,-4143098,-3576078,4869743,1774628,1469581,8045754,5237000,-44000,-605000,5136000,-1263000
83,Cash Provided by Operating Activities,- -,1000000,600000,300000,600000,2700000,5300000,4600000,3200000,2594885,890609,2706679,3093762,2661582,2281169,3841083,1059825,-209810,2553434,3108709,-1160482,138735,2179280,3497090,4012331,1022621,623779,1403000,3990000,80000,2980000,4558000
84,CAPEX,- -,- -,- -,-100000,-100000,-300000,-600000,-1500000,-1100000,-1101701,-363138,-315159,-666072,-450816,-896913,-690842,-867116,-809019,-377107,-276631,-334260,-488920,-447900,-504400,-300701,-463428,-818588,-927000,-853000,-392000,-364000,-524000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-787119,-2901911,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9434000,-805000,-426000,-8246000,-200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000,- -,- -,- -,- -,- -,-5887444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713103,5003576,- -,- -,- -,162500,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-200000,300000,-100000,-200000,-100000,-200000,-200000,- -,12617622,-504629,-3178759,-4703,-879,33940,111350,27788,43627,-362217,-272291,2415715,-488920,-447900,2889519,-300701,-463428,-818588,-920000,-853000,-392000,-364000,-524000
89,Cash Used for Investing Activites,- -,-200000,300000,-200000,-300000,-400000,-800000,-1700000,-1100000,11515921,-867767,-3493918,-686775,-451695,-1650092,-3481403,-839328,-765392,-5536558,4731285,2415715,-488920,-447900,3052019,-300701,-463428,-818588,-10354000,-1658000,-818000,-8610000,-724000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-247115,-423898,-1538533,-68347,-73697,-2690023,-162547,-141328,-114927,-57351000,-37507000,-35864000,-42715000,-4212000
91,Common Stock Issued,- -,3700000,- -,- -,900000,1100000,300000,400000,200000,- -,424776,44062,112609,197437,991085,291795,10125,213829,- -,- -,- -,- -,- -,- -,205400,23400,- -,- -,- -,- -,- -,563000
92,Common Stock Repurchased,- -,- -,- -,-100000,- -,- -,- -,-200000,- -,-1003026,-759201,-4833014,-732668,-105711,- -,- -,667500,- -,-477885,- -,- -,-1134906,-777952,-229350,-9630219,-1438771,-65468,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-500000,-400000,-900000,-700000,-1400000,- -,-3500000,-900000,- -,- -,-704257,-1367701,-1521627,-2063782,-2195133,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-200000,-100000,100000,- -,-100000,-2600000,- -,- -,- -,-462924,-32168,-34687,-37401,-40329,-389038,997552,-4671609,- -,- -,- -,- -,- -,- -,- -,- -,- -,59315000,37983000,35652000,49023000,-562000
95,Cash Used/Provided by Financing Activities,- -,3000000,-500000,-900000,200000,-400000,-2300000,-3300000,-700000,-1003026,-797349,-5525377,-2022447,-1467302,-1113026,-2292376,1675177,-4457780,-725000,-423898,-1538533,-1203253,-851649,-2919373,-9587366,-1556699,-180395,1964000,476000,-212000,6308000,-4211000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63383,136821,-51729,32889,-149862,- -,- -,- -,- -,- -,- -,94000,-251000,180000,-13000,-61000
97,Net Change In Cash,- -,3000000,-500000,-900000,200000,-400000,- -,- -,- -,13107780,-774507,-6312616,384540,742585,-481949,-1932696,1832291,-5296161,-3759853,7448985,-433162,-1553438,879731,3629736,-5875736,-997506,-375204,-6893000,2557000,-770000,665000,-438000
