,https://roic.ai/company/BG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-318000000,26000000,-291000000,-357000000,-104000000,- -,-96000000,-71000000,-378000000,-886000000,283000000,2097000000,-235000000,-638000000,-187000000,-196000000,-207000000,-128000000,-89000000,-387000000,-396000000,-14000000,1538000000
20,Income Before Tax,-21000000,71000000,264000000,382000000,619000000,904000000,519000000,522000000,778000000,1537000000,145000000,3050000000,940000000,372000000,1014000000,734000000,1051000000,996000000,230000000,456000000,-1205000000,1413000000,2565000000
21,Income Before Tax Ratio,-0.0026,0.0073,0.0230,0.0271,0.0279,0.0359,0.0214,0.0199,0.0206,0.0292,0.0035,0.0667,0.0160,0.0061,0.0165,0.0128,0.0242,0.0233,0.0050,0.0100,-0.0293,0.0341,0.0434
22,Income Tax expense (Gain),-27000000,12000000,68000000,104000000,201000000,289000000,-82000000,-36000000,310000000,245000000,-110000000,689000000,44000000,-6000000,904000000,249000000,296000000,220000000,56000000,179000000,86000000,248000000,398000000
23,Net Income,-5000000,12000000,134000000,255000000,411000000,469000000,530000000,521000000,778000000,1064000000,361000000,2354000000,942000000,64000000,306000000,515000000,791000000,745000000,160000000,267000000,-1280000000,1145000000,2078000000
24,Net Income ratio,-0.0006,0.0012,0.0117,0.0181,0.0185,0.0186,0.0218,0.0198,0.0206,0.0202,0.0086,0.0515,0.0160,0.0010,0.0050,0.0090,0.0182,0.0175,0.0035,0.0058,-0.0311,0.0277,0.0351
25,EPS,-0.08,0.19,1.87,2.66,4.12,4.42,4.73,4.32,6.11,7.73,2.11,15.60,6.07,0.19,1.56,4.19,5.18,5.08,0.90,1.65,-9.32,8.02,14.87
26,EPS Diluted,-0.08,0.19,1.86,2.64,4.07,4.10,4.43,4.28,5.95,7.73,2.11,15.06,5.85,0.19,1.55,4.15,5.07,5.01,0.89,1.64,-9.34,7.71,13.85
27,Weighted Average Shares Outstanding,62500000,64380000,71657754,95864662,99757282,106108597,112050740,120601852,120785597,137591266,123874575,146635083,155209045,146348499,147796784,145703198,142483467,139500862,140646829,141111081,141813142,139790238,139790238
28,Weighted Average Shares Outstanding Diluted,62500000,64380000,72043011,96590909,100982801,114390244,119638826,121728972,124033613,137591266,127669822,156274814,155209045,147000000,148000000,147000000,152000000,148000000,141000000,142000000,141813142,150000000,150000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144519/000104746905006732/a2153218z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000110465906016958/0001104659-06-016958-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000110465907015539/a07-5412_110k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746908002119/a2183015z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746909002143/0001047469-09-002143-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746910001666/0001047469-10-001666-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746911001636/a2202154z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746912001630/0001047469-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746913002069/0001047469-13-002069-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746914001600/a2218521z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746915001442/a2223279z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746916010442/0001047469-16-010442-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746917001059/0001047469-17-001059-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451918000008/0001144519-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000006/0001144519-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/0001144519-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/0001144519-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/0001144519-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,363000000,423000000,199000000,470000000,489000000,432000000,354000000,365000000,981000000,1004000000,553000000,1504000000,835000000,569000000,742000000,362000000,411000000,934000000,601000000,389000000,320000000,352000000,902000000
32,Short-Term Investments,- -,61000000,6000000,12000000,- -,14000000,- -,- -,- -,- -,- -,39000000,402000000,3153000000,4632000000,1451000000,559000000,158000000,213000000,162000000,393000000,346000000,- -
33,Cash and Short-Term Investments,363000000,484000000,205000000,482000000,489000000,446000000,354000000,365000000,981000000,1004000000,553000000,1543000000,1237000000,3722000000,5374000000,1813000000,970000000,1092000000,814000000,551000000,713000000,698000000,902000000
34,Net Receivables,- -,873000000,881000000,1168000000,1495000000,1928000000,1702000000,1879000000,2909000000,2868000000,2363000000,3401000000,3179000000,2936000000,2586000000,2189000000,1971000000,2143000000,2181000000,2239000000,2218000000,2129000000,2117000000
35,Inventory,923000000,1311000000,1368000000,2407000000,2867000000,2636000000,2769000000,3684000000,5924000000,5653000000,4862000000,6635000000,5733000000,6590000000,5796000000,5554000000,4466000000,4773000000,5074000000,5871000000,5038000000,7172000000,8402000000
36,Other Current Assets,- -,759000000,830000000,1392000000,1567000000,1658000000,1739000000,2465000000,4704000000,3651000000,4005000000,4236000000,2979000000,4016000000,4016000000,3525000000,3509000000,3084000000,2334000000,2407000000,2279000000,6182000000,5006000000
37,Total Current Assets,- -,3427000000,3284000000,5449000000,6418000000,6668000000,6564000000,8393000000,14518000000,13176000000,11783000000,15815000000,13128000000,17264000000,17772000000,13081000000,10916000000,11092000000,10403000000,11068000000,10248000000,16181000000,16427000000
38,PP&E,- -,1859000000,1669000000,2056000000,1882000000,2536000000,2900000000,3446000000,4216000000,3969000000,5347000000,5312000000,5134000000,5408000000,5574000000,5057000000,4282000000,4486000000,4601000000,4538000000,4928000000,4643000000,4411000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,236000000,354000000,325000000,427000000,934000000,893000000,351000000,392000000,349000000,418000000,373000000,515000000,727000000,611000000,586000000,- -
40,Intangible Assets,- -,200000000,166000000,239000000,448000000,323000000,308000000,99000000,139000000,107000000,170000000,186000000,220000000,295000000,326000000,256000000,326000000,336000000,323000000,697000000,583000000,529000000,- -
41,Intangible Assets,- -,200000000,166000000,239000000,448000000,323000000,308000000,335000000,493000000,432000000,597000000,1120000000,1113000000,646000000,718000000,605000000,744000000,709000000,838000000,1424000000,1194000000,1115000000,915000000
42,Investments,- -,- -,- -,- -,- -,- -,585000000,649000000,706000000,761000000,622000000,609000000,600000000,687000000,537000000,557000000,378000000,891000000,842000000,542000000,910000000,767000000,764000000
43,Tax Assets,- -,169000000,100000000,256000000,233000000,273000000,462000000,714000000,903000000,864000000,979000000,1200000000,1211000000,1213000000,564000000,565000000,417000000,524000000,516000000,458000000,442000000,339000000,- -
44,Other Non-Current Assets,- -,199000000,224000000,349000000,903000000,1107000000,627000000,810000000,1155000000,1028000000,1958000000,1945000000,2089000000,2062000000,1616000000,1567000000,1185000000,1486000000,1671000000,1395000000,595000000,610000000,1269000000
45,Total Non-Current Assets,- -,2427000000,2159000000,2900000000,3466000000,4239000000,4882000000,5954000000,7473000000,7054000000,9503000000,10186000000,10147000000,10016000000,9009000000,8351000000,7006000000,8096000000,8468000000,8357000000,8069000000,7474000000,7359000000
46,Other Assets,4611000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4611000000,5854000000,5443000000,8349000000,9884000000,10907000000,11446000000,14347000000,21991000000,20230000000,21286000000,26001000000,23275000000,27280000000,26781000000,21432000000,17922000000,19188000000,18871000000,19425000000,18317000000,23655000000,23786000000
48,Accounts Payable,- -,839000000,775000000,1271000000,1678000000,1898000000,1803000000,2328000000,4061000000,4158000000,3275000000,3637000000,3173000000,3319000000,3522000000,3248000000,2675000000,3485000000,3395000000,3501000000,2842000000,2636000000,4214000000
49,Short-Term Debt,- -,1522000000,983000000,1499000000,1017000000,681000000,589000000,610000000,1112000000,551000000,197000000,2330000000,733000000,5365000000,5935000000,2345000000,1842000000,1723000000,634000000,1169000000,1494000000,3071000000,1527000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323000000,283000000,223000000,330000000,392000000,371000000,395000000,406000000,405000000,411000000,406000000,- -
52,Other Current Liabilities,- -,385000000,588000000,1024000000,1242000000,1323000000,1225000000,1577000000,3661000000,3365000000,2735000000,3714000000,2758000000,2654000000,2748000000,2719000000,2452000000,2081000000,1780000000,2097000000,1848000000,4872000000,3550000000
53,Total Current Liabilities,- -,2746000000,2346000000,3794000000,3937000000,3902000000,3617000000,4515000000,8834000000,8074000000,6207000000,10004000000,6947000000,11561000000,12535000000,8704000000,7340000000,7684000000,6215000000,7172000000,6595000000,10985000000,9291000000
54,Long-Term Debt,793000000,1003000000,830000000,1904000000,2377000000,2600000000,2557000000,2874000000,3435000000,3032000000,3618000000,2551000000,3348000000,3532000000,3179000000,2855000000,2934000000,3069000000,4160000000,4203000000,3716000000,5033000000,5293000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,141000000,126000000,253000000,206000000,232000000,145000000,180000000,149000000,132000000,183000000,84000000,134000000,84000000,185000000,177000000,209000000,239000000,223000000,356000000,329000000,360000000,- -
57,Other Non-Current Liabilities,- -,282000000,272000000,431000000,433000000,518000000,576000000,700000000,876000000,1556000000,913000000,808000000,771000000,848000000,794000000,1006000000,787000000,853000000,916000000,1316000000,1647000000,1072000000,1377000000
58,Total Non-Current Liabilities,793000000,1426000000,1228000000,2588000000,3016000000,3350000000,3278000000,3754000000,4460000000,4720000000,4714000000,3443000000,4253000000,4464000000,4158000000,4038000000,3930000000,4161000000,5299000000,5875000000,5692000000,6465000000,6670000000
59,Other Liabilities,4207000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000000,816000000,856000000
61,Total Liabilities,3414000000,4172000000,3574000000,6382000000,6953000000,7252000000,6895000000,8269000000,13294000000,12794000000,10921000000,13447000000,11200000000,16025000000,16693000000,12742000000,11270000000,11845000000,11514000000,13047000000,12287000000,17450000000,15961000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,690000000,1553000000,1553000000,1553000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,- -
63,Common Stock,- -,1429000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,- -
64,Retained Earnings,- -,309000000,435000000,653000000,1022000000,1440000000,1907000000,2350000000,2962000000,3844000000,3996000000,6153000000,6917000000,6792000000,6891000000,7180000000,7725000000,8208000000,8081000000,8059000000,6437000000,7236000000,- -
65,Other Comprehensive Income/Loss,- -,-1324000000,-1312000000,-1181000000,-656000000,-427000000,-312000000,-63000000,669000000,-811000000,319000000,583000000,-610000000,-1410000000,-2572000000,-4058000000,-6360000000,-5978000000,-5930000000,-6935000000,-5624000000,-6246000000,-6471000000
66,Other Total Stockholders Equity,1197000000,1268000000,2745000000,1999000000,2010000000,2361000000,2630000000,2690000000,2760000000,2849000000,3625000000,4793000000,4709000000,4789000000,4847000000,4633000000,4385000000,4223000000,4306000000,4358000000,4409000000,4388000000,- -
67,Total Stockholders Equity,1197000000,1682000000,1869000000,1472000000,2377000000,3375000000,4226000000,5668000000,7945000000,7436000000,9494000000,12220000000,11707000000,10862000000,9857000000,8446000000,6441000000,7144000000,7148000000,6173000000,5913000000,6069000000,7825000000
68,Total Liabilities And Stockholders Equity,4611000000,5854000000,5443000000,7854000000,9330000000,10627000000,11121000000,13937000000,21239000000,20230000000,20415000000,25667000000,22907000000,26887000000,26550000000,21188000000,17711000000,18989000000,18662000000,19220000000,18200000000,23519000000,23786000000
69,Minority Interest,- -,- -,- -,495000000,554000000,280000000,325000000,410000000,752000000,- -,871000000,334000000,368000000,393000000,231000000,244000000,211000000,199000000,209000000,205000000,117000000,136000000,- -
70,Total Liabilities & Equity,4611000000,5854000000,5443000000,8349000000,9884000000,10907000000,11446000000,14347000000,21991000000,20230000000,21286000000,26001000000,23275000000,27280000000,26781000000,21432000000,17922000000,19188000000,18871000000,19425000000,18317000000,23655000000,23786000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144519/000104746905006732/a2153218z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000110465906016958/0001104659-06-016958-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000110465907015539/a07-5412_110k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746908002119/a2183015z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746909002143/0001047469-09-002143-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746910001666/0001047469-10-001666-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746911001636/a2202154z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746912001630/0001047469-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746913002069/0001047469-13-002069-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746914001600/a2218521z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746915001442/a2223279z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746916010442/0001047469-16-010442-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746917001059/0001047469-17-001059-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451918000008/0001144519-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000006/0001144519-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/0001144519-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/0001144519-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/0001144519-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5000000,12000000,134000000,255000000,411000000,469000000,530000000,521000000,778000000,1064000000,361000000,2354000000,942000000,64000000,306000000,515000000,791000000,745000000,160000000,267000000,-1280000000,1145000000,2078000000
74,Depreciation and Amortization,- -,149000000,167000000,171000000,184000000,212000000,278000000,324000000,385000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,- -
75,Deferred Income Tax,- -,-17000000,-11000000,-4000000,-17000000,-56000000,-238000000,-191000000,-62000000,-251000000,-204000000,160000000,-217000000,-32000000,474000000,-90000000,16000000,126000000,-23000000,6000000,-24000000,71000000,-272000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,17000000,60000000,49000000,44000000,53000000,49000000,46000000,44000000,29000000,46000000,39000000,71000000,- -
77,Change in Working Capital,- -,681000000,257000000,717000000,826000000,285000000,181000000,931000000,1806000000,-582000000,474000000,235000000,370000000,-478000000,-466000000,-860000000,-801000000,-168000000,780000000,-292000000,-243000000,1543000000,-5007000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-338000000,242000000,-1560000000,267000000,-373000000,148000000,108000000,-97000000,-131000000,95000000,-110000000,-257000000,-255000000,-536000000
79,Inventory,- -,-311000000,-303000000,-728000000,-249000000,328000000,-11000000,-729000000,-1743000000,-905000000,1636000000,-1894000000,530000000,-1567000000,238000000,-161000000,314000000,-269000000,-130000000,-1107000000,504000000,-2298000000,-1272000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161000000,-1427000000,1305000000,-295000000,554000000,436000000,-100000000,-88000000,708000000,25000000,335000000,-498000000,97000000,- -
81,Other Working Capital,- -,681000000,938000000,1655000000,2481000000,2766000000,2947000000,3878000000,5684000000,5102000000,5576000000,5811000000,6181000000,5703000000,5237000000,4377000000,3576000000,3408000000,4188000000,3896000000,3653000000,5196000000,-4670000000
82,Other Non-Cash Items,42000000,-1346000000,-338000000,-1009000000,-1445000000,-108000000,-369000000,-1874000000,-3318000000,2246000000,-1016000000,-5244000000,1470000000,-55000000,1858000000,1785000000,558000000,1157000000,60000000,-1291000000,700000000,-6801000000,307000000
83,Cash Provided by Operating Activities,37000000,-521000000,209000000,130000000,-41000000,802000000,382000000,-289000000,-411000000,2543000000,-368000000,-2435000000,2614000000,-457000000,2225000000,1399000000,610000000,1904000000,1006000000,-1264000000,-808000000,-3536000000,-2894000000
84,CAPEX,- -,-184000000,-230000000,-242000000,-304000000,-437000000,-522000000,-503000000,-658000000,-896000000,-918000000,-1072000000,-1125000000,-1095000000,-1042000000,-839000000,-649000000,-784000000,-662000000,-493000000,-524000000,-365000000,-399000000
85,Acquisitions Net,- -,-78000000,-13000000,-856000000,-196000000,-355000000,-64000000,-74000000,-153000000,-202000000,-144000000,-254000000,-192000000,60000000,402000000,-96000000,-514000000,-74000000,-495000000,-985000000,709000000,180000000,601000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-91000000,-39000000,-94000000,- -,- -,-99000000,-83000000,-68000000,-196000000,-235000000,-928000000,-964000000,-1184000000,-393000000,-337000000,-519000000
87,Sales/Maturities of Investments,- -,- -,- -,16000000,- -,- -,- -,11000000,23000000,- -,- -,- -,95000000,108000000,134000000,282000000,498000000,802000000,961000000,1164000000,393000000,370000000,171000000
88,Other Investing Activites,-108000000,171000000,64000000,9000000,560000000,-49000000,106000000,46000000,33000000,-810000000,-808000000,2763000000,-1024000000,-1052000000,-897000000,-675000000,-551000000,-726000000,-664000000,1415000000,794000000,1600000000,4860000000
89,Cash Used for Investing Activites,-108000000,-91000000,-179000000,-1073000000,60000000,-841000000,-480000000,-611000000,-794000000,-1106000000,-952000000,2509000000,-1220000000,-967000000,-429000000,-685000000,-802000000,-926000000,-1162000000,410000000,1503000000,1813000000,5113000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4712000000,-3406000000,-4297000000,-4523000000,-6131000000,-10370000000,-14468000000,-9185000000,-10763000000,-9234000000,-10515000000,-6008000000,-33975000000,- -
91,Common Stock Issued,- -,163000000,278000000,293000000,7000000,348000000,13000000,693000000,877000000,7000000,763000000,6000000,23000000,23000000,43000000,74000000,25000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-170000000,- -,- -,- -,- -,- -,-354000000,-120000000,- -,- -,-300000000,-300000000,-200000000,- -,- -,- -,-100000000,-100000000
93,Dividends Paid,- -,-18000000,-34000000,-65000000,-105000000,-86000000,-120000000,-74000000,-114000000,-322000000,-198000000,-202000000,-174000000,-185000000,-201000000,-221000000,-241000000,-257000000,-281000000,-305000000,-317000000,-316000000,-323000000
94,Other Financing Activites,-253000000,564000000,-468000000,1067000000,37000000,-166000000,128000000,272000000,999000000,3881000000,3615000000,4817000000,3734000000,7499000000,8963000000,13857000000,10061000000,10732000000,9335000000,11451000000,5554000000,36154000000,-1209000000
95,Cash Used/Provided by Financing Activities,-253000000,709000000,-224000000,1295000000,-61000000,-74000000,21000000,891000000,1762000000,-1146000000,774000000,-30000000,-1060000000,1206000000,-1565000000,-1058000000,360000000,-488000000,-180000000,631000000,-771000000,1763000000,-1632000000
96,Effect of Forex Changes on Cash,- -,-37000000,-30000000,-81000000,61000000,56000000,-1000000,20000000,59000000,-268000000,95000000,-19000000,-77000000,-46000000,-60000000,-36000000,-119000000,33000000,3000000,11000000,5000000,19000000,-63000000
97,Net Change In Cash,- -,60000000,-224000000,271000000,19000000,-57000000,-78000000,11000000,616000000,23000000,-451000000,25000000,257000000,-266000000,173000000,-380000000,49000000,523000000,-333000000,-212000000,-71000000,59000000,524000000
98,Cash at the End of Period,- -,423000000,199000000,470000000,489000000,432000000,354000000,365000000,981000000,1004000000,553000000,578000000,835000000,569000000,742000000,362000000,411000000,934000000,601000000,393000000,322000000,381000000,905000000
99,Cash at the Beginning of Period,- -,363000000,423000000,199000000,470000000,489000000,432000000,354000000,365000000,981000000,1004000000,553000000,578000000,835000000,569000000,742000000,362000000,411000000,934000000,605000000,393000000,322000000,381000000
100,Free Cash Flow,37000000,-705000000,-21000000,-112000000,-345000000,365000000,-140000000,-792000000,-1069000000,1647000000,-1286000000,-3507000000,1489000000,-1552000000,1183000000,560000000,-39000000,1120000000,344000000,-1757000000,-1332000000,-3901000000,-3293000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144519/000104746905006732/a2153218z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000110465906016958/0001104659-06-016958-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000110465907015539/a07-5412_110k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746908002119/a2183015z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746909002143/0001047469-09-002143-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746910001666/0001047469-10-001666-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746911001636/a2202154z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746912001630/0001047469-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746913002069/0001047469-13-002069-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746914001600/a2218521z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746915001442/a2223279z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144519/000104746916010442/0001047469-16-010442-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000104746917001059/0001047469-17-001059-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451918000008/0001144519-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000006/0001144519-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451920000004/0001144519-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1144519/000114451921000006/0001144519-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1144519/000114451922000017/0001144519-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
