,https://roic.ai/company/MED,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000,175000,- -,- -,155000,385000,421000,301000,506000,716000,661000,283000,558000,1306000,1295000,246000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,386000,- -,- -,150000,- -,317000,369000,- -,- -,145000,111000,102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,662000,875000,431000,232000,219000,211000,321000,677000,1310000,1741000,2396000,3471000,4574000,5267000,5859000,8344000,11205000,11382000,8052000,7115000,5405000,4209000,4435000,4624000,7270000,6812000
15,EBITDA,891000,-2480000,-518000,-2960000,1121000,777000,2019000,4385000,4216000,5988000,10103000,9014000,12424000,24705000,37662000,36126000,35663000,45569000,31897000,37277000,32527000,44535000,74983000,96987000,141535000,222941000
16,EBITDA ratio,0.0540,-0.1727,-0.0326,-0.6364,0.2876,0.1547,0.1635,0.1728,0.1542,0.1492,0.1364,0.1076,0.1178,0.1492,0.1462,0.1212,0.1000,0.1277,0.1118,0.1367,0.1185,0.1477,0.1497,0.1359,0.1514,0.1461
17,Operating Income,445000,-3138000,-771000,-2065000,266000,745000,1752000,3598000,3004000,4074000,8112000,5715000,8199000,19366000,31640000,27382000,23262000,33590000,30246000,28684000,26859000,39632000,69063000,91039000,134159000,216241000
18,Operating Income ratio,0.0270,-0.2185,-0.0485,-0.4440,0.0682,0.1483,0.1419,0.1418,0.1099,0.1015,0.1095,0.0682,0.0778,0.1169,0.1228,0.0918,0.0652,0.0941,0.1060,0.1052,0.0978,0.1314,0.1378,0.1276,0.1435,0.1417
19,Total Other Income Expenses (Gains),-216000,-217000,-178000,339000,-353000,-179000,-54000,-40000,-98000,-144000,-774000,-172000,-349000,-73000,52000,298000,1196000,597000,1447000,987000,263000,694000,1485000,1324000,106000,-112000
20,Income Before Tax,229000,-3355000,-949000,- -,-87000,566000,1698000,3558000,2906000,3930000,7338000,5543000,7850000,19293000,31692000,27680000,24458000,34187000,31693000,29671000,27122000,40326000,70548000,92363000,134265000,216129000
21,Income Before Tax Ratio,0.0139,-0.2336,-0.0597,- -,-0.0223,0.1127,0.1375,0.1402,0.1063,0.0979,0.0990,0.0662,0.0744,0.1165,0.1231,0.0928,0.0686,0.0958,0.1111,0.1088,0.0988,0.1337,0.1408,0.1294,0.1436,0.1416
22,Income Tax expense (Gain),-91000,342000,- -,- -,-787000,-22000,-925000,1148000,1159000,1203000,2256000,1706000,2415000,7330000,12081000,9139000,8582000,10218000,10664000,10104000,9287000,12605000,14759000,14447000,31406000,52098000
23,Net Income,320000,-3697000,-949000,-3192000,1303000,588000,2623000,2410000,1747000,2727000,5082000,3837000,5435000,11963000,19611000,18541000,15876000,23969000,13181000,20058000,17835000,27721000,55789000,77916000,102859000,164031000
24,Net Income ratio,0.0194,-0.2574,-0.0597,-0.6863,0.3343,0.1171,0.2125,0.0950,0.0639,0.0680,0.0686,0.0458,0.0515,0.0722,0.0761,0.0622,0.0445,0.0672,0.0462,0.0735,0.0650,0.0919,0.1114,0.1092,0.1100,0.1075
25,EPS,0.07,-0.88,-0.22,-0.60,0.19,0.08,0.36,0.25,0.16,0.20,0.40,0.30,0.41,0.89,1.39,1.33,1.16,1.74,1.04,1.68,1.51,2.32,4.67,6.62,8.74,14.03
26,EPS Diluted,0.07,-0.88,-0.22,-0.60,0.17,0.07,0.30,0.22,0.14,0.19,0.38,0.28,0.38,0.81,1.35,1.31,1.16,1.73,1.03,1.66,1.49,2.29,4.62,6.43,8.68,13.92
27,Weighted Average Shares Outstanding,4313418,4297000,4801000,5480384,5633821,6524969,6722505,9305731,10832360,12258734,12699066,12960930,13126534,13515318,14082213,13965018,13721997,13774083,12670387,11959252,11842000,11924000,11947000,11771000,11771000,11692000
28,Weighted Average Shares Outstanding Diluted,4313418,4297000,4801000,5480384,7380285,8069646,8737292,10952367,12413424,12780959,13482894,13644149,14329525,14729698,14572921,14198495,13739824,13817693,12778277,12070730,11947000,12088000,12079000,12117000,11850000,11785000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910329/000114420407013149/0001144204-07-013149-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420408015754/0001144204-08-015754-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420409014237/0001144204-09-014237-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420410016775/0001144204-10-016775-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420411019422/0001144204-11-019422-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420412015310/0001144204-12-015310-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420413015443/0001144204-13-015443-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420414016118/0001144204-14-016118-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420415016333/0001144204-15-016333-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420416088200/0001144204-16-088200-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420417015143/0001144204-17-015143-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420418015288/0001144204-18-015288-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420419011678/0001144204-19-011678-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837020001889/0001558370-20-001889-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837021001985/0001558370-21-001985-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000162828022003534/0001628280-22-003534-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,286000,255000,503000,154000,102000,270000,837000,2524000,612000,1484000,1085000,2195000,1841000,12708000,17165000,14262000,39937000,36382000,24459000,42037000,52436000,75077000,81364000,76974000,163723000,104183000
32,Short-Term Investments,- -,- -,- -,- -,200000,312000,418000,3983000,2626000,2700000,1540000,1439000,1099000,3594000,17271000,19538000,20057000,31420000,28185000,25072000,24412000,23757000,19670000,15704000,10752000,5361000
33,Cash and Short-Term Investments,286000,255000,503000,154000,302000,582000,1255000,6507000,3238000,4184000,2625000,3634000,2940000,16302000,34436000,33800000,59994000,67802000,52644000,67109000,76848000,98834000,101034000,92678000,174475000,109544000
34,Net Receivables,1573000,1112000,3341000,308000,252000,283000,284000,641000,1063000,985000,622000,673000,628000,722000,623000,1477000,2148000,1246000,1650000,1633000,1387000,576000,1011000,1437000,584000,- -
35,Inventory,3894000,2397000,2718000,549000,611000,640000,1259000,2988000,4251000,5475000,8255000,9181000,13856000,11232000,19534000,19969000,20804000,18059000,15735000,13335000,18311000,19328000,38888000,48771000,53392000,180043000
36,Other Current Assets,476000,266000,416000,27000,294000,431000,1328000,1853000,1419000,3798000,3362000,3641000,3796000,6474000,6077000,8740000,5629000,4847000,11885000,5996000,4751000,6460000,4586000,11265000,5863000,17279000
37,Total Current Assets,6229000,4030000,6978000,1038000,1459000,1936000,4126000,11989000,9971000,14442000,14864000,17129000,21220000,34730000,60670000,63986000,88575000,91954000,81914000,88073000,101297000,125198000,145519000,154151000,234314000,306866000
38,PP&E,3589000,2674000,3253000,1010000,914000,767000,4498000,7449000,8698000,9535000,14020000,17031000,21709000,23237000,30589000,38852000,40109000,40336000,33477000,29029000,19753000,18611000,19747000,38842000,38141000,80588000
39,Goodwill,474000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,113000,- -,- -,- -,- -,- -,608000,4419000,7138000,6508000,6274000,7356000,5547000,4104000,1072000,1003000,428000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,587000,- -,- -,- -,- -,- -,608000,4419000,7138000,6508000,6274000,7356000,5547000,4104000,1072000,1003000,428000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,166000,- -,- -,- -,508000,454000,655000,- -,91000,- -,367000,897000,1131000,193000,- -,- -,- -,- -,- -,- -,- -,- -,2980000,1307000,692000,4404000
44,Other Non-Current Assets,880000,240000,109000,64000,244000,200000,1000,375000,70000,60000,1402000,1311000,1430000,491000,1728000,1824000,1139000,360000,519000,224000,166000,2120000,1183000,353000,2937000,6468000
45,Total Non-Current Assets,5222000,2914000,3362000,1074000,1666000,1421000,5762000,12243000,15997000,16103000,22063000,26595000,29817000,28025000,33389000,41679000,41676000,40696000,33996000,29253000,19919000,20731000,23910000,40502000,41770000,91460000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11451000,6944000,10340000,2112000,3125000,3357000,9888000,24232000,25968000,30545000,36927000,43724000,51037000,62755000,94059000,105665000,130251000,132650000,115910000,117326000,121216000,145929000,169429000,194653000,276084000,398326000
48,Accounts Payable,- -,- -,- -,878000,348000,337000,1189000,1714000,940000,2263000,2214000,3181000,3658000,4966000,- -,- -,16226000,14619000,12178000,11264000,9580000,16148000,21814000,22608000,35767000,70894000
49,Short-Term Debt,1957000,295000,700000,904000,369000,98000,395000,819000,827000,1194000,1804000,1863000,3421000,796000,944000,1426000,528000,222000,1980000,- -,- -,- -,- -,- -,1980000,6523000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2571000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4333000,7606000,8050000
52,Other Current Liabilities,2310000,1661000,2727000,- -,- -,- -,25000,58000,739000,989000,1234000,1690000,1472000,421000,15020000,18830000,11995000,12260000,12786000,12300000,14841000,20992000,38509000,52447000,65997000,84365000
53,Total Current Liabilities,4267000,1956000,3427000,1782000,717000,435000,1609000,2591000,2506000,4446000,5252000,6734000,8551000,6183000,15964000,20256000,28749000,27101000,26944000,23564000,24421000,37140000,60323000,79388000,111350000,169832000
54,Long-Term Debt,730000,2158000,4070000,543000,550000,234000,2701000,4564000,4256000,3977000,3509000,4570000,4313000,5444000,4855000,3337000,3113000,- -,- -,- -,779000,- -,- -,- -,- -,26020000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,- -,- -,- -,1553000,1284000,7756000,6907000,6659000,5492000,4890000,779000,208000,- -,- -,- -,- -
57,Other Non-Current Liabilities,880000,814000,696000,- -,648000,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,914000,696000,474000,2998000,288000,-779000,- -,- -,10433000,7488000,- -
58,Total Non-Current Liabilities,1610000,2972000,4766000,543000,1198000,384000,2701000,4564000,4256000,4078000,3509000,4570000,4313000,6997000,6139000,12007000,10716000,7133000,8490000,5178000,779000,208000,- -,10433000,7488000,26020000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,914000,696000,474000,474000,219000,- -,- -,- -,13601000,11161000,32543000
61,Total Liabilities,5877000,4928000,8193000,2325000,1915000,819000,4310000,7155000,6762000,8524000,8761000,11304000,12864000,13180000,22103000,32263000,39465000,34234000,35434000,28742000,25200000,37348000,60323000,89821000,118838000,195852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,985000,671000,501000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,4000,5000,6000,7000,7000,7000,10000,11000,13000,14000,14000,15000,16000,16000,16000,16000,13000,12000,12000,12000,12000,12000,12000,12000,12000
64,Retained Earnings,-1364000,-5129000,-6147000,-9390000,-8322000,-7786000,-5381000,-3016000,-1287000,1149000,6231000,9818000,15253000,24264000,42117000,60658000,76534000,97700000,78897000,88634000,93497000,103762000,131344000,168788000,154351000,190333000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1141000,-1278000,-1507000,-1928000,-2691000,-3588000,-4660000,-6704000,-9397000,-12984000,-17600000,-24624000,1000000,1000000,-40169000,-46465000,-36001000,-33458000,-34714000,-23016000,41000,111000
66,Other Total Stockholders Equity,6934000,7141000,8289000,9171000,10666000,11595000,11474000,21340000,22672000,24447000,26581000,29292000,32302000,38279000,47423000,37352000,13236000,-297000,41736000,46403000,38508000,38265000,12464000,-40952000,2842000,- -
67,Total Stockholders Equity,5574000,2016000,2147000,-213000,1210000,2538000,5578000,17077000,19206000,22021000,28166000,32420000,38173000,49575000,71956000,73402000,90786000,98416000,80476000,88584000,96016000,108581000,109106000,104832000,157246000,202474000
68,Total Liabilities And Stockholders Equity,11451000,6944000,10340000,2112000,3125000,3357000,9888000,24232000,25968000,30545000,36927000,43724000,51037000,62755000,94059000,105665000,130251000,132650000,115910000,117326000,121216000,145929000,169429000,194653000,276084000,398326000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11451000,6944000,10340000,2112000,3125000,3357000,9888000,24232000,25968000,30545000,36927000,43724000,51037000,62755000,94059000,105665000,130251000,132650000,115910000,117326000,121216000,145929000,169429000,194653000,276084000,398326000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910329/000114420407013149/0001144204-07-013149-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420408015754/0001144204-08-015754-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420409014237/0001144204-09-014237-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420410016775/0001144204-10-016775-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420411019422/0001144204-11-019422-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420412015310/0001144204-12-015310-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420413015443/0001144204-13-015443-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420414016118/0001144204-14-016118-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420415016333/0001144204-15-016333-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420416088200/0001144204-16-088200-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420417015143/0001144204-17-015143-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420418015288/0001144204-18-015288-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420419011678/0001144204-19-011678-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837020001889/0001558370-20-001889-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837021001985/0001558370-21-001985-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000162828022003534/0001628280-22-003534-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,320000,-3697000,-949000,-3192000,1303000,588000,2623000,2410000,1747000,2727000,5082000,3837000,5435000,11963000,19611000,18541000,15876000,23969000,13181000,20058000,17835000,27721000,55789000,77916000,102859000,164031000
74,Depreciation and Amortization,662000,875000,431000,232000,219000,211000,321000,677000,1310000,1741000,2396000,3471000,4574000,5267000,5859000,8344000,11205000,11382000,8052000,7115000,5405000,4209000,4435000,4624000,7270000,6812000
75,Deferred Income Tax,- -,- -,- -,- -,-787000,-22000,-925000,1138000,486000,301000,-648000,-390000,-234000,- -,-70000,6015000,-1337000,-888000,286000,-106000,-2829000,-623000,-2687000,1598000,601000,-3715000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2678000,2524000,2850000,3209000,3918000,3081000,3428000,4267000,3124000,4520000,6796000,9903000
77,Change in Working Capital,-1145000,112000,1477000,-4295000,1486000,759000,1016000,6881000,-1933000,2531000,-384000,783000,2274000,15878000,16159000,-976000,16096000,5027000,-9883000,9539000,12367000,11182000,-2862000,-10433000,48201000,-87646000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228000,53000,-854000,-671000,902000,-708000,17000,246000,815000,122000,-4064000,297000,- -
79,Inventory,-830000,137000,-321000,762000,-62000,-29000,-619000,-1729000,-1263000,-1225000,-3138000,-926000,-4675000,2624000,-8302000,-435000,-835000,2745000,1802000,2400000,-4976000,-1017000,-18658000,-9883000,-4621000,-126651000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1962000,2074000,3551000,-744000,742000,1501000,2517000,9398000,7465000,9996000,9612000,10395000,12669000,28547000,44706000,43730000,59826000,64853000,54970000,64509000,76876000,88058000,85196000,74763000,122964000,-945000
82,Other Non-Cash Items,-57000,807000,-2985000,7107000,-2243000,-885000,-579000,-9358000,722000,-4087000,-601000,253000,-6553000,-12795000,-15468000,422000,-4426000,-339000,9982000,-10276000,-10856000,-3519000,3017000,6036000,-20531000,5160000
83,Cash Provided by Operating Activities,-220000,-1903000,-2026000,-148000,-22000,651000,2456000,1748000,2332000,3213000,5845000,7954000,5496000,20313000,28769000,34870000,40264000,42360000,25536000,29411000,25350000,43237000,60816000,84261000,145196000,94545000
84,CAPEX,-274000,-155000,-213000,-28000,-123000,-46000,-3977000,-3333000,-1991000,-1672000,-7984000,-7965000,-7442000,-5353000,-12055000,-14660000,-11383000,-11606000,-7024000,-2819000,-2876000,-3242000,-4940000,-10058000,-5887000,-34209000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-200000,-200000,-409000,-3982000,-112000,-84000,- -,-4000,- -,-2579000,-16973000,-10278000,-8390000,-25355000,-26080000,-9250000,-26578000,-6956000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,100000,319000,418000,1450000,- -,1237000,- -,129000,- -,5487000,8064000,8109000,14359000,29636000,11880000,26741000,6954000,3545000,3730000,4605000,5145000
88,Other Investing Activites,-660000,2478000,13000,- -,- -,- -,-501000,-2128000,-3287000,-276000,- -,- -,- -,-235000,- -,-387000,- -,- -,950000,- -,676000,81000,196000,- -,- -,- -
89,Cash Used for Investing Activites,-934000,2323000,-200000,-28000,-323000,-146000,-4568000,-9025000,-3940000,-2032000,-6747000,-7969000,-7313000,-7932000,-23541000,-16874000,-11664000,-22602000,-2518000,-189000,-2037000,-3163000,-1199000,-6328000,-1282000,-29064000
90,Debt Repayment,-459000,-2021000,-3699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3163000,-834000,-1136000,-1444000,-3641000,-222000,-255000,-219000,- -,- -,- -,- -,- -
91,Common Stock Issued,100000,- -,977000,- -,125000,250000,161000,6722000,7000,66000,795000,216000,30000,214000,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-170000,-152000,-150000,- -,-452000,-420000,-309000,- -,-102000,-35000,-20389000,-2764000,-20081000,-35046000,-11812000,-1342000,-2540000,-30715000,-47206000,-5551000,-62088000
93,Dividends Paid,- -,-68000,-65000,-51000,-51000,-52000,-94000,-45000,-11000,-11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11889000,-15390000,-23160000,-35396000,-53190000,-63856000
94,Other Financing Activites,1451000,1638000,5261000,244000,219000,-365000,2764000,2437000,-300000,88000,128000,1218000,1433000,1537000,2168000,626000,1283000,409000,327000,336000,529000,568000,547000,278000,1597000,811000
95,Cash Used/Provided by Financing Activities,1092000,-451000,2474000,193000,293000,-337000,2679000,8964000,-304000,-309000,503000,1125000,1463000,-1514000,1333000,-20899000,-2925000,-23313000,-34941000,-11731000,-12921000,-17362000,-53328000,-82324000,-57144000,-125133000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000,7000,-71000,-2000,1000,-21000,112000
97,Net Change In Cash,-62000,-31000,248000,17000,-52000,168000,567000,1687000,-1912000,872000,-399000,1110000,-354000,10867000,6561000,-2903000,25675000,-3555000,-11923000,17578000,10399000,22641000,6287000,-4390000,86749000,-59540000
98,Cash at the End of Period,286000,255000,503000,154000,102000,270000,837000,2524000,612000,1484000,1085000,2195000,1841000,12708000,17165000,14262000,39937000,36382000,24459000,42037000,52436000,75077000,81364000,76974000,163723000,104183000
99,Cash at the Beginning of Period,348000,286000,255000,137000,154000,102000,270000,837000,2524000,612000,1484000,1085000,2195000,1841000,10604000,17165000,14262000,39937000,36382000,24459000,42037000,52436000,75077000,81364000,76974000,163723000
100,Free Cash Flow,-494000,-2058000,-2239000,-176000,-145000,605000,-1521000,-1585000,341000,1541000,-2139000,-11000,-1946000,14960000,16714000,20210000,28881000,30754000,18512000,26592000,22474000,39995000,55876000,74203000,139309000,60336000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910329/000114420407013149/0001144204-07-013149-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420408015754/0001144204-08-015754-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420409014237/0001144204-09-014237-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420410016775/0001144204-10-016775-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420411019422/0001144204-11-019422-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420412015310/0001144204-12-015310-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420413015443/0001144204-13-015443-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420414016118/0001144204-14-016118-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420415016333/0001144204-15-016333-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420416088200/0001144204-16-088200-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420417015143/0001144204-17-015143-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420418015288/0001144204-18-015288-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000114420419011678/0001144204-19-011678-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837020001889/0001558370-20-001889-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000155837021001985/0001558370-21-001985-index.htm,https://www.sec.gov/Archives/edgar/data/910329/000162828022003534/0001628280-22-003534-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
