,https://roic.ai/company/VRVR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,69341,- -,167597
58,Total Non-Current Liabilities,40000,40000,- -,- -,- -,- -,50000,50000,873341,- -,908627
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,831308,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,40000,40000,70000,30000,58910,9020,90400,98990,1037503,859293,1010107
62,Preferred Stock,- -,- -,- -,- -,- -,500,500,500,6456,6456,6456
63,Common Stock,- -,- -,- -,- -,3100,3890,4140,6490,6817,6817,6900
64,Retained Earnings,- -,-30000,-80000,-120000,-139740,-168240,-197950,-242050,-5010232,- -,-5139076
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,10000,14260,25307,87837,81333,156006,160752,286614,4313011,-666625,4518347
67,Total Stockholders Equity,10000,-15740,-54693,-32163,-55307,-7844,-32558,51554,-683948,-653352,-607373
68,Total Liabilities And Stockholders Equity,50000,24260,15307,-2163,3603,1176,57842,150544,353555,205941,402734
69,Minority Interest,- -,-4260,-15307,2163,-3,-6,8,-4,- -,27985,- -
70,Total Liabilities & Equity,50000,20000,- -,- -,3600,1170,57850,150540,353555,233926,402734
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1536089/000139390514000055/0001393905-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785516000722/0001127855-16-000722-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785516000810/0001127855-16-000810-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785517000135/0001127855-17-000135-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785518000167/0001127855-18-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000176108819000012/0001761088-19-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/1536089/000149315220024467/0001493152-20-024467-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000149315222001050/0001493152-22-001050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-30000,-50000,-40000,-23140,-28500,-29710,-44100,-1023087,-9823,-119021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,625000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-30000,-90000,40000,-25310,47460,-29700,37940,152808,52743,87813
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,8223,-9730,3623,10514,1675,-27822,-37343,19950
81,Other Working Capital,50000,20000,-70000,-30000,-55310,-7850,-37550,390,153198,205941,293754
82,Other Non-Cash Items,- -,29953,111627,-26090,17382,-41538,41084,-32043,-84112,-18007,36153
83,Cash Provided by Operating Activities,- -,-30047,-28373,-26090,-31068,-22578,-18326,-38203,-329391,24913,4945
84,CAPEX,- -,- -,-10000,- -,- -,- -,- -,-42363,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,1812,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,11195,-7500
89,Cash Used for Investing Activites,- -,- -,-10000,- -,- -,- -,- -,-42363,1812,11195,-7500
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-36000,- -
91,Common Stock Issued,- -,- -,- -,8150,- -,- -,- -,101500,20700,- -,- -
92,Common Stock Repurchased,20000,- -,- -,- -,- -,- -,- -,- -,-22840,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30000,- -,20000,16436,34668,20150,20000,25600,- -,- -,217375
95,Cash Used/Provided by Financing Activities,50000,- -,20000,24586,34668,20150,20000,127100,-12140,-36000,217375
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,50000,-30047,-18373,24586,34668,-2428,1674,46534,-339719,108,214820
98,Cash at the End of Period,50000,19877,1504,- -,3600,1172,2846,49380,36136,36244,251064
99,Cash at the Beginning of Period,- -,49924,19877,1504,- -,3600,1172,2846,375855,36136,36244
100,Free Cash Flow,- -,-30047,-38373,-26090,-31068,-22578,-18326,-80566,-329391,24913,4945
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1536089/000139390514000055/0001393905-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785516000722/0001127855-16-000722-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785516000810/0001127855-16-000810-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785517000135/0001127855-17-000135-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000112785518000167/0001127855-18-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000176108819000012/0001761088-19-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/1536089/000149315220024467/0001493152-20-024467-index.htm,https://www.sec.gov/Archives/edgar/data/1536089/000149315222001050/0001493152-22-001050-index.htm
102,false,,,,,,,,,,,
