,https://roic.ai/company/BMRA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,40370,- -,- -,- -,- -,35051,- -,27521,12323,5830,1585,302,142,- -,167,282,37,47,9,367
14,Depreciation and Amortization,200000,100000,100000,100000,500000,800000,800000,500000,400000,400000,300000,200000,200000,300000,222325,208990,192418,116547,144160,159317,122047,56736,65827,88651,114006,147810,180124,216708,207033,253275,232422,219219,186601,162905,398632,375855
15,EBITDA,-1700000,-1200000,-300000,-800000,-100000,-200000,-100000,100000,600000,500000,700000,700000,300000,200000,-3666124,-2460928,-185887,-105101,-77218,323514,353920,645435,1708871,383352,-218126,313086,795158,741474,-219245,-393159,-563398,-689060,-1247390,-2205871,-1933023,-6079757
16,EBITDA ratio,-1.0000,-0.6316,-0.2143,-0.6667,-0.0122,-0.0192,-0.0128,0.0125,0.0723,0.0543,0.0737,0.0761,0.0319,0.0230,-0.4563,-0.2753,-0.0216,-0.0116,-0.0084,0.0349,0.0493,0.1123,0.3469,0.0777,-0.0430,0.0639,0.1308,0.1145,-0.0428,-0.0792,-0.1096,-0.1190,-0.2242,-0.4242,-0.2888,-0.8445
17,Operating Income,-2100000,-1300000,-1600000,-900000,- -,-1900000,-1400000,-300000,200000,400000,700000,600000,200000,-300000,-4190007,-683584,-465421,-209883,-316138,-234764,-97090,520790,509489,247659,-364520,-132261,504999,514008,-446594,-670595,-826952,-954633,-1481755,-2412790,-2402848,-6522475
18,Operating Income ratio,-1.2353,-0.6842,-1.1429,-0.7500,- -,-0.1827,-0.1795,-0.0375,0.0241,0.0435,0.0737,0.0652,0.0213,-0.0345,-0.5216,-0.0765,-0.0541,-0.0232,-0.0345,-0.0253,-0.0135,0.0906,0.1034,0.0502,-0.0718,-0.0270,0.0830,0.0794,-0.0872,-0.1351,-0.1609,-0.1648,-0.2663,-0.4639,-0.3590,-0.9060
19,Total Other Income Expenses (Gains),-100000,-100000,1000000,100000,-300000,900000,100000,100000,100000,- -,- -,100000,200000,300000,301558,107098,-99191,-11765,18911,215238,252455,4989,1133555,19521,20065,291707,108450,10456,20174,24161,30965,46072,47727,43967,71184,66496
20,Income Before Tax,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-3888449,-576486,-564612,-221648,-297227,-19526,155365,525779,1643044,267180,-344455,159446,613449,524464,-426420,-646434,-795987,-908561,-1434028,-2368823,-2331664,-6455979
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.0962,- -,- -,- -,- -,- -,- -,- -,- -,-0.4840,-0.0645,-0.0657,-0.0245,-0.0324,-0.0021,0.0216,0.0915,0.3335,0.0541,-0.0679,0.0325,0.1009,0.0810,-0.0833,-0.1303,-0.1549,-0.1569,-0.2577,-0.4555,-0.3484,-0.8968
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,2400,2400,2060,2219,1823,1938,1600,16769,-67000,-87000,-13000,1999,65014,-12493,-210760,-315024,703800,- -,31800,24237,7390,13057
23,Net Income,-1900000,-1300000,-400000,-900000,-600000,-1200000,-900000,-400000,- -,100000,400000,400000,100000,-100000,-3890849,-2672318,-420735,-223867,-223201,162259,230273,536879,1710044,354180,-331455,157447,548435,536957,-215660,-331410,-1499787,-908561,-1465828,-2393060,-2339054,-6469036
24,Net Income ratio,-1.1176,-0.6842,-0.2857,-0.7500,-0.0732,-0.1154,-0.1154,-0.0500,- -,0.0109,0.0421,0.0435,0.0106,-0.0115,-0.4843,-0.2989,-0.0489,-0.0247,-0.0243,0.0175,0.0320,0.0934,0.3471,0.0718,-0.0653,0.0321,0.0902,0.0830,-0.0421,-0.0668,-0.2918,-0.1569,-0.2634,-0.4601,-0.3495,-0.8986
25,EPS,-0.66,-0.44,-0.14,-0.30,-0.18,-0.40,-0.30,-0.14,0.02,0.03,0.12,0.12,0.04,-0.01,-0.86,-0.55,-0.08,-0.05,-0.04,0.03,0.04,0.09,0.28,0.05,-0.05,0.02,0.08,0.08,-0.03,-0.04,-0.20,-0.11,-0.17,-0.26,-0.23,-0.54
26,EPS Diluted,-0.66,-0.44,-0.14,-0.30,-0.18,-0.40,-0.30,-0.14,0.02,0.03,0.12,0.10,0.03,-0.01,-0.86,-0.55,-0.08,-0.05,-0.04,0.03,0.03,0.08,0.25,0.05,-0.05,0.02,0.08,0.07,-0.03,-0.04,-0.20,-0.11,-0.17,-0.26,-0.23,-0.54
27,Weighted Average Shares Outstanding,2878788,2954545,2857143,3000000,3333333,3000000,3000000,2857143,3333333,3333333,3589494,3858799,3951552,4001755,4542820,4814790,5100719,5304432,5739993,5752431,5759082,5929445,6125981,6619399,6646878,6668229,6887929,7024418,7370787,7552262,7626078,8329769,8570029,9212557,10166296,11928941
28,Weighted Average Shares Outstanding Diluted,2878788,2954545,2857143,3000000,3333333,3000000,3000000,2857143,3333333,3333333,3589494,3867207,4061235,4001755,4542820,4814790,5100719,5304432,5739993,6619121,6220335,6513477,6978039,7007601,6646878,6704307,7107759,7451113,7370787,7552262,7626078,8329769,8570029,9212557,10166296,11928941
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968705002590/0001019687-05-002590-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968708003970/0001019687-08-003970-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000101968709003182/0001019687-09-003182-index.html,https://www.sec.gov/Archives/edgar/data/73290/000101968710003222/0001019687-10-003222-index.html,- -,https://www.sec.gov/Archives/edgar/data/73290/000151316212000654/0001513162-12-000654-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316213000655/0001513162-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316214000506/0001513162-14-000506-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316215000518/0001513162-15-000518-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316216000987/0001513162-16-000987-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316217000246/0001513162-17-000246-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316218000223/0001513162-18-000223-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316219000194/0001513162-19-000194-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316220000185/0001513162-20-000185-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316221000112/0001513162-21-000112-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6200000,4700000,3700000,- -,- -,200000,300000,300000,800000,700000,600000,1700000,1800000,1700000,634210,136299,329277,525167,352374,351881,119914,516900,2022380,1595823,1055206,989270,1077342,2469796,1509125,1088307,1888925,1225462,1204903,686785,8641027,4199311
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,98774,41570,2532,13112,26120,8180,3279,532,355,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6200000,4700000,3700000,- -,- -,200000,300000,300000,800000,700000,600000,1700000,1800000,1800000,732984,177869,331809,538279,378494,360061,123193,517432,2022735,1695823,1055206,989270,1077342,2469796,1509125,1088307,1888925,1225462,1204903,686785,8641027,4199311
34,Net Receivables,400000,300000,200000,200000,2500000,2000000,1300000,1500000,1500000,1600000,1800000,1500000,1600000,1600000,1701935,1543649,1506763,1663236,1517283,1722212,560721,504767,614330,640668,1017842,747075,1200516,871660,1447705,1111570,969474,1060011,799940,1454652,1765871,1455051
35,Inventory,300000,600000,400000,400000,2800000,2200000,2300000,2200000,1600000,1800000,2100000,2400000,2500000,3100000,2860284,2865956,2921012,2649932,2672843,2090178,1104367,1461713,1764202,1999463,1790567,1785525,1821072,1571221,1765772,2027372,1863091,1729121,2178777,2151090,2850836,3206000
36,Other Current Assets,200000,100000,100000,1000000,600000,400000,700000,500000,900000,400000,400000,700000,600000,300000,513520,89422,122474,171423,181761,114643,57668,126435,136867,218717,229703,364563,387700,340678,190572,238352,113578,195757,300409,202402,1509083,370545
37,Total Current Assets,7100000,5700000,4400000,1600000,5900000,4800000,4600000,4500000,4800000,4500000,4900000,6300000,6500000,6800000,5808723,4676896,4882058,5022870,4750381,4287094,1845949,2610347,4538134,4554671,4093318,3886433,4486630,5253355,4913174,4465601,4835068,4210351,4484029,4494929,14766817,9230907
38,PP&E,300000,300000,200000,100000,1300000,1300000,1000000,800000,500000,500000,500000,500000,500000,400000,470450,318448,227841,386984,716801,817414,127391,168037,369580,366819,562227,567323,584824,654620,614337,445386,380659,331857,351149,351070,1990889,1863601
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1500000,1200000,900000,800000,700000,600000,600000,500000,500000,400000,366814,297239,116181,69775,48821,12938,7763,2588,- -,30000,83881,177410,194583,165200,382181,321304,248801,174469,98923,107209,168655,294830
41,Intangible Assets,- -,- -,- -,- -,1500000,1200000,900000,800000,700000,600000,600000,500000,500000,400000,366814,297239,116181,69775,48821,12938,7763,2588,- -,30000,83881,177410,194583,165200,382181,321304,248801,174469,98923,107209,168655,294830
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165324,165324,165324,165324,165324,165324,165324,165324,165324,165324,165324
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000,- -,196000,111000,61000,85000,359000,670000,41000,41000,10000,- -,- -,- -
44,Other Non-Current Assets,100000,300000,200000,2100000,300000,- -,-100000,200000,300000,200000,100000,100000,- -,200000,89322,54538,50546,68400,51887,673240,447219,443536,64997,200582,79774,47888,78561,71388,36297,56838,55653,94989,113157,126832,168193,264151
45,Total Non-Current Assets,400000,600000,400000,2200000,3100000,2500000,1800000,1800000,1500000,1300000,1200000,1100000,1000000,1000000,926586,670225,394568,525159,817509,1503592,582373,614161,569577,597401,921882,1068945,1084292,1141532,1557139,1658852,891437,807639,738553,750435,2493061,2587906
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7500000,6300000,4800000,3800000,9000000,7300000,6400000,6300000,6300000,5800000,6100000,7400000,7500000,7800000,6735309,5347121,5276626,5548029,5567890,5790686,2428322,3224508,5107711,5152072,5015200,4955378,5570922,6394887,6470313,6124453,5726505,5017990,5222582,5245364,17259878,11818813
48,Accounts Payable,- -,- -,- -,400000,1600000,1400000,1500000,700000,600000,600000,700000,700000,800000,1000000,1314047,930965,906190,1280134,982779,1082926,580767,666250,473539,- -,- -,246346,187618,282138,385701,356565,325984,336430,655599,999593,986711,431621
49,Short-Term Debt,- -,- -,- -,- -,1600000,2600000,2200000,2200000,1800000,400000,500000,400000,100000,200000,160000,140000,95669,59474,317318,476087,264656,172264,100116,- -,45075,35390,43000,- -,- -,- -,- -,- -,- -,- -,211809,327944
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59938,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1200000,1500000,500000,100000,- -,800000,400000,500000,700000,600000,500000,400000,500000,400000,353515,661335,634169,708019,754219,698759,510578,572989,535543,723559,871805,343279,361670,277755,170143,167368,180043,192436,241209,264801,278627,540655
53,Total Current Liabilities,1200000,1500000,500000,500000,3200000,4800000,4100000,3400000,3100000,1600000,1700000,1500000,1400000,1600000,1827562,1732300,1636028,2047627,2054316,2257772,1356001,1411503,1109198,723559,916880,625015,592288,559893,555844,523933,506027,528866,896808,1264394,1477147,1300220
54,Long-Term Debt,- -,- -,- -,- -,1200000,100000,100000,- -,- -,900000,300000,- -,- -,- -,- -,95000,345000,254502,- -,- -,- -,- -,- -,80527,35424,- -,- -,- -,- -,- -,- -,- -,- -,- -,1569678,1291570
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,200000,200000,200000,- -,- -,- -,- -,100000,-100000,100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,8574,60453,114565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,200000,200000,200000,- -,1200000,100000,100000,100000,-100000,1000000,300000,- -,-100000,- -,- -,95000,345000,254502,- -,- -,8574,60453,114565,80527,35424,- -,- -,- -,- -,- -,- -,- -,- -,- -,1569678,1291570
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8574,4180,114565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1781487,1619514
61,Total Liabilities,1400000,1700000,700000,500000,4400000,4800000,4100000,3500000,3000000,2600000,2000000,1500000,1300000,1600000,1827562,1827300,1981028,2302129,2054316,2257772,1364575,1471956,1223763,804086,952304,625015,592288,559893,555844,523933,506027,528866,896808,1264394,3046825,2591790
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25714,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,366005,391254,437538,446293,460193,460193,461333,475535,519186,530482,532866,549466,556186,581976,603496,605336,653573,680893,711040,774173,939205,984571
64,Retained Earnings,-4700000,-6000000,-6400000,-7300000,-7900000,-8900000,-9900000,-10300000,-10200000,-10200000,-9700000,-9300000,-9100000,-9200000,-13095524,-15767842,-16188577,-16454190,-16677391,-16515132,-16284859,-15747980,-14037936,-13683756,-14015211,-13857764,-13309329,-12772372,-12988032,-13319442,-14819229,-15727790,-17193618,-19586678,-21925732,-28394768
65,Other Comprehensive Income/Loss,-700000,-900000,-900000,-900000,-2600000,-2600000,-2400000,-2600000,-2600000,-2500000,-2700000,-2600000,-2600000,-2800000,-2926110,-3032659,-3082411,-9657,18466,526,-177051,-229717,-4398,-1726,-3513,-4460,-6030,-9006,-10149,-12264,-13586,-15834,-26136,-36531,-39841,-47956
66,Other Total Stockholders Equity,11500000,11500000,11400000,11500000,15100000,14000000,14600000,15700000,16100000,15900000,16500000,17800000,17900000,17900000,20563376,21929068,22129048,17117393,17125005,17107474,17064324,17254714,17407096,17502986,17548754,17643121,17737807,18034396,18309154,18326890,19399720,19551855,20834488,22830006,35213707,36685176
67,Total Stockholders Equity,6100000,4600000,4100000,3300000,4600000,2500000,2300000,2800000,3300000,3200000,4100000,5900000,6200000,6200000,4907747,3519821,3295598,1099839,926273,1053061,1063747,1752552,3883948,4347986,4062896,4330363,4978634,5834994,5914469,5600520,5220478,4489124,4325774,3980970,14213053,9227023
68,Total Liabilities And Stockholders Equity,7500000,6300000,4800000,3800000,9000000,7300000,6400000,6300000,6300000,5800000,6100000,7400000,7500000,7800000,6735309,5347121,5276626,3401968,2980589,3310833,2428322,3224508,5107711,5152072,5015200,4955378,5570922,6394887,6470313,6124453,5726505,5017990,5222582,5245364,17259878,11818813
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2146061,2587301,2479853,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7500000,6300000,4800000,3800000,9000000,7300000,6400000,6300000,6300000,5800000,6100000,7400000,7500000,7800000,6735309,5347121,5276626,5548029,5567890,5790686,2428322,3224508,5107711,5152072,5015200,4955378,5570922,6394887,6470313,6124453,5726505,5017990,5222582,5245364,17259878,11818813
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968705002590/0001019687-05-002590-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968708003970/0001019687-08-003970-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000101968709003182/0001019687-09-003182-index.html,https://www.sec.gov/Archives/edgar/data/73290/000101968710003222/0001019687-10-003222-index.html,- -,https://www.sec.gov/Archives/edgar/data/73290/000151316212000654/0001513162-12-000654-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316213000655/0001513162-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316214000506/0001513162-14-000506-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316215000518/0001513162-15-000518-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316216000987/0001513162-16-000987-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316217000246/0001513162-17-000246-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316218000223/0001513162-18-000223-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316219000194/0001513162-19-000194-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316220000185/0001513162-20-000185-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316221000112/0001513162-21-000112-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-900000,-600000,-1200000,-900000,-400000,- -,100000,400000,400000,100000,-100000,-3890849,-2672318,-420735,-223867,-223201,162259,230273,536879,1710044,354180,-331455,157447,548435,536957,-215660,-331410,-1499787,-908561,-1465828,-2393060,-2339054,-6469036
74,Depreciation and Amortization,- -,- -,- -,100000,500000,800000,800000,500000,400000,400000,300000,200000,200000,300000,222325,208990,192418,116547,144160,159317,122047,56736,65827,88651,114006,147810,180124,216708,207033,253275,232422,219219,186601,162905,398632,375855
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,-217000,-298000,703000,- -,31000,10000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27967,53616,20865,11003,10016,15153,21727,18473,151224,200470,377391
77,Change in Working Capital,- -,- -,- -,200000,1600000,-2700000,500000,600000,600000,1200000,300000,1600000,300000,100000,-1218839,-1036565,301434,-270787,-279178,-666743,-1539374,708896,2230092,402176,-654674,46795,-3257523658,799120,-336132,-415662,387373,-647556,-94264,-356686,10059135,-5358983
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28564,-313948,261769,-534428,326317,-490316,348667,151159,-132261,252505,-670126,-309090,-455614
79,Inventory,- -,- -,- -,100000,- -,700000,-100000,- -,500000,- -,-200000,-400000,-100000,-500000,198406,-128301,-91508,261080,-17911,32328,-261864,-333683,-302489,-370185,292654,3815,-27706,245960,-158960,-243378,137131,150475,-457269,21387,-717460,-1906013
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121757,- -,-5454,103563,-29136,-30581,10445,319169,343994,-12883,- -
81,Other Working Capital,- -,- -,- -,1100000,2700000,- -,500000,1100000,1700000,2900000,3200000,4800000,5100000,5200000,3981161,2944596,3246030,2975243,2696065,2029322,489948,1198844,3428936,3831112,3176438,-79058,3894342,4693462,4357330,3941668,4329041,3681485,3587221,3230535,13289670,7930687
82,Other Non-Cash Items,- -,- -,- -,- -,-1700000,4200000,-800000,-1100000,- -,-1200000,-500000,-1500000,-200000,-700000,2323560,3608848,-204190,890643,283187,418087,801885,-838803,-4200558,-947006,635143,-51216,3256888895,-188613,-311517,376300,-46943,592313,149801,181578,-12616681,5823025
83,Cash Provided by Operating Activities,- -,- -,- -,-600000,-200000,1100000,-400000,-400000,1000000,500000,500000,700000,400000,-400000,-2563803,108955,-131073,512536,-75032,72920,-385169,463708,-194595,-101999,-236980,328803,147412,1394037,-862273,-405481,-208782,-722858,-1174217,-2244039,-4297498,-5251748
84,CAPEX,- -,- -,- -,- -,-200000,-400000,-100000,-100000,-100000,-200000,-100000,-200000,-100000,-100000,-206383,-61919,-11728,-236285,-436089,-242240,-252428,-112695,-264783,-115890,-369402,-266359,-214798,-257121,-283730,-24682,-95192,-96085,-130347,-171111,-118927,-295583
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,-100000,- -,- -,- -,-100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-165324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1500000,600000,300000,- -,100000,100000,200000,100000,- -,200000,300000,18191,85665,39116,- -,45967,8888,685,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1500000,-300000,- -,- -,- -,- -,- -,- -,- -,-100000,-200000,-172295,26786,192064,- -,- -,- -,- -,50000,1780478,-30000,-53881,-125275,51628,- -,-145296,-12279,-3636,- -,- -,-69974,-85319,-159727
89,Cash Used for Investing Activites,- -,- -,- -,-100000,100000,-100000,-200000,- -,- -,- -,-100000,-400000,- -,- -,-360487,50532,219452,-236285,-390122,-233352,-251743,-62695,1515695,-215890,-269402,-431683,-113170,-257121,-282530,-22782,-95192,-96085,-130347,-171111,-118927,-295583
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177392,-42282,-45109,-35390,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,300000,100000,- -,- -,- -,1100000,- -,200000,2027209,248980,11328,40000,322500,1170,503195,31089,148507,- -,- -,- -,- -,250000,150000,- -,995978,- -,1266871,1776575,10232857,1011475
