,https://roic.ai/company/STEM,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1006,1006,364,14000
64,Retained Earnings,-8144,-18550,- -,-509052000
65,Other Comprehensive Income/Loss,- -,- -,- -,20000
66,Other Total Stockholders Equity,23994,23994,- -,1176845000
67,Total Stockholders Equity,16856,6450,5,667827000
68,Total Liabilities And Stockholders Equity,481750,253018,21,1191830000
69,Minority Interest,- -,- -,364,- -
70,Total Liabilities & Equity,481750,253018,385,1191830000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1758766/000110465921031725/0001104659-21-031725-index.htm,https://www.sec.gov/Archives/edgar/data/1758766/000175876622000032/0001758766-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,-10406,-3363468,-101211000
74,Depreciation and Amortization,- -,- -,17736000,24473000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,4542000,13546000
77,Change in Working Capital,- -,-7067,244973,-59540000
78,Accounts Receivable,- -,- -,-6988000,-48125000
79,Inventory,- -,- -,-17263000,-1877000
80,Accounts Payable,- -,-778,- -,- -
81,Other Working Capital,- -,-244974,-1,-17589000
82,Other Non-Cash Items,- -,7129,-52830505,21466000
83,Cash Provided by Operating Activities,- -,-10344,-33671000,-101266000
84,CAPEX,- -,- -,-12036000,-10174000
85,Acquisitions Net,- -,- -,- -,-1212000
86,Purchases of Investments,- -,- -,- -,-189858000
87,Sales/Maturities of Investments,- -,- -,- -,16011000
88,Other Investing Activites,- -,- -,-5828000,-5970000
89,Cash Used for Investing Activites,- -,- -,-12036000,-185233000
90,Debt Repayment,- -,-124828,-22240000,-41446000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,- -,-24500,62534000,1068541000
95,Cash Used/Provided by Financing Activities,- -,-149328,40294000,1027095000
96,Effect of Forex Changes on Cash,- -,- -,-534000,242000
97,Net Change In Cash,- -,- -,-5947000,740838000
98,Cash at the End of Period,- -,- -,6942000,747780000
99,Cash at the Beginning of Period,- -,159672,12889000,6942000
100,Free Cash Flow,- -,-10344,-45707000,-111440000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1758766/000110465921031725/0001104659-21-031725-index.htm,https://www.sec.gov/Archives/edgar/data/1758766/000175876622000032/0001758766-22-000032-index.htm
102,false,,,,
