,https://roic.ai/company/MNSO,2018,2019,2020,2021
82,Other Non-Cash Items,- -,422230000,428567000,1294524000
83,Cash Provided by Operating Activities,- -,1038471000,826484000,916320000
84,CAPEX,- -,-116124000,-56974000,-180279000
85,Acquisitions Net,- -,- -,-75552000,-364824000
86,Purchases of Investments,- -,-956800000,-3821580000,-28887790000
87,Sales/Maturities of Investments,- -,602000000,4176380000,28787790000
88,Other Investing Activites,- -,260009000,240541000,126306000
89,Cash Used for Investing Activites,- -,-210915000,462815000,-518797000
90,Debt Repayment,- -,-181576000,-196716000,-632350000
91,Common Stock Issued,- -,- -,- -,4178860000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-330336000,- -
94,Other Financing Activites,- -,801434000,409346000,-10326000
95,Cash Used/Provided by Financing Activities,- -,619858000,-117706000,3536184000
96,Effect of Forex Changes on Cash,- -,10698000,-3831000,-16034000
97,Net Change In Cash,- -,1458112000,1167762000,3917673000
98,Cash at the End of Period,- -,1686218000,2853980000,6771653000
99,Cash at the Beginning of Period,- -,228106000,1686218000,2853980000
100,Free Cash Flow,- -,922347000,769510000,736041000
101,SEC Link,undefined,- -,- -,- -
102,Forex Rate,undefined,0.1456,0.1415,0.1549
