,https://roic.ai/company/SREV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,5974000,12241000,-420000,-4272000,-10707000,-21981000,-94857000,-39009000,-28697000,-31493000,-24435000,-18240000,-17832000,-14443000
21,Income Before Tax Ratio,0.0596,0.1106,-0.0027,-0.0208,-0.0439,-0.0807,-0.3485,-0.1547,-0.1135,-0.1317,-0.1025,-0.0844,-0.0916,-0.0738
22,Income Tax expense (Gain),1153000,1866000,2147000,-19383000,32107000,871000,302000,1404000,3429000,-1647000,450000,443000,-709000,278000
23,Net Income,4821000,10375000,-2567000,15111000,-42814000,-22852000,-95159000,-40413000,-32126000,-29846000,-24885000,-18683000,-18541000,-14721000
24,Net Income ratio,0.0481,0.0937,-0.0168,0.0735,-0.1757,-0.0839,-0.3496,-0.1602,-0.1270,-0.1248,-0.1044,-0.0864,-0.0953,-0.0752
25,EPS,0.08,0.18,-0.04,0.23,-0.58,-0.29,-1.15,-0.47,-0.37,-0.33,-0.27,-0.20,-0.19,-0.15
26,EPS Diluted,0.08,0.18,-0.04,0.21,-0.58,-0.29,-1.15,-0.47,-0.37,-0.33,-0.27,-0.20,-0.19,-0.15
27,Weighted Average Shares Outstanding,57284000,57284000,57284000,66656000,74270000,78408000,82872000,85417000,86318000,89234000,91636000,93882000,95787000,98050000
28,Weighted Average Shares Outstanding Diluted,57284000,57284000,57284000,73585000,74270000,78408000,82872000,85417000,86318000,89234000,91636000,93882000,95787000,98050000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1310114/000119312512099141/0001193125-12-099141-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000119312513098863/0001193125-13-098863-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000144530514000933/0001445305-14-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011415000004/srev-1231201410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011416000032/0001310114-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011417000009/0001310114-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011418000014/0001310114-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011419000006/0001310114-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011420000007/0001310114-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011421000010/0001310114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000155837022001739/0001558370-22-001739-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3780000,13169000,22652000,65983000,76568000,170132000,90382000,72334000,47692000,51389000,26535000,27089000,34006000,28507000
32,Short-Term Investments,- -,- -,- -,42882000,32874000,105001000,125000000,136378000,137881000,137181000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3780000,13169000,22652000,108865000,109442000,275133000,215382000,208712000,185573000,188570000,26535000,27089000,34006000,28507000
34,Net Receivables,27672000,28756000,49255000,54095000,65238000,73113000,70163000,56563000,63289000,56516000,54284000,41754000,38890000,43571000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2020000,1800000,3863000,11471000,5567000,6707000,7213000,8264000,7607000,6112000,5653000,7296000,9275000,8995000
37,Total Current Assets,33472000,43725000,75770000,174431000,180247000,354953000,292758000,273539000,256469000,251198000,86472000,76139000,82171000,81073000
38,PP&E,9073000,14001000,19418000,26840000,34513000,27998000,25658000,25903000,38180000,34119000,36593000,72545000,29948000,41764000
39,Goodwill,6334000,6334000,6334000,6334000,6334000,6333000,6334000,6334000,6334000,6333000,4736000,6334000,6334000,6334000
40,Intangible Assets,- -,- -,- -,- -,- -,1000,4623000,3110000,1598000,86000,1598000,- -,- -,- -
41,Intangible Assets,6334000,6334000,6334000,6334000,6334000,6333000,10957000,9444000,7932000,6419000,6334000,6334000,6334000,6334000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,2101000,2882000,33075000,30238000,2321000,2035000,2488000,1759000,64000,70000,- -,- -,- -,- -
44,Other Non-Current Assets,732000,2638000,1910000,1118000,1057000,8626000,7985000,8960000,3445000,3566000,7181000,6446000,- -,3277000
45,Total Non-Current Assets,18240000,25855000,60737000,64530000,44225000,44992000,47088000,46066000,49621000,44174000,50108000,85325000,36282000,51375000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51712000,69580000,136507000,238961000,224472000,399945000,339846000,319605000,306090000,295372000,136580000,161464000,118453000,132448000
48,Accounts Payable,2063000,1124000,3710000,8617000,3293000,3610000,2922000,1067000,1916000,4574000,2424000,4392000,1204000,832000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,144167000,- -,- -,15000000,18614000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,593000,2295000,5905000,7018000,5770000,4152000,1282000,873000,842000,- -,- -
52,Other Current Liabilities,19090000,23502000,53028000,30425000,25228000,30253000,33228000,30271000,31816000,28637000,24910000,31094000,33565000,24944000
53,Total Current Liabilities,21153000,24626000,56738000,39635000,30816000,39768000,43168000,37108000,37884000,178660000,28207000,36328000,49769000,44390000
54,Long-Term Debt,16835000,14286000,980000,- -,6729000,113915000,120730000,128092000,134775000,- -,- -,- -,- -,19869000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,283000,- -,- -
57,Other Non-Current Liabilities,242000,337000,1027000,2310000,- -,5566000,4660000,4311000,6495000,4603000,6272000,36416000,1593000,1155000
58,Total Non-Current Liabilities,17077000,14623000,2007000,2310000,6729000,119481000,125390000,132403000,141270000,4603000,6540000,36699000,1593000,21024000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29161000,- -
60,Capital Lease Obligations,- -,- -,- -,1664000,964000,657000,329000,198000,113000,- -,2464000,44991000,36772000,28483000
61,Total Liabilities,38230000,39249000,58745000,41945000,37545000,159249000,168558000,169511000,179154000,183263000,34747000,73027000,77337000,65414000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13357000,30506000,6000,7000,8000,8000,8000,8000,8000,8000,9000,9000,10000,10000
64,Retained Earnings,- -,- -,21756000,19416000,-23398000,-46250000,-141409000,-181822000,-216361000,-246207000,-267383000,-286066000,- -,-319328000
65,Other Comprehensive Income/Loss,-4494000,-7968000,-13960000,-23187000,-32558000,1000000,1000000,-59901000,-1000000,-1000000,-72493000,-78031000,1000000,966000
66,Other Total Stockholders Equity,4619000,7793000,69960000,200780000,242875000,285939000,311689000,391809000,344289000,359308000,441700000,452525000,74266000,385386000
67,Total Stockholders Equity,13482000,30331000,77762000,197016000,186927000,240697000,171288000,150094000,126936000,112109000,101833000,88437000,75276000,67034000
68,Total Liabilities And Stockholders Equity,51712000,69580000,136507000,238961000,224472000,399946000,339846000,319605000,306090000,295372000,136580000,161464000,152613000,132448000
69,Minority Interest,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,-34160000,- -
70,Total Liabilities & Equity,51712000,69580000,136507000,238961000,224472000,399945000,339846000,319605000,306090000,295372000,136580000,161464000,118453000,132448000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1310114/000119312512099141/0001193125-12-099141-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000119312513098863/0001193125-13-098863-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000144530514000933/0001445305-14-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011415000004/srev-1231201410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011416000032/0001310114-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011417000009/0001310114-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011418000014/0001310114-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011419000006/0001310114-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011420000007/0001310114-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011421000010/0001310114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000155837022001739/0001558370-22-001739-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,4821000,10375000,-2567000,15111000,-42814000,-22852000,-95159000,-40413000,-32126000,-29846000,-24885000,-18683000,-18541000,-14721000
74,Depreciation and Amortization,3356000,3527000,6137000,9372000,10003000,11652000,13219000,13736000,16052000,22588000,16495000,23164000,13925000,24066000
75,Deferred Income Tax,-1881000,-1025000,-1340000,-21021000,31340000,217000,-514000,789000,1924000,-1999000,33000,- -,- -,- -
76,Stock Based Compensation,5449000,6060000,8089000,11599000,20883000,23620000,20899000,13387000,10752000,13683000,9601000,5162000,4865000,6127000
77,Change in Working Capital,-9246000,6780000,-67000,115764000,14635000,165754000,-65595000,-13159000,-17846000,-146047000,-14273000,-18454000,-7409000,-13843000
78,Accounts Receivable,-6408000,-4494000,-21222000,-4972000,-11175000,-7470000,3716000,12002000,-7156000,9060000,1724000,12449000,3232000,-4983000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,938000,-1063000,1949000,2235000,-2473000,521000,-278000,-1562000,872000,2487000,-2406000,2441000,-3213000,-355000
81,Other Working Capital,12319000,19099000,19032000,134796000,149431000,315185000,249590000,236431000,218585000,72538000,58265000,39811000,32402000,863000
82,Other Non-Cash Items,733000,-6213000,12378000,-142056000,-23545000,-162716000,103388000,28283000,25696000,161418000,16746000,21256000,7561000,1976000
83,Cash Provided by Operating Activities,3232000,19504000,22630000,-11231000,10502000,15675000,-23762000,2623000,4452000,19797000,3717000,12445000,401000,3605000
84,CAPEX,-6806000,-7476000,-9170000,-14050000,-20353000,-5261000,-9357000,-11975000,-26337000,-17110000,-15604000,-10106000,-7855000,-3932000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-33000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-53795000,-64002000,-94247000,-84415000,-95421000,-102130000,-56626000,-480000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,10303000,73466000,17036000,64450000,83446000,99553000,56821000,138160000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,450000,-1244000,- -,2100000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6806000,-7476000,-9170000,-57542000,-10889000,-82472000,-61872000,-25194000,-28914000,-14815000,122076000,-10106000,-7855000,-3932000
90,Debt Repayment,-21548000,-13567000,-1776000,-39676000,-710000,-329000,-364000,-170000,-131000,-71000,-182413000,-900000,-952000,-19108000
91,Common Stock Issued,- -,- -,- -,125798000,10455000,24966000,4386000,5703000,10866000,1062000,759000,223000,414000,154000
92,Common Stock Repurchased,- -,-126000,-315000,- -,- -,- -,- -,-1212000,-8921000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15597000,11314000,-2048000,26059000,1347000,135128000,146000,- -,-877000,-775000,31015000,-182000,14839000,13211000
95,Cash Used/Provided by Financing Activities,-5951000,-2379000,-4139000,112181000,11092000,159765000,4168000,4321000,937000,216000,-150639000,-859000,14301000,-5743000
96,Effect of Forex Changes on Cash,158000,-260000,162000,-77000,-120000,596000,1716000,202000,-1117000,-1501000,-8000,124000,96000,545000
97,Net Change In Cash,-9367000,9389000,9483000,43331000,10585000,93564000,-79750000,-18048000,-24642000,3697000,-24854000,1604000,6943000,-5525000
98,Cash at the End of Period,3780000,13169000,22652000,65983000,76568000,170132000,90382000,72334000,47692000,51389000,27779000,29383000,36326000,30801000
99,Cash at the Beginning of Period,13147000,3780000,13169000,22652000,65983000,76568000,170132000,90382000,72334000,47692000,52633000,27779000,29383000,36326000
100,Free Cash Flow,-3574000,12028000,13460000,-25281000,-9851000,10414000,-33119000,-9352000,-21885000,2687000,-11887000,2339000,-7454000,-327000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1310114/000119312512099141/0001193125-12-099141-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000119312513098863/0001193125-13-098863-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000144530514000933/0001445305-14-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011415000004/srev-1231201410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/1310114/000131011416000032/0001310114-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011417000009/0001310114-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011418000014/0001310114-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011419000006/0001310114-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011420000007/0001310114-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1310114/000131011421000010/0001310114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1310114/000155837022001739/0001558370-22-001739-index.htm
102,false,,,,,,,,,,,,,,
