,https://roic.ai/company/BIOS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,1800000,2400000,3500000,4800000,5900000,10800000,9300000,7400000,5200000,4300000,9200000,10400000,11700000,14700000,15500000,23900000,29400000,23700000,41600000,38200000,31900000,32500000,27000000,28800000,- -,- -,- -
39,Goodwill,- -,- -,- -,19400000,18700000,37800000,36400000,61100000,61100000,74900000,104300000,115000000,114800000,24500000,24500000,324100000,324100000,350800000,605100000,573300000,308700000,365900000,367200000,367200000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1300000,1300000,2600000,17300000,15600000,17600000,14700000,8700000,5800000,- -,- -,30100000,25200000,17400000,32200000,10300000,5100000,31000000,19100000,10500000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,19400000,20000000,39100000,39000000,78400000,76700000,92500000,119000000,123700000,120600000,24500000,24500000,354200000,349300000,368200000,637300000,583600000,313800000,396900000,386300000,377700000,- -,- -,- -
42,Investments,- -,8900000,5700000,2300000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,234608695
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,9900000,12800000,500000,- -,9100000,10300000,10300000,15100000,19100000,200000,2300000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,800000,100000,600000,2100000,4100000,3800000,3700000,8300000,4500000,100000,-9200000,-12300000,700000,27900000,-100000,-4400000,-5200000,5900000,-4400000,13600000,-100000,2100000,2700000,- -,- -,369934
45,Total Non-Current Assets,1800000,12100000,9300000,27100000,30300000,54000000,52100000,89500000,90200000,101300000,129200000,134800000,132800000,40400000,67900000,387100000,384600000,407000000,699900000,636500000,359500000,431600000,415400000,409200000,- -,- -,234978629
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18900000,61800000,62700000,110100000,115700000,116400000,139800000,182200000,171200000,186500000,288600000,305500000,296800000,247000000,287200000,664000000,677100000,642400000,936900000,824700000,546500000,607700000,603100000,583900000,- -,- -,235980915
48,Accounts Payable,1100000,1600000,900000,6900000,5000000,3000000,4500000,17300000,16900000,20000000,40000000,51700000,57300000,76900000,74500000,80800000,79200000,34400000,64300000,90000000,65100000,59100000,66000000,67000000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4600000,- -,7300000,7400000,52900000,33800000,50400000,30400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2754000,1172000,1096000,1100000,1000000,1014000,1000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,28100000,28600000,43100000,56300000,71400000,70600000,73900000,65700000,47100000,43500000,44500000,29100000,23700000,20500000,23300000,146000000,141600000,73900000,110000000,72300000,90900000,71300000,39100000,40300000,- -,- -,179136
53,Total Current Liabilities,29200000,30200000,44000000,63200000,76400000,73600000,78400000,87600000,64000000,70800000,91900000,133700000,114800000,147800000,128200000,226800000,220800000,108300000,174300000,162300000,156000000,130400000,105100000,107300000,- -,- -,179136
54,Long-Term Debt,100000,400000,800000,6800000,3000000,1600000,1100000,400000,- -,- -,- -,- -,- -,- -,- -,225100000,227300000,225400000,375300000,418400000,406300000,433400000,478900000,501500000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10295000,10291000,15107000,19058000,236000,2281000,- -,1032000,- -,- -,- -
57,Other Non-Current Liabilities,1100000,1100000,1100000,1100000,1100000,1700000,- -,- -,- -,- -,900000,9900000,15800000,3600000,3200000,12000000,3405000,5009000,17593000,8142000,1964000,1219000,21800000,24868000,- -,- -,14800000
58,Total Non-Current Liabilities,1200000,1500000,1900000,7900000,4100000,3300000,1100000,400000,- -,- -,900000,9900000,15800000,3600000,3200000,237100000,241000000,240700000,408000000,445600000,408500000,436900000,500700000,527400000,- -,- -,14800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,30400000,31700000,45900000,71100000,80500000,76900000,79500000,88000000,64000000,70800000,92800000,143600000,130600000,151400000,131400000,463900000,461800000,349000000,582300000,607900000,564500000,567300000,605800000,634700000,- -,- -,14979136
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-9200000,-41600000,-55100000,-50800000,-54600000,-56400000,-42200000,-23500000,-14400000,-7300000,-31200000,-69500000,-68600000,-142600000,-88500000,-157700000,-149800000,-85100000,-154700000,-302200000,-601900000,-643400000,-709500000,-761200000,- -,- -,-13598852
65,Other Comprehensive Income/Loss,-500000,-1200000,-1700000,-2900000,-5100000,-6800000,-11000000,-15000000,-18100000,-20000000,-19500000,-9600000,-13300000,-17100000,-21400000,-35800000,-41300000,-33400000,-42600000,-50600000,-62000000,-75100000,-88300000,-100900000,- -,- -,- -
66,Other Total Stockholders Equity,- -,72900000,73600000,92800000,94900000,102700000,113500000,132700000,139700000,143000000,246500000,240900000,248100000,255200000,265700000,393600000,406400000,411900000,551900000,569600000,645900000,758900000,795100000,811400000,- -,- -,631
67,Total Stockholders Equity,-11500000,30100000,16800000,39100000,35200000,39500000,60300000,94200000,107200000,115700000,195800000,161800000,166200000,95500000,155800000,200100000,215300000,293400000,354600000,216800000,-18000000,40400000,-2700000,-50700000,- -,- -,-13598221
68,Total Liabilities And Stockholders Equity,18900000,61800000,62700000,110200000,115700000,116400000,139800000,182200000,171200000,186500000,288600000,305400000,296800000,246900000,287200000,664000000,677100000,642400000,936900000,824700000,546500000,607700000,603100000,584000000,- -,- -,1380915
69,Minority Interest,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,234600000
70,Total Liabilities & Equity,18900000,61800000,62700000,110100000,115700000,116400000,139800000,182200000,171200000,186500000,288600000,305500000,296800000,247000000,287200000,664000000,677100000,642400000,936900000,824700000,546500000,607700000,603100000,583900000,- -,- -,235980915
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1856653/000119312522073378/0001193125-22-073378-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6800000,-31800000,-13500000,4300000,-3800000,-1800000,14200000,18700000,9100000,7000000,-23800000,-38300000,3300000,-74000000,54100000,-69100000,-4800000,64700000,-69700000,-147500000,-299700000,-41500000,-64200000,-51700000,- -,- -,- -
74,Depreciation and Amortization,370000,780000,1090000,1690000,3220000,4880000,6360000,6060000,5080000,5030000,9920000,10860000,7090000,6400000,5030000,12330000,15880000,- -,- -,- -,22740000,21550000,27730000,23600000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,2520000,2580000,-6030000,20300000,2810000,-12220000,-40520000,47340000,1160000,- -,4820000,12320000,-20090000,2050000,-3380000,70000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4466000,6122000,9450000,8570000,4513000,1963000,2360000,4175000,- -,- -,- -
77,Change in Working Capital,31600000,-10100000,10400000,-10800000,-20200000,20500000,-4200000,11900000,-2600000,53100000,-30500000,12200000,9600000,32300000,-41000000,21600000,55400000,-64400000,-36800000,5100000,14700000,36900000,-15200000,-66576850,- -,- -,- -
78,Accounts Receivable,-4700000,-3800000,-5100000,-41000000,1800000,6100000,-13300000,-5400000,14600000,-4500000,-53400000,-16300000,6100000,-29600000,7500000,-42600000,- -,95700000,- -,- -,- -,- -,3000000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-1200000,400000,-1800000,-1100000,-5600000,700000,-3300000,-14000000,-7600000,-100000,-11600000,-6100000,-15200000,9777000,-15249000,4939000,-2952000,-5769000,10016000,-2544000,11355000,- -,- -,- -
80,Accounts Payable,300000,-500000,700000,-6000000,1900000,2000000,-1500000,-12800000,400000,-3100000,-20000000,-11700000,-5600000,-19600000,2400000,-6300000,-1659000,-48200000,22136000,5313000,-6682000,2344000,-4805000,-815000,- -,- -,- -
81,Other Working Capital,19500000,9400000,19800000,9000000,-11200000,9300000,5100000,17000000,14400000,67500000,37000000,49200000,58800000,91100000,50100000,71700000,127100000,62700000,25900000,31000000,45700000,82600000,67400000,823150,- -,- -,- -
82,Other Non-Cash Items,-23770000,33480000,-1070000,-11570000,33680000,-12250000,-5430000,-15860000,240000,-64420000,43990000,-34920000,1390000,38770000,45140000,-33590000,-45136000,20458000,37680000,90090000,213097000,-63733000,51930000,70331850,- -,- -,- -
83,Cash Provided by Operating Activities,1400000,-7640000,-3080000,-16380000,12900000,11330000,10930000,20800000,14340000,3290000,-6420000,-29860000,24190000,-8750000,22750000,-21420000,26970000,26880000,-54550000,-31420000,-64740000,-42770000,-760000,-20100000,- -,- -,- -
84,CAPEX,-800000,-870000,-1580000,-2170000,-2180000,-6630000,-2630000,-2100000,-960000,-1060000,-5130000,-5440000,-5530000,-7460000,-5740000,-11110000,-463000,-43046000,-282998000,-13830000,-11540000,-9640000,-8680000,-13880000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-454000,- -,-67516000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2660000,-37980000,12510000,9960000,4750000,-15930000,-1020000,-31170000,-20000,-16020000,8250000,-12970000,- -,- -,- -,-97440000,-9447000,136926000,-19372000,58544000,24560000,4176000,-4950000,360000,- -,- -,- -
89,Cash Used for Investing Activites,-3460000,-38850000,10930000,7790000,2570000,-22560000,-3650000,-33270000,-980000,-17080000,3120000,-18410000,-5530000,-7460000,-5740000,-108550000,-9910000,93880000,-302370000,44260000,13020000,-72980000,-13630000,-13520000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-1135000,-2630000,- -,-980000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118382000,- -,- -,83267000,20777000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,46790000,110000,10000,-330000,330000,4680000,1680000,-4450000,880000,1780000,1360000,1870000,470000,3020000,4120000,3200000,8610000,120930000,1470000,59640000,83070000,20900000,-60000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,930000,-270000,-190000,3480000,-4320000,-3120000,-750000,4050000,-5240000,6430000,90000,45390000,-20530000,15740000,-20030000,125850000,-20260000,-67270000,61508000,-13435000,9550000,-56597000,3583000,8130000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,930000,46520000,-80000,3490000,-4650000,-2790000,3930000,5730000,-9690000,7310000,1870000,46750000,-18660000,16210000,-17010000,129970000,-17060000,-58660000,295820000,-13100000,66560000,109740000,44280000,8070000,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1130000,30000,7760000,-5100000,10810000,-14020000,11200000,-6740000,3680000,-6470000,-1440000,-1520000,- -,- -,- -,- -,- -,62100000,-61100000,-260000,14840000,-6010000,29890000,-25550000,- -,- -,- -
98,Cash at the End of Period,1770000,1830000,9560000,4500000,15310000,1280000,12500000,5760000,9480000,2930000,1560000,-20000,- -,- -,- -,- -,- -,62100000,1000000,740000,15540000,9590000,39490000,13950000,- -,- -,- -
99,Cash at the Beginning of Period,2900000,1800000,1800000,9600000,4500000,15300000,1300000,12500000,5800000,9400000,3000000,1500000,- -,- -,- -,- -,- -,- -,62100000,1000000,700000,15600000,9600000,39500000,- -,- -,- -
100,Free Cash Flow,600000,-8510000,-4660000,-18550000,10720000,4700000,8300000,18700000,13380000,2230000,-11550000,-35300000,18660000,-16210000,17010000,-32530000,17530000,15890000,-80180000,-45250000,-76280000,-52410000,-9440000,-33980000,- -,- -,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
