,https://roic.ai/company/NWPP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),1487000,1175000,-24000,1916000,-1738000,-2426000,-784000,2405000,-71000,-5000,19000,-9000,144000,149000,522000,1103000,1942000
23,Net Income,2723000,3090000,2870000,4737000,-3686000,-3972000,-8910000,-6324000,1484000,240000,2662000,958000,3094000,919000,2059000,2890000,7010000
24,Net Income ratio,0.1235,0.1219,0.0945,0.1362,-0.0989,-0.0988,-0.2364,-0.1381,0.0481,0.0083,0.0918,0.0330,0.0949,0.0311,0.0660,0.0919,0.1885
25,EPS,0.36,0.40,0.29,0.47,-0.37,-0.40,-0.89,-0.57,0.07,0.01,0.12,0.04,0.13,0.04,0.09,0.12,0.29
26,EPS Diluted,0.35,0.39,0.28,0.46,-0.37,-0.40,-0.89,-0.57,0.07,0.01,0.12,0.04,0.13,0.04,0.09,0.12,0.29
27,Weighted Average Shares Outstanding,7605568,7645907,9957949,9980348,10008943,10009468,10010178,11181963,21870758,22099926,22955391,23354155,23472012,23922086,23922086,23922086,23922086
28,Weighted Average Shares Outstanding Diluted,7826479,7840267,10371577,10234909,10008943,10009468,10010178,11181963,21870758,22099926,22955391,23354155,23472012,23922086,23922086,23922086,23922086
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163389/000119312512092215/0001193125-12-092215-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312513115216/0001193125-13-115216-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312514114237/0001193125-14-114237-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000119312515107231/0001193125-15-107231-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000072174816001017/0000721748-16-001017-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000072174817000158/0000721748-17-000158-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186818000198/0001721868-18-000198-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186819000157/0001721868-19-000157-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186820000183/0001721868-20-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000172186821000204/0001721868-21-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000190359622000131/0001903596-22-000131-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15728000,18451000,20195000,22099000,29978000,56918000,90476000,94107000,54678000,35555000,26338000,35316000,32701000,27909000,49895000,92128000,60946000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59407000,50649000,48406000,107358000
33,Cash and Short-Term Investments,15728000,18451000,20195000,22099000,29978000,56918000,90476000,94107000,54678000,35555000,26338000,35316000,32701000,87316000,100544000,140534000,168304000
34,Net Receivables,3005000,4140000,4969000,4537000,4292000,3841000,3067000,2374000,2286000,1975000,1816000,1848000,2036000,1934000,2115000,2392000,2112000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,691834000,732448000,777566000,749498000,32511000,49617000,79128000,100074000,101642000,70143000,71092000,264000,252000,-126903000,-45994000
37,Total Current Assets,- -,- -,716998000,759084000,811836000,810257000,126054000,146098000,136092000,137604000,129796000,107307000,105829000,89514000,102911000,16023000,124422000
38,PP&E,22046000,29438000,34892000,36829000,34958000,34141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,27613000,4062000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,4829000,4633000,4514000,4346000,- -,53000,8000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,4829000,4633000,4514000,4346000,123000,53000,8000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,8436000,5645000,9232000,7352000,6602000,8536000,36007000,52418000,81830000,100069000,101642000,70011000,71088000,59407000,50649000,48406000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1673000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,618200000,520446000,466781000,413411000,394460000,457017000,489783000,533221000,552813000,- -,- -
45,Total Non-Current Assets,- -,- -,48953000,48814000,46074000,47023000,654330000,572917000,548619000,513480000,496102000,527028000,560871000,592628000,603462000,- -,5735000
46,Other Assets,527770000,635819000,814904000,856712000,903984000,904303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,740279000,675960000
47,Total Assets,527770000,635819000,765951000,807898000,857910000,857280000,780384000,719015000,684711000,651084000,625898000,634335000,666700000,682142000,706373000,756302000,794647000
48,Accounts Payable,1558000,2783000,2822000,2155000,1617000,1720000,1796000,1880000,2287000,266000,288000,331000,426000,587000,694000,436000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,4062000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,-325000,-515000,-674000,1855000,1762000,2064000,3024000,-342000,1575000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1471000,1365000,1613000,2121000,2050000,2395000,3450000,2245000,2269000,- -,4062000
54,Long-Term Debt,11570000,- -,42434000,31495000,30283000,29333000,17983000,6558000,5358000,4158000,2958000,13758000,7558000,25126000,21496000,21496000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4686000,5446000,4988000,5121000,5285000,5499000,-19650000,-16920000,- -,726954000
58,Total Non-Current Liabilities,11570000,- -,42434000,31495000,30283000,29333000,17983000,11244000,10804000,9146000,8079000,19043000,13057000,5476000,4576000,21496000,726954000
59,Other Liabilities,500376000,593473000,763136000,789070000,841574000,843997000,768023000,689028000,653942000,615258000,585840000,604066000,625334000,634123000,654078000,719621000,731016000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4942000,5835000,5439000,- -
61,Total Liabilities,488806000,593473000,720702000,757575000,811291000,814664000,751511000,679149000,644751000,608233000,579811000,587418000,615727000,630892000,651771000,698125000,731016000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15239000,15314000,19919000,20017000,20018000,20020000,20020000,43731000,43745000,45757000,46708000,46709000,47844000,47844000,47844000,47844000,47844000
64,Retained Earnings,2475000,5565000,3839000,8576000,4890000,918000,-13085000,-19409000,-17925000,-17685000,-15023000,-14065000,-10847000,-9928000,-7869000,-4979000,2031000
65,Other Comprehensive Income/Loss,-6531000,-8798000,-11381000,-14345000,-12071000,-14083000,-15933000,-18324000,-20510000,-22056000,-21738000,-22388000,-23071000,-17769000,-18726000,742000,-814000
66,Other Total Stockholders Equity,27781000,30265000,32872000,36075000,33782000,35761000,37871000,33868000,34650000,36835000,36140000,36661000,37047000,31103000,33353000,14570000,14570000
67,Total Stockholders Equity,38964000,42346000,45249000,50323000,46619000,42616000,28873000,39866000,39960000,42851000,46087000,46917000,50973000,51250000,54602000,58177000,63631000
68,Total Liabilities And Stockholders Equity,527770000,635819000,765951000,807898000,857910000,857280000,780384000,719015000,684711000,651084000,625898000,634335000,666700000,682142000,706373000,756302000,794647000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,527770000,635819000,765951000,807898000,857910000,857280000,780384000,719015000,684711000,651084000,625898000,634335000,666700000,682142000,706373000,756302000,794647000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163389/000119312512092215/0001193125-12-092215-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312513115216/0001193125-13-115216-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312514114237/0001193125-14-114237-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000119312515107231/0001193125-15-107231-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000072174816001017/0000721748-16-001017-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000072174817000158/0000721748-17-000158-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186818000198/0001721868-18-000198-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186819000157/0001721868-19-000157-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186820000183/0001721868-20-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000172186821000204/0001721868-21-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000190359622000131/0001903596-22-000131-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,2723000,3090000,2870000,4737000,-3686000,-3972000,-8910000,-6324000,1484000,240000,2662000,958000,3094000,919000,2059000,2890000,7010000
74,Depreciation and Amortization,1922000,2300000,2598000,3196000,2951000,2846000,2663000,2570000,2383000,2224000,2092000,2398000,2547000,2626000,2311000,2189000,2097000
75,Deferred Income Tax,-241000,-267000,-1375000,112000,-4247000,-1239000,683000,2453000,-57000,- -,- -,-97000,-193000,195000,556000,1103000,1866000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,514000,- -,716998000,42086000,52752000,-1579000,-685674000,20150000,-10254000,1004000,-7737000,-22834000,-2533000,-15110000,13373000,-84619000,104337000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,633000,693000,88000,311000,159000,-32000,-188000,102000,-181000,-277000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,667000,1225000,39000,-667000,-538000,103000,76000,356000,407000,-2021000,22000,43000,95000,161000,107000,-258000,- -
81,Other Working Capital,- -,- -,716998000,759084000,811836000,810257000,124583000,144733000,134479000,135483000,127746000,104912000,102379000,87269000,100642000,16023000,120360000
82,Other Non-Cash Items,845000,927000,-713558000,-43512000,-38287000,14992000,703364000,-9933000,13599000,-276000,9478000,23022000,2819000,15771000,-6751000,87011000,-101510000
83,Cash Provided by Operating Activities,5763000,6050000,7533000,6619000,9483000,11048000,12126000,8916000,7155000,3192000,6495000,3447000,5734000,4401000,11548000,8574000,13800000
84,CAPEX,-4592000,-9692000,-6874000,-4940000,-1708000,-2825000,5945000,8098000,5097000,2582000,-2423000,-4790000,-2164000,1405000,1322000,-2141000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-3804000,-3061000,-7096000,-4120000,-909000,-4656000,-31647000,-40828000,-48280000,-54859000,-29377000,-14990000,-19843000,-967000,-804000,-9606000,-85082000
87,Sales/Maturities of Investments,2600000,5897000,- -,6045000,1639000,2654000,4195000,23851000,15876000,34229000,26243000,45797000,17921000,11211000,10657000,12279000,24001000
88,Other Investing Activites,-85004000,-101318000,-58116000,-39962000,-46672000,32324000,88936000,68403000,22448000,33316000,17381000,-27574000,-27410000,-34050000,-17732000,-13438000,-18624000
89,Cash Used for Investing Activites,-90800000,-108174000,-72086000,-42977000,-47650000,27497000,59563000,50093000,-11508000,10933000,11824000,-1557000,-31496000,-25453000,-9429000,-12906000,-79705000
90,Debt Repayment,- -,-11570000,- -,-15852000,-1212000,-1200000,-11100000,-11425000,-1200000,-1200000,-1200000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,141000,275000,28000,- -,- -,- -,- -,11437000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,86141000,114650000,66901000,53865000,55027000,5624000,-52565000,-55465000,-33876000,-32045000,-26341000,7220000,23019000,16520000,19855000,46535000,34501000
95,Cash Used/Provided by Financing Activities,86282000,103355000,66929000,38013000,53815000,4424000,-63665000,-55453000,-35076000,-33245000,-27541000,7220000,23019000,16520000,19855000,46535000,34501000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1245000,1231000,2376000,1655000,15648000,42969000,8024000,3556000,-39429000,-19120000,-9222000,9110000,-2743000,-4532000,21974000,42203000,-31404000
98,Cash at the End of Period,18650000,19881000,22257000,23912000,39560000,82529000,90553000,94109000,54680000,35560000,26338000,35448000,32705000,28173000,50147000,92350000,60946000
99,Cash at the Beginning of Period,17405000,18650000,19881000,22257000,23912000,39560000,82529000,90553000,94109000,54680000,35560000,26338000,35448000,32705000,28173000,50147000,92350000
100,Free Cash Flow,1171000,-3642000,659000,1679000,7775000,8223000,10205000,7583000,5603000,1439000,4072000,-1343000,3570000,2754000,9998000,6433000,13800000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163389/000119312512092215/0001193125-12-092215-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312513115216/0001193125-13-115216-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000119312514114237/0001193125-14-114237-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000119312515107231/0001193125-15-107231-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000072174816001017/0000721748-16-001017-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000072174817000158/0000721748-17-000158-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186818000198/0001721868-18-000198-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186819000157/0001721868-19-000157-index.html,https://www.sec.gov/Archives/edgar/data/1163389/000172186820000183/0001721868-20-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000172186821000204/0001721868-21-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1163389/000190359622000131/0001903596-22-000131-index.htm
102,false,,,,,,,,,,,,,,,,,
