,https://roic.ai/company/AQUA,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,123787000,124053000,128741000,102136000,107646000,130938000,147387000
53,Total Current Liabilities,249359000,284862000,291899000,284719000,322221000,349555000,405989000
54,Long-Term Debt,547032000,728132000,878524000,928075000,951599000,861695000,768365000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3727000,8563000,12528000,11095000,13548000,13169000,16443000
57,Other Non-Current Liabilities,65393000,70739000,73783000,77712000,84658000,137976000,95875000
58,Total Non-Current Liabilities,616152000,807434000,964835000,1016882000,1049805000,1012840000,880683000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,6601000,6231000,9777000,12236000,17859000,61925000,63344000
61,Total Liabilities,865511000,1092296000,1256734000,1301601000,1372026000,1362395000,1286672000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1018000,1045000,1054000,1145000,1154000,1189000,1223000
64,Retained Earnings,-183808000,-172169000,-170006000,-163871000,-174976000,-62664000,-11182000
65,Other Comprehensive Income/Loss,-4513000,-10671000,-5989000,-9017000,-13004000,-20472000,11415000
66,Other Total Stockholders Equity,361663000,380090000,386379000,530598000,549585000,562091000,- -
67,Total Stockholders Equity,174360000,198295000,211438000,358855000,362759000,480144000,580671000
68,Total Liabilities And Stockholders Equity,1039871000,1290591000,1468172000,1660456000,1734785000,1842539000,1867343000
69,Minority Interest,- -,5640000,5137000,3161000,3063000,1919000,1548000
70,Total Liabilities & Equity,1039871000,1296231000,1473309000,1663617000,1737848000,1844458000,1868891000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604643/000104746917007435/0001047469-17-007435-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464318000015/0001604643-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464319000032/0001604643-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464320000035/0001604643-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464321000094/0001604643-21-000094-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-86051000,11639000,2163000,6135000,-9523000,113649000,51482000
74,Depreciation and Amortization,58139000,69289000,77886000,85860000,98236000,107268000,113664000
75,Deferred Income Tax,45254000,-21215000,1273000,-6232000,1948000,-1234000,-2363000
76,Stock Based Compensation,1587000,1999000,2251000,15742000,19903000,10509000,15524000
77,Change in Working Capital,157000,-98640000,86867000,60500000,34231000,31085000,-3448000
78,Accounts Receivable,9496000,-3973000,-44047000,-3139000,-13235000,-6844000,-13281000
79,Inventory,-44000,2484000,-5948000,-12051000,-1469000,-7604000,-15985000
80,Accounts Payable,-14941000,15682000,4707000,24945000,9408000,8017000,9824000
81,Other Working Capital,232114000,133474000,220341000,280841000,315072000,346157000,-14573000
82,Other Non-Cash Items,22858000,68847000,-141938000,-80988000,-19599000,-102919000,3846000
83,Cash Provided by Operating Activities,41944000,31919000,28502000,81017000,125196000,158358000,178705000
84,CAPEX,-48784000,-47976000,-62689000,-82663000,-95295000,-94985000,-79073000
85,Acquisitions Net,- -,-301825000,-77628000,-146013000,-2873000,105786000,-20140000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1918000,5191000,5422000,21641000,3636000,1191000,-1739000
89,Cash Used for Investing Activites,-46866000,-344610000,-134895000,-207035000,-94532000,11992000,-97172000
90,Debt Repayment,-6700000,-82144000,-431380000,-252944000,-320709000,-130572000,-911420000
91,Common Stock Issued,847000,10282000,5521000,137605000,363000,18927000,21205000
92,Common Stock Repurchased,-410000,-723000,-1474000,-230000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,263974000,541852000,266210000,326090000,22196000,759871000
95,Cash Used/Provided by Financing Activities,-6263000,191389000,114519000,150641000,5744000,-89449000,-130344000
96,Effect of Forex Changes on Cash,-5225000,2637000,766000,-1512000,-1601000,2219000,2054000
97,Net Change In Cash,-16410000,-118665000,8892000,23111000,27516000,83120000,-46757000
98,Cash at the End of Period,169027000,50362000,59254000,82365000,109881000,193001000,146244000
99,Cash at the Beginning of Period,185437000,169027000,50362000,59254000,82365000,109881000,193001000
100,Free Cash Flow,-6840000,-16057000,-34187000,-1646000,29901000,63373000,99632000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604643/000104746917007435/0001047469-17-007435-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464318000015/0001604643-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464319000032/0001604643-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464320000035/0001604643-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464321000094/0001604643-21-000094-index.htm
102,false,,,,,,,
