,https://roic.ai/company/ACAD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,353200,303800,- -,98000,256000,283000,192000,145000,119000,14000,- -,179000,287000,704000,3160000,2829000,6725000,7644000,7448000,15984000
45,Total Non-Current Assets,- -,- -,2772500,3420800,2546900,2381100,3761000,3331000,2295000,1207000,545000,165000,42000,758000,840000,2907000,13256000,11029000,14096000,22933000,65000000,82299000
46,Other Assets,34113000,21959000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34113000,21959000,16023200,31693000,40365000,62505800,89544000,134584000,64677000,49680000,38394000,32114000,108590000,189118000,325458000,221896000,561153000,384506000,540202000,783183000,782616000,700122000
48,Accounts Payable,- -,- -,1120800,1532700,2152800,2073300,3387000,2590000,2283000,2947000,1972000,1960000,1375000,372000,2016000,1672000,3912000,8786000,3167000,7222000,8493000,6876000
49,Short-Term Debt,- -,- -,2975700,3242300,1486400,890400,996000,978000,795000,365000,78000,32000,- -,- -,- -,- -,- -,- -,- -,3434000,5087000,8304000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,321000,1320000,1320300,3445500,2666000,707000,438000,6037000,690000,669000,434000,55000,- -,- -,2644000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1735600,2130900,3681100,15292200,13485000,15012000,7535000,5358000,3219000,3504000,4139000,6552000,13818000,20230000,36029000,40244000,56398000,64170000,92387000,80888000
53,Total Current Liabilities,- -,- -,6153100,8225900,8640600,21701400,20534000,19287000,11051000,14707000,5959000,6165000,5948000,6979000,15834000,21902000,42585000,49030000,59565000,74826000,105967000,96068000
54,Long-Term Debt,5789000,1323000,3458300,1624100,1044000,891600,1379000,1156000,430000,98000,32000,- -,- -,- -,- -,- -,- -,- -,- -,6361000,44460000,56126000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,22579000,2623000,2587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,46501800,74514000,- -,541700,472000,207000,204000,182000,92000,- -,17658000,8000,135000,232000,157000,191000,1558000,2861000,5180000,7034000
58,Total Non-Current Liabilities,5789000,1323000,49960100,76138100,1044000,1433300,1851000,1363000,634000,22859000,2747000,2587000,17658000,8000,135000,232000,157000,191000,1558000,9222000,49640000,63160000
59,Other Liabilities,62410000,5420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9795000,49547000,64430000
61,Total Liabilities,56621000,4097000,56113200,84364000,9684600,23134700,22385000,20650000,11685000,37566000,8706000,8752000,23606000,6987000,15969000,22134000,42742000,49221000,61123000,84048000,155607000,159228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,300,300,1700,2400,3000,4000,4000,4000,4000,5000,7000,9000,10000,10000,12000,12000,14000,15000,16000,16000
64,Retained Earnings,- -,- -,-54273300,-68365900,-94283000,-128418100,-173466000,-229856000,-294100000,-339245000,-324106000,-346871000,-367720000,-405668000,-498143000,-662586000,-933979000,-1223671000,-1468863000,-1704122000,-1985706000,-2153576000
65,Other Comprehensive Income/Loss,- -,- -,-862700,-2499000,-1793400,-639300,176000,493000,273000,483000,512000,9000,4000,48000,-9000,11000,106000,-399000,-372000,297000,36000,-192000
66,Other Total Stockholders Equity,- -,17862000,15045700,18193600,126755100,168426100,240446000,343293000,346815000,350872000,353278000,370219000,452693000,587742000,807631000,862327000,1452272000,1559343000,1948300000,2402945000,2612663000,2694646000
67,Total Stockholders Equity,-22508000,17862000,-40090000,-52671000,30680400,39371100,67159000,113934000,52992000,12114000,29688000,23362000,84984000,182131000,309489000,199762000,518411000,335285000,479079000,699135000,627009000,540894000
68,Total Liabilities And Stockholders Equity,34113000,21959000,16023200,31693000,40365000,62505800,89544000,134584000,64677000,49680000,38394000,32114000,108590000,189118000,325458000,221896000,561153000,384506000,540202000,783183000,782616000,700122000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34113000,21959000,16023200,31693000,40365000,62505800,89544000,134584000,64677000,49680000,38394000,32114000,108590000,189118000,325458000,221896000,561153000,384506000,540202000,783183000,782616000,700122000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070494/000119312505055069/0001193125-05-055069-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312506055097/0001193125-06-055097-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312507050871/0001193125-07-050871-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312508047838/0001193125-08-047838-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312509049516/0001193125-09-049516-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312510051371/0001193125-10-051371-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312511062277/0001193125-11-062277-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312512098990/0001193125-12-098990-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312513103111/0001193125-13-103111-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312514073040/0001193125-14-073040-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312515066078/0001193125-15-066078-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312516483533/0001193125-16-483533-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459017002866/0001564590-17-002866-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459018003526/0001564590-18-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/0001564590-19-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459020006889/0001564590-20-006889-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459021008372/0001564590-21-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000095017022002392/0000950170-22-002392-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10194000,- -,-12868200,-14092600,-25917100,-34135100,-45048000,-56390000,-64244000,-45145000,15139000,-22765000,-20849000,-37948000,-92475000,-164443000,-271393000,-289403000,-245192000,-235259000,-281584000,-167870000
74,Depreciation and Amortization,- -,- -,1402800,1343600,1305600,1025600,-146000,768000,1043000,1111000,607000,285000,109000,79000,206000,647000,1828000,2713000,3005000,2766000,2932000,3344000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2987000,2134000,1583000,1598000,1930000,5711000,16039000,40194000,55265000,75532000,81564000,82265000,84422000,63615000
77,Change in Working Capital,25330000,- -,7097600,12948700,9131200,9245800,26825700,46717000,-60635000,-17565000,-1876000,-6106000,76816000,78781000,127403000,-111697000,308225000,-180865000,142094000,3705000,11036000,-24824000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5903000,-11440000,-8747000,-9691000,-12466000,-16119000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3305000,-1012000,1926000,-1737000,-3320000,-4210000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-276000,656000,-990000,-29000,-585000,-1003000,1644000,-344000,2240000,4874000,-5619000,4055000,1271000,-1617000
81,Other Working Capital,- -,- -,7097600,20046300,29177500,38423300,65249000,111966000,51331000,33766000,31890000,25784000,102600000,181381000,308784000,197087000,505312000,324447000,466541000,2893000,5012000,- -
82,Other Non-Cash Items,-15136000,- -,-4875400,-10016100,-5213100,3601100,-23049700,-46021000,55980000,45738000,-26156000,7091000,-79639000,-78392000,-117607000,113504000,-304333000,174166000,-148941000,-4607000,47028000,75000
83,Cash Provided by Operating Activities,- -,- -,-9243200,-9816400,-20693400,-20262600,-41418000,-54926000,-64869000,-13727000,-10703000,-19897000,-21633000,-31769000,-66434000,-121795000,-210408000,-217857000,-167470000,-151130000,-136166000,-125660000
84,CAPEX,- -,- -,-380600,-1777300,-585300,-1021800,-2026000,-416000,-226000,-41000,- -,-3000,- -,-618000,-180000,-2141000,-9506000,-812000,-2148000,-1129000,-7587000,-1122000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-11992000,-37063600,-36646400,-54522600,-116596000,-222231000,-79972000,-50265000,-54674000,-48066000,-56728000,-211585000,-335361000,-269486000,-683355000,-478818000,-331063000,-578634000,-339908000,-492797000
87,Sales/Maturities of Investments,- -,- -,16221000,24150000,29853000,48893000,83166000,180745000,149912000,59750000,53486000,54049000,30948000,86087000,248268000,419197000,430937000,572103000,261678000,413927000,540004000,422817000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,12520000,- -,- -,- -,128000,-3000,252000,12000,- -,- -,-8000000,- -,44000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,3848400,-14690900,-7378700,-6651400,-22936000,-41902000,69714000,9444000,-1060000,5980000,-25528000,-126104000,-87273000,147570000,-261924000,92473000,-71489000,-165836000,192509000,-71102000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-909000,-762000,-353000,-78000,-32000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,15000,28024400,31501000,41669900,69403000,98599000,535000,1923000,823000,14022000,98204000,111682000,203851000,14547000,518896000,31188000,306647000,371847000,80996000,18162000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4370600,-1620300,-1394600,-13299700,593000,-379000,- -,- -,- -,- -,- -,- -,- -,-45000,14916000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,4385600,26404100,30106400,28370200,69996000,98220000,-374000,1161000,470000,13944000,98172000,111682000,203851000,14502000,533812000,31188000,306647000,371847000,80996000,18162000
96,Effect of Forex Changes on Cash,- -,- -,-48000,-42300,-40700,38200,42000,115000,-287000,73000,20000,13000,-1000,-1000,3000,7000,2000,-6000,3000,2000,-8000,7000
97,Net Change In Cash,- -,- -,-1057200,1854500,1993600,1494400,5684000,1507000,4184000,-3049000,-11273000,40000,51010000,-46192000,50147000,40284000,61482000,-94202000,67691000,54883000,137331000,-178593000
98,Cash at the End of Period,- -,- -,4453600,6308100,8301700,9796100,15480000,16987000,21171000,18122000,6849000,6889000,57899000,11707000,61854000,102138000,163620000,69418000,139584000,194467000,331798000,153205000
99,Cash at the Beginning of Period,- -,- -,5510800,4453600,6308100,8301700,9796000,15480000,16987000,21171000,18122000,6849000,6889000,57899000,11707000,61854000,102138000,163620000,71893000,139584000,194467000,331798000
100,Free Cash Flow,- -,- -,-9623800,-11593700,-21278700,-21284400,-43444000,-55342000,-65095000,-13768000,-10703000,-19900000,-21633000,-32387000,-66614000,-123936000,-219914000,-218669000,-169618000,-152259000,-143753000,-126782000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1070494/000119312505055069/0001193125-05-055069-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312506055097/0001193125-06-055097-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312507050871/0001193125-07-050871-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312508047838/0001193125-08-047838-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312509049516/0001193125-09-049516-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312510051371/0001193125-10-051371-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312511062277/0001193125-11-062277-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312512098990/0001193125-12-098990-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312513103111/0001193125-13-103111-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312514073040/0001193125-14-073040-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312515066078/0001193125-15-066078-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312516483533/0001193125-16-483533-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459017002866/0001564590-17-002866-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459018003526/0001564590-18-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/0001564590-19-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459020006889/0001564590-20-006889-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459021008372/0001564590-21-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000095017022002392/0000950170-22-002392-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
