,https://roic.ai/company/ULCC,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,115000000,150000000,- -,- -,537000000,517000000,444000000
50,Tax Payable,40000000,45000000,- -,- -,66000000,41000000,- -
51,Deferred Revenue,3000000,7000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,349000000,350000000,- -,- -,646000000,415000000,796000000
53,Total Current Liabilities,492000000,553000000,- -,- -,1254000000,1003000000,1326000000
54,Long-Term Debt,118000000,96000000,- -,- -,95000000,247000000,287000000
55,Deferred Revenue,24000000,68000000,- -,- -,- -,23000000,- -
56,Deferred Tax Liabilities,28000000,14000000,- -,- -,27000000,9000000,- -
57,Other Non-Current Liabilities,124000000,164000000,- -,- -,1946000000,1962000000,2092000000
58,Total Non-Current Liabilities,294000000,342000000,- -,- -,2068000000,2241000000,2379000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,12000000,9000000,- -,- -,2261000000,2264000000,- -
61,Total Liabilities,786000000,895000000,- -,- -,3322000000,3244000000,3705000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,299000000,395000000,- -,- -,486000000,261000000,159000000
65,Other Comprehensive Income/Loss,-10000000,1000000,- -,- -,4000000,-11000000,-10000000
66,Other Total Stockholders Equity,113000000,181000000,- -,- -,160000000,156000000,381000000
67,Total Stockholders Equity,342000000,446000000,- -,- -,542000000,310000000,530000000
68,Total Liabilities And Stockholders Equity,1128000000,1341000000,- -,- -,3864000000,3554000000,4235000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1128000000,1341000000,- -,- -,3864000000,3554000000,4235000000
71,SEC Link,- -,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1670076/000167007622000016/0001670076-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,146000000,200000000,- -,80000000,251000000,-225000000,-102000000
74,Depreciation and Amortization,54000000,75000000,- -,78000000,46000000,33000000,38000000
75,Deferred Income Tax,14000000,-23000000,- -,-72000000,52000000,-14000000,-32000000
76,Stock Based Compensation,44000000,42000000,- -,26000000,8000000,8000000,11000000
77,Change in Working Capital,12000000,41000000,- -,126000000,-479000000,-43000000,64000000
78,Accounts Receivable,15000000,28000000,- -,28000000,-6000000,61000000,-14000000
79,Inventory,-5000000,20000000,- -,29000000,-18000000,-166000000,- -
80,Accounts Payable,6000000,20000000,- -,-7000000,24000000,- -,13000000
81,Other Working Capital,2000000,43000000,- -,169000000,-310000000,-353000000,-289000000
82,Other Non-Cash Items,-62000000,-97000000,- -,-49000000,293000000,-316000000,237000000
83,Cash Provided by Operating Activities,208000000,238000000,- -,189000000,171000000,-557000000,216000000
84,CAPEX,-146000000,-30000000,- -,-59000000,-62000000,-16000000,-27000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-36000000,-35000000,- -,-24000000,-45000000,11000000,-67000000
89,Cash Used for Investing Activites,-143000000,-39000000,- -,-59000000,-62000000,11000000,-67000000
90,Debt Repayment,-67000000,-97000000,- -,-236000000,-139000000,-126000000,-97000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-101000000,- -,-211000000,-159000000,- -,- -
94,Other Financing Activites,158000000,192000000,- -,298000000,259000000,282000000,488000000
95,Cash Used/Provided by Financing Activities,91000000,-6000000,- -,-149000000,-39000000,156000000,391000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,156000000,193000000,- -,-19000000,70000000,-390000000,540000000
98,Cash at the End of Period,419000000,612000000,- -,698000000,768000000,378000000,918000000
99,Cash at the Beginning of Period,263000000,419000000,- -,717000000,698000000,768000000,378000000
100,Free Cash Flow,62000000,208000000,- -,130000000,109000000,-573000000,189000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670076/000167007622000016/0001670076-22-000016-index.htm
102,false,,,,,,,
