,https://roic.ai/company/SWCH,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,10243000,8770000,12997000,20383000,49214000,50992000,70280000
45,Total Non-Current Assets,618870000,883198000,1146569000,1351703000,1714703000,1991608000,2835146000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,647578000,921015000,1434759000,1460030000,1773743000,2114456000,2918618000
48,Accounts Payable,14839000,1663000,18934000,20501000,19477000,14588000,55262000
49,Short-Term Debt,9358000,18330000,7503000,6000000,10817000,3512000,7281000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,13763000,14096000,20116000,20762000,25821000,27218000,33240000
52,Other Current Liabilities,14224000,111589000,18732000,27765000,57815000,58282000,72803000
53,Total Current Liabilities,52184000,145678000,65285000,75028000,113930000,103600000,168586000
54,Long-Term Debt,283159000,457737000,586566000,580566000,745372000,991213000,1701495000
55,Deferred Revenue,6069000,17701000,19382000,22260000,27852000,23862000,25921000
56,Deferred Tax Liabilities,- -,- -,- -,52535000,- -,- -,- -
57,Other Non-Current Liabilities,21472000,21536000,21393000,21289000,258944000,384814000,403975000
58,Total Non-Current Liabilities,310700000,496974000,627341000,676650000,1032168000,1399889000,2131391000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,19466000,23466000,21775000,19466000,88573000,86564000,92814000
61,Total Liabilities,362884000,642652000,692626000,751678000,1146098000,1503489000,2299977000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,285301000,279056000,253000,247000,241000,241000,243000
64,Retained Earnings,- -,- -,1602000,2693000,2420000,9000,-23022000
65,Other Comprehensive Income/Loss,-607000,-693000,31000,79000,79000,79000,-568000
66,Other Total Stockholders Equity,- -,- -,107008000,140191000,204711000,266129000,352984000
67,Total Stockholders Equity,284694000,278363000,108894000,143210000,207451000,266458000,329637000
68,Total Liabilities And Stockholders Equity,647578000,921015000,801520000,894888000,1353549000,1769947000,2629614000
69,Minority Interest,- -,- -,633239000,565142000,420194000,344509000,289004000
70,Total Liabilities & Equity,647578000,921015000,1434759000,1460030000,1773743000,2114456000,2918618000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710583/000171058318000034/0001710583-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058319000010/0001710583-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058320000007/0001710583-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058321000013/0001710583-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058322000009/0001710583-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,73472000,31368000,-15208000,4052000,8917000,15539000,- -
74,Depreciation and Amortization,55355000,66591000,89124000,109133000,121789000,144054000,- -
75,Deferred Income Tax,- -,- -,-981000,1943000,2713000,4530000,- -
76,Stock Based Compensation,5237000,5935000,84790000,35733000,29524000,28733000,- -
77,Change in Working Capital,-5953000,-84385000,330766000,-189606000,-88189000,74138000,- -
78,Accounts Receivable,-3566000,-1101000,-6435000,-187000,-5492000,15000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1155000,634000,5248000,-312000,-892000,-186000,- -
81,Other Working Capital,-23476000,-107861000,222905000,33299000,-54890000,19248000,- -
82,Other Non-Cash Items,1170000,146556000,-343390000,217075000,134659000,-30754000,- -
83,Cash Provided by Operating Activities,129281000,166065000,145101000,178330000,209413000,236240000,- -
84,CAPEX,-190562000,-287969000,-402762000,-278157000,-309415000,-349066000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-6540000,-1500000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,309000,-3404000,110000,-2571000,-1670000,-2024000,- -
89,Cash Used for Investing Activites,-196344000,-292001000,-402451000,-278095000,-309382000,-349064000,- -
90,Debt Repayment,-223600000,-10000000,-854991000,-6333000,-6876000,-465249000,- -
91,Common Stock Issued,- -,- -,572432000,- -,- -,- -,- -
92,Common Stock Repurchased,-1392000,-15148000,- -,-60644000,-91046000,-20000000,- -
93,Dividends Paid,- -,-28100000,-503000,-2835000,-9051000,-17329000,- -
94,Other Financing Activites,292685000,187705000,782365000,-13529000,150103000,681400000,- -
95,Cash Used/Provided by Financing Activities,67693000,134457000,499303000,-83341000,43130000,178822000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,630000,8521000,241953000,-183106000,-56839000,65998000,- -
98,Cash at the End of Period,14192000,22713000,264666000,81560000,24721000,90719000,- -
99,Cash at the Beginning of Period,13562000,14192000,22713000,264666000,81560000,24721000,- -
100,Free Cash Flow,-61281000,-121904000,-257661000,-99827000,-100002000,-112826000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710583/000171058318000034/0001710583-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058319000010/0001710583-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058320000007/0001710583-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058321000013/0001710583-21-000013-index.htm,undefined
102,false,,,,,,,
