,https://roic.ai/company/PSX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,17238000000,15409000000,14771000000,15407000000,15398000000,17346000000,19721000000,20855000000,21460000000,22018000000,23786000000,23716000000,22435000000
39,Goodwill,3638000000,3633000000,3332000000,3344000000,3096000000,3274000000,3275000000,3270000000,3270000000,3270000000,3270000000,1425000000,1484000000
40,Intangible Assets,788000000,777000000,732000000,724000000,698000000,900000000,906000000,888000000,876000000,869000000,869000000,843000000,813000000
41,Intangible Assets,4426000000,4410000000,4064000000,4068000000,3794000000,4174000000,4181000000,4158000000,4146000000,4139000000,4139000000,2268000000,2297000000
42,Investments,9398000000,9918000000,10306000000,10339000000,11146000000,10113000000,12061000000,13200000000,13847000000,14324000000,14441000000,13182000000,13512000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,450000000,514000000,122000000,297000000,223000000,412000000,361000000,760000000,528000000,612000000,1959000000,2279000000,2653000000
45,Total Non-Current Assets,31512000000,30251000000,29263000000,30111000000,30561000000,32045000000,36324000000,38973000000,39981000000,41093000000,44325000000,41445000000,40897000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42880000000,44955000000,43211000000,48073000000,49798000000,48741000000,48580000000,51653000000,54371000000,54302000000,58720000000,54721000000,55594000000
48,Accounts Payable,7715000000,10751000000,10007000000,10710000000,11090000000,8064000000,5655000000,7061000000,8027000000,6586000000,8575000000,5549000000,8461000000
49,Short-Term Debt,- -,- -,30000000,13000000,24000000,842000000,44000000,550000000,41000000,67000000,547000000,987000000,1489000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1351000000,1254000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1620000000,1752000000,2347000000,1759000000,1817000000,2188000000,1832000000,1852000000,2039000000,2282000000,2524000000,2982000000,2851000000
53,Total Current Liabilities,9335000000,12503000000,12384000000,12482000000,12931000000,11094000000,7531000000,9463000000,10107000000,8935000000,11646000000,9518000000,12801000000
54,Long-Term Debt,403000000,388000000,361000000,6961000000,6131000000,7842000000,8843000000,9588000000,10069000000,11093000000,11216000000,14906000000,12959000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4858000000,4817000000,5803000000,5444000000,6125000000,5491000000,6041000000,6743000000,5008000000,5275000000,5553000000,5644000000,5475000000
57,Other Non-Current Liabilities,1344000000,1221000000,1370000000,2380000000,2219000000,2277000000,2227000000,2134000000,1759000000,1846000000,3136000000,3130000000,2722000000
58,Total Non-Current Liabilities,6605000000,6426000000,7534000000,14785000000,14475000000,15610000000,17111000000,18465000000,16836000000,18214000000,19905000000,23680000000,21156000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,290000000
61,Total Liabilities,15940000000,18929000000,19918000000,27267000000,27406000000,26704000000,24642000000,27928000000,26943000000,27149000000,31551000000,33198000000,33957000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,7000000
64,Retained Earnings,- -,- -,- -,2713000000,5622000000,9309000000,12348000000,12608000000,16306000000,20489000000,22064000000,16500000000,16216000000
65,Other Comprehensive Income/Loss,-7059000000,-9207000000,122000000,-314000000,37000000,-531000000,-653000000,-995000000,-617000000,-692000000,-788000000,-789000000,-445000000
66,Other Total Stockholders Equity,33999000000,35233000000,23142000000,18370000000,16285000000,12806000000,11399000000,10771000000,9390000000,4850000000,3628000000,3267000000,- -
67,Total Stockholders Equity,26917000000,26001000000,23264000000,20775000000,21950000000,21590000000,23100000000,22390000000,25085000000,24653000000,24910000000,18984000000,19166000000
68,Total Liabilities And Stockholders Equity,42857000000,44930000000,43182000000,48042000000,49356000000,48294000000,47742000000,50318000000,52028000000,51802000000,56461000000,52182000000,53123000000
69,Minority Interest,23000000,25000000,29000000,31000000,442000000,447000000,838000000,1335000000,2343000000,2500000000,2259000000,2539000000,2471000000
70,Total Liabilities & Equity,42880000000,44955000000,43211000000,48073000000,49798000000,48741000000,48580000000,51653000000,54371000000,54302000000,58720000000,54721000000,55594000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534701/000153470113000006/0001534701-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470114000042/psx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470115000038/psx-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470116000119/0001534701-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470117000051/0001534701-17-000051-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470118000065/0001534701-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470119000063/0001534701-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470120000070/0001534701-20-000070-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470121000074/0001534701-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000078/0001534701-22-000078-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,476000000,735000000,4775000000,4124000000,3726000000,4762000000,4227000000,1555000000,5106000000,5595000000,3076000000,-3975000000,1315000000
74,Depreciation and Amortization,879000000,880000000,908000000,913000000,947000000,995000000,1078000000,1168000000,1318000000,1356000000,1341000000,1395000000,1605000000
75,Deferred Income Tax,-84000000,-33000000,931000000,221000000,594000000,-488000000,529000000,612000000,-1886000000,252000000,183000000,126000000,-272000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,397000000,168000000,-637000000,3916000000,826000000,-704000000,-877000000,-1508000000,1066000000,-9000000,-1525000000,1009000000,2119000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,237000000,-344000000,616000000,55000000,38000000,-85000000,-144000000,216000000,-176000000,-202000000,-204000000,-71000000,511000000
80,Accounts Payable,2606000000,3003000000,58000000,-985000000,360000000,-3323000000,-2300000000,1579000000,1153000000,-1546000000,1941000000,-2887000000,2925000000
81,Other Working Capital,2033000000,2201000000,1564000000,5480000000,6306000000,5602000000,4725000000,3217000000,4283000000,4274000000,2749000000,3758000000,- -
82,Other Non-Cash Items,-722000000,342000000,-971000000,-4878000000,-66000000,-1036000000,756000000,1136000000,-1956000000,379000000,1733000000,3556000000,1250000000
83,Cash Provided by Operating Activities,946000000,2092000000,5006000000,4296000000,6027000000,3529000000,5713000000,2963000000,3648000000,7573000000,4808000000,2111000000,6017000000
84,CAPEX,-2461000000,-1150000000,-1022000000,-1721000000,-1779000000,-3773000000,-5764000000,-2844000000,-1832000000,-2639000000,-3873000000,-2920000000,-1860000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,267000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1973000000,-652000000,2492000000,-1535000000,-444000000,-2296000000,-5738000000,-3158000000,-1146000000,-2471000000,-3688000000,-3271000000,-2139000000
89,Cash Used for Investing Activites,-1973000000,-652000000,2492000000,-1535000000,-444000000,-2296000000,-5738000000,-3158000000,-1146000000,-2471000000,-3688000000,-3079000000,-1872000000
90,Debt Repayment,-25000000,-26000000,-26000000,-1210000000,-1020000000,-49000000,-926000000,-833000000,-3678000000,-1144000000,-1307000000,-1051000000,-2954000000
91,Common Stock Issued,- -,- -,- -,47000000,410000000,1000000,365000000,960000000,1240000000,167000000,205000000,10000000,26000000
92,Common Stock Repurchased,- -,- -,- -,-356000000,-2246000000,-2282000000,-1512000000,-1042000000,-1590000000,-4645000000,-1650000000,-443000000,- -
93,Dividends Paid,- -,- -,- -,-282000000,-807000000,-1062000000,-1172000000,-1282000000,-1395000000,-1436000000,-1570000000,-1575000000,-1585000000
94,Other Financing Activites,1052000000,-1414000000,-7472000000,2500000000,-16000000,2030000000,1128000000,2019000000,3312000000,1891000000,1811000000,4850000000,1043000000
95,Cash Used/Provided by Financing Activities,1027000000,-1440000000,-7498000000,699000000,-3679000000,-1362000000,-2117000000,-178000000,-2111000000,-5167000000,-2511000000,1791000000,-3470000000
96,Effect of Forex Changes on Cash,- -,- -,- -,14000000,22000000,-64000000,9000000,10000000,17000000,-35000000,-14000000,77000000,-42000000
97,Net Change In Cash,1027000000,-1440000000,-7498000000,699000000,1926000000,-193000000,-2133000000,-363000000,408000000,-100000000,-1405000000,900000000,633000000
98,Cash at the End of Period,- -,- -,- -,3474000000,5400000000,5207000000,3074000000,2711000000,3119000000,3019000000,1614000000,2514000000,3147000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3474000000,5400000000,5207000000,3074000000,2711000000,3119000000,3019000000,1614000000,2514000000
100,Free Cash Flow,-1515000000,942000000,3984000000,2575000000,4248000000,-244000000,-51000000,119000000,1816000000,4934000000,935000000,-809000000,4157000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534701/000153470113000006/0001534701-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470114000042/psx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470115000038/psx-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470116000119/0001534701-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470117000051/0001534701-17-000051-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470118000065/0001534701-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470119000063/0001534701-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470120000070/0001534701-20-000070-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470121000074/0001534701-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000078/0001534701-22-000078-index.htm
102,false,,,,,,,,,,,,,
