,https://roic.ai/company/STTK,2018,2019,2020,2021
48,Accounts Payable,2048000,3051000,1754000,- -
49,Short-Term Debt,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,17044000,12894000,7728000,- -
52,Other Current Liabilities,1760000,4039000,7352000,- -
53,Total Current Liabilities,20852000,19984000,16834000,- -
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,8387000,9571000,21306000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,50003000,49962000,987000,- -
58,Total Non-Current Liabilities,58390000,59533000,22293000,- -
59,Other Liabilities,- -,- -,- -,26799000
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,79242000,79517000,39127000,26799000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1000,1000,5000,5000
64,Retained Earnings,-11508000,-35490000,-72093000,- -
65,Other Comprehensive Income/Loss,- -,54000,-63000,-560000
66,Other Total Stockholders Equity,426000,887000,382012000,- -
67,Total Stockholders Equity,-11081000,-34548000,309861000,271786000
68,Total Liabilities And Stockholders Equity,68161000,44969000,348988000,298585000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,68161000,44969000,348988000,298585000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680367/000168036721000008/0001680367-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1680367/000168036722000005/0001680367-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-7388000,-23982000,-36603000,- -
74,Depreciation and Amortization,255000,537000,618000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,425000,461000,1266000,- -
77,Change in Working Capital,-2496000,-22324000,306347000,-65125000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1123000,1003000,-1751000,- -
81,Other Working Capital,44782000,22458000,328805000,263680000
82,Other Non-Cash Items,2301000,24333000,-305287000,8009000
83,Cash Provided by Operating Activities,-6903000,-20975000,-33659000,-57116000
84,CAPEX,-1178000,-470000,-727000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-28732000,-44270000,-183190000,- -
87,Sales/Maturities of Investments,- -,41148000,37595000,- -
88,Other Investing Activites,-15000,- -,- -,-10443000
89,Cash Used for Investing Activites,-29925000,-3592000,-146322000,-10443000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,232301000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,35145000,-64000,98565000,1929000
95,Cash Used/Provided by Financing Activities,35145000,-64000,330866000,1929000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-1683000,-24631000,150885000,-65630000
98,Cash at the End of Period,31644000,7013000,157898000,- -
99,Cash at the Beginning of Period,33327000,31644000,7013000,157898000
100,Free Cash Flow,-8081000,-21445000,-34386000,-57116000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680367/000168036721000008/0001680367-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1680367/000168036722000005/0001680367-22-000005-index.htm
102,false,,,,
