,https://roic.ai/company/LCTX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,100000,100000,100000,100000,100000,- -,268653,226598,167946,102713,48446,12552,6178,10839,12480,105607,131133,710766,1347779,1348554,2997733,2857846,7539000,5529000,5533000,5835000,8175000,5630000,4872000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10672000,10672000,10672000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15386905,18619516,20486792,46208085,38848396,33592000,10206000,6900000,3125000,48248000,47032000,46822000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15386905,18619516,20486792,46208085,38848396,33592000,10206000,6900000,3125000,58920000,57704000,57494000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4671000,100039000,117167000,33733000,- -,- -,2616000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,9900,9900,11250,11250,16050,16050,20976,20976,20976,820976,935926,1602310,907026,733768,573962,790107,1621000,1149000,1018000,22609000,864000,616000,-1986000
45,Total Non-Current Assets,- -,- -,- -,100000,100000,100000,100000,- -,278553,236498,179196,113963,64496,28602,27154,31815,33456,926583,1067059,17699981,20874321,22569114,49779780,42496349,47423000,116923000,130618000,65302000,67959000,63950000,62996000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4800000,3500000,5900000,3600000,3000000,8300000,- -,5678644,1677484,1941375,1496081,1071545,1521589,1958784,650507,175102,1035457,13433071,53272659,45829695,29748593,57729750,74900906,94660000,142572000,173241000,101660000,125478000,107949000,174545000
48,Accounts Payable,- -,200000,- -,- -,300000,100000,200000,- -,595512,359749,309347,357999,408891,275256,566597,431713,480374,- -,- -,- -,- -,1168077,3887950,2296645,2798000,1593000,938000,2359000,2427000,2611000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2685392,- -,- -,- -,716537,1885699,- -,- -,- -,- -,- -,117737,133000,1134000,364000,307000,1223000,1285000,801000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000,183935,261091,312904,367904,550083,465544,400870,235276,208357,2952000,572000,797000,42000,45000,193000,18119000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,1100000,- -,- -,- -,- -,140424,- -,- -,- -,- -,- -,1179914,794355,1929874,2681111,2821885,2834674,4506528,6579000,5551000,4780000,4104000,2799000,3680000,28196000
53,Total Current Liabilities,- -,200000,- -,- -,300000,100000,1300000,- -,595512,359749,309347,498423,3094283,275256,706597,615648,1458002,3378517,1162259,2479957,3146655,4390832,6957900,7129267,12462000,8850000,6879000,6812000,6494000,7769000,47116000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731122,2168804,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000,1152000,18000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1520066,1223823,1048757,899551,768678,- -,- -,615000,308000,- -,- -,200000,- -,32454000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8277548,4514362,- -,- -,- -,- -,3315000,2076000,2076000
57,Other Non-Current Liabilities,- -,- -,100000,100000,100000,100000,500000,- -,- -,- -,- -,- -,407813,901563,1448768,1900080,1763489,483688,- -,318288,325308,294710,231981,534512,4592000,1754000,2081000,2602000,4222000,2977000,2001000
58,Total Non-Current Liabilities,- -,- -,100000,100000,100000,100000,500000,- -,- -,- -,1731122,2168804,407813,901563,1448768,1900080,1763489,2003754,1223823,1367045,1224859,1063388,8509529,5048874,5751000,3214000,2099000,2602000,7737000,5053000,36531000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466771,4464000,1898000,1363000,2195000,5168000,3302000,- -
61,Total Liabilities,- -,200000,100000,100000,400000,200000,1800000,- -,595512,359749,2040469,2667227,3502096,1176819,2155365,2515728,3221491,5382271,2386082,3847002,4371514,5454220,15467429,12178141,18213000,12064000,8978000,9414000,14231000,12822000,83647000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,27200380,28360007,30602003,32374883,32857552,38718197,40251097,- -,- -,- -,- -,- -,- -,119821243,203456401,234842998,274342000,317878000,378487000,354270000,387062000,393944000,- -
64,Retained Earnings,- -,-1000000,-2200000,-3700000,-6100000,-8100000,-11200000,- -,-22211220,-27136244,-30795069,-33640001,-35382075,-38467399,-40541650,-42406271,-43844497,-47625392,-52769891,-63954509,-80470009,-101895712,-145778547,-182190207,-229181000,-196321000,-216297000,-261856000,-273422000,-294078000,-337097000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-100000,-100000,-100000,- -,-276647,-352104,-409331,-478396,-532663,-568557,-574931,-580933,-585765,-602510,-54291,897338,-122749,-59570,62899,185835,-237000,-738000,451000,1426000,-681000,-3667000,-5211000
66,Other Total Stockholders Equity,- -,5600000,5600000,9500000,9400000,11000000,17800000,- -,370619,446076,503303,572368,626635,662529,668903,41121983,41383873,43881088,63871171,112380166,122480501,-8281425,-42939985,-19882643,-18033000,-2891000,- -,- -,- -,- -,433206000
67,Total Stockholders Equity,- -,4600000,3400000,5800000,3200000,2800000,6500000,- -,5083132,1317735,-99094,-1171146,-2430551,344770,-196581,-1865221,-3046389,-4346814,7046399,38172229,28646001,9584536,14800768,36455983,26891000,117928000,162641000,93840000,112959000,96199000,90898000
68,Total Liabilities And Stockholders Equity,- -,4800000,3500000,5900000,3600000,3000000,8300000,- -,5678644,1677484,1941375,1496081,1071545,1521589,1958784,650507,175102,1035457,9432481,42019231,33017515,15038756,30268197,48634124,45104000,129992000,171619000,103254000,127190000,109021000,174545000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000590,11253428,12812180,14709837,27461553,26266782,49556000,12580000,1622000,-1594000,-1712000,-1072000,- -
70,Total Liabilities & Equity,- -,4800000,3500000,5900000,3600000,3000000,8300000,- -,5678644,1677484,1941375,1496081,1071545,1521589,1958784,650507,175102,1035457,13433071,53272659,45829695,29748593,57729750,74900906,94660000,142572000,173241000,101660000,125478000,107949000,174545000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876343/000095013404004255/0000950134-04-004255-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000095013405006565/0000950134-05-006565-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000095013406007395/0000950134-06-007395-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634307000014/0000876343-07-000014-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634308000014/0000876343-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634309000009/0000876343-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036110006982/0001140361-10-006982-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036111016533/0001140361-11-016533-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036112015539/0001140361-12-015539-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036113012991/0001140361-13-012991-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036114013083/0001140361-14-013083-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036115011259/0001140361-15-011259-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036116057879/0001140361-16-057879-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036117012402/0001140361-17-012402-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315218003416/0001493152-18-003416-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315219003335/0001493152-19-003335-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315220003818/0001493152-20-003818-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315221005814/0001493152-21-005814-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315222006520/0001493152-22-006520-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-700000,-1200000,-1500000,-2400000,-2000000,-3000000,-2100000,-5479884,-4925024,-3658825,-2844932,-1742074,-3085324,-2074251,-1864621,-1438226,-3780895,-5143909,-11184618,-16515500,-21425703,-43882835,-36411660,-46991000,33572000,-19976000,-45990000,-11709000,-20649000,-43270000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,59540,75458,295605,506746,810584,1048815,6374,26511,-189230,16745,34591,928776,2366531,2833432,3952475,8410341,6334000,4757000,3296000,3273000,3129000,2111000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3280695,-7375611,-4516000,- -,- -,-346000,-7407000,-1239000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134518,488564,638709,1217522,1282507,3217875,4455420,11050000,7951000,3932000,5402000,3580000,2227000,2162000
77,Change in Working Capital,- -,100000,-1100000,1100000,-1100000,2300000,-2600000,4100000,-2095421,-3723342,371595,-569137,-2970929,3304965,7302,-1221989,-1319400,-1953287,14473396,21888968,-11284002,-19020072,-1796577,24283220,9499710,-17976000,18945000,-6198000,21479000,-14795000,28203000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754,-349,-77907,-120678,36322,-180933,-73784,-248000,-39000,-172000,46000,467000,287000,- -
79,Inventory,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38384,-11094,31094,-4141,-123378,-87328,-75000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894975,2133442,-469755,1673000,12000,1299000,1100000,- -,- -,3543000
81,Other Working Capital,- -,4600000,3500000,4600000,3500000,5800000,3200000,6900000,4804579,1081237,1452832,883695,-2087234,1217731,1225033,3044,-1316356,-3269643,11203753,33092721,21808719,2788647,992070,25275290,34775000,16799000,35744000,29546000,51025000,36230000,64433000
82,Other Non-Cash Items,- -,- -,1000000,-1200000,1500000,-2400000,4300000,-4100000,3120864,3715878,-218209,778168,3248275,-2805152,646427,1797880,1706876,3978674,-14112580,-20004719,10621533,16650318,12281144,-32215910,-19920710,-70630000,-36714000,12977000,-41019000,12592000,12905000
83,Cash Provided by Operating Activities,- -,-600000,-1300000,-1600000,-2000000,-2100000,-1300000,-2100000,-4394901,-4857030,-3209834,-2129155,-654144,-1536696,-1414148,-1262219,-1239980,-1604245,-4259938,-7732884,-13593916,-19679518,-29508613,-38854200,-44544000,-42326000,-30517000,-30882000,-31947000,-19753000,- -
84,CAPEX,- -,- -,- -,- -,-100000,- -,- -,- -,-161719,-33402,-5116,-3831,- -,- -,- -,-10664,-6473,-859872,-61276,-435771,-961781,-400810,-2277168,-483097,-5334000,-2526000,-1326000,-3287000,-440000,-64000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3875876,-240942,292387,- -,- -,- -,-8376000,-8898000,15111000,17332000,13061000,- -
86,Purchases of Investments,- -,- -,-1900000,-5000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1248000,- -,-189000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1900000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14215000,- -,- -
88,Other Investing Activites,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,15050,-457686,-1490,3736,-1388419,-524707,-859000,13000,188000,-1880000,-14150000,41000,- -
89,Cash Used for Investing Activites,- -,- -,-2000000,-3100000,4900000,- -,- -,- -,-161719,-33402,-5116,-3831,- -,- -,- -,-10664,-6473,-909872,-46226,3197419,-1202713,-104687,-3665587,-1007804,-7441000,-10889000,-10225000,11816000,16957000,13038000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16085,-263825,- -,- -,- -,- -,-26210,-59000,-145000,-253000,-349000,-100000,-26000,- -
91,Common Stock Issued,- -,6400000,- -,4800000,- -,1200000,6900000,400000,7548436,952141,199360,2075119,86896,18307,1787144,126,- -,108000,12000000,2300000,3213500,1664105,35035809,44618069,49109000,30846000,59678000,6000000,103000,5127000,- -
92,Common Stock Repurchased,- -,-1100000,-100000,-900000,-200000,- -,-200000,- -,-128024,-36177,- -,- -,- -,-162453,-379984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-888000,-241000,-110000,-27000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,3350000,-310449,- -,2334420,470000,- -,694937,2424980,4746791,23467456,648914,249273,-772201,19031384,15725000,2081000,-3146000,364000,724000,24791000,- -
95,Cash Used/Provided by Financing Activities,- -,5300000,-100000,3900000,-200000,1100000,6700000,400000,7420412,915964,3549360,1764670,86896,2190274,1877160,126,694937,2516895,16482966,25767456,3862414,1913378,34263608,63623243,64775000,32782000,55391000,5774000,617000,29865000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96148,-178812,8897,56103,230192,-48000,292000,101000,6000,70000,-63000,- -
97,Net Change In Cash,- -,5300000,-100000,-700000,2700000,1100000,6700000,400000,2863792,-3974468,334410,-368316,-567248,653578,463012,-1272757,-551516,2778,12176802,21135843,-11113027,-17861930,1145511,23991431,12742000,-20141000,14750000,-13286000,-14303000,23087000,- -
98,Cash at the End of Period,- -,- -,- -,800000,3400000,- -,- -,- -,5292806,1318338,1652748,1284432,717184,1370762,1833774,561017,9501,12279,12189081,33324924,22211897,4349967,5495478,29486909,42229000,22088000,36838000,24399000,10096000,33183000,- -
