,https://roic.ai/company/QSR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,106600000,317900000,108400000,161300000,142300000,60000000,52000000,72000000,67449922
37,Total Current Assets,- -,1074400000,2661100000,1369500000,2097000000,1749600000,1500000000,2196000000,2264000000,1424291384
38,PP&E,- -,801500000,2539600000,- -,- -,- -,- -,- -,3183000000,2482314003
39,Goodwill,- -,630000000,5851300000,4574400000,4675100000,5782300000,5486000000,5651000000,5739000000,4710514345
40,Intangible Assets,- -,2796000000,9441100000,9147800000,9228000000,11062200000,10463000000,10563000000,10701000000,8954369343
41,Intangible Assets,- -,3426000000,15292400000,13722200000,13903100000,16844500000,15949000000,16214000000,16440000000,13664883688
42,Investments,- -,102000000,124900000,139000000,92000000,71000000,54000000,48000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,424600000,546000000,3180400000,3032800000,2558400000,2638000000,3902000000,890000000,660381798
45,Total Non-Current Assets,- -,4754100000,18502900000,17041600000,17027900000,19473900000,18641000000,20164000000,20513000000,16807579489
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5828500000,21164000000,18411100000,19124900000,21223500000,20141000000,22360000000,22777000000,18231870873
48,Accounts Payable,- -,31100000,223000000,361500000,369800000,412900000,513000000,644000000,464000000,481561074
49,Short-Term Debt,- -,- -,- -,56100000,93900000,78200000,91000000,101000000,248000000,185095136
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,122000000,83135951
51,Deferred Revenue,- -,37700000,214800000,202000000,249100000,257800000,194000000,203000000,233000000,210977083
52,Other Current Liabilities,- -,277200000,1487400000,501400000,497900000,906100000,610000000,755000000,656000000,595284780
53,Total Current Liabilities,- -,346000000,1925200000,1121000000,1210700000,1655000000,1408000000,1703000000,1601000000,1472918072
54,Long-Term Debt,- -,2880200000,8936700000,8462300000,8410200000,11800900000,11823000000,11759000000,13875000000,11230412072
55,Deferred Revenue,- -,13200000,28100000,23700000,27100000,37400000,508000000,566000000,556000000,445483208
56,Deferred Tax Liabilities,- -,692800000,1862100000,1618800000,1715100000,1508100000,1519000000,1564000000,1425000000,1077630155
57,Other Non-Current Liabilities,- -,380100000,791700000,975600000,976200000,1661500000,1265000000,2509000000,1599000000,983513984
58,Total Non-Current Liabilities,- -,3966300000,11618600000,11080400000,11128600000,15007900000,15115000000,16398000000,17455000000,13737039419
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,230600000,566100000,554900000,521400000,495600000,418000000,1606000000,1615000000,1236843344
61,Total Liabilities,- -,4312300000,13543800000,12201400000,12339300000,16662900000,16523000000,18101000000,19056000000,15209957491
62,Preferred Stock,- -,- -,3297000000,3297000000,3297000000,- -,- -,- -,- -,- -
63,Common Stock,- -,3500000,1755000000,1824500000,1955100000,2051500000,1737000000,2478000000,2399000000,1690953867
64,Retained Earnings,- -,225500000,227600000,245800000,445700000,650600000,674000000,775000000,622000000,620382425
65,Other Comprehensive Income/Loss,- -,-187900000,-226700000,-734000000,-698000000,-476000000,-800000000,-763000000,-854000000,-556854010
66,Other Total Stockholders Equity,- -,1475100000,115000000,300000,-300000,300000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1516200000,5167900000,4633600000,4999500000,2226400000,1611000000,2490000000,2167000000,1754482283
68,Total Liabilities And Stockholders Equity,- -,5828500000,18711700000,16835000000,17338800000,18889300000,18134000000,20591000000,21223000000,16964439773
69,Minority Interest,- -,- -,2452300000,1576100000,1786100000,2334200000,2007000000,1769000000,1554000000,1267431099
70,Total Liabilities & Equity,- -,5828500000,21164000000,18411100000,19124900000,21223500000,20141000000,22360000000,22777000000,18231870873
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1618756/000119312516481509/0001193125-16-481509-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000119312517048122/0001193125-17-048122-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875618000007/0001618756-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875619000005/0001618756-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875620000004/0001618756-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875621000007/0001618756-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875622000018/0001618756-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,117700000,233700000,158000000,375100000,615600000,648800000,612000000,643000000,486000000,657244592
74,Depreciation and Amortization,114200000,65800000,72900000,182000000,172100000,181100000,180000000,185000000,189000000,157644586
75,Deferred Income Tax,8900000,32100000,-52900000,-32300000,80100000,-742400000,29000000,58000000,-208000000,-3921507
76,Stock Based Compensation,12200000,14800000,43100000,50800000,35100000,48300000,48000000,68000000,74000000,79998745
77,Change in Working Capital,-151200000,753900000,7500000,-487400000,637800000,-791700000,-2600000,401000000,170000000,123919625
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-7000000,-7800000,-24100000,9200000,7700000,2900000,-7000000,-15000000,-10000000,9411617
80,Accounts Payable,-23900000,-30600000,-17900000,191200000,27500000,19900000,41000000,- -,- -,- -
81,Other Working Capital,-25500000,728400000,735900000,248500000,886300000,94600000,92000000,493000000,663000000,-61175511
82,Other Non-Cash Items,122600000,-775100000,30700000,1116600000,-271700000,2037900000,298600000,121000000,210000000,338818215
83,Cash Provided by Operating Activities,224400000,325200000,259300000,1204800000,1269000000,1382000000,1165000000,1476000000,921000000,1353704256
84,CAPEX,-70200000,-25500000,-30900000,-115300000,-33700000,-36700000,-86000000,-62000000,-117000000,-83135951
85,Acquisitions Net,-15300000,-11900000,-7378600000,- -,- -,-1635900000,- -,- -,- -,-787438628
86,Purchases of Investments,- -,- -,-388900000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,14200000,15400000,15500000,30500000,27600000,788200000,33000000,24000000,33000000,3921507
88,Other Investing Activites,104900000,65000000,-7900000,23300000,33000000,26600000,9000000,8000000,5000000,1568603
89,Cash Used for Investing Activites,33600000,43000000,-7790800000,-61500000,26900000,-857800000,-44000000,-30000000,-79000000,-865084469
90,Debt Repayment,-1879600000,-57200000,-3102000000,-2627800000,-69700000,-2741500000,-74000000,-2266000000,-4708000000,-697243965
91,Common Stock Issued,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-7300000,- -,- -,- -,-3005700000,-60000000,- -,- -,-432150084
93,Dividends Paid,-14000000,-84300000,-105600000,-362400000,-538100000,-663500000,-728000000,-901000000,-959000000,-763909586
94,Other Financing Activites,1719000000,16100000,11773200000,872900000,16900000,5475500000,-423000000,2325000000,4846000000,1036062179
95,Cash Used/Provided by Financing Activities,-174600000,-132700000,8565600000,-2115200000,-590900000,-935200000,-1285000000,-842000000,-821000000,-857241455
96,Effect of Forex Changes on Cash,4300000,4700000,-17800000,-73500000,-2400000,24000000,-20000000,16000000,6000000,-2352904
97,Net Change In Cash,87700000,240200000,1016300000,-1045400000,702600000,-387000000,-184000000,620000000,27000000,-370974573
98,Cash at the End of Period,546700000,786900000,1803200000,757800000,1460400000,1073400000,913000000,1533000000,1560000000,852535646
99,Cash at the Beginning of Period,459000000,546700000,786900000,1803200000,757800000,1460400000,1097000000,913000000,1533000000,1223510219
100,Free Cash Flow,154200000,299700000,228400000,1089500000,1235300000,1345300000,1079000000,1414000000,804000000,1270568305
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618756/000119312516481509/0001193125-16-481509-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000119312517048122/0001193125-17-048122-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875618000007/0001618756-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875619000005/0001618756-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875620000004/0001618756-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875621000007/0001618756-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875622000018/0001618756-22-000018-index.htm
102,false,,,,,,,,,,
