,https://roic.ai/company/BOOT,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,1816000,2900000,3554000,4526000,5304000,5479000,6497000,6465000,13788000
51,Deferred Revenue,2645000,3752000,4360000,7073000,8038000,9528000,10211000,- -,14422000
52,Other Current Liabilities,12034000,16950000,19597000,28445000,27498000,29985000,36160000,52612000,63193000
53,Total Current Liabilities,58120000,86416000,86500000,152299000,147801000,150998000,151943000,312625000,221656000
54,Long-Term Debt,67500000,98500000,72000000,204819000,203310000,183200000,184978000,121976000,291617000
55,Deferred Revenue,- -,- -,3949000,8418000,13591000,- -,17312000,- -,- -
56,Deferred Tax Liabilities,19538000,19960000,21102000,12255000,20961000,13030000,17202000,19801000,21993000
57,Other Non-Current Liabilities,1500000,2412000,149000,45000,9000,26107000,476000,148616000,3424000
58,Total Non-Current Liabilities,88538000,120872000,97200000,225537000,237871000,222337000,219968000,290393000,317034000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,88000,84000,45000,12618000,12240000,11792000,11331000,195714000,221236000
61,Total Liabilities,146658000,207288000,183700000,377836000,385672000,373335000,371911000,603018000,538690000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,-3725000,1652000,13700000,23594000,37791000,66670000,105692000,153641000,213027000
65,Other Comprehensive Income/Loss,-3193000,-7519000,- -,-24883000,-38465000,-53874000,-71748000,-62129000,- -
66,Other Total Stockholders Equity,80736000,86353000,128719000,162776000,180580000,201807000,230217000,230178000,181861000
67,Total Stockholders Equity,73820000,80488000,142422000,161490000,179909000,214606000,264164000,321693000,394891000
68,Total Liabilities And Stockholders Equity,220478000,287776000,326122000,539326000,565581000,587941000,636075000,924711000,933581000
69,Minority Interest,3804000,4087000,-22000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,224282000,291863000,326100000,539326000,565581000,587941000,636075000,924711000,933581000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610250/000155837020006925/0001558370-20-006925-index.htm,https://www.sec.gov/Archives/edgar/data/1610250/000155837021007103/0001558370-21-007103-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,646000,5377000,13726000,9868000,14197000,28879000,39022000,47949000,59386000
74,Depreciation and Amortization,5588000,8129000,9207000,14016000,16710000,17128000,18902000,52474000,58379000
75,Deferred Income Tax,-633000,-1874000,1402000,981000,6175000,1860000,4172000,2599000,2192000
76,Stock Based Compensation,787000,1291000,2048000,2881000,3023000,2248000,2873000,4908000,7158000
77,Change in Working Capital,-4223000,- -,10826000,30520000,-7880000,25582000,13627000,35271000,27157000
78,Accounts Receivable,-209000,-710000,-1672000,1524000,-223000,-35000,-3706000,5721000,8050000
79,Inventory,-4821000,-14100000,-26610000,-16087000,-12761000,-24598000,-27702000,-45622000,12957000
80,Accounts Payable,4916000,3190000,7364000,6835000,10501000,13062000,14191000,-13810000,12360000
81,Other Working Capital,17454000,17454000,28280000,58800000,50920000,76502000,90129000,125400000,-33655000
82,Other Non-Cash Items,9759000,-143000,-25701000,-25337000,8926000,-31497000,-15336000,-117884000,1650000
83,Cash Provided by Operating Activities,11924000,12780000,11508000,32929000,41151000,44200000,63260000,25317000,155922000
84,CAPEX,-3848000,-11600000,-14074000,-36127000,-22293000,-24418000,-27525000,-37195000,-28424000
85,Acquisitions Net,-41912000,-15696000,- -,-146541000,-1305000,- -,-4424000,-3688000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,61000,-176000,- -,- -,- -,865000,184000,717000,- -
89,Cash Used for Investing Activites,-45699000,-27272000,-14074000,-182668000,-23598000,-23553000,-31765000,-40166000,-28424000
90,Debt Repayment,-1461000,-70126000,-130326000,-77899000,-2378000,-10448000,-10554000,-65553000,-667000
91,Common Stock Issued,1999000,- -,82224000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-41300000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,33835000,84546000,92298000,233385000,-14335000,-9218000,-13343000,133351000,-123246000
95,Cash Used/Provided by Financing Activities,34373000,14420000,2896000,155486000,-16713000,-19666000,-23897000,67798000,-123913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,598000,-72000,330000,5747000,840000,981000,7598000,52949000,3585000
98,Cash at the End of Period,1190000,1118000,1448000,7195000,8035000,9016000,16614000,69563000,73148000
99,Cash at the Beginning of Period,592000,1190000,1118000,1448000,7195000,8035000,9016000,16614000,69563000
100,Free Cash Flow,8076000,1180000,-2566000,-3198000,18858000,19782000,35735000,-11878000,127498000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610250/000155837020006925/0001558370-20-006925-index.htm,https://www.sec.gov/Archives/edgar/data/1610250/000155837021007103/0001558370-21-007103-index.htm
102,false,,,,,,,,,
