,https://roic.ai/company/LND,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,7093000,32386000,22409000,- -,30278000,69986000,139104000,69482000,52296000,27063000,53458000,90125000,121517000,163442000,173765000
35,Inventory,- -,- -,30239000,18002000,23629000,77479000,72558000,24579000,40743000,29030000,18197000,60918000,131615000,196949000,254331000,476348000
36,Other Current Assets,- -,87000,1681000,477000,40158000,7642000,9148000,22938000,19585000,18633000,29571000,5956000,35010000,11696000,53646000,51986000
37,Total Current Assets,- -,508910000,396069000,319937000,269987000,251014000,219156000,271559000,238087000,448837000,242594000,171102000,372279000,440827000,642464000,1761206000
38,PP&E,- -,10448000,60092000,95487000,119058000,12900000,15764000,14851000,13542000,10602000,8567000,54745000,84830000,107852000,217018000,190422000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,2612000,2607000,2570000,4966000,3792000,3450000,1672000,1403000,1557000,1469000,1104000
41,Intangible Assets,- -,- -,- -,- -,- -,2612000,2607000,2570000,4966000,3792000,3450000,1672000,1403000,1557000,1469000,1104000
42,Investments,- -,4748000,6915000,6979000,410000,28790000,23607000,70000,50369000,99729000,102955000,101426000,86000,1256000,5742000,5609000
43,Tax Assets,- -,170000,5975000,11378000,- -,3120000,14960000,25216000,43554000,43137000,56353000,53780000,32742000,20510000,23282000,72343000
44,Other Non-Current Assets,- -,142725000,233681000,245215000,344342000,452835000,459668000,456564000,477864000,411743000,439610000,500568000,688259000,785612000,1154393000,1397634000
45,Total Non-Current Assets,- -,158091000,306663000,359059000,463810000,500257000,516606000,499271000,590295000,569003000,610935000,712191000,807320000,916787000,1401904000,1667112000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,667001000,702732000,678996000,733797000,751271000,735762000,770830000,828382000,1017840000,853529000,883293000,1179599000,1357614000,2044368000,3428318000
48,Accounts Payable,- -,164000,2145000,1490000,1803000,37899000,45009000,7777000,8158000,5545000,12073000,37805000,48518000,63959000,55603000,75224000
49,Short-Term Debt,- -,30000,431000,15488000,28689000,4801000,43067000,44929000,62253000,50900000,51615000,56620000,70088000,76862000,243123000,352591000
50,Tax Payable,- -,5407000,5692000,4543000,1465000,2000,2476000,2306000,6501000,23377000,6277000,5209000,6142000,7443000,12396000,16254000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2124000,15617000,8147000,278000,5631000,21201000,5707000,10249000,19141000
52,Other Current Liabilities,- -,78366000,101183000,57449000,67268000,69552000,22711000,59714000,93517000,134429000,48069000,57100000,63346000,80090000,91117000,214336000
53,Total Current Liabilities,- -,78560000,103759000,74427000,97760000,112252000,110787000,114544000,179545000,199021000,112035000,157156000,203153000,226618000,400092000,661292000
54,Long-Term Debt,- -,- -,1341000,9759000,49299000,55436000,51294000,56924000,57909000,59179000,48230000,55555000,205932000,230188000,423353000,509585000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,6168000,3321000,- -,- -,- -,- -,- -,- -,- -,34031000,26714000
57,Other Non-Current Liabilities,- -,17972000,22752000,18058000,19548000,492000,11392000,12377000,7022000,7534000,7249000,3114000,14650000,20275000,65323000,48126000
58,Total Non-Current Liabilities,- -,17972000,24093000,27817000,68847000,62096000,66007000,69301000,64931000,66713000,55479000,58669000,220582000,250463000,522707000,584425000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,7576000,5773000,24079000,20215000,21197000,152363000,198995000
61,Total Liabilities,- -,96532000,127852000,102244000,166607000,174348000,176794000,183845000,244476000,265734000,167514000,215825000,423735000,477081000,922799000,1245717000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,584224000,584224000,- -,584224000,584224000,584224000,584224000,584224000,584224000,584224000,699811000,1587985000
64,Retained Earnings,- -,-13755000,-12973000,-7472000,-23306000,-14898000,-20470000,- -,-10988000,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-17632000,996000,-6920000,2761000,12604000,127773000,131461000,113555000,206848000,331517000,439653000,646044000
66,Other Total Stockholders Equity,- -,- -,- -,- -,17632000,- -,- -,- -,-1934000,40109000,-29670000,-30311000,-35208000,-35208000,-17895000,-51428000
67,Total Stockholders Equity,- -,570469000,574880000,576752000,560918000,570322000,558968000,586985000,583906000,752106000,686015000,667468000,755864000,880533000,1121569000,2182601000
68,Total Liabilities And Stockholders Equity,- -,667001000,702732000,678996000,727525000,744670000,735762000,770830000,828382000,1017840000,853529000,883293000,1179599000,1357614000,2044368000,3428318000
69,Minority Interest,- -,- -,- -,- -,6272000,6601000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,667001000,702732000,678996000,733797000,751271000,735762000,770830000,828382000,1017840000,853529000,883293000,1179599000,1357614000,2044368000,3428318000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,17159000,5541000,950000,-16868000,14743000,-5572000,28727000,-13362000,180810000,10572000,27310000,126338000,177079000,119554000,317646000
74,Depreciation and Amortization,- -,401000,542000,540000,-3880000,14127000,27398000,27997000,21431000,22222000,21957000,15027000,23222000,23078000,60249000,110004000
75,Deferred Income Tax,- -,1403000,-608000,1436000,-11323000,4214000,-14686000,-10258000,-18338000,417000,-13216000,1814000,21044000,12232000,3528000,-50536000
76,Stock Based Compensation,- -,- -,- -,- -,- -,996000,1138000,1251000,816000,82000,- -,- -,844000,1648000,1510000,2550000
77,Change in Working Capital,- -,17904000,-31018000,2996000,-71869000,-49608000,-19957000,-27339000,55621000,-129000,-6055000,62125000,8052000,30471000,107416000,366039000
78,Accounts Receivable,- -,- -,- -,- -,- -,-4061000,-24967000,-48751000,65235000,12296000,46895000,-7297000,-6746000,3401000,50692000,127375000
79,Inventory,- -,3064000,-24613000,911000,-46927000,-44399000,-3399000,33083000,-12735000,12383000,-19379000,-753000,1870000,3533000,114087000,233145000
80,Accounts Payable,- -,- -,- -,- -,- -,1493000,2069000,3718000,-237000,-4516000,6544000,24996000,11178000,13595000,-35698000,4136000
81,Other Working Capital,- -,13415000,1939000,365000,- -,-2866000,2069000,-1050000,7335000,-37173000,-10705000,24724000,13202000,-15224000,-652000,-8176000
82,Other Non-Cash Items,- -,-5205000,-9634000,10716000,51299000,-17105000,988000,-66850000,-23288000,-214577000,-31036000,-41225000,-181764000,-193170000,-223233000,-594471000
83,Cash Provided by Operating Activities,- -,31662000,-35177000,16638000,-52641000,-32633000,-10691000,-46472000,22880000,-11175000,-17778000,65051000,-2264000,51338000,69024000,151232000
84,CAPEX,- -,-61840000,-128143000,-108616000,-57752000,-4151000,-4338000,-3383000,-2413000,-1800000,-1104000,-25478000,-43105000,-43670000,-25087000,-18712000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,86460000,12200000,79863000,- -,6011000,5267000,28927000,12482000,-142887000
86,Purchases of Investments,- -,- -,- -,- -,- -,-3234000,-29806000,-4035000,- -,-53385000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2738000,8533000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5631000,-10732000,3342000,437000,-35146000,9769000,-28340000,-22050000,-6526000,161111000,-19538000,-70967000,-50193000,-41777000,-52410000
89,Cash Used for Investing Activites,- -,-67471000,-138875000,-105274000,-54577000,-33998000,-24375000,54085000,-9850000,19952000,161111000,-13527000,-65700000,-21266000,-29295000,-214009000
90,Debt Repayment,- -,- -,- -,-1522000,-12859000,-31466000,-37297000,-36693000,-44100000,-101403000,-82270000,-48308000,-105408000,-73178000,-143967000,-345830000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,7438000,- -,- -,- -,- -,- -,- -,- -,- -,870988000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-1934000,-224000,-39653000,-14721000,-610000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1128000,- -,- -,- -,- -,-5883000,- -,-80669000,-32043000,-12972000,-41000000,-50000000,-42000000
94,Other Financing Activites,- -,-13000,4085000,23893000,61907000,27512000,-3226000,37310000,49938000,81725000,37843000,33142000,244404000,86557000,212418000,471699000
95,Cash Used/Provided by Financing Activities,- -,-13000,4085000,21243000,49048000,-3954000,-33085000,617000,-1979000,-19902000,-164749000,-61930000,125414000,-27621000,18451000,954857000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3066000,-138000,6238000,-4018000
97,Net Change In Cash,- -,-35822000,-169967000,-67393000,-58170000,-70585000,-68151000,8230000,11051000,-11125000,-21416000,-10406000,60516000,2313000,64418000,888062000
98,Cash at the End of Period,- -,501730000,331763000,264370000,206200000,135615000,67464000,75694000,86745000,75620000,54204000,43798000,104314000,106627000,171045000,1059107000
99,Cash at the Beginning of Period,- -,537552000,501730000,331763000,264370000,206200000,135615000,67464000,75694000,86745000,75620000,54204000,43798000,104314000,106627000,171045000
100,Free Cash Flow,- -,-30178000,-163320000,-91978000,-110393000,-36784000,-15029000,-49855000,20467000,-12975000,-18882000,39573000,-45369000,7668000,43937000,132520000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.4617,0.5184,0.6234,0.5121,0.5544,0.6399,0.4976,0.4479,0.4515,0.3221,0.3111,0.3023,0.2579,0.2596,0.1829,0.2012
