,https://roic.ai/company/XFOR,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,928006,488587,343641,2384660,11530000,20077000,25749000
28,Weighted Average Shares Outstanding Diluted,928006,488587,343641,2384660,11530000,20077000,25749000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501697/000156459018005038/0001564590-18-005038-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000156459019007097/0001564590-19-007097-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828020003484/0001628280-20-003484-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828021005202/0001628280-21-005202-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000162828022006547/0001628280-22-006547-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,6759000,3035000,76793000,30754000,126184000,78708000,81787000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6759000,3035000,76793000,30754000,126184000,78708000,81787000
34,Net Receivables,1541000,1345000,1608000,2859000,1998000,917000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,87000,1336000,1129000,1467000,1096000,3682000,6091000
37,Total Current Assets,8387000,5716000,79530000,35080000,129278000,83307000,87878000
38,PP&E,760000,519000,421000,285000,2362000,9197000,10224000
39,Goodwill,- -,- -,- -,- -,27109000,27109000,17351000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,27109000,27109000,17351000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,363000,1369000,1303000,639000,1949000,3258000,1723000
45,Total Non-Current Assets,1123000,1888000,1724000,924000,31420000,39564000,29298000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9510000,7604000,81254000,36004000,160698000,122871000,117176000
48,Accounts Payable,423000,1645000,1893000,545000,2088000,3144000,4283000
49,Short-Term Debt,2490000,5162000,2314000,- -,898000,786000,1870000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,430000,504000,694000,737000,- -,- -,- -
52,Other Current Liabilities,3334000,4749000,5779000,4116000,6461000,8018000,7870000
53,Total Current Liabilities,6677000,12060000,10680000,5398000,9447000,11948000,14023000
54,Long-Term Debt,4704000,10127000,9922000,7894000,20097000,33178000,795000
55,Deferred Revenue,2433000,2054000,1936000,1107000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30018000,39925000,9000,5000,1934000,4946000,37946000
58,Total Non-Current Liabilities,37155000,52106000,11867000,9006000,22031000,38124000,38741000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2816000,5270000,- -
61,Total Liabilities,43832000,64166000,22547000,14404000,31478000,50072000,52764000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,15000,15000,16000,16000,28000
64,Retained Earnings,-35413000,-58388000,-92265000,-135286000,-132044000,- -,-282871000
65,Other Comprehensive Income/Loss,718000,834000,127000,241000,-119000,-119000,-119000
66,Other Total Stockholders Equity,372000,991000,150830000,156630000,261367000,72902000,64412000
67,Total Stockholders Equity,-34322000,-56562000,58707000,21600000,129220000,72799000,64412000
68,Total Liabilities And Stockholders Equity,9510000,7604000,81254000,36004000,160698000,122871000,117176000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9510000,7604000,81254000,36004000,160698000,122871000,117176000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501697/000156459018005038/0001564590-18-005038-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000156459019007097/0001564590-19-007097-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828020003484/0001628280-20-003484-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828021005202/0001628280-21-005202-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000162828022006547/0001628280-22-006547-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-13218000,-22975000,-33877000,-43021000,-52807000,-62131000,-88696000
74,Depreciation and Amortization,389000,285000,195000,155000,103000,351000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,126000,644000,906000,5620000,2050000,5428000,- -
77,Change in Working Capital,1447000,-8054000,75194000,-39168000,90149000,-48472000,2496000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1655000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,77000,1264000,182000,-1339000,-2752000,1031000,- -
81,Other Working Capital,1710000,-6344000,68850000,29682000,119831000,71359000,73855000
82,Other Non-Cash Items,440000,8461000,-70289000,35511000,-87550000,46006000,105489000
83,Cash Provided by Operating Activities,-10816000,-21639000,-27871000,-40903000,-48055000,-58818000,19289000
84,CAPEX,-170000,-73000,-42000,-34000,-174000,-1362000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-77000,-65000,76000,- -,27406000,- -,-615000
89,Cash Used for Investing Activites,-247000,-138000,34000,-34000,27232000,-1362000,-615000
90,Debt Repayment,-1026000,-250000,-2350000,-4667000,-9368000,-278000,- -
91,Common Stock Issued,- -,- -,66000000,- -,139388000,-277000,- -
92,Common Stock Repurchased,-12000,-87000,-197000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-13943000
94,Other Financing Activites,12543000,18484000,37809000,136000,10641000,12949000,88188000
95,Cash Used/Provided by Financing Activities,11505000,18147000,101262000,-4531000,140661000,12394000,74245000
96,Effect of Forex Changes on Cash,-122000,-94000,333000,-286000,-250000,402000,- -
97,Net Change In Cash,320000,-3724000,73758000,-45754000,119588000,-47384000,2406000
98,Cash at the End of Period,6759000,3035000,76793000,31394000,128086000,80702000,83108000
99,Cash at the Beginning of Period,6439000,6759000,3035000,77148000,8498000,128086000,80702000
100,Free Cash Flow,-10986000,-21712000,-27913000,-40937000,-48229000,-58818000,19289000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501697/000156459018005038/0001564590-18-005038-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000156459019007097/0001564590-19-007097-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828020003484/0001628280-20-003484-index.html,https://www.sec.gov/Archives/edgar/data/1501697/000162828021005202/0001628280-21-005202-index.htm,https://www.sec.gov/Archives/edgar/data/1501697/000162828022006547/0001628280-22-006547-index.htm
102,false,,,,,,,
