,https://roic.ai/company/TGHI,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,1570000,1480000,1150000,1310000,1590000,1480000,730000,1300000,2260000,5650000,8040000,12670000,18770000,17700000,19680000,17900000,22410000,28450000,29790000,26100000,750524,-6458416,918031,2902397,5945332,2824473,5333195,8294581,6127250,5454000,6872000,5079000,9534000,4386000,4253000,7140000,3322000,2606000
11,COGS and Expenses,2350000,2340000,2070000,2110000,2410000,2020000,970000,1420000,2270000,5700000,8070000,12770000,18970000,18030000,20320000,18490000,22560000,28810000,33080000,27750000,1013612,6910000,30000,2900000,5940000,2470000,13110000,15610000,6130000,5090000,9330000,7331000,7097000,2165000,5108000,15014000,3879000,3161000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266,119,8,1947,160,9451,941,- -,- -,1000,38000,2000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-50000,60000,-140000,-90000,100000,80000,-40000,-80000,-20000,100000,50000,280000,280000,40000,-150000,-300000,-340000,-1340000,-260000,-230000,42694,- -,- -,- -,76235,352906,265250,105995,5807,218000,322000,16000,724000,712000,666000,428000,87000,232000
14,Depreciation and Amortization,- -,- -,160000,280000,240000,220000,170000,110000,110000,120000,170000,250000,460000,590000,850000,1710000,5240000,1080000,1780000,1170000,- -,282,943,- -,18703,54277,1530852,3581810,3510555,2539000,2074000,2036000,2178000,2069000,872000,2150000,554000,555000
15,EBITDA,-900000,-750000,-1280000,-920000,-1110000,-1200000,-690000,-930000,-460000,-3010000,-7640000,-11140000,-28680000,-21770000,-23460000,-20990000,-33170000,-42810000,-29420000,-24180000,1972694,-6639718,-30000,-2900000,-6395062,-3210000,-1913898,-3092195,-2620000,9187000,1806000,188000,-3364000,-2758000,-5896000,-11191000,-5867000,-2758000
16,EBITDA ratio,-0.5806,-0.5102,-1.3913,-0.8440,-1.3059,-3.0000,-4.0588,-2.2143,-1.9167,-15.0500,-152.8000,-61.8889,-62.3478,-36.2833,-18.6190,-17.4917,-207.3125,-122.3143,-6.7632,-8.5442,3.1313,-663.9718,-Infinity,-Infinity,-639.5062,-Infinity,-0.1981,-0.3459,-Infinity,0.7845,0.1982,0.0367,-2.1958,-62.6818,-8.2577,-14.2198,-34.5118,-15.8506
17,Operating Income,-800000,-870000,-1160000,-1020000,-1560000,-1620000,-800000,-1000000,-2030000,-5500000,-8010000,-12590000,-18510000,-17430000,-19060000,-17290000,-22400000,-28460000,-28730000,-24920000,-383612,-684084,-918031,-2902397,-5940332,-2821973,-3706125,-9766588,-6127250,-4577000,-219000,-2209000,-10229000,-4879000,-4394000,-14227000,-3709000,-3200000
18,Operating Income ratio,-0.5161,-0.5918,-1.2609,-0.9358,-1.8353,-4.0500,-4.7059,-2.3810,-8.4583,-27.5000,-160.2000,-69.9444,-40.2391,-29.0500,-15.1270,-14.4083,-140.0000,-81.3143,-6.6046,-8.8057,-0.6089,-68.4084,-Infinity,-Infinity,-594.0332,-Infinity,-0.3837,-1.0925,-Infinity,-0.3909,-0.0240,-0.4313,-6.6769,-110.8864,-6.1541,-18.0775,-21.8176,-18.3908
19,Total Other Income Expenses (Gains),-50000,60000,-140000,-90000,100000,80000,-40000,-80000,-20000,100000,40000,270000,-12240000,-9640000,-7510000,-6500000,-15700000,-14370000,-2420000,-200000,2313612,-5955916,888031,2397,-549668,-18027,-3875,2986588,-12750,11127000,-481000,30000,3913000,2048000,-665000,556000,411000,-345000
20,Income Before Tax,-850000,-810000,-1300000,-1110000,-1460000,-1540000,-840000,-1080000,-2050000,-5400000,-7970000,-12320000,-30750000,-27070000,-26570000,-23790000,-38100000,-42830000,-31150000,-25120000,1930000,-6640000,-30000,-2900000,-6490000,-2840000,-3710000,-6780000,-6140000,6550000,-700000,-2179000,-6316000,-2831000,-5059000,-13671000,-3298000,-3545000
21,Income Before Tax Ratio,-0.5484,-0.5510,-1.4130,-1.0183,-1.7176,-3.8500,-4.9412,-2.5714,-8.5417,-27.0000,-159.4000,-68.4444,-66.8478,-45.1167,-21.0873,-19.8250,-238.1250,-122.3714,-7.1609,-8.8763,3.0635,-664.0000,-Infinity,-Infinity,-649.0000,-Infinity,-0.3841,-0.7584,-Infinity,0.5594,-0.0768,-0.4254,-4.1227,-64.3409,-7.0854,-17.3710,-19.4000,-20.3736
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,280000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1170000,- -,- -,-20000,- -,- -,- -,- -,- -
23,Net Income,-850000,-810000,-1300000,-1110000,-1450000,-1500000,-820000,-960000,-830000,-3070000,-7860000,-11670000,-29420000,-22400000,-24160000,-22400000,-38070000,-42550000,-30940000,-25120000,1930000,-6640000,-30000,-2900000,-6490000,-2840000,-3710000,-6780000,-1650000,5260000,-590000,-1864000,-6246000,-5539000,-7434000,-13769000,-6508000,-3545000
24,Net Income ratio,-0.5484,-0.5510,-1.4130,-1.0183,-1.7059,-3.7500,-4.8235,-2.2857,-3.4583,-15.3500,-157.2000,-64.8333,-63.9565,-37.3333,-19.1746,-18.6667,-237.9375,-121.5714,-7.1126,-8.8763,3.0635,-664.0000,-Infinity,-Infinity,-649.0000,-Infinity,-0.3841,-0.7584,-Infinity,0.4492,-0.0648,-0.3639,-4.0770,-125.8864,-10.4118,-17.4956,-38.2824,-20.3736
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.03,-0.04,-0.10,-0.07,-0.08,-0.07,-0.13,-0.14,-0.10,-0.08,160833.33,-553333.33,-2500.00,-241666.67,-540833.33,-236312.33,-2699.45,-899.82,-254.51,-31.50,-3.00,-9.00,-48.00,-24.00,-14.75,-7.25,-1.73,-0.12
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.03,-0.04,-0.10,-0.07,-0.08,-0.07,-0.13,-0.14,-0.10,-0.08,160833.33,-553333.33,-2500.00,-241666.67,-540833.33,-236312.33,-2699.45,-899.82,-254.51,-31.50,-3.00,-9.00,-48.00,-24.00,-14.75,-7.25,-1.73,-0.12
27,Weighted Average Shares Outstanding,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,12,12,12,12,12,12,1369,6733,6483,151300,211073,219873,226640,236073,501360,2034280,3768000,30307000
28,Weighted Average Shares Outstanding Diluted,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618979,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,304618983,12,12,12,12,12,12,1369,6733,6483,151300,211073,219873,226640,236073,501360,2034280,3768000,30307000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225211/000135448814001911/0001354488-14-001911-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000135448815001534/0001354488-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577416006400/0001615774-16-006400-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577417001626/0001615774-17-001626-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577418002269/0001615774-18-002269-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577419005776/0001615774-19-005776-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000121390020011842/0001213900-20-011842-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000175392621000093/0001753926-21-000093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,150000,20000,- -,1110000,720000,70000,50000,- -,2400000,1530000,1540000,3320000,3200000,3800000,2760000,130000,10830000,7850000,270000,80000,450000,70000,- -,- -,30000,10000,620000,190000,70000,700000,2070000,3172000,1772000,106000,763000,313000,258000,118000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -
33,Cash and Short-Term Investments,150000,20000,- -,1110000,720000,70000,50000,- -,2400000,1530000,1540000,3320000,3200000,3800000,2760000,130000,10830000,7850000,270000,80000,450000,70000,- -,- -,30000,10000,620000,190000,70000,700000,2070000,3172000,1772000,106000,763000,413000,258000,118000
34,Net Receivables,700000,340000,470000,290000,190000,100000,30000,10000,980000,320000,190000,30000,470000,410000,540000,60000,230000,2460000,1520000,100000,- -,- -,- -,- -,40000,- -,1800000,1920000,- -,5900000,7260000,9072000,1760000,2000,102000,2022000,80000,190000
35,Inventory,1150000,1110000,940000,570000,590000,250000,70000,60000,40000,40000,140000,180000,1660000,3340000,1830000,80000,10000,810000,1190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10000,- -,30000,40000,90000,50000,40000,50000,60000,110000,70000,190000,150000,280000,170000,160000,320000,1030000,1110000,- -,- -,10000,- -,320000,- -,10000,350000,80000,- -,130000,140000,576000,402000,1827000,578000,1587000,877000,711000
37,Total Current Assets,2010000,1470000,1440000,2010000,1590000,470000,190000,120000,3480000,2000000,1940000,3720000,5480000,7830000,5300000,430000,11390000,12150000,4090000,180000,450000,80000,- -,320000,70000,20000,2770000,2190000,70000,6730000,9470000,12820000,3934000,1935000,1443000,4022000,1215000,1019000
38,PP&E,1140000,1110000,1090000,1120000,1110000,1150000,1000000,340000,320000,760000,890000,2420000,3430000,6540000,6690000,4610000,3590000,6660000,7200000,- -,- -,- -,- -,- -,10000,10000,780000,370000,20000,350000,320000,- -,96000,16000,2000,- -,- -,3000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4420000,- -,700000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419000,419000
40,Intangible Assets,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,20000,20000,10000,10000,- -,- -,- -,6870000,- -,- -,- -,- -,- -,- -,- -,2040000,3970000,- -,12330000,12760000,10960000,9823000,6190000,5340000,2908000,1992000,930000
41,Intangible Assets,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,20000,20000,10000,10000,4420000,- -,700000,7470000,- -,- -,- -,- -,- -,- -,- -,2040000,3970000,- -,12330000,12760000,10960000,9823000,6190000,5340000,2908000,2411000,1349000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490000,2060000,2410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,372192,- -,23000,19000,18000,17000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,450000,- -,215000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,20000,30000,450000,10000,- -,780000,760000,290000,160000,160000,220000,140000,160000,980000,380000,220000,360000,3470000,- -,- -,- -,- -,- -,10000,- -,- -,- -,7808,25820000,-453000,607000,-215000,2248000,2017000,3995000,1201000,372000
45,Total Non-Current Assets,1150000,1130000,1120000,1570000,1120000,1190000,1780000,1100000,610000,920000,1050000,2660000,3590000,6710000,7680000,9410000,4300000,9780000,20550000,- -,- -,- -,- -,- -,20000,10000,2820000,4340000,400000,38950000,13100000,11586000,9937000,8471000,7359000,6903000,3612000,1724000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3160000,2600000,2560000,3580000,2710000,1660000,1970000,1220000,4090000,2920000,2990000,6380000,9070000,14540000,12980000,9840000,15690000,21930000,24640000,180000,450000,80000,- -,320000,90000,30000,5590000,6530000,470000,45680000,22570000,24406000,13871000,10406000,8802000,10925000,4827000,2743000
48,Accounts Payable,810000,620000,440000,110000,160000,380000,340000,290000,340000,510000,440000,640000,1840000,1040000,650000,1750000,760000,580000,4760000,4110000,- -,130000,10000,1940000,1450000,380000,2300000,1520000,490000,750000,660000,556000,223000,177000,167000,311000,387000,314000
49,Short-Term Debt,100000,380000,40000,- -,60000,60000,110000,- -,- -,- -,- -,- -,- -,4600000,3300000,2830000,- -,2400000,7040000,1470000,- -,- -,- -,299667,- -,575402,1804806,17352,17352,59000,65000,73000,5000,3068000,45000,1306000,1290000,1734000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,117000,93000,90000,90000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000,- -,60000
52,Other Current Liabilities,320000,1100000,270000,500000,340000,270000,540000,260000,850000,340000,390000,460000,450000,410000,460000,5750000,6030000,8420000,2730000,4410000,- -,- -,20000,490333,640000,474598,2145194,1972648,82648,11301000,4645000,1068000,328000,639000,338000,661000,1178000,427000
53,Total Current Liabilities,1230000,2100000,750000,610000,560000,710000,990000,550000,1190000,850000,830000,1100000,2290000,6050000,4410000,10330000,6790000,11400000,14530000,9990000,- -,130000,30000,2730000,2090000,1430000,6250000,3510000,590000,12110000,5370000,1697000,556000,3884000,550000,2455000,2855000,2535000
54,Long-Term Debt,620000,- -,1220000,620000,590000,670000,420000,110000,50000,- -,- -,50000,60000,2700000,2700000,1410000,1340000,2210000,2260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000,270000,2796000,2709000,- -,1000000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000,235000,215000,172000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-10000,40000,20000,140000,170000,930000,80000,100000,120000,2680000,1880000,1410000,20000,- -,430000,310000,10000,8340000,- -,- -,- -,- -,- -,- -,- -,- -,16450000,395000,2889000,2354000,2405000,- -,1571000,1002000,- -
58,Total Non-Current Liabilities,620000,- -,1220000,610000,630000,690000,560000,280000,980000,80000,100000,170000,2740000,4580000,4110000,1430000,1340000,2640000,2570000,10000,8340000,- -,- -,- -,- -,- -,- -,- -,- -,16760000,1110000,5920000,5278000,2577000,1000000,1571000,1002000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1850000,2100000,1970000,1220000,1190000,1400000,1550000,830000,2170000,930000,930000,1270000,5030000,10630000,8520000,11760000,8130000,14040000,17100000,10000000,8340000,130000,30000,2730000,2090000,1430000,6250000,3510000,590000,28870000,6480000,7617000,5834000,6461000,1550000,4026000,3857000,2535000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12547,12547,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,- -,- -,- -,- -
63,Common Stock,1100000,1100000,560000,750000,850000,850000,1070000,1200000,1280000,1400000,2110000,2930000,3700000,4920000,13860000,42080000,95610000,138370000,245060000,713890000,738750000,2790000,- -,40000,- -,10000,10000,60000,60000,1850000,- -,3000,3000,1000,3000,8000,2000,618000
64,Retained Earnings,-5210000,-6020000,-7320000,-8420000,-9870000,-11260000,-12190000,-13040000,-14200000,-17270000,-25130000,-36800000,-66220000,-88620000,-112770000,-143100000,-181170000,-223720000,-254660000,-279780000,-277850000,-200000,-30000,-2930000,-9410000,-12250000,-15960000,-22740000,-24380000,-4780000,-13320000,-15227000,-28001000,-33590000,-41085000,-54854000,-61362000,-64907000
65,Other Comprehensive Income/Loss,-830000,-920000,-1010000,- -,- -,-1330000,-1260000,-1060000,-1130000,-1230000,-1390000,-1630000,-2090000,-2670000,-3520000,-4250000,-4710000,-5290000,-6150000,- -,- -,- -,- -,-860943,-47784,25332,-64041,159732,156075,455000,1137000,63000,-36000,29000,-22000,-35000,-24000,-24000
66,Other Total Stockholders Equity,6250000,6340000,8360000,10030000,10540000,12000000,12800000,13290000,15970000,19090000,26470000,40610000,68660000,90290000,106890000,103340000,97830000,98530000,23290000,- -,-468790693,-2654999,- -,1336552,7457784,10817079,15353635,25538256,24038892,11338000,28273000,31949000,37870000,37504000,48356000,61780000,62354000,63551000
67,Total Stockholders Equity,1310000,500000,590000,2360000,1520000,260000,420000,390000,1920000,1990000,2060000,5110000,4050000,3920000,4460000,-1930000,7560000,7890000,7540000,-9820000,-7890693,-52452,-528257,-2414391,-1997539,-1397589,-660406,3017988,-125033,8863000,16090000,16789000,9837000,3945000,7252000,6899000,970000,-762000
68,Total Liabilities And Stockholders Equity,3160000,2600000,2560000,3580000,2710000,1660000,1970000,1220000,4090000,2920000,2990000,6380000,9080000,14550000,12980000,9830000,15690000,21930000,24640000,180000,449307,77548,-498257,315609,92461,32411,5589594,6527988,464967,37733000,22570000,24406000,15671000,10406000,8802000,10925000,4827000,1773000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,10000,- -,- -,- -,- -,693,2452,498257,4391,-2461,-2411,406,2012,5033,7947000,- -,- -,-1800000,- -,- -,- -,- -,970000
70,Total Liabilities & Equity,3160000,2600000,2560000,3580000,2710000,1660000,1970000,1220000,4090000,2920000,2990000,6380000,9070000,14540000,12980000,9840000,15690000,21930000,24640000,180000,450000,80000,- -,320000,90000,30000,5590000,6530000,470000,45680000,22570000,24406000,13871000,10406000,8802000,10925000,4827000,2743000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225211/000135448814001911/0001354488-14-001911-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000135448815001534/0001354488-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577416006400/0001615774-16-006400-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577417001626/0001615774-17-001626-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577418002269/0001615774-18-002269-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577419005776/0001615774-19-005776-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000121390020011842/0001213900-20-011842-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000175392621000093/0001753926-21-000093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1300000,-1110000,-1450000,-1500000,-820000,-960000,-830000,-3070000,-7860000,-11670000,-29420000,-22400000,-24160000,-22400000,-38070000,-42550000,-30940000,-25120000,1930000,-6640000,-30000,-2900000,-6490000,-2840000,-3710000,-6780000,-1650000,5260000,-590000,-1864000,-6246000,-5539000,-7434000,-13769000,-6508000,-3545000
74,Depreciation and Amortization,- -,- -,160000,280000,240000,220000,170000,110000,110000,120000,170000,250000,460000,590000,850000,1710000,5240000,1080000,1780000,1170000,- -,282,943,- -,18703,54277,1530852,3581810,3510555,2539000,2074000,2036000,2178000,2069000,872000,2150000,554000,555000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,280000,-280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643000,174000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-920000,710000,-370000,-1270000,-560000,370000,2720000,-1140000,-40000,1510000,570000,-1410000,-890000,-10790000,14500000,-3850000,-11190000,630000,10260000,-500000,20000,-2380000,390000,610000,-2070000,2160000,800000,-4860000,9480000,7023000,-7745000,-5327000,2842000,674000,-3207000,124000
78,Accounts Receivable,- -,- -,-130000,180000,100000,90000,70000,20000,-970000,910000,-40000,80000,-170000,100000,-320000,360000,30000,-370000,-840000,1190000,- -,- -,- -,- -,- -,- -,-587410,284845,- -,-1724000,-6287000,-1988000,-50000,96000,-100000,-180000,-102000,350000
79,Inventory,- -,- -,170000,370000,-20000,340000,180000,10000,20000,- -,-100000,-40000,-1480000,-1680000,1510000,1750000,70000,-800000,-380000,1190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,180000,330000,-50000,-220000,40000,50000,-50000,-170000,70000,-200000,-1200000,800000,390000,-1100000,990000,180000,-4180000,650000,- -,- -,- -,- -,- -,- -,780149,413399,92522,539000,488000,-244000,-302000,389000,280000,-179000,506000,- -
81,Other Working Capital,- -,- -,690000,1400000,1030000,-240000,-800000,-430000,2290000,1150000,1110000,2620000,3190000,1780000,890000,-9900000,4600000,750000,-10440000,-9810000,450000,-50000,-30000,-2410000,-2020000,-1410000,-3480000,-1320000,-520000,-5380000,4100000,11123000,3378000,-1949000,893000,1567000,-1640000,-1516000
82,Other Non-Cash Items,- -,- -,160000,-950000,1070000,1870000,-70000,-530000,-3560000,-830000,- -,-1860000,11500000,3250000,5080000,19620000,-80000,18640000,14450000,14210000,-12399840,6267374,-385684,4326809,1790353,1165336,3459618,17130,-4281435,-5834000,-15367000,-9124000,9698000,7494000,3017000,7894000,7097000,2099000
83,Cash Provided by Operating Activities,- -,- -,-1900000,-1070000,-510000,-680000,-1280000,-1010000,-1280000,-5200000,-7730000,-11770000,-16890000,-19970000,-19120000,-11860000,-18410000,-26680000,-25900000,-9110000,-209840,-872344,-394741,-953191,-4290944,-1010387,-789530,-1021060,-1620880,-2895000,-3760000,-1755000,-2115000,-1303000,-703000,-3051000,-2064000,-767000
84,CAPEX,- -,- -,-80000,-130000,-90000,-270000,-30000,-190000,-20000,-540000,-290000,-1750000,-1440000,-960000,-850000,-110000,-640000,-1390000,-2830000,-360000,- -,-2820,- -,- -,-10217,-254,-47105,-29427,-13301,-3567000,-1342000,-1171000,-1072000,-475000,-2000,-2000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10971,- -,- -,677250,- -,2088358,- -,- -,- -,- -,- -,- -,-168000,1610000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -
