,https://roic.ai/company/KZIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.8140,-0.5106,-0.7229,-0.6339,-0.2593,-0.6530,-0.5993,-1.0946,-1.0989,-1.4968,-1.6717,-1.2235,-3.1585,0.8817,-0.5276,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5033
17,Operating Income,-18126042,-13655460,-41910607,-19000011,-10500149,-12385054,-12173157,-22304459,-27015606,-25829230,-23775000,-15228000,-11439000,-9679000,-2039000,-6401000,-8141000,-12771000,-10354000,-12487000,-8822000,-12194000,-6378000
18,Operating Income ratio,-0.9380,-0.5106,-0.7114,-0.9697,-0.3189,-0.7577,-0.6914,-1.6516,-1.5604,-1.9457,-2.1329,-1.5369,-5.6489,-6.3972,-1.9110,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4201
19,Total Other Income Expenses (Gains),599208,- -,-679992,4381885,78658,- -,-56394,4386503,2694015,1071340,-11000,-8000,494000,937000,531000,-1168000,835000,616000,-515000,6143000,-1746000,-571000,-2528000
20,Income Before Tax,- -,-13655460,-42590598,-14618126,-10421491,- -,-12229551,-17917956,-24321591,-24757889,-23786000,-15236000,-10945000,-8742000,-1508000,-7569000,-7306000,-12155000,-10869000,-6344000,-10568000,-12765000,-8906000
21,Income Before Tax Ratio,- -,-0.5106,-0.7229,-0.7461,-0.3165,- -,-0.6946,-1.3268,-1.4048,-1.8650,-2.1338,-1.5377,-5.4049,-5.7779,-1.4133,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5866
22,Income Tax expense (Gain),- -,21774,58789,44405,-7421,- -,2623,1348,-1179,4181,1000,10000,1000,- -,- -,- -,- -,- -,-199000,-305000,-298000,-298000,-484000
23,Net Income,-17077428,-13677233,-42649387,-14662531,-10414070,-12502340,-12230862,-16225345,-20002914,-20251989,-18928000,-12345000,-6498000,1309000,-1031000,-7468000,-7139000,-12062000,-10670000,-6039000,-10270000,-12467000,-8422000
24,Net Income ratio,-0.8837,-0.5114,-0.7239,-0.7483,-0.3163,-0.7649,-0.6947,-1.2015,-1.1553,-1.5255,-1.6980,-1.2460,-3.2089,0.8652,-0.9663,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5547
25,EPS,-29.96,-16.12,-25.29,-15.36,-10.85,-11.36,-11.50,-16.72,-20.51,-20.86,-18.60,-12.10,-6.40,1.30,-0.90,-4.76,-2.99,-2.82,-2.28,-1.25,-1.79,-1.71,-0.72
26,EPS Diluted,-29.96,-16.12,-25.29,-15.36,-10.85,-11.36,-11.50,-17.02,-20.51,-20.86,-18.60,-12.10,-6.40,1.30,-0.90,-4.76,-2.99,-2.82,-2.28,-1.25,-1.79,-1.71,-0.72
27,Weighted Average Shares Outstanding,570000,848650,856450,954821,959905,1100701,1063907,970404,975495,975943,1017410,1021260,1021260,1024310,1146907,1567254,2384180,4274319,4678338,4837652,5750356,7305351,11767454
28,Weighted Average Shares Outstanding Diluted,570000,848650,856450,954821,959905,1103547,1063907,970404,999882,975943,1017410,1021260,1021260,1024310,1146907,1567254,2384180,4274319,4678338,4837652,5750356,7305351,11767454
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29510994,28821679,61001322,39959171,30911251,58076307,47067706,24398660,39554271,27989679,33338000,12131000,5615000,8348000,2738000,2502000,44371000,33453000,14455000,5956000,5434000,8764000,27587000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,9126083,- -,6373691,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,29510994,28821679,61001322,39959171,30911251,58076307,47067706,33524743,39554271,34363369,33338000,12131000,5615000,8348000,2738000,2502000,44371000,33453000,14455000,5956000,5434000,8764000,27587000
34,Net Receivables,4943466,6764921,10029386,4507996,4421193,2917832,3462307,4030731,4280949,4965793,2252000,1598000,5120000,78000,84000,65000,101000,91000,4060000,2321000,1552000,1194000,76000
35,Inventory,9437526,12270317,14728579,6911194,6375780,7780886,5466249,5523894,3903669,1928412,1334000,1561000,654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-149802,0,2263373,515098,586227,859616,818364,683243,2836674,1543775,565000,3828000,1271000,532000,325000,71000,177000,546000,965000,983000,529000,695000,1728000
37,Total Current Assets,43742184,47856918,88022660,51893459,42294452,69634642,56814625,43762612,50575563,42801350,37489000,19118000,12660000,8958000,3147000,2638000,44649000,34090000,19480000,9260000,7515000,10653000,29391000
38,PP&E,- -,- -,- -,- -,8251707,6686699,5834775,4484879,839448,574866,353000,172000,67000,27000,12000,14000,85000,592000,490000,1000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,299604,289758,503625,223801,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2531000,1961000,1390000,822000,15918000,14579000,13494000,12410000,22003000
41,Intangible Assets,299604,289758,503625,223801,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2531000,1961000,1390000,822000,15918000,14579000,13494000,12410000,22003000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,47000,16000,13000,22000,4335000,168000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11834358,16874617,31414829,9815281,77174,620755,4561327,2865040,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6694000
45,Total Non-Current Assets,12133962,17164375,31918453,10039082,8328881,7307454,10396102,7349919,839448,574866,353000,172000,67000,27000,2602000,2022000,1491000,1427000,16430000,18915000,13662000,12410000,28697000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55876146,65021293,119941114,61932542,50623333,76942096,67210727,51112531,51415011,43376215,37842000,19290000,12727000,8985000,5749000,4660000,46140000,35517000,35910000,28175000,21177000,23063000,58088000
48,Accounts Payable,5842278,7731338,10088175,4282418,5635204,2967893,5478052,4968675,3634857,3434560,8059000,2529000,1936000,831000,181000,81000,766000,512000,1249000,1407000,1050000,1694000,1893000
49,Short-Term Debt,898812,1902686,572212,845471,676759,836731,747544,14824,- -,- -,- -,- -,- -,- -,1416000,2707000,- -,10000,10000,84000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2139000,1081000,- -,- -,- -,- -,41000,138000,- -,- -,- -
52,Other Current Liabilities,149802,286408,2672935,278863,270110,3318319,472133,1199382,2831958,3940442,774000,3433000,4128000,1953000,111000,459000,1012000,910000,4084000,2258000,850000,3373000,6434000
53,Total Current Liabilities,6890892,9920433,13333323,5406753,6582072,7122944,6697728,6182881,6466815,7375002,8833000,5962000,8203000,3865000,1708000,3247000,1778000,1432000,5384000,3887000,1900000,5067000,8327000
54,Long-Term Debt,1498020,2371658,237115,2287746,1601365,760925,14426,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4314000,4009000,3711000,3413000,2928000
57,Other Non-Current Liabilities,- -,- -,4654121,165187,200356,21235813,253116,335557,272349,384637,236000,152000,104000,7000,- -,- -,- -,154000,874000,1037000,1371000,458000,8982000
58,Total Non-Current Liabilities,1498020,2371658,4891236,2452932,1801722,21996737,267542,335557,272349,384637,236000,152000,104000,7000,- -,- -,- -,154000,5188000,5046000,5082000,3871000,11910000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,671115,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,84000,- -,- -,- -
61,Total Liabilities,8388912,12292091,18224559,7859685,8383794,29119681,6965270,6518438,6739164,7759639,9069000,6114000,8307000,3872000,1708000,3247000,1778000,1586000,10572000,8933000,6982000,8938000,20237000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,80743278,100284638,237550268,137321574,137693685,117655870,175519303,177048968,- -,- -,206419000,206419000,194295000,199026000,137663000,142586000,190404000,191301000,193769000,31576000,36642000,48781000,80290000
64,Retained Earnings,-33256044,-47555436,-135833713,-84014260,-94073914,-72844258,-115597782,-131744679,-146305647,-162158060,-179730000,-191452000,-186644000,-191701000,-133838000,-141306000,-148445000,-160507000,-170961000,-14641000,-24948000,-36186000,-44204000
65,Other Comprehensive Income/Loss,-2247030,- -,- -,-7541745,-1948650,-10248171,-3399356,-2847521,-5160483,-7486839,-2451000,-3778000,-3422000,-3850000,216000,231000,990000,1421000,1930000,1843000,2037000,1066000,1301000
66,Other Total Stockholders Equity,2247030,- -,- -,8307287,-0,10249601,-0,0,- -,- -,-559000,- -,- -,- -,- -,- -,1716000,1716000,600000,464000,464000,464000,464000
67,Total Stockholders Equity,47487234,52729202,101716555,54072857,41671121,44813043,56522165,42456768,40618908,30672733,23679000,11189000,4229000,3475000,4041000,1511000,44665000,33931000,25338000,19242000,14195000,14125000,37851000
68,Total Liabilities And Stockholders Equity,55876146,65021293,119941114,61932542,50054915,73932724,63487435,48975206,47358072,38432372,32748000,17303000,12536000,7347000,5749000,4758000,46443000,35517000,35910000,28175000,21177000,23063000,58088000
69,Minority Interest,- -,- -,- -,- -,568418,3009372,3723292,2137325,4056939,4943843,5094000,1987000,191000,1638000,- -,-98000,-303000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55876146,65021293,119941114,61932542,50623333,76942096,67210727,51112531,51415011,43376215,37842000,19290000,12727000,8985000,5749000,4660000,46140000,35517000,35910000,28175000,21177000,23063000,58088000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17077428,-13677233,-42649387,-14662531,-10414070,-12502340,-12230862,-16225345,-20002914,-20251989,-18928000,-12345000,-6498000,1309000,-1031000,-7468000,-7139000,-12062000,-10670000,-6039000,-10270000,-12467000,-8422000
74,Depreciation and Amortization,1348218,- -,- -,1854353,1881864,1710651,1619678,1389396,976212,353281,282000,198000,83000,25000,336000,572000,575000,643000,1420000,1547000,1084000,1084000,1265000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,728000,651000,574000,402000,- -,- -,372000,517000,165000,246000,262000,637000
77,Change in Working Capital,-5842278,2899252,4516947,5650092,2934105,-145892,-2144270,1208815,5026077,4396153,1674000,-2279000,307000,1385000,-3342000,474000,1097000,-715000,-3951000,1536000,353000,1669000,-5590000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527000,252000,-1172000,2408000,34000,344000,-85000,15000,-3968000,1724000,825000,358000,-5027000
79,Inventory,-6291684,- -,- -,4754887,1748293,-1963816,-1607874,1683177,4486095,1969176,595000,-227000,907000,654000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1388000,-2694000,- -,-2711000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,483126,513506,1235788,- -,-335557,-48339,282207,-1003000,251000,1943000,-1938000,-170000,81000,51000,-91000,-230000,-363000,-323000,-243000,-391000
82,Other Non-Cash Items,599208,-7974199,3952574,476022,-231523,461990,- -,-816658,-624870,-4594743,-4830000,-2908000,-3246000,-10642000,-5160000,713000,-293000,-218000,1249000,-5870000,1873000,642000,2999000
83,Cash Provided by Operating Activities,-20972280,-18752180,-34179866,-6682064,-5829623,-10475590,-12755454,-14443791,-14625495,-20097298,-20602000,-16606000,-8703000,-7349000,-8795000,-5709000,-5760000,-11980000,-11435000,-8661000,-6714000,-8810000,-9111000
84,CAPEX,-4943466,-2694914,-1873406,- -,-755417,-709434,-754101,-319386,-299466,-95114,-94000,-22000,-56000,-1000,-10000,-27000,-97000,-525000,-20000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-143872,- -,- -,- -,- -,- -,- -,- -,- -,- -,7992000,32000,- -,- -,- -,-7097000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2359000,- -,- -
88,Other Investing Activites,- -,113893,331177,39076,34135,78667,- -,9433,261738,3828604,5000,12000,343000,7000,150000,- -,8000,- -,-8000,150000,- -,- -,- -
89,Cash Used for Investing Activites,-4943466,-2581021,-1542229,-104796,-721282,-630767,-754101,-309953,-37728,3733490,-89000,-10000,287000,7998000,172000,-27000,-89000,-522000,-7117000,150000,2359000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,41944560,18130793,41046410,18754896,970614,41049897,6942975,754667,24911091,18949657,9560000,- -,763000,1747000,3170000,- -,50356000,853000,- -,- -,3816000,12139000,28109000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3326901,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1198416,1820616,-885753,-2673181,-841496,-675106,-839347,-750624,-15327,-1998442,2000000,- -,- -,- -,-157000,5500000,-2941000,-71000,-18000,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,40746144,19951409,40160657,16081715,129118,37047890,6103628,4043,24895764,16951216,11560000,- -,763000,1747000,3013000,5500000,47415000,782000,-18000,- -,3816000,12139000,28109000
96,Effect of Forex Changes on Cash,- -,221087,86224,-483126,-2462155,1294431,-3868866,1145477,-2228310,-4709716,7083000,-1591000,-1462000,-64000,- -,- -,303000,802000,-428000,12000,17000,- -,-175000
97,Net Change In Cash,14830398,-1160706,4524786,8813504,-8878006,27237393,-11274794,-13604224,8004231,-4122308,-2048000,-18207000,-8365000,2332000,-5610000,-236000,41869000,-10918000,-18998000,-8499000,-522000,3330000,18823000
98,Cash at the End of Period,29510994,28823354,61001322,39959171,30911251,58076307,43930646,30520898,38550942,34366505,32338000,14131000,5766000,8098000,2738000,2502000,44371000,33453000,14455000,5956000,5434000,8764000,27587000
99,Cash at the Beginning of Period,14680596,29984060,56476537,31145667,39789257,30838914,55205439,44125122,30546711,38488813,34386000,32338000,14131000,5766000,8348000,2738000,2502000,44371000,33453000,14455000,5956000,5434000,8764000
100,Free Cash Flow,-25915746,-21447095,-36053273,-6682064,-6585040,-11185024,-13509555,-14763177,-14924961,-20192412,-20696000,-16628000,-8759000,-7350000,-8805000,-5736000,-5857000,-12505000,-11455000,-8661000,-6714000,-8810000,-9111000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.6683,0.5967,0.5114,0.5635,0.6737,0.6985,0.7625,0.7423,0.8488,0.9579,0.8069,0.84,1.0717,1.0233,0.9136,0.943,0.7704,0.745,0.7686,0.7402,0.702,0.6902,0.7498
