,https://roic.ai/company/STM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2890,0.3234,0.2806,0.2909,0.2989,0.3794,0.2701,0.3505,0.2590,0.2705,0.2479,0.2606,0.0959,17.3427,28.3904,0.1899,0.1313,-0.1243,0.0330,0.1341,0.1315,0.1312,0.1640,0.2113,0.1868,0.2194,0.2668
17,Operating Income,605000000,799422000,519819000,523410000,523410000,1782726000,671498000,601000000,334000000,683000000,244000000,677000000,-545000000,-198000000,-1023000000,476000000,46000000,-2081000000,-465000000,168000000,109000000,214000000,993000000,1400000000,1203000000,1323000000,2419000000
18,Operating Income ratio,0.1702,0.1939,0.1293,0.1232,0.1035,0.2282,0.1056,0.1189,0.0461,0.0780,0.0275,0.0687,-0.0545,-0.0201,-0.1202,0.0460,0.0047,-0.2450,-0.0575,0.0227,0.0158,0.0307,0.1190,0.1449,0.1259,0.1295,0.1896
19,Total Other Income Expenses (Gains),29800000,-2240000,-248000,8062000,181056000,44496000,-353371000,106000000,-92000000,-11000000,31000000,87000000,51000000,-625000000,-473000000,215000000,290000000,-56000000,-127000000,-62000000,-20000000,-13000000,-40000000,-11000000,-14000000,-56000000,-82000000
20,Income Before Tax,634800000,797182000,519571000,531472000,704466000,1827222000,318127000,707000000,242000000,672000000,275000000,764000000,-494000000,-823000000,-1496000000,691000000,336000000,-2137000000,-592000000,106000000,89000000,201000000,953000000,1389000000,1189000000,1267000000,2337000000
21,Income Before Tax Ratio,0.1786,0.1934,0.1293,0.1251,0.1393,0.2339,0.0500,0.1398,0.0334,0.0767,0.0310,0.0775,-0.0494,-0.0836,-0.1758,0.0668,0.0345,-0.2516,-0.0732,0.0143,0.0129,0.0288,0.1142,0.1437,0.1244,0.1240,0.1831
22,Income Tax expense (Gain),108300000,171638000,113017000,120351000,157214000,375119000,61060000,-157000000,14000000,-68000000,-8000000,20000000,23000000,43000000,95000000,-149000000,-181000000,-51000000,-37000000,23000000,21000000,-31000000,-143000000,-96000000,-156000000,159000000,331000000
23,Net Income,526500000,625544000,406554000,411121000,547252000,1452103000,257067000,547000000,253000000,601000000,266000000,782000000,-477000000,-786000000,-1591000000,840000000,155000000,-2188000000,-629000000,129000000,110000000,170000000,810000000,1293000000,1033000000,1106000000,2000000000
24,Net Income ratio,0.1481,0.1517,0.1012,0.0968,0.1082,0.1859,0.0404,0.1082,0.0350,0.0686,0.0299,0.0794,-0.0477,-0.0799,-0.1870,0.0812,0.0159,-0.2576,-0.0778,0.0174,0.0159,0.0244,0.0970,0.1338,0.1081,0.1082,0.1567
25,EPS,0.67,0.75,0.49,0.49,0.64,1.64,0.29,0.48,0.29,0.67,0.30,0.87,-0.53,-0.88,-1.29,0.94,0.74,-1.31,-0.56,0.16,0.20,0.14,0.25,1.81,1.15,0.78,2.24
26,EPS Diluted,0.67,0.75,0.48,0.48,0.62,1.58,0.29,0.48,0.27,0.65,0.29,0.83,-0.53,-0.88,-1.29,0.92,0.72,-1.31,-0.56,0.16,0.20,0.14,0.24,1.80,1.14,0.76,2.24
27,Weighted Average Shares Outstanding,783882474,834058667,835384932,844769178,859558115,885428659,886437931,893750000,872413793,897014925,886666667,898850575,900000000,893181818,876928190,882978723,878378378,883969466,892857143,886532167,876510959,881246870,884707764,899363170,897391304,894578477,894578477
28,Weighted Average Shares Outstanding Diluted,783882474,834058667,838255670,853538408,877944385,919052532,886437931,893750000,937037037,924615385,917241379,942168675,900000000,893181818,876928190,911100000,904500000,886700000,892857143,889810704,880115456,888516927,904837869,906783462,903600000,909730840,894578477
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932787/000102140803004293/0001021408-03-004293-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000102123104000316/0001021231-04-000316-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000102123105000232/0001021231-05-000232-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012306002542/0000950123-06-002542-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012307003820/0000950123-07-003820-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000141978308000012/0001419783-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012309008750/0000950123-09-008750-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012310023134/0000950123-10-023134-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012311022652/0000950123-11-022652-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312512096664/0001193125-12-096664-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312513089565/0001193125-13-089565-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312514084249/0001193125-14-084249-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312515074967/0001193125-15-074967-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312516506926/0001193125-16-506926-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312517069977/0001193125-17-069977-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312518067609/0001193125-18-067609-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312519057507/0001193125-19-057507-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000156459020006795/0001564590-20-006795-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,2438816000,2562000000,2562000000,1950000000,2027000000,1963000000,1855000000,1009000000,1588000000,1892000000,1912000000,2250000000,1836000000,- -,1771000000,1629000000,1759000000,2266000000,2597000000,3006000000,3225000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,5390000,2000000,2000000,- -,- -,460000000,1014000000,651000000,1032000000,1052000000,413000000,238000000,57000000,334000000,335000000,335000000,431000000,330000000,133000000,714000000,291000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,2444206000,2564000000,2564000000,1950000000,2027000000,2423000000,2869000000,1660000000,2620000000,2944000000,2325000000,2488000000,1893000000,334000000,2106000000,1964000000,2190000000,2596000000,2730000000,3720000000,3516000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,902366000,1095000000,1095000000,1408000000,1490000000,1589000000,1605000000,1064000000,1367000000,1230000000,1046000000,1005000000,1049000000,911000000,820000000,939000000,1149000000,1277000000,1380000000,1834000000,1759000000
35,Inventory,- -,- -,- -,- -,- -,- -,742469000,930000000,930000000,1344000000,1411000000,1639000000,1354000000,1840000000,1275000000,1497000000,1531000000,1353000000,1336000000,1269000000,1251000000,1173000000,1335000000,1562000000,1691000000,1841000000,1972000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,468618000,602000000,602000000,925000000,683000000,935000000,1834000000,937000000,1082000000,929000000,678000000,656000000,529000000,2537000000,503000000,406000000,425000000,419000000,456000000,215000000,581000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,4557659000,5191000000,5191000000,5627000000,5611000000,6586000000,7662000000,5501000000,6344000000,6600000000,5580000000,5502000000,4807000000,5051000000,4680000000,4482000000,5099000000,5854000000,6257000000,7610000000,7828000000
38,PP&E,- -,- -,- -,- -,- -,- -,5888161000,6220000000,6220000000,7442000000,6175000000,6426000000,5044000000,4739000000,4081000000,4046000000,3920000000,3481000000,3156000000,2647000000,2321000000,2287000000,3094000000,3495000000,4007000000,4596000000,5660000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,159000000,159000000,264000000,221000000,223000000,290000000,958000000,1071000000,1054000000,1059000000,141000000,90000000,82000000,76000000,116000000,123000000,121000000,162000000,330000000,313000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,212610000,311000000,311000000,291000000,224000000,211000000,238000000,863000000,819000000,731000000,645000000,213000000,217000000,193000000,166000000,195000000,209000000,212000000,299000000,445000000,438000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,212610000,470000000,470000000,555000000,445000000,434000000,528000000,1821000000,1890000000,1785000000,1704000000,354000000,307000000,275000000,242000000,311000000,332000000,333000000,461000000,775000000,751000000
42,Investments,- -,- -,- -,- -,- -,- -,5390000,- -,- -,- -,- -,- -,- -,752000000,757000000,589000000,121000000,137000000,95000000,88000000,76000000,76000000,77000000,80000000,34000000,35000000,10000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739000000,652000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,- -,- -,460000000,1014000000,-101000000,275000000,329000000,292000000,101000000,-38000000,246000000,259000000,259000000,354000000,250000000,99000000,699000000,639000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,6106161000,6692000000,6692000000,7997000000,6620000000,7320000000,6586000000,7211000000,7003000000,6749000000,6037000000,4073000000,3520000000,3256000000,2898000000,2933000000,3857000000,4158000000,4601000000,6844000000,7712000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,10663820000,11883000000,11883000000,13624000000,12231000000,13906000000,14248000000,12712000000,13347000000,13349000000,11617000000,9575000000,8327000000,8307000000,7578000000,7415000000,8956000000,10012000000,10858000000,14454000000,15540000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,936127000,912000000,912000000,1352000000,965000000,1044000000,1065000000,847000000,883000000,1233000000,656000000,797000000,694000000,597000000,525000000,620000000,893000000,981000000,950000000,1166000000,1582000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,129278000,165000000,151000000,191000000,1533000000,136000000,103000000,143000000,176000000,720000000,740000000,630000000,225000000,202000000,191000000,117000000,118000000,146000000,173000000,795000000,143000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,212402000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,409542000,796000000,810000000,969000000,801000000,783000000,909000000,1228000000,1221000000,1169000000,1173000000,1128000000,1074000000,967000000,844000000,851000000,- -,993000000,941000000,1092000000,1224000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1687349000,1873000000,1873000000,2512000000,3299000000,1963000000,2077000000,2218000000,2280000000,3122000000,2569000000,2555000000,1993000000,1766000000,1560000000,1588000000,1011000000,2120000000,2064000000,3053000000,2949000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,96528000,146000000,146000000,133000000,1522000000,136000000,103000000,123000000,176000000,720000000,733000000,630000000,225000000,202000000,191000000,117000000,118000000,146000000,173000000,1826000000,2396000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,28000000,28000000,59000000,55000000,124000000,237000000,373000000,333000000,329000000,332000000,414000000,227000000,386000000,436000000,437000000,624000000,672000000,695000000,75000000,64000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,112213000,39000000,39000000,15000000,16000000,43000000,115000000,350000000,342000000,295000000,273000000,353000000,158000000,182000000,158000000,134000000,215000000,160000000,330000000,994000000,858000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,208741000,213000000,213000000,207000000,1593000000,303000000,455000000,846000000,851000000,1344000000,1338000000,1397000000,610000000,770000000,785000000,688000000,957000000,978000000,1198000000,2895000000,3318000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,3208232000,3308000000,3308000000,2337000000,- -,2739000000,3024000000,4109000000,3863000000,3074000000,2867000000,2912000000,2073000000,2957000000,2727000000,2512000000,4160000000,3301000000,3891000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,196000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,4686840000,4968000000,4968000000,4642000000,3909000000,4399000000,4646000000,5481000000,5292000000,4852000000,4098000000,4070000000,3456000000,3953000000,3502000000,3412000000,4214000000,4443000000,4757000000,5948000000,6267000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1156000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,1142358000,1144000000,1144000000,1150000000,1153000000,1156000000,1156000000,1156000000,1156000000,1156000000,1156000000,1156000000,1156000000,1157000000,1157000000,1157000000,1157000000,1157000000,1157000000,1157000000,1157000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3504000000,1959000000,1076000000,817000000,525000000,431000000,973000000,1991000000,2747000000,3599000000,5223000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-868963000,- -,-258000000,1116000000,281000000,816000000,1320000000,1094000000,1164000000,979000000,670000000,794000000,1042000000,613000000,460000000,371000000,688000000,509000000,475000000,723000000,496000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,10524122000,5850000000,7214000000,6844000000,7046000000,7775000000,7097000000,4750000000,4827000000,5452000000,2273000000,2316000000,2369000000,2407000000,2490000000,2576000000,2586000000,2702000000,2664000000,2969000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,10797517000,6994000000,8100000000,9110000000,8480000000,9747000000,9573000000,8156000000,7147000000,7587000000,7603000000,6225000000,5643000000,4994000000,4632000000,4535000000,5404000000,6359000000,7043000000,8448000000,9209000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,15484357000,11962000000,13068000000,13752000000,12389000000,14146000000,14219000000,13637000000,12439000000,12439000000,11701000000,10295000000,9099000000,8947000000,8134000000,7947000000,9618000000,10802000000,11800000000,14396000000,15476000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-4820537000,-79000000,-1185000000,-128000000,-158000000,-240000000,29000000,-925000000,908000000,910000000,-84000000,-720000000,-772000000,-640000000,-556000000,-532000000,-662000000,-790000000,-942000000,58000000,64000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,10663820000,11883000000,11883000000,13624000000,12231000000,13906000000,14248000000,12712000000,13347000000,13349000000,11617000000,9575000000,8327000000,8307000000,7578000000,7415000000,8956000000,10012000000,10858000000,14454000000,15540000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/932787/000102140803004293/0001021408-03-004293-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000102123104000316/0001021231-04-000316-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000102123105000232/0001021231-05-000232-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012306002542/0000950123-06-002542-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012307003820/0000950123-07-003820-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000141978308000012/0001419783-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012309008750/0000950123-09-008750-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012310023134/0000950123-10-023134-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000095012311022652/0000950123-11-022652-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312512096664/0001193125-12-096664-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312513089565/0001193125-13-089565-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312514084249/0001193125-14-084249-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312515074967/0001193125-15-074967-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312516506926/0001193125-16-506926-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312517069977/0001193125-17-069977-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312518067609/0001193125-18-067609-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000119312519057507/0001193125-19-057507-index.htm,https://www.sec.gov/Archives/edgar/data/932787/000156459020006795/0001564590-20-006795-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,526500000,625544000,406554000,411121000,547252000,1452103000,257067000,547000000,253000000,601000000,266000000,782000000,-477000000,-786000000,-1591000000,840000000,155000000,-2188000000,-629000000,129000000,110000000,170000000,810000000,1293000000,1033000000,1106000000,2000000000
74,Depreciation and Amortization,392400000,535908000,608123000,704004000,806789000,1137257000,1398934000,1382000000,1608000000,1837000000,1944000000,1766000000,1413000000,171349000000,243048000000,1240000000,1279000000,1107000000,910000000,811000000,736000000,736000000,650000000,791000000,854000000,923000000,1045000000
75,Deferred Income Tax,- -,- -,-3157000,34333000,28711000,-4535000,-82740000,14000000,-131000000,-6000000,-31000000,-74000000,-148000000,-18446000000,1979000000,120000000,47000000,-80000000,-48000000,-143000000,-93000000,-93000000,60000000,20000000,25000000,-8000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,29000000,11000000,26000000,36000000,38000000,38000000,61000000,125000000,145000000,155000000,- -
77,Change in Working Capital,-117000000,-179154000,-44346000,-150556000,79347000,-165392000,144696000,-251000000,-61000000,-142000000,-472000000,-60000000,62000000,-19000000,447000000,229000000,-85000000,503000000,33000000,-76000000,120000000,205000000,165000000,-285000000,-99000000,21000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-129000000,-109000000,-119000000,-117000000,-104000000,2000000,-230901000000,57163000000,139000000,184000000,35000000,-57000000,119000000,81000000,81000000,-206000000,-155000000,-103000000,-72000000,- -
79,Inventory,-91400000,-80517000,-149642000,-18807000,-38340000,-299993000,93642000,-71000000,-75000000,-144000000,-174000000,-161000000,24000000,-1035000000,71140000000,-252000000,-59000000,191000000,-22000000,- -,-39000000,-39000000,-94000000,-254000000,-142000000,-84000000,-188000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58052000000,-30901000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000000,- -
81,Other Working Capital,- -,11156000,106227000,-61852000,73352000,186214000,- -,3318000000,3318000000,3115000000,2312000000,4623000000,5585000000,3283000000,4064000000,3478000000,3011000000,2947000000,2814000000,3285000000,3120000000,2894000000,4088000000,3734000000,4193000000,16000000,- -
82,Other Non-Cash Items,23200000,-1631000,16617000,13645000,7183000,12339000,334069000,21000000,251000000,52000000,91000000,77000000,1338000000,-168620000000,-91210000000,-669000000,-545000000,1259000000,74000000,-42000000,-69000000,-214000000,-39000000,-99000000,-89000000,-104000000,15000000
83,Cash Provided by Operating Activities,825100000,980667000,983791000,1012547000,1469282000,2431772000,2052026000,1713000000,1920000000,2342000000,1798000000,2491000000,2188000000,-16522000000,152673000000,1794000000,880000000,612000000,366000000,715000000,842000000,842000000,1707000000,1845000000,1869000000,2093000000,3060000000
84,CAPEX,-1001900000,-1125205000,-1035434000,-947253000,-1347537000,-3317600000,-1699775000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1358000000,-1906000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-307000000,-188000000,-3000000,- -,7000000,- -,-1694000000,-18000000,-11000000,-10000000,-1000000,92000000,29000000,- -,- -,- -,- -,-127000000,- -,- -
86,Purchases of Investments,- -,-196000,- -,- -,- -,- -,-126854000,- -,- -,- -,- -,-460000000,-708000000,- -,- -,-1100000000,-352000000,-450000000,- -,-333000000,- -,- -,-99000000,- -,- -,-577000000,- -
87,Sales/Maturities of Investments,- -,- -,4483000,- -,- -,- -,30509000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2800000,3123000,-16059000,-18997000,-190290000,-249543000,-1000,-1063000000,-30000000,-81000000,-87000000,-681000000,319000000,260000000,759000000,1619000000,75000000,547000000,72000000,25000000,13000000,-116000000,-68000000,51000000,136000000,-183000000,-1518000000
89,Cash Used for Investing Activites,-999100000,-1122278000,-1047010000,-966250000,-1537827000,-3567143000,-1796121000,-1370000000,-1439000000,-2134000000,-1528000000,-2753000000,-1737000000,-2417000000,290000000,-526000000,-287000000,-396000000,-379000000,-784000000,-516000000,-727000000,-1468000000,-1212000000,-1172000000,-2043000000,-1518000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-158000000,-1432000000,-1288000000,-110000000,-1522000000,-125000000,-12300000000,-887000000,-218000000,-108000000,- -,- -,- -,-200000000,-200000000,-119000000,-103000000,-144000000,-893000000,- -
91,Common Stock Issued,- -,16671000,9669000,233334000,230437000,38175000,43186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-233283000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297000000,-62000000,-250000000,-125000000,- -
93,Dividends Paid,- -,- -,- -,- -,-22848000,-26603000,-35773000,-36000000,-71000000,-107000000,-107000000,-107000000,-269000000,- -,- -,-212000000,-327000000,- -,- -,- -,-350000000,-350000000,-214000000,-216000000,-214000000,-168000000,- -
94,Other Financing Activites,472200000,-75701000,239390000,119298000,598448000,1604644000,127755000,-38000000,1444000000,124000000,39000000,1761000000,98000000,12233000000,374000000,-446000000,-94000000,135000000,-388000000,262000000,-6000000,114000000,494000000,259000000,265000000,1534000000,-1314000000
95,Cash Used/Provided by Financing Activities,472200000,-59030000,249059000,352632000,806037000,1616216000,-98115000,-232000000,-59000000,-1271000000,-178000000,132000000,-296000000,-67000000,-513000000,-876000000,-529000000,135000000,-388000000,262000000,-556000000,-436000000,-136000000,-122000000,-343000000,348000000,-1314000000
96,Effect of Forex Changes on Cash,-1400000,-1509000,-35579000,-334000,-15158000,-8228000,-14677000,12000000,14000000,15000000,-15000000,66000000,41000000,-84000000,-14000000,-88000000,-44000000,-13000000,-13000000,-12000000,-16000000,-18000000,27000000,-4000000,-13000000,1000000,- -
97,Net Change In Cash,472200000,-202150000,150261000,398595000,722334000,472617000,143113000,123000000,436000000,-1048000000,77000000,-64000000,196000000,476810000000,70169000000,304000000,20000000,- -,- -,- -,-246000000,-246000000,130000000,507000000,341000000,399000000,-1314000000
98,Cash at the End of Period,- -,551896000,702157000,1100752000,1823086000,2295703000,2438816000,2562000000,2998000000,1950000000,2027000000,1963000000,1855000000,476810000000,546979000000,1892000000,1912000000,- -,- -,- -,1771000000,1771000000,1759000000,2266000000,2607000000,3006000000,- -
99,Cash at the Beginning of Period,457200000,754046000,551896000,702157000,1100752000,1823086000,2295703000,2439000000,2562000000,2998000000,1950000000,2027000000,1659000000,- -,476810000000,1588000000,1892000000,- -,- -,- -,- -,- -,1629000000,1759000000,2266000000,2607000000,- -
