,https://roic.ai/company/NSFDF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,-1875191,-1839386,-3441825,-6206640,-8446771,126090,-3755437,-6658149,-1781614,625236,-969678,-2231540,-4288363,-3424123,2614164,-4856531,-1496199,6393079,-6620187,-6992792,-5509041,5554089,-4218869
16,EBITDA ratio,-Infinity,-1270005.0000,-2295315.0000,-3898692.0000,-10.1315,Infinity,-65.0405,-117.7518,-1.5990,0.1174,-0.3281,-0.6057,-9.6800,-23.6718,0.2390,-1.8094,-0.3823,0.3670,-4.5743,-14.8473,-Infinity,0.4638,-30.8925
17,Operating Income,-2050542,-2743656,-4518809,-6916890,-8900114,-3858007,-3865342,-7400150,-3069253,555152,-1114922,-2328184,-4444103,-3625484,2405409,-3638335,-1375421,5490827,-8250739,-8729322,-7279456,4042288,-6076837
18,Operating Income ratio,-Infinity,-1894358.0000,-3013544.0000,-4344835.0000,-10.6752,-Infinity,-66.9439,-130.8744,-2.7547,0.1042,-0.3773,-0.6319,-10.0316,-25.0638,0.2199,-1.3555,-0.3515,0.3152,-5.7009,-18.5343,-Infinity,0.3375,-44.4974
19,Total Other Income Expenses (Gains),29591,-1703,26274,-62003,-6394279,-2607396,-1228937,-1721035,-1322096,-211671,-260376,-157574,-18248,40883,83740,-1303680,-187940,197309,-474312,-165531,310945,-269380,77162
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-9121185,-4391349,343482,- -,- -,- -,-3584601,2489149,-4942015,-1563361,5688136,-8725051,-8894853,-6968511,3772908,-5999675
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-161.3115,-3.9413,0.0645,- -,- -,- -,-24.7812,0.2276,-1.8412,-0.3995,0.3265,-6.0286,-18.8858,-Infinity,0.3150,-43.9324
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-19899,- -,- -,- -,- -,- -,- -,426421,399546,- -,-4852092,374511,75545,- -,- -,- -
23,Net Income,-1719971,-2222481,-3985392,-6986548,-8935972,-3648947,-3825716,-9101286,-4391349,343482,-1141291,-2405125,-4452428,-3584601,2062728,-5341561,-1563361,10540228,-9099562,-8970398,-6968511,3772908,-5999675
24,Net Income ratio,-Infinity,-1534513.0000,-2657814.0000,-4388590.0000,-10.7183,-Infinity,-66.2576,-160.9596,-3.9413,0.0645,-0.3862,-0.6528,-10.0504,-24.7812,0.1886,-1.9901,-0.3995,0.6050,-6.2874,-19.0462,-Infinity,0.3150,-43.9324
25,EPS,-0.54,-0.17,-0.30,-0.49,-0.52,-0.21,-0.19,-0.43,-0.17,0.01,-0.04,-0.08,-0.14,-0.10,0.05,-0.13,-0.04,0.22,-0.17,-0.16,-0.11,0.06,-0.09
26,EPS Diluted,-0.54,-0.17,-0.30,-0.49,-0.52,-0.21,-0.19,-0.43,-0.17,0.01,-0.04,-0.08,-0.14,-0.10,0.04,-0.13,-0.04,0.21,-0.17,-0.16,-0.11,0.06,-0.09
27,Weighted Average Shares Outstanding,12392011,12684289,12987297,14222820,16971153,17599783,20132989,21276899,25038200,34684600,30369586,30690426,30774974,35696620,40453392,41660190,44375540,47782647,53562155,54523113,65455325,68156059,64409170
28,Weighted Average Shares Outstanding Diluted,12392011,12684289,12987297,14222820,16971153,17599783,20132989,21276899,25038200,34684600,30369586,30690426,30774974,35696620,48790462,41660190,44375540,49041383,53562155,54523113,65455325,68156059,64409170
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009922/000113717106001069/0001137171-06-001069-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7253158,13134504,6416779,4767356,921082,1328153,345532,1230244,992786,1986292,146065,4174145,464583,1508946,5052594,3319627,50635,7085803,490496,166618,339532,2858245,2690146
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,661177,52263,1315626,5589136,6748105,- -,905651,10000,55000,2449450,5173430,2055478,1453091,950000,3900000,3781512,341261
33,Cash and Short-Term Investments,7253158,13134504,6416779,4767356,921082,1328153,1006709,1282507,2308411,7575429,6894170,4174145,1370234,1518946,5107594,5769077,5224065,9141281,1943587,1116618,4239532,6639757,3031407
34,Net Receivables,186852,147340,1118411,324347,524525,155723,526539,76635,614256,896519,20569,1142380,3071,122231,472308,295879,248930,810400,205952,60027,61279,1709015,965548
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1112210,976463,299842,- -,404840,- -,- -,- -,- -,- -
36,Other Current Assets,42054,128267,102696,229051,115421,138264,53233,69629,64398,122167,57159,53288,45941,43105,574018,212377,338644,335397,166802,107363,65159,97132,77532
37,Total Current Assets,7482064,13410111,7637886,5320754,1561028,1622140,1586481,1428772,2987066,8594115,6971898,5369813,1419246,2796492,7130383,6577175,5811639,10691918,2316341,1284008,4365970,8445904,4074487
38,PP&E,885045,2080323,10519013,13318463,4711989,1796307,1608754,1427486,398065,539194,628711,635827,525804,404301,327839,262818,237464,3678985,3348557,778685,683157,3741416,3122756
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24709000,23024268,21339533,19654800,17970067,16285333
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24709000,23024268,21339533,19654800,17970067,16285333
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,197611,50040,89358,87403,53860,- -,- -,- -,- -,- -,- -,- -,101856,74135,- -,- -,- -,- -,- -,518765,560341,535554,526561
45,Total Non-Current Assets,1082655,2130363,10608372,13405866,4765849,1796307,1608754,1427486,398065,539194,628711,635827,627660,478436,327839,262818,237464,28387985,26372825,22636983,20898298,22247037,19934650
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8564720,15540474,18246258,18726620,6326876,3418447,3195235,2856258,3385131,9133308,7600609,6005640,2046906,3274928,7458222,6839993,6049103,39079903,28689166,23920991,25264268,30692941,24009137
48,Accounts Payable,- -,47384,1080757,709353,107927,176488,123294,392207,187187,515720,359535,413997,443423,676665,1016540,- -,484186,812571,312079,482951,123036,30764,64601
49,Short-Term Debt,- -,- -,97264,113679,- -,- -,- -,1140479,889694,189033,10684,10684,10684,8591,- -,- -,- -,34159,36769,39579,42603,736408,773465
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1253126,98,201,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,290289,2230218,- -,- -,- -,1776496,317103,2781101,- -,706722,- -,- -,155301,131386,127507
52,Other Current Liabilities,272888,824976,393584,493355,126697,714459,635961,2676329,355112,328179,276624,315096,133165,671260,848184,2177355,298440,1604338,263983,1079644,221198,418164,375937
53,Total Current Liabilities,272888,872360,1571605,1316386,234624,890947,759255,4209015,1722282,3263150,646843,739777,587272,3133012,2181827,4958456,782626,3157790,612831,1602174,542138,1316722,1341510
54,Long-Term Debt,- -,- -,2301936,2330227,- -,- -,- -,241136,- -,32108,24811,16834,8153,- -,- -,- -,- -,161466,124697,85118,42515,2669736,1896277
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87756,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,280403,- -,- -,- -,28997,215712,54444,57953,61813,64560,50000,51240,140078,656290,468146,21481,22741
58,Total Non-Current Liabilities,- -,- -,2301936,2330227,- -,- -,280403,241136,- -,32108,53808,232546,62597,57953,61813,64560,50000,300462,264775,741408,510661,2691217,1919018
59,Other Liabilities,- -,- -,- -,4660455,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,32108,35495,27518,18837,8591,- -,- -,- -,195625,161466,124697,85118,3406144,2669742
61,Total Liabilities,272888,872360,3873541,3646613,234624,890947,1039658,4450150,1722282,3295259,700651,972323,649869,3190965,2243640,5023016,832626,3458252,877606,2343582,1052799,4007939,3260528
62,Preferred Stock,- -,- -,- -,- -,1259,- -,- -,3484200,3496800,2970900,3489000,3489000,3489000,3489000,3489000,232600,232600,- -,- -,- -,- -,- -,- -
63,Common Stock,19121,1658131,19663,27017,26718,22007,- -,- -,- -,36188063,- -,51934360,- -,53756687,56623686,- -,- -,- -,- -,- -,96656248,95313064,95327123
64,Retained Earnings,-8918925,-10600821,-14960744,-22869979,-31552108,-29638637,-31301511,-39342002,-43875625,-36933484,-52703170,-55040931,-59493359,-63077960,-61015232,-66356793,-67920154,-57379926,-66479488,-75449886,-82418397,-78645489,-83934230
65,Other Comprehensive Income/Loss,- -,-423438,-879449,-1429202,-289309,360173,319335,304248,203717,564064,710935,710935,710935,710935,710935,710935,710935,710935,710935,710934,710934,710934,-4044112
66,Other Total Stockholders Equity,17191635,24034243,30193247,39352170,37905693,31783956,- -,- -,- -,3048507,- -,3939953,- -,5205301,5406193,- -,- -,- -,- -,- -,9262684,9306493,13399828
67,Total Stockholders Equity,8291831,14668114,14372716,15080007,6092252,2527499,2155578,-1593893,1662848,5838049,6899958,5033317,1397037,83963,5214582,1816977,5216477,35621651,27811560,21577409,24211469,26685002,20748609
68,Total Liabilities And Stockholders Equity,8564720,15540474,18246258,18726620,6326876,3418447,3195235,2856258,3385131,9133308,7600609,6005640,2046906,3274928,7458222,6839993,6049103,39079903,28689166,23920991,25264268,30692941,24009137
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-0,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8564720,15540474,18246258,18726620,6326876,3418447,3195235,2856258,3385131,9133308,7600609,6005640,2046906,3274928,7458222,6839993,6049103,39079903,28689166,23920991,25264268,30692941,24009137
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009922/000113717106001069/0001137171-06-001069-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1719971,-2222481,-3985392,-6986548,-8935972,-3648947,-3825716,-9101286,-4391349,343482,-1141291,-2405125,-4452428,-3584601,2062728,-5341561,-1563361,10540228,-9099562,-8970398,-6968511,3772908,-5999675
74,Depreciation and Amortization,204943,383095,514666,536376,377466,73483,69640,747670,1284103,206433,171613,173585,164065,160478,125015,85484,67162,704943,2104864,1897576,1790267,1781181,1780806
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6823000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653042,672060,577815,344800,265000,492000,658000,1081000,790500,581356,386154,43809,168416
77,Change in Working Capital,-116084,555953,107457,785281,-872945,987822,-274280,6827441,-230798,1822219,-1532558,-1024363,1012606,1319299,-1495468,2614872,-2771227,1392755,-1384499,829014,-858170,-1464695,625769
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818968,-1121811,1139309,-119160,-350077,176429,46949,- -,- -,-61657,-1252,-1339408,406114
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1112210,135747,676621,299842,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-898922,104745,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,5186134,- -,- -,- -,- -,-902,1776496,-1459393,2463998,-2781101,- -,- -,-155301,1,134116,-18000
82,Other Non-Cash Items,15387,252,732912,2604963,6088521,2195962,682457,259725,2180607,1304406,36398,3535,5166,3509,-164283,1374247,28240,88996,1083,197773,-393659,-54776,-28241
83,Cash Provided by Operating Activities,-1615726,-1283181,-2630357,-3059927,-3342931,-391680,-3347899,-1266450,-1157437,3676540,-1812796,-2580308,-2692776,-1756515,792992,-774958,-3581186,6984922,-7587614,-5464679,-6043919,4078427,-3452925
84,CAPEX,-910129,-373753,-5303982,-5480284,-2582983,-1102526,-246719,-690253,-124554,-304423,-292026,-184035,-55516,-38975,-48553,-20463,-41808,-3380717,-89702,- -,-10006,-216691,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-661177,- -,- -,-3930322,-1095439,- -,-905651,- -,- -,- -,- -,- -,- -,- -,-2950000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,586507,- -,- -,- -,6748105,- -,- -,- -,- -,- -,- -,- -,503091,- -,- -,- -
88,Other Investing Activites,-54490,-1121436,-4781351,-91517,4451702,134995,38051,49931,-1263174,31208,47400,2056,-101456,923372,-404234,-2015002,-2670059,3103139,617198,2614767,- -,42764,3436691
89,Cash Used for Investing Activites,-964619,-1495189,-10085333,-5571801,1868719,-967530,-869844,-53815,-1387727,-4203537,-1340065,6566126,-1062623,884397,-452787,-2035465,-2711867,-277578,527496,3117858,-2960006,-173927,3436691
90,Debt Repayment,-225450,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10683,-7977,-8681,-10246,-8591,- -,- -,-8122,-34159,-36769,-39579,-42603,-42515
91,Common Stock Issued,- -,9128290,3223685,6939842,- -,1330184,3107014,65358,2544664,2266284,- -,50239,- -,1487827,2886024,- -,- -,- -,- -,2029867,9211351,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1343184,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8753614,- -,2362153,-100236,-2380878,- -,239583,2139529,-16167,-579986,1321313,- -,54518,438900,326010,1077456,3024061,335946,498970,29845,5067,- -,7592
95,Cash Used/Provided by Financing Activities,8528163,9128290,5585838,6839606,-2380878,1330184,3346597,2204887,2528498,1686298,1310630,42262,45837,1916481,3203443,1077456,3024061,327824,464811,2022943,9176839,-1385787,-34923
96,Effect of Forex Changes on Cash,- -,-42585,-51920,-253048,61730,598479,-14554,11800,-225241,-16485,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116942
97,Net Change In Cash,5947819,6307334,-7181771,-2045171,-3793360,569452,-885701,896422,-241907,1142816,-1842231,4028080,-3709562,1044363,3543648,-1732967,-3268992,7035168,-6595307,-323878,172914,2518713,-168099
98,Cash at the End of Period,7253158,13134504,6416779,4767356,921082,1328153,345532,1230244,992786,1986292,146065,4174145,464583,1508946,5052594,3319627,50635,7085803,490496,166618,339532,2858245,2690146
99,Cash at the Beginning of Period,1305339,6827170,13598550,6812527,4714441,758701,1231233,333822,1234693,843476,1988296,146065,4174145,464583,1508946,5052594,3319627,50635,7085803,490496,166618,339532,2858245
100,Free Cash Flow,-2525855,-1656934,-7934339,-8540212,-5925914,-1494206,-3594617,-1956702,-1281991,3372117,-2104822,-2764343,-2748292,-1795490,744439,-795421,-3622994,3604205,-7677316,-5464679,-6053925,3861736,-3452925
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009922/000113717106001069/0001137171-06-001069-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
