,https://roic.ai/company/LGF-A,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19327000,58060000,38879000,78111000,93580000,48960000,39657000,45695000,102300000,179400000,198900000,191300000,181500000
14,Depreciation and Amortization,1299029,62918923,156620446,102854299,160069455,158654000,198750000,225642000,261591000,249066000,412400000,470610000,28064000,535239000,607936000,974317000,927828000,906537000,1042161000,1477100000,1800700000,1679900000,1972900000,1451500000
15,EBITDA,399029,45818923,155020446,69454299,114169455,163554000,106650000,245942000,256891000,264566000,325000000,310337000,55824000,543718000,646947000,1299997000,1128788000,1127975000,1138065000,1594200000,2453700000,1594600000,1975800000,1631200000
16,EBITDA ratio,0.0087,0.5822,0.8402,0.3698,0.4188,0.6174,0.2837,0.2935,0.2717,0.2709,0.2388,0.2116,0.0375,0.3435,0.4075,0.4800,0.4291,0.4701,0.4848,0.4980,0.5942,0.4333,0.5079,0.4986
17,Operating Income,1898580,-2300692,6825599,16771756,-2831284,13321000,-89999000,49764000,23028000,41944000,-60131000,-141219000,52045000,62530000,33491000,273079000,259948000,222281000,-25030000,-16300000,248700000,130000000,2800000,170600000
18,Operating Income ratio,0.0415,-0.0292,0.0370,0.0893,-0.0104,0.0503,-0.2394,0.0594,0.0244,0.0429,-0.0442,-0.0963,0.0349,0.0395,0.0211,0.1008,0.0988,0.0926,-0.0107,-0.0051,0.0602,0.0353,0.0007,0.0521
19,Total Other Income Expenses (Gains),-1298580,-3399308,-5125599,-6571756,-10268716,-6621000,399000,-20864000,-33228000,-18744000,-23269000,-35581000,-81145000,-88630000,-67891000,-116679000,-74948000,-8873000,-8797000,-118100000,-100000000,-438100000,-205900000,-188000000
20,Income Before Tax,600000,-5700000,1700000,10200000,-13100000,6700000,-89600000,28900000,-10200000,23200000,-83400000,-176800000,-29100000,-26100000,-34400000,156400000,185000000,213408000,-33827000,-134400000,148700000,-308100000,-203100000,-17400000
21,Income Before Tax Ratio,0.0131,-0.0724,0.0092,0.0543,-0.0481,0.0253,-0.2384,0.0345,-0.0108,0.0238,-0.0613,-0.1206,-0.0195,-0.0165,-0.0217,0.0578,0.0703,0.0889,-0.0144,-0.0420,0.0360,-0.0837,-0.0522,-0.0053
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000
23,Net Income,-900000,-17100000,-1600000,-33400000,-45900000,4900000,-92100000,20300000,-4700000,15500000,-87400000,-179600000,-30300000,-30400000,-39100000,232100000,152000000,181781000,50209000,14800000,473600000,-284200000,-188400000,-18900000
24,Net Income ratio,-0.0197,-0.2173,-0.0087,-0.1778,-0.1684,0.0185,-0.2450,0.0242,-0.0050,0.0159,-0.0642,-0.1225,-0.0203,-0.0192,-0.0246,0.0857,0.0578,0.0758,0.0214,0.0046,0.1147,-0.0772,-0.0484,-0.0058
25,EPS,-0.03,-0.38,-0.15,-0.04,0.73,-0.06,-1.35,0.21,0.06,0.25,-0.62,-1.40,-0.17,-0.41,-0.30,1.73,1.11,1.31,0.34,0.09,2.27,-1.33,-0.86,-0.09
26,EPS Diluted,-0.03,-0.38,-0.15,-0.04,0.73,-0.06,-1.35,0.20,0.06,0.25,-0.62,-1.40,-0.17,-0.41,-0.30,1.61,1.04,1.23,0.33,0.09,2.15,-1.33,-0.86,-0.09
27,Weighted Average Shares Outstanding,24372000,24681973,31460751,40212000,43231921,41783333,70878519,97610000,103066000,108398000,118427000,116795000,117510000,131176000,132226000,134514000,137468000,139048000,148480000,165000000,208400000,213700000,217900000,220500000
28,Weighted Average Shares Outstanding Diluted,24372000,24681973,31460751,40212000,43231921,41783333,70878519,103375000,106102000,111164000,118427000,116795000,117510000,131176000,132226000,149370000,154415000,151778000,154088000,172200000,220400000,213700000,217900000,220500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000095012905006699/0000950129-05-006699-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935112000041/0000929351-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935113000030/0000929351-13-000030-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935114000025/0000929351-14-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935116000088/0000929351-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935117000016/0000929351-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935118000020/0000929351-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935119000014/0000929351-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6400000,17400000,13300000,6700000,6600000,7400000,7100000,112800000,47000000,51500000,371600000,138500000,69200000,86400000,64300000,62400000,25700000,102697000,57700000,321900000,378100000,184300000,318200000,528700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6400000,17400000,13300000,6700000,6600000,7400000,7100000,112800000,47000000,51500000,371600000,138500000,69200000,86400000,64300000,62400000,25700000,102697000,57700000,321900000,378100000,184300000,318200000,528700000
34,Net Receivables,33700000,40500000,74100000,109800000,116900000,88300000,129200000,150000000,182700000,130500000,260300000,227000000,292900000,330600000,784500000,787200000,885600000,891880000,570100000,908100000,946000000,647200000,540800000,452100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274600000,1381829000,20700000,285600000,273500000,315600000,323900000,14300000
36,Other Current Assets,- -,100000,- -,- -,- -,7500000,4300000,6500000,12500000,3500000,5200000,6200000,16500000,12100000,14700000,9800000,30600000,2508000,219100000,174800000,175500000,247300000,125200000,191600000
37,Total Current Assets,40100000,58000000,87400000,116500000,123500000,103200000,140600000,269300000,242200000,185500000,637100000,371700000,378600000,429100000,863500000,859400000,2216500000,2378914000,867600000,1690400000,1773100000,1394400000,1308100000,1186700000
38,PP&E,27300000,27000000,30700000,28100000,31700000,32400000,29700000,30800000,7200000,13100000,13600000,42400000,12400000,9100000,9800000,8500000,14600000,26651000,43400000,165500000,161700000,155300000,277800000,218100000
39,Goodwill,19200000,21000000,20100000,22200000,24300000,31700000,166800000,161200000,185100000,187500000,224500000,379400000,239300000,239300000,326600000,323300000,323300000,323328000,534800000,2700500000,2740800000,2833500000,2833500000,2764500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,4400000,2200000,- -,- -,2300000,78900000,- -,400000,12000000,6700000,3000000,1187000,1469000000,3776200000,3629700000,3543600000,3236900000,3797800000
41,Intangible Assets,19200000,21000000,20100000,22200000,24300000,31700000,171200000,163400000,185100000,187500000,226800000,458300000,239300000,239700000,338600000,330000000,326300000,324515000,2003800000,6476700000,6370500000,6377100000,6070400000,6562300000
42,Investments,89700000,107400000,132800000,191200000,190700000,- -,- -,- -,- -,- -,- -,702767000,680647000,771873000,1500315000,169450000,181941000,438298000,464346000,371500000,164900000,26200000,40300000,31900000
43,Tax Assets,900000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440200000,91900000,56500000,36600000,- -
44,Other Non-Current Assets,-90400000,-103400000,-126400000,-179300000,-180100000,9400000,15100000,23700000,184100000,252300000,24400000,-675567000,-650047000,-668673000,-1449215000,-43050000,-69641000,-314587000,-298446000,-751800000,-194200000,46300000,-53100000,307200000
45,Total Non-Current Assets,46700000,52000000,57200000,62700000,66600000,73500000,216000000,217900000,376400000,452900000,264800000,527900000,282300000,352000000,399500000,464900000,453200000,474877000,2213100000,6702100000,6594800000,6661400000,6372000000,7119500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,86800000,110000000,144600000,179200000,190100000,176700000,356600000,487200000,618600000,638400000,901900000,899600000,660900000,781100000,1263000000,1324300000,2669700000,2853791000,3080700000,8392500000,8367900000,8055800000,7680100000,8306200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,10991784,40112064,9903008,103316458,167602229,153041000,324700000,1162000,14772000,- -,- -,255000000,369545000,327420000,462400000,- -,- -,- -,- -,445100000,407000000,566200000,422300000,473000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165700000
52,Other Current Liabilities,43408216,36887936,93696992,98983542,82097771,95359000,170100000,196638000,219228000,225200000,356900000,157700000,15055000,54480000,137300000,567600000,332500000,332473000,1741900000,1244800000,2005400000,1086200000,1085400000,1054200000
53,Total Current Liabilities,54400000,77000000,103600000,202300000,249700000,248400000,494800000,197800000,234000000,225200000,356900000,412700000,384600000,381900000,599700000,567600000,332500000,332473000,1741900000,1689900000,2412400000,1652400000,1507700000,1692900000
54,Long-Term Debt,19300000,27300000,28000000,41900000,47400000,54400000,84000000,408600000,385000000,325000000,328700000,536500000,434200000,407100000,1117100000,857900000,1096000000,1315070000,876900000,3975900000,2649600000,2993900000,2761300000,2861400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56200000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860800000
58,Total Non-Current Liabilities,19300000,27300000,28000000,41900000,47400000,54400000,84000000,408600000,385000000,325000000,328700000,536500000,434200000,407100000,1117100000,857900000,1096000000,1315070000,876900000,3975900000,2649600000,2993900000,2761300000,3818700000
59,Other Liabilities,40000000,57000000,59400000,85000000,103200000,117800000,282300000,948300000,1055000000,989000000,1321300000,1749400000,1522800000,1455500000,3215600000,2694600000,3030600000,3432399000,2118900000,8968500000,6048900000,6831700000,6546800000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,75100000,106700000,135000000,245400000,305500000,311800000,693100000,737500000,904000000,889200000,1349500000,1625600000,1473200000,1430300000,2698200000,2404300000,2267100000,2449802000,2983900000,6682500000,5811700000,5490200000,5293200000,5511600000
62,Preferred Stock,- -,- -,- -,- -,- -,32519000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,101800000,117500000,156200000,169100000,141800000,157700000,280500000,305700000,328800000,398800000,434700000,494700000,521200000,643200000,712600000,672900000,743800000,830786000,885800000,2519800000,2649000000,2790300000,2880900000,2959200000
64,Retained Earnings,-400000,-9800000,-14700000,-50700000,-99800000,-107900000,-203500000,-183200000,-177100000,-149700000,-223600000,-441200000,-460600000,-502900000,-542000000,-309900000,-157900000,13720000,7600000,10600000,516600000,208700000,-16900000,-82900000
65,Other Comprehensive Income/Loss,-700000,-1900000,- -,-5400000,-7900000,-7535000,12553000,-5297000,-2371000,-1295000,-533000,-11878000,-6611000,-1424000,-3711000,-6477000,-1375000,-2219000,-43111000,-16000000,-9700000,-80300000,-206000000,-83300000
66,Other Total Stockholders Equity,1223812,7133965,4009633,12642121,49738579,-67000,-2726000,-64000,-59000,85000,-22329000,-49804000,-67000,-11330000,-77104000,3000,13000,- -,-16000,- -,- -,- -,- -,- -
67,Total Stockholders Equity,101923812,112933965,145509633,125642121,83838579,74717000,86827000,117139000,149270000,247890000,188238000,-8182000,53922000,127546000,89785000,356526000,584538000,842287000,850273000,2514400000,3155900000,2918700000,2658000000,2793000000
68,Total Liabilities And Stockholders Equity,177023812,219633965,280509633,371042121,389338579,386517000,779927000,854639000,1053270000,1137090000,1537738000,1617418000,1527122000,1557846000,2787985000,2760826000,2851638000,3292089000,3834173000,9196900000,8967600000,8408900000,7951200000,8304600000
69,Minority Interest,-90223812,-109633965,-135909633,-191842121,-199238579,-209817000,-423327000,-367439000,-434670000,-498690000,-635838000,-717818000,-866222000,-776746000,-1524985000,-1436526000,-181938000,-438298000,-753473000,-804400000,-599700000,-353100000,-271100000,1600000
70,Total Liabilities & Equity,86800000,110000000,144600000,179200000,190100000,176700000,356600000,487200000,618600000,638400000,901900000,899600000,660900000,781100000,1263000000,1324300000,2669700000,2853791000,3080700000,8392500000,8367900000,8055800000,7680100000,8306200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000095012905006699/0000950129-05-006699-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935112000041/0000929351-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935113000030/0000929351-13-000030-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935114000025/0000929351-14-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935116000088/0000929351-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935117000016/0000929351-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935118000020/0000929351-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935119000014/0000929351-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-900000,-17100000,-1600000,-33400000,-45900000,4900000,-92100000,20300000,-4700000,15500000,-87400000,-179600000,-30300000,-30400000,-39100000,232100000,152000000,181781000,50209000,14800000,473600000,-284200000,-188400000,-18900000
74,Depreciation and Amortization,1299029,62918923,156620446,102854299,160069455,158654000,198750000,225642000,261591000,249066000,412400000,470610000,28064000,535239000,607936000,974317000,927828000,906537000,1042161000,1477100000,1800700000,1679900000,1972900000,1451500000
75,Deferred Income Tax,99925,-1100331,- -,- -,- -,- -,-2563000,6283000,297000,6780000,-1087000,- -,- -,- -,- -,-87899000,15913000,13934000,-85069000,-163400000,-299500000,-23600000,-900000,3400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13438000,18299000,29204000,9957000,35838000,60492000,79938000,77906000,76900000,88400000,68100000,50500000,89000000
77,Change in Working Capital,- -,-4700000,2800000,-69600000,-40400000,-19000000,-209000000,425700000,-63300000,-47900000,319900000,-321200000,35000000,53200000,216600000,28000000,1592200000,162441000,-2920741000,874800000,-639800000,381300000,58400000,-306600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37304000,-80565000,-64203000,-256208000,-4948000,-93503000,-13968000,-144910000,-83000000,-8600000,470800000,397500000,133900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-14300000,-19000000,-16200000,-85800000,-126200000,-145200000,-354200000,71500000,8200000,-39700000,280200000,-41000000,-6000000,47200000,263800000,291800000,1884000000,2046441000,-874300000,500000,-639300000,-258000000,-199600000,-506200000
82,Other Non-Cash Items,-15487751,15698165,-7881860,-32426478,-133342310,-133751000,-1669000,-582429000,-70876000,-115629000,-554663000,-85154000,-172838000,-544916000,-958861000,-906237000,-2495921000,-1248122000,1816528000,-1721600000,-1034200000,-1394000000,-1277900000,-1218900000
83,Cash Provided by Operating Activities,-14988796,55716757,149938586,-32572179,-59572855,10803000,-106582000,95496000,123012000,107817000,89150000,-101906000,-121775000,42327000,-163468000,276119000,252512000,96509000,-19006000,558600000,389200000,427500000,614600000,-500000
84,CAPEX,-49962653,-3300993,-4404997,-1595548,-7552755,-2171000,-905000,-2484000,-5450000,-8348000,-3608000,-8674000,-6577000,-2756000,-1885000,-2581000,-8799000,-17013000,-18433000,-25200000,-45900000,-43800000,-31100000,-35000000
85,Acquisitions Net,- -,- -,- -,-26991263,467552,- -,-148870000,- -,-27138000,-24119000,-42347000,-243158000,- -,-39677000,9119000,-1530000,-8250000,-8155000,-142881000,-1123200000,338500000,-77900000,-20600000,3900000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-310501000,-865872000,-240558000,-32020000,-47129000,-1042000,-1030000,-2022000,- -,-30000000,-750000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,142895000,795838000,490796000,14000000,13985000,29102000,- -,6354000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-51261682,-75022563,-179619660,-0,14040532,6634000,- -,1172000,34860000,-5116000,-3000000,-28767000,-7079000,-13993000,-558403000,4274000,8444000,- -,- -,-22100000,-45900000,-43800000,-31100000,-35000000
89,Cash Used for Investing Activites,-101224335,-78323556,-184024657,-28586811,6955328,4463000,-149775000,-1312000,-165334000,-107617000,201283000,-298619000,-46800000,-28366000,-552199000,4495000,-8605000,-55168000,-162064000,-1145300000,292600000,-121700000,-51700000,-31100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227411000,-754990000,-654364000,-670352000,-1792552000,-2166533000,-1555283000,-903614000,-3399500000,-4668500000,-3518100000,-1327200000,-320600000
91,Common Stock Issued,101823887,19205776,33386343,9003,134871,33674000,107162000,24713000,1408000,4277000,1251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-18090000,- -,- -,- -,-22260000,-44968000,-2030000,-13476000,-81408000,- -,- -,-144840000,-73180000,- -,- -,- -,-2600000,-2200000
93,Dividends Paid,- -,- -,-407260,-1584544,-866169,-1584000,-387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6900000,-33353000,-47447000,-26800000,- -,-57400000,- -,- -
94,Other Financing Activites,20684538,14804453,-3692291,53882492,54533689,-46423000,167836000,-13795000,-24473000,- -,49442000,444018000,877425000,666382000,1448486000,1510032000,1894171000,1767671000,1159964000,4276400000,4046100000,3076200000,903700000,560700000
95,Cash Used/Provided by Financing Activities,122508425,34010229,29286791,52306952,53802391,-14333000,256521000,10918000,-23065000,4277000,28433000,171639000,120405000,-1458000,696726000,-282520000,-279262000,34195000,135723000,850100000,-622400000,-499300000,-426100000,237900000
96,Effect of Forex Changes on Cash,- -,- -,- -,3270122,-1121924,-134000,-643000,648000,-474000,42000,1226000,-4228000,1116000,4674000,-3180000,-29000,-1316000,1469000,392000,800000,-3200000,-300000,-2900000,4200000
97,Net Change In Cash,122508425,34010229,-4799281,-5581916,63939,799000,-479000,105750000,-65861000,4519000,320092000,-233114000,-47054000,17177000,-22121000,-1935000,-36671000,77005000,-44955000,264200000,56200000,-193800000,133900000,210500000
98,Cash at the End of Period,- -,- -,13274882,6653284,6637633,7440000,6961000,112839000,46978000,51497000,371589000,138475000,91421000,86419000,64298000,62363000,25692000,102697000,57742000,321900000,378100000,184300000,318200000,528700000
99,Cash at the Beginning of Period,- -,6001805,18074163,12235199,6573694,6641000,7440000,7089000,112839000,46978000,51497000,371589000,138475000,69242000,86419000,64298000,62363000,25692000,102697000,57700000,321900000,378100000,184300000,318200000
100,Free Cash Flow,-64951449,52415764,145533589,-34167727,-67125610,8632000,-107487000,93012000,117562000,99469000,85542000,-110580000,-128352000,39571000,-165353000,273538000,243713000,79496000,-37439000,533400000,343300000,383700000,583500000,-35500000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000095012905006699/0000950129-05-006699-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935112000041/0000929351-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935113000030/0000929351-13-000030-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935114000025/0000929351-14-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935116000088/0000929351-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935117000016/0000929351-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935118000020/0000929351-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935119000014/0000929351-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
