,https://roic.ai/company/ELA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1800000,2000000,1700000,1700000,1400000,1700000,2100000,1900000,1900000,2300000,3800000,5855228,5068445,4848964,4672854,4847434,5494347,5911737,9979065,10326638,11164555,11591318,15406840,25498868,22168446,13053533,11684416,10749273,9303896,8988246,13014808,16281900,7628377
11,COGS and Expenses,26000000,45300000,15500000,11500000,14400000,12800000,13000000,12400000,12400000,15600000,21000000,24804970,21108103,21479535,25066873,27590507,34612131,42760119,61709951,101564216,84270313,82361068,143650575,129091425,110948542,71144821,62876311,50768035,60009990,53364866,78783463,107134952,91739474
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,200000,100000,100000,100000,200000,200000,200000,- -,200000,- -,497004,467685,270025,268344,247694,290744,408269,675199,902897,401105,383994,573215,306450,268189,341382,347967,364532,199243,149540,414961,620499,288236
14,Depreciation and Amortization,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,387963,427675,202986,187558,148327,145337,139315,253887,484832,410838,494911,429481,696477,729958,382565,535222,403716,320744,286747,520298,728626,- -
15,EBITDA,-400000,200000,200000,- -,400000,500000,300000,1700000,1700000,900000,700000,1382911,455007,1130902,-409168,974647,1190815,1478636,2086284,-5703701,719706,5761933,2016231,-1147758,-1550876,-3734368,-1337310,-3189650,2359996,1154644,3811088,7822686,5503877
16,EBITDA ratio,-0.0154,0.0044,0.0128,- -,0.0270,0.0379,0.0227,0.1232,0.1318,0.0570,0.0323,0.0554,0.0215,0.0514,-0.0156,0.0340,0.0334,0.0335,0.0331,-0.0542,0.0084,0.0698,0.0135,-0.0090,-0.0143,-0.0528,-0.0220,-0.0660,0.0381,0.0214,0.0465,0.0687,0.0569
17,Operating Income,-100000,200000,100000,-200000,400000,400000,200000,1400000,500000,200000,700000,164497,8706,540269,1142469,1051710,1027440,1322787,1256854,3654844,1099366,-3564849,5976778,-1214815,-2406855,-402066,-1958572,-3597561,1954603,651432,3241034,6787063,9496969
18,Operating Income ratio,-0.0039,0.0044,0.0064,-0.0177,0.0270,0.0303,0.0152,0.1014,0.0388,0.0127,0.0323,0.0066,0.0004,0.0245,0.0436,0.0367,0.0288,0.0300,0.0200,0.0347,0.0129,-0.0432,0.0399,-0.0095,-0.0222,-0.0057,-0.0322,-0.0744,0.0315,0.0121,0.0395,0.0596,0.0982
19,Total Other Income Expenses (Gains),-400000,-200000,- -,100000,- -,- -,- -,100000,1200000,400000,-200000,333447,-449059,117622,-1903189,-224194,-272706,-391735,-99656,-9176034,-397292,8447877,-4963243,-246357,-142168,-167193,-339948,-360337,-114594,66925,-365205,-313502,-4281328
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,1700000,600000,500000,497944,-440353,657891,-760720,827516,754734,931052,1157198,-5521190,702074,4883028,1013535,-1461172,-2549023,-569259,-2298520,-3957898,1840009,718357,2875829,6473561,5215641
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1318,0.0380,0.0230,0.0199,-0.0209,0.0299,-0.0290,0.0289,0.0212,0.0211,0.0184,-0.0525,0.0082,0.0591,0.0068,-0.0114,-0.0235,-0.0080,-0.0377,-0.0819,0.0297,0.0133,0.0351,0.0568,0.0539
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,200000,246260,-115790,228580,-340930,227797,269542,319807,281234,759777,221457,-780346,- -,160483,110166,65416,31802,47916,1223,60672,95116,89618,45124
23,Net Income,-600000,-100000,- -,-200000,200000,200000,- -,1400000,1100000,400000,300000,251684,-324563,429311,-524140,350829,485192,611245,875964,-7851207,-313694,5663374,1013535,-2311168,-2659189,-4523731,-2252301,-4005814,1838786,657685,2780713,6383943,5170517
24,Net Income ratio,-0.0232,-0.0022,- -,-0.0177,0.0135,0.0152,- -,0.1014,0.0853,0.0253,0.0138,0.0101,-0.0154,0.0195,-0.0200,0.0122,0.0136,0.0139,0.0139,-0.0746,-0.0037,0.0686,0.0068,-0.0181,-0.0245,-0.0639,-0.0370,-0.0829,0.0297,0.0122,0.0339,0.0560,0.0535
25,EPS,-0.14,-0.02,0.01,-0.03,0.04,0.04,0.01,0.24,0.25,0.10,0.07,0.05,-0.07,0.09,-0.11,0.07,0.10,0.12,0.10,-0.81,-0.03,0.57,0.09,-0.19,-0.22,-0.37,-0.18,-0.30,0.07,0.02,0.10,0.24,0.19
26,EPS Diluted,-0.14,-0.02,0.01,-0.03,0.04,0.04,0.01,0.24,0.23,0.09,0.06,0.05,-0.07,0.09,-0.11,0.07,0.10,0.12,0.09,-0.81,-0.03,0.55,0.09,-0.19,-0.22,-0.37,-0.18,-0.30,0.07,0.02,0.10,0.24,0.19
27,Weighted Average Shares Outstanding,4285714,5000000,5632000,6666667,5000000,5000000,6000000,5833333,4397266,4156705,4256920,4682375,4924665,4913628,4913290,4913290,4913290,4913290,7507579,9708045,9838735,9894243,10831971,12175361,12175584,12216787,12275525,13214835,26918371,26924381,26924381,26924631,26924631
28,Weighted Average Shares Outstanding Diluted,4285714,5000000,5632000,6666667,5000000,5000000,6000000,5833333,4809644,4569188,4612245,5043103,4924665,4916878,4913290,5135457,5037073,5006909,8281887,9708045,9838735,10355531,11201196,12175361,12175584,12216787,12275525,13214835,27437390,27024838,26939631,26939631,26939631
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701719/000114420408019284/0001144204-08-019284-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420409018018/0001144204-09-018018-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420410017655/0001144204-10-017655-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420411022597/0001144204-11-022597-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420412058693/0001144204-12-058693-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420413018204/0001144204-13-018204-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420414018387/0001144204-14-018387-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420415018738/0001144204-15-018738-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420416091577/0001144204-16-091577-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420417020541/0001144204-17-020541-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420418016004/0001144204-18-016004-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000149315219005209/0001493152-19-005209-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000149315220004823/0001493152-20-004823-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000165495421003097/0001654954-21-003097-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000165495422003269/0001654954-22-003269-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,100000,300000,200000,400000,400000,400000,900000,1300000,1000000,1300000,1362219,1063060,498408,735293,314897,1042834,1210282,536548,244429,1446724,871468,6069392,4911087,3214770,2184435,1752711,1412082,1272208,1453941,4510660,9218036,10138148
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,100000,300000,200000,400000,400000,400000,900000,1300000,1000000,4400000,1362219,1063060,498408,735293,314897,1042834,1210282,536548,244429,1446724,871468,6069392,4911087,3214770,2184435,1752711,1412082,1272208,1453941,4510660,9218036,10138148
34,Net Receivables,500000,400000,200000,100000,100000,400000,100000,100000,200000,200000,700000,935002,646583,792590,979016,907238,688810,1053454,3792474,2326337,649310,793869,1582092,718501,269616,904076,229848,285722,840838,94345,2997743,2846619,7166533
35,Inventory,1400000,1200000,500000,500000,700000,700000,900000,1100000,1000000,1400000,5500000,7087265,6297320,6335742,6673865,6791383,7570120,7796028,12975782,16052833,17766285,17046716,11635225,11932729,12921857,11144157,9565506,9384136,8597690,9765094,9509454,10006897,14048436
36,Other Current Assets,100000,- -,- -,- -,100000,200000,600000,2000000,1900000,3000000,100000,142291,128213,152854,149277,161985,215560,289851,1265827,2072996,1446670,736148,98455,321709,236649,154242,106547,55029,181392,81094,1333492,1438796,3013398
37,Total Current Assets,2000000,1700000,1000000,800000,1300000,1700000,2000000,4100000,4400000,5600000,10700000,9526777,8135176,7779594,8537451,8175503,9517324,10349615,18570631,20696595,21308989,19448201,19385164,17884026,16642892,14386910,11654612,11136969,10892128,11394474,18351349,23510348,34366515
38,PP&E,1700000,1700000,1100000,1000000,1000000,1100000,1200000,1100000,1100000,1100000,1200000,1391618,1327822,1157225,989966,885301,1121662,1024405,4193869,4868306,4713142,4466517,4705551,4849937,5074860,4365767,4281388,1665103,1690872,1320863,3686079,10411524,11410924
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,837117,8952181,837117,837117,837117,- -,- -,- -,- -,- -,- -,- -,- -,1367109,1367109,6140465
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1343804,1151120,1151120,1151120,837117,837117,- -,2521340,2492673,2464006,2435339,3397367,- -,2942314,27568,13784,- -,- -,234350,3394073,2992473,3024245
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1343804,1151120,1151120,1151120,837117,837117,837117,11473521,3329790,3301123,3272456,3397367,3169840,2942314,27568,13784,- -,- -,234350,4761182,4359582,9164710
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206141,120433,- -,15944,779,7152,1805205,1908032,1731175,2844511,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,300000,400000,800000,800000,700000,100000,1300000,100000,100000,1151044,580102,337017,392992,367834,353234,927277,815988,541192,556521,220949,160491,211069,244065,128356,204226,110605,731613,68411,204784,2297638,4325166
45,Total Non-Current Assets,1700000,1800000,1400000,1400000,1800000,1900000,1900000,1200000,2400000,1200000,1800000,3886466,3265185,2765795,2534078,2106196,2312792,2795951,18288583,10647320,10346961,10811933,8263409,8230846,8261239,4521691,4499398,1775708,2422485,1623624,8652045,17068744,24900800
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3700000,3500000,2400000,2200000,3100000,3600000,3900000,5300000,6800000,6800000,12500000,13413243,11400361,10545389,11071529,10281699,11830116,13145566,36859214,31343915,31655950,30260134,27648573,26114872,24904131,18908601,16154010,12912677,13314613,13018098,27003394,40579092,59267315
48,Accounts Payable,- -,- -,100000,100000,100000,300000,300000,400000,300000,500000,900000,2176834,1007311,591479,859269,590412,789724,828323,1069194,734906,1472663,1791451,1501057,3561794,5666059,5831736,5689056,1103022,4679093,3927597,1467845,1510697,2488396
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,300000,600000,800000,500000,4800000,3730479,865685,863886,738861,624265,853335,442981,689098,4386050,3554283,3972512,3472745,175234,133627,142532,1601591,12590,2352,- -,2259181,3268766,2639618
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154618,185173,340923,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1836748,- -,- -,1082778,1309648,572362,72705,97837,165404,428976,- -
52,Other Current Liabilities,1300000,800000,200000,200000,300000,400000,200000,400000,900000,1300000,1600000,1564478,4293831,1268871,1368835,727158,801063,893217,1333440,1911671,2585303,2688813,3044393,3867911,4538935,1845116,1365268,5317327,804687,579203,916509,844324,4668590
53,Total Current Liabilities,1300000,800000,300000,300000,400000,700000,800000,1400000,2000000,2300000,7300000,7471791,6166827,2724236,2966965,1941835,2444122,2164521,3091732,7032627,7612249,8452776,9854943,7604939,10338621,8902162,9965563,7005301,5558837,4604637,4808939,6052763,9796604
54,Long-Term Debt,1200000,1000000,800000,800000,1100000,1100000,1300000,1800000,1600000,1600000,1400000,949838,764102,3066797,2719482,2749278,3314886,4303685,13489901,11715765,11605143,3317647,2471226,1843062,1757827,3919596,2317023,- -,- -,- -,8554980,16947887,7573057
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,2827,22743,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,300000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30914,3583358,2383359,- -,- -,1074,- -,- -,2445301,- -,14270337
58,Total Non-Current Liabilities,1500000,1300000,700000,800000,1100000,1100000,1300000,1800000,1800000,1600000,1400000,949838,764102,3069624,2742225,2749278,3314886,4303685,13489901,11715765,11605143,3317647,2502140,5426420,4141186,3919596,2317023,1074,- -,- -,11000281,16947887,21843394
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52098,28285,11091,11529,12069,13664,2352,- -,3620410,4802728,- -
61,Total Liabilities,2800000,2100000,1000000,1100000,1500000,1800000,2100000,3200000,3800000,3900000,8700000,8421629,6930929,5793860,5709190,4691113,5759008,6468206,16581633,18748392,19217392,11770423,12357083,13031359,14479807,12821758,12282586,7006375,5558837,4604637,15809220,23000650,31639998
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49080,49133,49133,49133,49133,49133,49133,94904,98337,98637,99861,121639,121755,121755,122388,122964,269056,269244,269244,269244,269246,- -
64,Retained Earnings,-3400000,-3500000,-3400000,-3600000,-3700000,-3500000,-3400000,-2000000,-900000,-500000,-200000,23838,-300725,128586,-395554,-44725,444467,1051712,1806731,-6044476,-6358170,-694796,-18772728,-21083896,-23743085,-28266816,-30519117,-34524931,-32686145,-32028460,-29247747,-22863804,-12814929
65,Other Comprehensive Income/Loss,-100000,-300000,-300000,-400000,-400000,-500000,-500000,-600000,-700000,-800000,-900000,-802997,-907236,-1134950,-1214201,-122582,-131252,-132245,-97288,- -,- -,- -,-2731146,-1618486,-2187717,-2193672,-2481102,-1942684,-2068790,-1701498,-1960795,- -,- -
66,Other Total Stockholders Equity,4400000,5200000,5100000,5100000,5700000,5800000,5700000,4700000,4600000,4200000,4900000,5721693,5628260,5708760,6922961,5708760,5708760,5708760,18473234,18541662,18698091,19084646,36673725,35664140,36233371,36424943,36748679,42104861,42241467,41874175,42133472,40173000,40442246
67,Total Stockholders Equity,900000,1400000,1400000,1100000,1600000,1800000,1800000,2100000,3000000,2900000,3800000,4991614,4469432,4751529,5362339,5590586,6071108,6677360,20277581,12595523,12438558,18489711,15291490,13083513,10424324,6086843,3871424,5906302,7755776,8413461,11194174,17578442,27627317
68,Total Liabilities And Stockholders Equity,3700000,3500000,2400000,2200000,3100000,3600000,3900000,5300000,6800000,6800000,12500000,13413243,11400361,10545389,11071529,10281699,11830116,13145566,36859214,31343915,31655950,30260134,27648573,26114872,24904131,18908601,16154010,12912677,13314613,13018098,27003394,40579092,59267315
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3700000,3500000,2400000,2200000,3100000,3600000,3900000,5300000,6800000,6800000,12500000,13413243,11400361,10545389,11071529,10281699,11830116,13145566,36859214,31343915,31655950,30260134,27648573,26114872,24904131,18908601,16154010,12912677,13314613,13018098,27003394,40579092,59267315
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701719/000114420408019284/0001144204-08-019284-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420409018018/0001144204-09-018018-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420410017655/0001144204-10-017655-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420411022597/0001144204-11-022597-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420412058693/0001144204-12-058693-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420413018204/0001144204-13-018204-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420414018387/0001144204-14-018387-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420415018738/0001144204-15-018738-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420416091577/0001144204-16-091577-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420417020541/0001144204-17-020541-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000114420418016004/0001144204-18-016004-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000149315219005209/0001493152-19-005209-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000149315220004823/0001493152-20-004823-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000165495421003097/0001654954-21-003097-index.htm,https://www.sec.gov/Archives/edgar/data/701719/000165495422003269/0001654954-22-003269-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,-100000,- -,-200000,200000,200000,- -,1400000,1100000,400000,300000,251684,-324563,429311,-524140,350829,485192,611245,875964,-7851207,-313694,5663374,1013535,-2311168,-2659189,-4523731,-2252301,-4005814,1838786,657685,2780713,6383943,5170517
74,Depreciation and Amortization,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,387963,427675,202986,187558,148327,145337,139315,253887,484832,410838,494911,429481,696477,729958,382565,535222,403716,320744,286747,520298,728626,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,-438136,198524,80815,-451081,-10535,21832,-3801,-31692,-102827,176857,-793736,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34208,103191,- -,148500,36882,101782,10688,- -,- -,325,- -
77,Change in Working Capital,- -,200000,-200000,-200000,400000,100000,200000,1500000,-300000,900000,100000,-1345014,-86637,3087009,515128,663182,839534,1111892,7293805,-1814931,32772,-2701315,-1465204,748866,-3974816,-819523,-3795699,2442619,1201623,1456546,6752573,3915175,7112326
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1473136,2173749,-144559,-603769,860391,448885,-741406,674228,-262411,-687793,115025,-1877783,151124,- -
79,Inventory,- -,- -,100000,100000,-200000,- -,-100000,-200000,100000,-300000,-1700000,-1174784,784052,-38423,-338123,-117518,-778735,-225908,-928838,-3077051,-2362528,-3052133,-228286,-1215438,-989128,372863,1578651,181370,786446,-1167404,1464843,-497444,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-936570,-976980,-3566973,-29332,- -
81,Other Working Capital,700000,900000,700000,500000,900000,1000000,1200000,2700000,2400000,3300000,3400000,2054986,1968349,5055358,5570486,6233668,7073202,8185094,15478899,13663968,13696740,10995425,9530221,10279087,6304271,5484748,1689049,4131668,5333291,6789837,13542410,17457585,24569911
82,Other Non-Cash Items,500000,-200000,400000,300000,-900000,-200000,-400000,-2900000,-200000,-900000,-1700000,3874248,-505269,-3469146,1024569,-1593737,-1218764,-1610858,-12673340,8216152,1011043,-4461652,6634687,287459,6233851,4726930,5609750,1439250,-3123566,-2025761,-10596412,-4130978,-12282843
83,Cash Provided by Operating Activities,- -,- -,300000,- -,-200000,200000,-100000,100000,1200000,500000,-1100000,2730745,-290270,330975,752034,-441934,273131,247793,-4281376,-1067981,1317816,-1798418,6646707,-475175,329804,-85259,133854,381553,248275,375217,-542828,6897091,- -
84,CAPEX,- -,- -,- -,-100000,- -,-100000,-100000,-100000,-100000,-100000,-200000,-147174,-31230,-25024,-34464,-43662,-285456,-42058,-3780554,-1130602,-419783,-128081,-534197,-938144,-640717,-155347,-437059,-1179782,-376837,-191132,-162989,-5864588,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369933,- -,- -,- -,- -,- -,-569782,-975280,-70379,- -,- -,456015,- -,- -,- -,- -,- -,- -,- -,-5876516,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,-200000,- -,-36500,-15750,- -,-48989,- -,- -,- -,- -,-1294876,-680020,- -,- -,-95000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,1000000,- -,- -,- -,- -,- -,- -,46988,- -,4226,- -,396,1273679,626557,54940,7500,154313,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,100000,- -,-100000,-100000,- -,- -,- -,-10470,-6344,150000,34850,-46950,833903,- -,1324450,- -,-534197,- -,- -,- -,- -,2250000,- -,-66000,-60000,-2100000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-100000,- -,-200000,100000,800000,-200000,-400000,-200000,-553607,-46980,-35494,-42809,106338,-246380,-658790,-3921535,-1222178,851204,-73141,-70682,-878831,-640717,-155347,-437059,1070218,-376837,-191132,-6039505,-7964588,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-580795,-942389,-1344279,-1239082,-3956590,-1385404,-212685,-143515,-1601591,-11312,-2352,-510948,-305327,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070,- -,- -,- -,- -,78363,78835,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-100000,-200000,-700000,-100000,-100000,-148863,-31091,-611,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-100000,-100000,400000,200000,200000,-200000,- -,-300000,1600000,-1017773,69182,-860592,-472340,-84800,701186,578445,7450814,2500000,- -,2140582,- -,3583358,- -,- -,- -,- -,- -,- -,10150000,6080200,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-100000,-100000,400000,100000,100000,-400000,-700000,-400000,1500000,-1166636,38091,-860133,-472340,-84800,701186,578445,7529177,1998040,-942389,1296303,-1239082,-373232,-1385404,-212685,-143515,-1601591,-11312,-2352,9639052,5774873,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-100000,-100000,400000,100000,100000,-400000,-700000,-400000,300000,1010502,-299159,-564652,236885,-420396,727937,167448,-673734,-292119,1226631,-575256,5336943,-1065841,-1696317,-453291,-431724,-340629,-139874,181733,3056719,4707376,- -
