,https://roic.ai/company/BVS,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-7442000,- -,- -,-2561000,-2342000,-20672000,-2802000
85,Acquisitions Net,-51459000,- -,- -,- -,430000,- -,-216080000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6608000,- -,- -,-3500000,-6000000,-16407000,-2396000
89,Cash Used for Investing Activites,-60185000,- -,- -,-6061000,-7912000,-20500000,-221278000
90,Debt Repayment,-23675000,- -,- -,-5410000,-199581000,-59000000,-80000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,886000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-7846000,-9137000,-19886000,- -
94,Other Financing Activites,54921000,- -,- -,- -,197767000,49317000,255422000
95,Cash Used/Provided by Financing Activities,31246000,- -,- -,-13256000,-10951000,-29569000,176308000
96,Effect of Forex Changes on Cash,-805000,- -,- -,106000,395000,589000,149000
97,Net Change In Cash,-10824000,- -,- -,25670000,21746000,22319000,12374000
98,Cash at the End of Period,4950000,- -,- -,42774000,64520000,86839000,99213000
99,Cash at the Beginning of Period,15774000,- -,- -,17104000,42774000,64520000,86839000
100,Free Cash Flow,11478000,- -,- -,42626000,38371000,51127000,10315000
101,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1665988/000162828021005771/0001628280-21-005771-index.htm,https://www.sec.gov/Archives/edgar/data/1665988/000162828022005816/0001628280-22-005816-index.htm
102,false,,,,,,,
