,https://roic.ai/company/SVFD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,22446,33484,13082,- -,- -,- -,- -,439806,290815,242900,6750938
34,Net Receivables,186842,138040,190199,- -,- -,- -,- -,135297,64003,147941,172630
35,Inventory,- -,- -,- -,- -,- -,- -,- -,38085,16302,16356,22603
36,Other Current Assets,22487,29409,18128,- -,- -,- -,- -,63492,53494,87974,282926
37,Total Current Assets,231775,200933,221409,- -,- -,- -,- -,676680,424614,495171,7229097
38,PP&E,27559,25633,34553,- -,- -,- -,- -,85143,130101,69894,230557
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,68015,86270,104695,- -,- -,- -,- -,97388,109955,122584,137625
45,Total Non-Current Assets,95574,111903,139248,- -,- -,- -,- -,182531,240056,192478,368182
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,327349,312836,360657,- -,- -,- -,- -,859211,664670,687649,7597279
48,Accounts Payable,312546,353932,120145,- -,- -,- -,- -,196551,235864,203323,539360
49,Short-Term Debt,174356,187177,346578,- -,- -,- -,- -,23145,59323,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,534933,- -,- -,- -,- -,264002,328639,581910,391944
53,Total Current Liabilities,486902,541109,1001656,- -,- -,- -,- -,483698,623826,785233,931304
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,37926,300872,- -,87287
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,73454,657929,105709,- -,- -,- -,- -,126072,142091,367869,166077
58,Total Non-Current Liabilities,73454,657929,105709,- -,- -,- -,- -,163998,442963,367869,253364
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,52093,15049,- -
61,Total Liabilities,560356,1199038,1107365,- -,- -,- -,- -,647696,1066789,1153102,1184668
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,85410,85535,93360,- -,- -,- -,- -,923,1021,161,281
64,Retained Earnings,-4311675,-5007417,-5562047,- -,- -,- -,- -,-8713091,-10684508,- -,-17098227
65,Other Comprehensive Income/Loss,-61768,-65015,-87522,- -,- -,- -,- -,-26275,-26275,- -,- -
66,Other Total Stockholders Equity,4055026,4100695,4809501,- -,- -,- -,- -,8956670,10328696,-436337,23510557
67,Total Stockholders Equity,-233007,-886202,-746708,- -,- -,- -,- -,218227,-381066,-436176,6412611
68,Total Liabilities And Stockholders Equity,327349,312836,360657,- -,- -,- -,- -,865923,685723,716926,7597279
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-6712,-21053,-29277,- -
70,Total Liabilities & Equity,327349,312836,360657,- -,- -,- -,- -,859211,664670,687649,7597279
71,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1789192/000149315221007020/0001493152-21-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1789192/000149315222008526/0001493152-22-008526-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-606866,-695742,-468812,- -,- -,- -,- -,-356893,-1971417,-1606580,- -
74,Depreciation and Amortization,8693,7368,8442,- -,- -,- -,- -,75591,27351,45205,57195000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,25986,35794,44070,- -,- -,- -,- -,97173,438670,492619,637168000
77,Change in Working Capital,201813,-85049,-440071,- -,- -,- -,- -,973229,-392194,-90850,6587855
78,Accounts Receivable,-71796,51588,-40127,- -,- -,- -,- -,4123,71294,-83938,-24689000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-23117,21783,-54,-6247000
80,Accounts Payable,-112786,-7304,-30363,- -,- -,- -,- -,41295,39313,-32541,337680000
81,Other Working Capital,-255127,-340176,-780247,- -,- -,- -,- -,192982,-199212,-290062,6297793
82,Other Non-Cash Items,-289801,196635,727041,- -,- -,- -,- -,-1295599,652818,360866,-4799216855
83,Cash Provided by Operating Activities,-660175,-540994,-129330,- -,- -,- -,- -,-506499,-1244772,-798740,-4098266000
84,CAPEX,-1709,-4870,-15158,- -,- -,- -,- -,-2529,-23327,- -,-67749000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-7567,4864,- -
86,Purchases of Investments,-11156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-16146,-11453,- -,- -,- -,- -,8304,-50761,4201,-15041000
89,Cash Used for Investing Activites,-12865,-21016,-26611,- -,- -,- -,- -,5775,-81655,9065,-82790000
90,Debt Repayment,-62632,- -,- -,- -,- -,- -,- -,-107121,-42257,-48240,-38971000
91,Common Stock Issued,758118,10000,- -,- -,- -,- -,- -,1019333,840693,350000,10497862000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,563400,135539,- -,- -,- -,- -,- -,379000,440000,266125000
95,Cash Used/Provided by Financing Activities,695486,573400,135539,- -,- -,- -,- -,912212,1177436,741760,10725016000
96,Effect of Forex Changes on Cash,- -,-352,- -,- -,- -,- -,- -,- -,- -,- -,-1643000
97,Net Change In Cash,695486,11038,-20402,- -,- -,- -,- -,411488,-148991,-47915,6807369100
98,Cash at the End of Period,22446,33484,13082,- -,- -,- -,- -,439806,290815,242900,6807612000
99,Cash at the Beginning of Period,- -,22446,33484,- -,- -,- -,- -,28318,439806,290815,242900
100,Free Cash Flow,-661884,-545864,-144488,- -,- -,- -,- -,-509028,-1268099,-798740,-4166015000
101,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1789192/000149315221007020/0001493152-21-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1789192/000149315222008526/0001493152-22-008526-index.htm
102,false,,,,,,,,,,,
