,https://roic.ai/company/AVNT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,2.15,0.26,-0.51,-0.65,-2.76,0.26,0.51,1.33,0.12,-2.94,0.53,1.69,1.83,0.80,2.53,0.85,1.63,1.95,-0.71,1.99,7.58,1.45,2.55
27,Weighted Average Shares Outstanding,46600000,61400000,89800000,90800000,91100000,91600000,91900000,92400000,92800000,92700000,92400000,93100000,92200000,89100000,95500000,92300000,87800000,83900000,81500000,79700000,77200000,90100000,90100000
28,Weighted Average Shares Outstanding Diluted,48600000,62000000,89800000,90800000,91100000,91800000,92000000,92800000,93100000,92700000,93400000,96000000,94300000,89800000,96500000,93500000,88700000,84600000,82100000,80400000,77700000,90600000,90600000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015205001761/0000950152-05-001761-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015208001586/0000950152-08-001586-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000119312512067181/0001193125-12-067181-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415813000022/0001534158-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415814000025/0001534158-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000162828015000652/0001628280-15-000652-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297616000032/0001122976-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297617000006/0001122976-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297618000007/0001122976-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297619000007/0001122976-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297620000015/0001122976-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297621000014/0001122976-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297622000007/0001122976-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,51200000,37900000,18200000,41400000,48700000,38600000,32800000,66200000,79400000,44300000,222700000,378100000,191900000,210000000,365200000,238600000,279800000,226700000,243600000,170900000,864700000,649500000,601200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51200000,37900000,18200000,41400000,48700000,38600000,32800000,66200000,79400000,44300000,222700000,378100000,191900000,210000000,365200000,238600000,279800000,226700000,243600000,170900000,864700000,649500000,601200000
34,Net Receivables,105400000,347500000,147000000,164300000,263500000,309700000,320500000,316400000,340800000,262100000,274400000,294500000,321000000,322600000,428000000,396800000,347000000,363700000,392400000,413400000,330000000,516600000,642300000
35,Inventory,168200000,337100000,255300000,253700000,196900000,196000000,191800000,240800000,223400000,197800000,159600000,211300000,245200000,252600000,342500000,309000000,287000000,312400000,327800000,344700000,260900000,327500000,461100000
36,Other Current Assets,32900000,74000000,65100000,54800000,96700000,72400000,68400000,45900000,40200000,20900000,38000000,55100000,85400000,81700000,117900000,98300000,47000000,46700000,102800000,69800000,57700000,108500000,122400000
37,Total Current Assets,357700000,796500000,485600000,514200000,605800000,616700000,613500000,669300000,683800000,525100000,694700000,939000000,843500000,866900000,1253600000,1042700000,960800000,949500000,1066600000,998800000,1513300000,1602100000,1827000000
38,PP&E,338400000,703800000,683600000,682100000,486100000,441200000,436000000,442400000,449700000,432000000,392400000,374400000,393600000,407500000,646200000,596700000,583500000,607700000,461600000,495400000,471200000,775800000,750200000
39,Goodwill,- -,- -,537300000,- -,- -,- -,- -,287000000,288800000,163900000,163500000,164100000,396700000,405500000,559000000,590600000,597700000,677400000,610500000,650300000,685700000,1308100000,1286400000
40,Intangible Assets,- -,540300000,- -,476800000,354200000,331100000,325900000,9400000,6700000,69100000,71700000,67800000,342500000,340000000,365800000,362700000,344600000,363500000,400000000,423400000,469300000,1008500000,925200000
41,Intangible Assets,183100000,540300000,537300000,476800000,354200000,331100000,325900000,296400000,295500000,233000000,235200000,231900000,739200000,745500000,924800000,953300000,942300000,1040900000,1010500000,1073700000,1155000000,2316600000,2211600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,5800000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,25000000,69900000,500000,8100000,59700000,8800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,283400000,420100000,354700000,324400000,454800000,382800000,340600000,340500000,84100000,66600000,55700000,64200000,95400000,108100000,119500000,118500000,108500000,125200000,166600000,155400000,133800000,176000000,208400000
45,Total Non-Current Assets,804900000,1664200000,1575600000,1483300000,1295100000,1155100000,1102500000,1104300000,899200000,752600000,697200000,732900000,1237000000,1261100000,1690500000,1668500000,1634300000,1773800000,1638700000,1724500000,1760000000,3268400000,3170200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1162600000,2460700000,2061200000,1997500000,1900900000,1771800000,1716000000,1773600000,1583000000,1277700000,1391900000,1671900000,2080500000,2128000000,2944100000,2711200000,2595100000,2723300000,2705300000,2723300000,3273300000,4870500000,4997200000
48,Accounts Payable,148300000,319400000,311400000,242000000,173400000,210700000,232600000,221000000,250500000,160000000,238300000,269000000,294800000,311400000,386900000,365900000,351600000,361500000,388900000,399000000,287700000,471700000,553900000
49,Short-Term Debt,222400000,239800000,19300000,91700000,27400000,51600000,7800000,27700000,28700000,26000000,20400000,20000000,3000000,3800000,12700000,61800000,18600000,18500000,32600000,19400000,39400000,43700000,32800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,- -,- -
52,Other Current Liabilities,70000000,175700000,169400000,160200000,163400000,128700000,93600000,93100000,94400000,118200000,117000000,145800000,144600000,144600000,209300000,173500000,127900000,129600000,149100000,139200000,312400000,285600000,353900000
53,Total Current Liabilities,440700000,734900000,500100000,493900000,364200000,391000000,334000000,341800000,373600000,304200000,375700000,434800000,442400000,459800000,608900000,601200000,498100000,509600000,570600000,557600000,702500000,801000000,940600000
54,Long-Term Debt,130900000,442400000,426800000,492200000,757100000,640500000,638700000,567700000,308000000,408300000,389200000,432900000,704000000,703100000,976200000,962000000,1128000000,1239800000,1276400000,1336200000,1210900000,1910000000,1900400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,106500000,132800000,64500000,39000000,25900000,14400000,- -,- -,- -,- -,- -,- -,- -,31700000,133800000,88800000,33800000,43100000,40300000,69300000,63500000,140000000,100600000
57,Other Non-Current Liabilities,144100000,309000000,340700000,383700000,378400000,338700000,322200000,284100000,251700000,389300000,293400000,288200000,345800000,302000000,246700000,282000000,230000000,205300000,218600000,219600000,243700000,307800000,265100000
58,Total Non-Current Liabilities,381500000,884200000,832000000,914900000,1161400000,993600000,960900000,851800000,559700000,797600000,682600000,721100000,1049800000,1036800000,1356700000,1332800000,1391800000,1488200000,1535300000,1625100000,1518100000,2357800000,2266100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63800000,81100000,74300000
61,Total Liabilities,822200000,1619100000,1332100000,1408800000,1525600000,1384600000,1294900000,1193600000,933300000,1101800000,1058300000,1155900000,1492200000,1496600000,1965600000,1934000000,1889900000,1997800000,2105900000,2182700000,2220600000,3158800000,3206700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2800000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
64,Retained Earnings,168300000,169300000,100300000,18700000,-232400000,-208900000,-162000000,-67100000,-48500000,-321400000,-253600000,-66900000,-84900000,-13000000,211600000,259700000,367100000,491200000,387100000,472900000,1001200000,1057400000,1208000000
65,Other Comprehensive Income/Loss,- -,-462600000,-529900000,-168600000,-130900000,-142700000,-152800000,-99100000,-48600000,-245100000,-158500000,-172100000,-1300000,-11100000,-14800000,-42300000,-71300000,-94200000,-53000000,-82300000,-82600000,26400000,-45600000
66,Other Total Stockholders Equity,169300000,1133700000,1157500000,728400000,728900000,730800000,729300000,739500000,745300000,741200000,744500000,753800000,673300000,652000000,778800000,557700000,407200000,326500000,263200000,148200000,132100000,612100000,- -
67,Total Stockholders Equity,340400000,841600000,729100000,579700000,366800000,380400000,415700000,574500000,649400000,175900000,333600000,516000000,588300000,629100000,976800000,776300000,704200000,724700000,598500000,540000000,1051900000,1697100000,1774700000
68,Total Liabilities And Stockholders Equity,1162600000,2460700000,2061200000,1988500000,1892400000,1765000000,1710600000,1768100000,1582700000,1277700000,1391900000,1671900000,2080500000,2125700000,2942400000,2710300000,2594100000,2722500000,2704400000,2722700000,3272500000,4855900000,4981400000
69,Minority Interest,- -,- -,- -,9000000,8500000,6800000,5400000,5500000,300000,- -,- -,- -,- -,2300000,1700000,900000,1000000,800000,900000,600000,800000,14600000,15800000
70,Total Liabilities & Equity,1162600000,2460700000,2061200000,1997500000,1900900000,1771800000,1716000000,1773600000,1583000000,1277700000,1391900000,1671900000,2080500000,2128000000,2944100000,2711200000,2595100000,2723300000,2705300000,2723300000,3273300000,4870500000,4997200000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015205001761/0000950152-05-001761-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015208001586/0000950152-08-001586-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000119312512067181/0001193125-12-067181-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415813000022/0001534158-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415814000025/0001534158-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000162828015000652/0001628280-15-000652-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297616000032/0001122976-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297617000006/0001122976-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297618000007/0001122976-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297619000007/0001122976-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297620000015/0001122976-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297621000014/0001122976-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297622000007/0001122976-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,104700000,15900000,-46100000,-58900000,-251100000,23500000,46900000,123200000,11400000,-272900000,67800000,162600000,172600000,71900000,243800000,79200000,144600000,165200000,-57700000,159800000,588600000,131600000,230800000
74,Depreciation and Amortization,44400000,57400000,91300000,72500000,51400000,50900000,50700000,57100000,57400000,68000000,64800000,55200000,57500000,69800000,109800000,123900000,115700000,105900000,98300000,91500000,87500000,115000000,145900000
75,Deferred Income Tax,60400000,8300000,-29000000,-12700000,4500000,600000,2000000,-13600000,-57100000,89400000,5900000,-69400000,3600000,13400000,12900000,-45200000,-27400000,10500000,-1400000,-4800000,-3200000,-1700000,-27300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2600000,4400000,5400000,10400000,16500000,14200000,9100000,8400000,10200000,10900000,12300000,11300000,11200000
77,Change in Working Capital,-18600000,144600000,-76100000,34800000,221300000,-15900000,53800000,48000000,-17300000,-89300000,98100000,185200000,-103100000,6000000,237600000,-203200000,21200000,-22800000,56100000,-54800000,369600000,-9700000,-126600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,-12900000,-24900000,5400000,3400000,26900000,24400000,42600000,-17600000,-44700000,-11300000,29700000,-4600000,-143100000
79,Inventory,-23900000,9900000,79700000,800000,24300000,1100000,9300000,-39600000,26700000,33600000,39100000,-29200000,4700000,-2700000,20400000,28400000,21400000,800000,-41100000,-10600000,40200000,40200000,-139500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76300000,31900000,13800000,13800000,-16600000,-15200000,-8300000,12400000,52200000,7900000,-22700000,78400000,95300000
81,Other Working Capital,-83000000,61600000,-14500000,20300000,241600000,225700000,279500000,327500000,310200000,220900000,319000000,504200000,401100000,407100000,644700000,441500000,462700000,439900000,496000000,441200000,810800000,801100000,60700000
82,Other Non-Cash Items,-76300000,-162300000,368600000,-67000000,-202100000,-86100000,-89700000,-103000000,72800000,274300000,-9500000,-197200000,-63500000,-64600000,-511600000,239500000,-36000000,-45900000,96900000,51100000,-754000000,-24900000,-200000
83,Cash Provided by Operating Activities,114600000,63900000,308700000,-31300000,-176000000,-27000000,63700000,111700000,67200000,72500000,229700000,140800000,72500000,106900000,109000000,208400000,227200000,221300000,202400000,253700000,300800000,221600000,233800000
84,CAPEX,-60100000,-62700000,-80200000,-75100000,-28700000,-23400000,-32100000,-41100000,-43400000,-42500000,-31700000,-39500000,-54100000,-57400000,-76400000,-92800000,-91200000,-84200000,-79600000,-76000000,-81700000,-63700000,-100600000
85,Acquisitions Net,-233500000,-2400000,- -,-11400000,-15800000,-6700000,-2700000,1200000,-11200000,-150200000,-11500000,-3300000,-508400000,-14900000,16300000,-19000000,-15300000,-164200000,-39800000,-94300000,642200000,-1373100000,-47600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,260500000,- -,- -,- -,140000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10100000,85500000,5300000,7900000,31600000,142000000,12300000,6000000,9400000,-42200000,-14700000,1600000,- -,-57400000,-76400000,-92800000,-91200000,-71200000,-79600000,-76000000,-30300000,-58500000,-102600000
89,Cash Used for Investing Activites,-243600000,20400000,-74900000,-78600000,-12900000,111900000,-22500000,-33900000,215300000,-193500000,-26200000,-1700000,-422500000,-72300000,-60100000,-111800000,-106500000,-235400000,-119400000,-170300000,611900000,-1431600000,-150200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25300000,-25700000,-317500000,-42900000,-3000000,-460800000,-130800000,-1302100000,-1038700000,-1423500000,-1113200000,-1092200000,-7800000,-18500000
91,Common Stock Issued,7100000,600000,- -,7000000,- -,300000,500000,3100000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496100000,- -
92,Common Stock Repurchased,- -,-18700000,- -,- -,- -,- -,- -,- -,- -,-8900000,- -,- -,-73600000,-15900000,-131600000,-233200000,-156100000,-86200000,-70700000,-123000000,-26900000,-22400000,-4200000
93,Dividends Paid,-11800000,-14900000,-22900000,-22700000,- -,- -,- -,- -,- -,- -,- -,- -,-11100000,-16900000,-21500000,-29900000,-35700000,-40200000,-44100000,-56100000,-60300000,-71300000,-77700000
94,Other Financing Activites,169500000,-64200000,-229700000,152100000,193200000,-94400000,-44200000,-66500000,-277100000,122200000,- -,333200000,291500000,18300000,718700000,175500000,1423500000,1131100000,1465600000,1144200000,961100000,587400000,-14200000
95,Cash Used/Provided by Financing Activities,164800000,-97200000,-252600000,136400000,193200000,-94100000,-43700000,-63400000,-275900000,88000000,-25700000,15700000,163900000,-17500000,104800000,-218400000,-70400000,-34000000,-72700000,-148100000,-218300000,982000000,-114600000
96,Effect of Forex Changes on Cash,1000000,-400000,-900000,-3300000,3000000,-900000,-1600000,1900000,6600000,-2100000,600000,600000,-100000,1000000,1500000,-4800000,-9100000,-5000000,6600000,-8000000,-600000,12800000,-17300000
97,Net Change In Cash,36800000,-13300000,-19700000,23200000,7300000,-10100000,-5800000,33400000,13200000,-35100000,178400000,155400000,-186200000,18100000,155200000,-126600000,41200000,-53100000,16900000,-72700000,693800000,-215200000,-48300000
98,Cash at the End of Period,51200000,37900000,18200000,41400000,48700000,38600000,32800000,66200000,79400000,44300000,222700000,378100000,191900000,210000000,365200000,238600000,279800000,226700000,243600000,170900000,864700000,649500000,601200000
99,Cash at the Beginning of Period,14400000,51200000,37900000,18200000,41400000,48700000,38600000,32800000,66200000,79400000,44300000,222700000,378100000,191900000,210000000,365200000,238600000,279800000,226700000,243600000,170900000,864700000,649500000
100,Free Cash Flow,54500000,1200000,228500000,-106400000,-204700000,-50400000,31600000,70600000,23800000,30000000,198000000,101300000,18400000,49500000,32600000,115600000,136000000,137100000,122800000,177700000,219100000,157900000,133200000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015205001761/0000950152-05-001761-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000095015208001586/0000950152-08-001586-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122976/000119312512067181/0001193125-12-067181-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415813000022/0001534158-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000153415814000025/0001534158-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000162828015000652/0001628280-15-000652-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297616000032/0001122976-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297617000006/0001122976-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297618000007/0001122976-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297619000007/0001122976-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297620000015/0001122976-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297621000014/0001122976-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1122976/000112297622000007/0001122976-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
