,https://roic.ai/company/TCMFF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,1319197600,2451611800,3659332150,596711030,631060400,948447990,1089000000,1227000000,2000000,- -,563000000,123000000,53000000,1430000000,1751000000,3426000000,1371000000,429000000,6544000000,10786000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1406695400,2475072200,3692031300,642145880,661694400,992561850,1125000000,1289000000,1387000000,2818000000,3723000000,5347000000,878000000,2300000000,5696000000,6257000000,8262000000,26011000000,25071000000,30635000000
34,Net Receivables,- -,- -,- -,- -,673060000,733137500,692627450,790566390,876132400,1228886100,1210000000,1404000000,1785000000,2096000000,2411000000,3249000000,4385000000,6529000000,7923000000,9171000000,20111000000,20217000000,24470000000,31400000000
35,Inventory,- -,- -,- -,- -,13461200,14662750,80261550,102985660,174613800,157549500,251000000,243000000,452000000,536000000,633000000,772000000,721000000,2193000000,1278000000,1854000000,2737000000,3212000000,3722000000,3115000000
36,Other Current Assets,- -,- -,- -,- -,3365300,5865100,2972650,6057980,52077800,6301980,6000000,7000000,- -,- -,219000000,383000000,409000000,470000000,665000000,956000000,2377000000,1338000000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,2096581900,3228737550,4467892950,1541755910,1764518400,2385299430,2592000000,2943000000,3624000000,5450000000,6986000000,9751000000,6393000000,11492000000,15562000000,18238000000,33487000000,50778000000,53263000000,65150000000
38,PP&E,- -,- -,- -,- -,9631488600,8035187000,6947083050,5954994340,5734684800,5741103780,6188000000,6839000000,7365000000,8247000000,9035000000,11226000000,13809000000,17963000000,23165000000,28538000000,150476000000,255188000000,338635000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,120449000000,185141000000,251908000000,- -
40,Intangible Assets,- -,- -,- -,- -,938918700,847506950,778834300,763305480,781167000,759388590,772000000,773000000,1233000000,1488000000,1514000000,1519000000,5331000000,7659000000,7592000000,7096000000,59870000000,38902000000,26522000000,- -
41,Intangible Assets,- -,- -,- -,- -,938918700,847506950,778834300,763305480,781167000,759388590,772000000,773000000,1233000000,1488000000,1514000000,1519000000,5331000000,7659000000,7592000000,7098000000,180319000000,- -,- -,523334000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,1000000,1000000,1000000,70000000,243000000,301000000,333000000,347000000,2657000000,5595000000,2123000000,125000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,128000000,140000000,- -,- -,- -,78000000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,198552700,243401650,234839350,293812030,422749200,289891080,90000000,77000000,100000000,133000000,142000000,263000000,343000000,1018000000,1248000000,1057000000,1783000000,270061000000,360031000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,10768960000,9126095600,7960756700,7012111850,6938601000,6790383450,7057000000,7690000000,8699000000,9869000000,10823000000,13379000000,19924000000,26973000000,32352000000,39350000000,338251000000,527372000000,698791000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1013964000000
47,Total Assets,- -,- -,- -,- -,12865541900,12354833150,12428649650,8553867760,8703119400,9175682880,9649000000,10633000000,12323000000,15319000000,17809000000,23130000000,26317000000,38465000000,47914000000,57588000000,371738000000,578150000000,752054000000,1079114000000
48,Accounts Payable,- -,- -,- -,- -,390374800,451612700,552912900,832972250,1409164000,1641665790,1769000000,2212000000,2908000000,3407000000,3659000000,5906000000,5664000000,9348000000,8594000000,11334000000,22854000000,31082000000,39358000000,- -
49,Short-Term Debt,- -,- -,- -,- -,11068471700,10041051200,9506534700,905668010,1393847000,1474663320,1355000000,763000000,40000000,17000000,43000000,15000000,179000000,3451000000,3264000000,3186000000,19944000000,25570000000,37649000000,70814000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618000000,769000000,1022000000,1062000000,1010000000,1468000000,1071000000,1592000000,1873000000,4253000000,2319000000,- -,- -,13927000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,88838600,- -,- -,- -,41000000,292000000,362000000,423000000,507000000,477000000,443000000,515000000,1108000000,3684000000,7418000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,215379200,269794600,246729950,466464460,477890400,529366320,939000000,1194000000,1521000000,1803000000,1819000000,2706000000,2747000000,3638000000,4210000000,6952000000,9539000000,25645000000,21625000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,11674225700,10762458500,10306177550,2205104720,3369740000,3645695430,4063000000,4169000000,4510000000,5519000000,5883000000,9050000000,9097000000,16914000000,16511000000,21987000000,53445000000,85981000000,106050000000,70814000000
54,Long-Term Debt,- -,- -,- -,- -,144707900,85043950,1227704450,3995237810,2698855400,1723591530,715000000,82000000,121000000,115000000,101000000,220000000,254000000,1449000000,8646000000,9032000000,59268000000,116716000000,158598000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000000,307000000,329000000,453000000,465000000,457000000,445000000,425000000,254000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,64331400,- -,- -,- -,247000000,210000000,220000000,126000000,417000000,550000000,569000000,48000000,24542000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,235571000,302052650,335909450,445261530,373734800,696368790,770000000,854000000,749000000,1003000000,1118000000,1230000000,1315000000,1485000000,1865000000,2217000000,5316000000,- -,- -,1250000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,380278900,387096600,1563613900,4440499340,3136921600,2419960320,1485000000,936000000,1302000000,1635000000,1768000000,2029000000,2451000000,3941000000,11525000000,11722000000,89380000000,116716000000,158598000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299039000000,415747000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,12054504600,11149555100,11869791450,6645604060,6506661600,6065655750,5548000000,5105000000,5812000000,7154000000,7651000000,11079000000,11548000000,20855000000,28036000000,33709000000,142825000000,268304000000,363199000000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,986032900,988269350,992865100,984421750,983351400,- -,3672000000,3672000000,3672000000,3672000000,3672000000,3615000000,3615000000,3615000000,3615000000,3615000000,45303000000,2154000000,382456000000,- -
64,Retained Earnings,- -,- -,- -,- -,-3466259000,-3149558700,-3831745850,-2468626850,-1589904600,- -,348000000,1658000000,2345000000,3852000000,3055000000,3202000000,3673000000,3403000000,3975000000,7630000000,26918000000,42306000000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,275954600,278592250,303210300,305927990,49014400,3031252380,- -,106000000,387000000,497000000,3232000000,5180000000,7180000000,10580000000,12150000000,12248000000,28106000000,64717000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195901000000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,811037300,1173020000,529131700,1865857840,2125999600,3031252380,4020000000,5436000000,6404000000,8021000000,9959000000,11783000000,14418000000,17194000000,19336000000,23086000000,225686000000,305078000000,382456000000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,12865541900,12322575100,12398923150,8511461900,8632661200,9096908130,9568000000,10541000000,12216000000,15175000000,17610000000,22862000000,25966000000,38049000000,47372000000,56795000000,368511000000,573382000000,745655000000,- -
69,Minority Interest,- -,- -,- -,- -,- -,32258050,29726500,42405860,70458200,78774750,81000000,92000000,107000000,144000000,199000000,268000000,351000000,416000000,542000000,793000000,3227000000,4768000000,6399000000,1079114000000
70,Total Liabilities & Equity,- -,- -,- -,- -,12865541900,12354833150,12428649650,8553867760,8703119400,9175682880,9649000000,10633000000,12323000000,15319000000,17809000000,23130000000,26317000000,38465000000,47914000000,57588000000,371738000000,578150000000,752054000000,1079114000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,373925200,357964200,271000000,47042300,-4361428800,354838550,-671818900,1332755600,245072000,882277200,961000000,1405000000,1935000000,2513000000,2685000000,3202000000,3673000000,3403000000,3975000000,7630000000,5294000000,-4396000000,-5715000000,9940000000
74,Depreciation and Amortization,777944380,763023690,833000000,830747000,2089851300,1885629650,1658738700,1499350050,1387720200,1414794510,1289000000,1138000000,1712000000,1556000000,2612000000,2873000000,3243000000,4438000000,6198000000,6928000000,33021000000,57214000000,82218000000,134270000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531000000,167000000,3000000,- -,1463000000,1792000000,1967000000,1692000000,1594000000,3902000000,-2838000000,- -,- -,33317000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-378924200,-105989400,-290000000,-270243000,282685200,-29325500,-211058150,63608790,-110282400,-378118800,-344000000,-205000000,-30000000,16000000,-730000000,-25000000,-1468000000,-3182000000,-2839000000,-1271000000,-8188000000,14981000000,- -,-9120000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-281000000,-476000000,-516000000,-654000000,-1065000000,-1646000000,-2364000000,-2773000000,-2072000000,-4092000000,3262000000,- -,-12854000000
79,Inventory,11997600,29997000,-33000000,- -,- -,- -,- -,- -,- -,-50415840,- -,-38000000,-236000000,-101000000,-108000000,-251000000,-50000000,-1522000000,837000000,-618000000,-11000000,- -,- -,-391000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000000,540000000,376000000,169000000,1411000000,-408000000,1368000000,-1391000000,1067000000,885000000,- -,- -,6640000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,63608790,-110282400,- -,- -,-25000000,-26000000,144000000,-31000000,81000000,-41000000,-211000000,-232000000,-309000000,- -,- -,- -,- -
82,Other Non-Cash Items,477904400,411958800,421000000,515463500,3647985200,-187683200,1406063450,-929899930,873069000,1027222740,882000000,783000000,624000000,1311000000,-1001000000,-703000000,-1694000000,461000000,2437000000,2143000000,15137000000,-67799000000,-76503000000,-38372000000
83,Cash Provided by Operating Activities,1250849780,1426957290,1235000000,1123009800,1659092900,2023459500,2181925100,1965814510,2395578800,2946175650,3319000000,3288000000,4244000000,5396000000,5029000000,7139000000,5721000000,6812000000,11365000000,19332000000,42426000000,- -,- -,130035000000
84,CAPEX,-769945980,-876012390,-802000000,-526473400,-387009500,-161290250,- -,-581566080,-863878800,-1244641050,-1561000000,-1491000000,-2352000000,-3079000000,-3326000000,-4198000000,-9104000000,-8714000000,-11339000000,-11698000000,-42480000000,-49170000000,- -,-76126000000
85,Acquisitions Net,- -,- -,-16000000,-116104400,- -,-5865100,-475624000,- -,- -,- -,-97000000,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3936000000,- -,- -,- -
86,Purchases of Investments,-35992800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-632000000,- -,-339000000,-976000000,-20000000,-2627000000,- -,- -,- -,-39383000000
87,Sales/Maturities of Investments,13997200,- -,- -,- -,- -,- -,- -,- -,45951000,182757420,329000000,245000000,15000000,- -,- -,283000000,- -,- -,- -,- -,7197000000,- -,- -,- -
88,Other Investing Activites,-146970600,-320967900,-270000000,-3002700,77401900,-178885550,-380499200,669406790,15317000,-510460380,-3000000,-2000000,-584000000,-841000000,-848000000,-825000000,-4192000000,-3527000000,-1779000000,-944000000,-2844000000,49355000000,- -,-2149000000
89,Cash Used for Investing Activites,-938912180,-1196980290,-1088000000,-645580500,-309607600,-346040900,-856123200,87840710,-802610800,-1572344010,-1317000000,-1231000000,-2327000000,-3020000000,-3945000000,-3894000000,-9426000000,-9651000000,-11340000000,-14294000000,-31285000000,185000000,- -,-115118000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1629000000,-2020000000,-878000000,-114000000,-63000000,-157000000,-12000000,-31000000,-2936000000,-2986000000,-4512000000,18378000000,- -,-56892000000
91,Common Stock Issued,- -,6999300,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461000000,- -,- -,- -,- -,- -,- -,- -,-59000000
93,Dividends Paid,-255948800,-280971900,-269000000,-213191700,- -,- -,- -,- -,- -,-37811880,-20000000,-19000000,-1053000000,-915000000,-830000000,-981000000,-1299000000,-849000000,-2000000000,-4192000000,-34130000000,- -,- -,-744000000
94,Other Financing Activites,-98980200,381961800,128000000,-370333000,-467776700,-771260650,-594530000,-4389006510,-1534763400,-1537683120,91000000,353000000,99000000,64000000,34000000,192000000,-29000000,3830000000,7764000000,882000000,24045000000,-43421000000,- -,37399000000
95,Cash Used/Provided by Financing Activities,-354929000,107989200,-139000000,-583524700,-467776700,-771260650,-594530000,-4389006510,-1534763400,-1575495000,-1558000000,-1686000000,-1832000000,-965000000,-859000000,-1407000000,-1340000000,2950000000,2828000000,-6296000000,-14597000000,-25043000000,- -,-20296000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,31000000,117000000,226000000,505000000,75000000,222000000,144000000,3830000000,- -,- -,-2737000000
97,Net Change In Cash,-354929000,338066190,8000000,-106095400,878343300,906157950,731271900,-2335351290,61268000,-204814350,444000000,371000000,103000000,1442000000,342000000,2064000000,-4540000000,186000000,3075000000,-1114000000,374000000,14981000000,- -,-8116000000
98,Cash at the End of Period,- -,641035890,649000000,210189000,1305736400,2225805450,2963732050,602769010,661694400,456893550,902000000,1273000000,1376000000,2818000000,3160000000,5224000000,684000000,870000000,3945000000,2831000000,6891000000,- -,- -,19849000000
99,Cash at the Beginning of Period,345930800,302969700,641000000,316284400,427393100,1319647500,2232460150,2938120300,600426400,661707900,458000000,902000000,1273000000,1376000000,2818000000,3160000000,5224000000,684000000,870000000,3945000000,6517000000,- -,- -,27965000000
100,Free Cash Flow,480903800,550944900,433000000,596536400,1272083400,1862169250,2181925100,1384248430,1531700000,1701534600,1758000000,1797000000,1892000000,2317000000,1703000000,2941000000,-3383000000,-1902000000,26000000,7634000000,-54000000,- -,- -,53909000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,0.3364,0.3298,0.3269,0.3175,0.2895,0.2631,0.2519,0.23234,0.20338,0.1534,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189,0.00974
