,https://roic.ai/company/CAAP,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,17680000,27922000,31909000,24763000,21437000,15469000,- -
56,Deferred Tax Liabilities,122207000,145777000,144393000,148301000,271175000,233115000,171289000,227421000
57,Other Non-Current Liabilities,81153000,831717000,1023189000,978185000,848341000,833554000,732646000,750494000
58,Total Non-Current Liabilities,688014000,1955490000,2161176000,2272050000,2172030000,2121327000,2047811000,2004736000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,8927000,13684000,12249000
61,Total Liabilities,1366219000,2437526000,2823952000,3004072000,2622581000,2683629000,2600365000,2847023000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,20000,1500000000,160022000,160022000,163223000,163223000
64,Retained Earnings,-64704000,40786000,74543000,138034000,394156000,403255000,150202000,32689000
65,Other Comprehensive Income/Loss,1179440000,421953000,374587000,-1176251000,33580000,20126000,-1300000,95161000
66,Other Total Stockholders Equity,- -,- -,- -,- -,180486000,180486000,177285000,178658000
67,Total Stockholders Equity,1114756000,462759000,449150000,461783000,768244000,763889000,489410000,469731000
68,Total Liabilities And Stockholders Equity,2480975000,2900285000,3273102000,3465855000,3390825000,3447518000,3089775000,3316754000
69,Minority Interest,351809000,371342000,354174000,335359000,454453000,434725000,315876000,303877000
70,Total Liabilities & Equity,2832784000,3271627000,3627276000,3801214000,3845278000,3882243000,3405651000,3620631000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717393/000114420419020967/tv517979_20f.htm,https://www.sec.gov/Archives/edgar/data/1717393/000110465920044659/tm206795d1_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,105490000,33759000,63491000,7125000,9099000,-253053000,-159780000
74,Depreciation and Amortization,- -,72247000,122882000,138130000,175829000,182270000,200788000,160633000
75,Deferred Income Tax,- -,44969000,56359000,46925000,14101000,17079000,-14295000,69111000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1800000,1020000
77,Change in Working Capital,- -,-171086000,-153830000,-250953000,-79808000,-153419000,34098000,-12255000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,4385000,987000,-909000,-999000,-1395000,2358000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-111250000,-57779000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-49996000,105447000,-47015000,74414000,-74742000,31500000,49229000
83,Cash Provided by Operating Activities,- -,1624000,164617000,-49422000,191661000,-19713000,838000,107958000
84,CAPEX,- -,-8877000,-11239000,-13167000,-15898000,-18077000,-9527000,-8516000
85,Acquisitions Net,- -,-96183000,6998000,- -,-2907000,-4425000,-2170000,-1875000
86,Purchases of Investments,- -,-23475000,-2401000,-51202000,-76671000,-103421000,-54491000,-37120000
87,Sales/Maturities of Investments,- -,- -,11575000,31608000,39406000,110005000,67736000,55207000
88,Other Investing Activites,- -,8123000,20530000,-12401000,-3115000,3772000,-502000,-1416000
89,Cash Used for Investing Activites,- -,-120412000,25463000,-45162000,-59185000,-12146000,1622000,7131000
90,Debt Repayment,- -,-157120000,-142693000,-250276000,-517253000,-95587000,-75445000,-271568000
91,Common Stock Issued,- -,8303000,29512000,6600000,195601000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-28893000,- -,- -,- -,- -
93,Dividends Paid,- -,-76875000,-49733000,-23836000,-14965000,-22482000,-1000,- -
94,Other Financing Activites,- -,445232000,3535000,425360000,270937000,142644000,165987000,267899000
95,Cash Used/Provided by Financing Activities,- -,219540000,-159379000,128955000,-65680000,24575000,90541000,-3669000
96,Effect of Forex Changes on Cash,- -,-14468000,-4762000,5114000,-43532000,-41885000,-7666000,-16668000
97,Net Change In Cash,- -,-63244000,28227000,39485000,23264000,-49169000,85335000,94752000
98,Cash at the End of Period,- -,153889000,182116000,221601000,244865000,195696000,281031000,375783000
99,Cash at the Beginning of Period,- -,217133000,153889000,182116000,221601000,244865000,195696000,281031000
100,Free Cash Flow,- -,-7253000,153378000,-62589000,175763000,-37790000,-8689000,99442000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717393/000114420419020967/tv517979_20f.htm,https://www.sec.gov/Archives/edgar/data/1717393/000110465920044659/tm206795d1_20f.htm,- -,- -
102,false,,,,,,,,
