,https://roic.ai/company/TVTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-4.0207,1.0558,-0.4310,-0.3767,-0.6202,-0.8352,-0.9519,-0.7898
22,Income Tax expense (Gain),- -,- -,- -,75775,-2459748,-11770000,-9679000,1368000,811000,-21000,-19359000,409000
23,Net Income,- -,-23022,-30343856,-33823509,-110937862,117237000,-47903000,-59731000,-102678000,-146427000,-169431000,-180091000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-3.9335,1.1736,-0.3586,-0.3855,-0.6251,-0.8351,-0.8543,-0.7916
25,EPS,- -,-0.22,-8.29,-2.38,-4.43,3.49,-1.29,-1.54,-2.54,-3.46,-3.56,-3.79
26,EPS Diluted,- -,-0.22,-8.29,-2.38,-4.43,3.17,-1.29,-1.54,-2.54,-3.46,-3.56,-3.79
27,Weighted Average Shares Outstanding,- -,106681,3662114,14205264,25057509,33560249,36997865,38769816,40433171,42339961,47539631,47539631
28,Weighted Average Shares Outstanding Diluted,- -,106681,3662114,14205264,25057509,37581439,38288012,38769816,40433171,42339961,47539631,47539631
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438533/000143853321000008/0001438533-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1438533/000143853322000008/0001438533-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3958,11388,5997307,18204282,37805000,41002000,99394000,102873000,62436000,84772000,165753000
32,Short-Term Investments,- -,- -,- -,132994,9556098,191799000,214871000,201236000,368668000,336088000,276817000,387129000
33,Cash and Short-Term Investments,- -,3958,11388,6130301,27760380,229604000,255873000,300630000,471541000,398524000,361589000,552882000
34,Net Receivables,- -,- -,- -,- -,7959411,59307000,65359000,13872000,14490000,18048000,33067000,16161000
35,Inventory,- -,- -,- -,- -,800507,2536000,2826000,5351000,5619000,6082000,7608000,7313000
36,Other Current Assets,- -,- -,21830,1370943,813364,10485000,8294000,5954000,4028000,6410000,8143000,6471000
37,Total Current Assets,- -,3958,33218,7501244,37333662,301932000,332352000,325807000,495678000,429064000,410407000,582827000
38,PP&E,- -,- -,23790,127427,670796,428000,2587000,3230000,3146000,2891000,9418000,34302000
39,Goodwill,- -,- -,- -,- -,935935,936000,936000,936000,936000,936000,936000,936000
40,Intangible Assets,- -,- -,2196710,12586150,94265530,161536000,182043000,184817000,186691000,157200000,153189000,147499000
41,Intangible Assets,- -,- -,2196710,12586150,95201465,162472000,182979000,185753000,187627000,158136000,154125000,148435000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,137547,284058,2265049,47568000,7364000,5556000,7709000,14709000,33489000,11069000
45,Total Non-Current Assets,- -,- -,2358047,12997635,98137310,210468000,192930000,194539000,213482000,175736000,197032000,193806000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3958,2391265,20498879,135470972,512400000,525282000,520346000,709160000,604800000,607439000,776633000
48,Accounts Payable,- -,750,1023320,3553567,7124330,7639000,7522000,18938000,6954000,26614000,12133000,15144000
49,Short-Term Debt,- -,25000,884764,- -,40485452,- -,- -,- -,22457000,- -,- -,3908000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16268000
52,Other Current Liabilities,- -,38463,3890996,31656311,59928769,78159000,75740000,66730000,75210000,68835000,80527000,88768000
53,Total Current Liabilities,- -,64213,5799080,35209878,107538551,85798000,83262000,85668000,104621000,95449000,92660000,124088000
54,Long-Term Debt,- -,- -,- -,- -,43287814,43902000,44422000,45077000,195091000,204861000,215339000,258078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20379000
56,Deferred Tax Liabilities,- -,- -,- -,2600899,141151,24328000,6425000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1000000,21754175,58401000,83406000,96467000,91195000,83294000,88227000,71976000
58,Total Non-Current Liabilities,- -,- -,- -,3600899,65183140,126631000,134253000,141544000,286286000,288155000,303566000,350433000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35405000
61,Total Liabilities,- -,64213,5799080,38810777,172721691,212429000,217515000,227212000,390907000,383604000,396226000,474521000
62,Preferred Stock,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,11,895,1855,2643,4000,4000,4000,4000,4000,5000,6000
64,Retained Earnings,- -,-121256,-33612112,-67435621,-179174858,-65153000,-113056000,-177655000,-270017000,-416444000,-585875000,-765966000
65,Other Comprehensive Income/Loss,- -,- -,- -,-109987,4285553,-682000,-490000,-1015000,-1529000,726000,-902000,-562000
66,Other Total Stockholders Equity,- -,60989,30203402,49231855,137635943,365802000,421309000,471800000,589795000,636910000,797985000,1068634000
67,Total Stockholders Equity,- -,-60255,-3407815,-18311898,-37250719,299971000,307767000,293134000,318253000,221196000,211213000,302112000
68,Total Liabilities And Stockholders Equity,- -,3958,2391265,20498879,135470972,512400000,525282000,520346000,709160000,604800000,607439000,776633000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3958,2391265,20498879,135470972,512400000,525282000,520346000,709160000,604800000,607439000,776633000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438533/000143853321000008/0001438533-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1438533/000143853322000008/0001438533-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-23022,-30343856,-33823509,-110937862,117237000,-47903000,-59731000,-102678000,-146427000,-169431000,-180091000
74,Depreciation and Amortization,- -,- -,124885,215993,5401038,13392000,16135000,17804000,18668000,20408000,24579000,26617000
75,Deferred Income Tax,- -,- -,- -,75775,-2459748,-15573000,-22661000,-6425000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,17562850,1424528,15900456,25900000,29102000,26874000,19774000,21105000,23614000,30766000
77,Change in Working Capital,- -,2000,-5702782,-21942772,-42496255,286338889,32956000,-8951000,150918000,-57442000,-15868000,79979000
78,Accounts Receivable,- -,- -,- -,- -,-7959411,-4504000,-6090000,4945000,152000,-5184000,2301000,-59000
79,Inventory,- -,- -,- -,- -,-282502,-1174000,-306000,-1706000,-2773000,-1958000,-5067000,-1815000
80,Accounts Payable,- -,2000,680865,2842146,20303288,3379000,9672000,2656000,-2708000,9255000,-6036000,2770000
81,Other Working Capital,- -,-60255,-5765862,-27708634,-70204889,216134000,249090000,240139000,391057000,333615000,317747000,43877000
82,Other Non-Cash Items,- -,20333,15622164,36460817,88742621,-427848889,-9225000,37832000,-111640000,104142000,94363000,27937000
83,Cash Provided by Operating Activities,- -,-689,-2736739,-17589168,-45849750,-554000,-1596000,7403000,-24958000,-58214000,-42743000,-14792000
84,CAPEX,- -,- -,-1192867,-5549316,-3964131,-7030000,-11924000,-14009000,-19701000,-15565000,-119845000,-24151000
85,Acquisitions Net,- -,- -,3721,- -,-29150000,-33430000,-500000,- -,-15000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6989742,-18048588,-198530000,-184111000,-102415000,-331345000,-223712000,-214964000,-547076000
87,Sales/Maturities of Investments,- -,- -,- -,8579144,13992947,9977000,159520000,114526000,162755000,259140000,273482000,433604000
88,Other Investing Activites,- -,- -,-1678540,-6878794,-3394490,141403000,36889000,34378000,-18974000,-15370000,-113078000,-19050000
89,Cash Used for Investing Activites,- -,- -,-1699593,-5406425,-37262728,-80602000,10370000,45602000,-203291000,19863000,-61327000,-137623000
90,Debt Repayment,- -,- -,-45236,-884764,-31282972,-45000000,- -,- -,-40203000,- -,- -,- -
91,Common Stock Issued,- -,- -,3475703,30936748,40000000,149487000,- -,- -,- -,- -,131520000,224934000
92,Common Stock Repurchased,- -,- -,- -,-957272,-2257336,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1007200,-113200,88859761,-3720000,-5694000,5445000,272066000,-2077000,-3807000,6749000
95,Cash Used/Provided by Financing Activities,- -,- -,4437667,28981512,95319453,100767000,-5694000,5445000,231863000,-2077000,127713000,231683000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-10000,117000,-58000,-135000,-9000,-1307000,1713000
97,Net Change In Cash,- -,-689,1335,5985919,12206975,19601000,3197000,58392000,3479000,-40437000,22336000,80981000
98,Cash at the End of Period,- -,3958,11388,5997307,18204282,37805000,41002000,99394000,102873000,62436000,84772000,165753000
99,Cash at the Beginning of Period,- -,4647,10053,11388,5997307,18204000,37805000,41002000,99394000,102873000,62436000,84772000
100,Free Cash Flow,- -,-689,-3929606,-23138484,-49813881,-7584000,-13520000,-6606000,-44659000,-73779000,-162588000,-38943000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438533/000143853321000008/0001438533-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1438533/000143853322000008/0001438533-22-000008-index.htm
102,false,,,,,,,,,,,,
