,https://roic.ai/company/GRP-UN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,60663772,69056908,111590241,86831848,76404368,59691906,53237972,43118087,44012805,3684745,44173067,12958532,8896000,3421000,3168000,7021000,1447000,2490000,4528000,19777000,7661000,12208000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4763762,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,49529326,51866645,161611272,66149726,72068232,80259933,1534001,21415426,647314,1267000,5726000,6667000,2673000,2997000,393997000,47218000,3387000,6902000,71808000
37,Total Current Assets,- -,- -,- -,304798329,476519921,404180982,411084877,259561110,301682130,146747924,155772920,70737943,61236000,104667000,126068000,128849000,250659000,465506000,709992000,321841000,845843000,486529000
38,PP&E,1583380531,1693510116,2172374626,2720469845,2796190264,2696741038,2660108525,2339731582,2611814653,1455550674,15224436,35735,1837000,1938000,1746000,1197000,775000,951000,771000,2119000,3290000,2486000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8604376,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,306155297,289587601,127603195,128061908,108807356,- -,- -,24756960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,306155297,289587601,127603195,128061908,108807356,- -,- -,33361337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38533164,- -,1136158000,- -,- -,- -,- -,2733568000,- -,- -,- -,- -
43,Tax Assets,16773407,17023042,41017073,55525956,53350411,71244984,60655426,58098730,75652371,10313935,3596575,1296670,3924000,8173000,7206000,7776000,6399000,5742000,5301000,4057000,4730000,4452000
44,Other Non-Current Assets,- -,- -,- -,26232363,38708125,34900925,29757872,104928323,151378979,395883380,1698150661,1178239105,15050000,2353855000,2312738000,2594015000,2653809000,666000,3472691000,4475939000,5893609000,8073230000
45,Total Non-Current Assets,- -,- -,- -,3108383461,3177836401,2930490142,2878583731,2611565991,2838846003,1861747988,1788866173,1179571510,1156969000,2363966000,2321690000,2602988000,2660983000,2740927000,3478763000,4482115000,5901629000,8080168000
46,Other Assets,2339780813,2635355732,3649260026,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2339780813,2635355732,3649260026,3413181790,3654356322,3334671124,3289668608,2871127101,3140528133,2008495912,1944639092,1250309453,1218205000,2468633000,2447758000,2731837000,2911642000,3206433000,4188755000,4803956000,6747472000,8566697000
48,Accounts Payable,109497989,167602062,191278665,166605048,212485934,195566417,183318092,145647193,159414830,22652961,70764320,4555702,5558000,5828000,4608000,4601000,5660000,5676000,5352000,6840000,9876000,5400000
49,Short-Term Debt,- -,- -,- -,8683386,54789091,79723034,108015869,71730188,265257320,230362,15327452,- -,- -,53180000,63477000,40250000,- -,32552000,- -,619000,250699000,505000
50,Tax Payable,- -,- -,1424751,- -,- -,- -,- -,- -,12617856,11208158,24294887,20766119,12904000,6652000,14421000,7821000,11289000,16273000,19519000,15402000,18373000,29943000
51,Deferred Revenue,- -,- -,- -,25072699,35383933,15395117,9686818,6129669,11400856,5489945,6377020,3613319,5839000,5194000,5299000,7061000,5489000,3965000,4290000,5804000,11276000,12099000
52,Other Current Liabilities,- -,- -,- -,3333026,7101232,47317888,8256958,30993369,52812932,11208158,24294887,30703512,33810000,42593000,55489000,51262000,47320000,73554000,74992000,71826000,95276000,139549000
53,Total Current Liabilities,- -,- -,- -,203694159,309760190,338002455,309277736,254500418,488885938,39581427,116763679,38872533,45207000,106795000,128873000,103174000,58469000,115747000,84634000,85089000,367127000,157553000
54,Long-Term Debt,127408017,147441228,297700447,513425086,815405381,730479553,632076593,574356051,462478255,264899546,264354290,264271556,263589000,503926000,512296000,523774000,646768000,647306000,1198414000,1219420000,1961196000,2457497000
55,Deferred Revenue,5488170,12775640,19556079,- -,- -,- -,- -,- -,- -,- -,- -,4004362,4782000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,141180924,210924614,305173696,213020797,204101310,173007553,164922044,143037572,130478221,39605510,66561648,30342078,27626000,166622000,155708000,207966000,238251000,244052000,303965000,320972000,392841000,604667000
57,Other Non-Current Liabilities,- -,- -,- -,1006,1,14949692,18402051,25675404,45869947,- -,4340694,- -,- -,14780000,14638000,38136000,18418000,61466000,104757000,30365000,104104000,25446000
58,Total Non-Current Liabilities,274077111,371141481,622430222,726446889,1019506692,918436797,815400688,743069027,638826423,304505057,335256632,298617996,295997000,685328000,682642000,769876000,903437000,952824000,1607136000,1570757000,2458141000,3087610000
59,Other Liabilities,659658541,916822874,1545084509,1452893780,- -,- -,- -,1486138054,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33045000,33773000,32150000
61,Total Liabilities,385581430,545681393,922654287,930141049,1329266881,1256439252,1124678424,997569446,1127712361,344086484,452020312,337490529,341204000,792123000,811515000,873050000,961906000,1068571000,1691770000,1655846000,2825268000,3245163000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1595732233,1524197833,1553035953,2117256000,2121412000,2124202000,2124198000,2128378000,2118460000,2063778000,2608050000,3139194000,3444418000
64,Retained Earnings,- -,- -,- -,-64173103,-96090048,-115593705,-80556378,-57872370,-109136909,-200173060,-266577646,-863531170,-898526000,-608671000,-642099000,-557092000,-395330000,-160686000,124501000,367249000,631649000,1748958000
65,Other Comprehensive Income/Loss,- -,- -,- -,143662426,225585343,124226556,193954480,239603539,186175443,207516372,175969151,164467785,-404784000,97061000,86457000,220500000,153734000,118566000,211452000,116190000,95900000,71951000
66,Other Total Stockholders Equity,1954199383,2089674339,- -,- -,- -,- -,- -,- -,- -,61333883,59029443,58846356,63055000,61425000,61425000,61425000,61425000,60274000,95787000,54654000,53326000,53326000
67,Total Stockholders Equity,1954199383,2089674339,2254766140,2116387630,2020074093,1841387765,1955056107,1718707481,1966575857,1664409428,1492618781,912818924,877001000,1671227000,1629985000,1849031000,1948207000,2136614000,2495518000,3146143000,3920069000,5318653000
68,Total Liabilities And Stockholders Equity,2339780813,2635355732,3177420427,3046528679,3349340974,3097827017,3079734531,2716276927,3094288218,2008495912,1944639092,1250309453,1218205000,2463350000,2441500000,2722081000,2910113000,3205185000,4187288000,4801989000,6745337000,8563816000
69,Minority Interest,- -,- -,471839599,366653111,305015348,236844107,209934077,154850174,46239915,0,- -,- -,- -,5283000,6258000,9756000,1529000,1248000,1467000,1967000,2135000,2881000
70,Total Liabilities & Equity,2339780813,2635355732,3649260026,3413181790,3654356322,3334671124,3289668608,2871127101,3140528133,2008495912,1944639092,1250309453,1218205000,2468633000,2447758000,2731837000,2911642000,3206433000,4188755000,4803956000,6747472000,8566697000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,52866472,16608971,-41941178,-10218040,7618160,69783909,39128367,-3913872,-44280812,-52020322,159068737,71337000,145031000,70213000,193334000,279325000,357702000,465156000,382079000,429804000,1309937000
74,Depreciation and Amortization,- -,58481385,53570621,82968315,87114324,89321638,97554587,82375090,107636348,50610531,50445070,44064318,42773000,454000,621000,720000,707000,335000,300000,906000,1151000,1320000
75,Deferred Income Tax,- -,- -,- -,-73432295,- -,1036661,- -,- -,- -,- -,11012762,-3548996,-5127000,-31335000,8492000,36156000,47625000,13418000,52651000,42667000,69092000,240567000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402544,2056294,1616000,2105000,3698000,-89000,3682000,4912000,3944000,7484000,8116000,12442000
77,Change in Working Capital,- -,- -,- -,25928353,28841742,9551664,-9490700,36743112,-7959180,3521397,30135821,-8458985,2967000,293000,-6156000,665000,-41000,-7597000,3777000,-2945000,16641000,-1416000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,11247514,-18903296,30859937,-4051328,2945000,1304000,136000,-1458000,2723000,-1191000,-1626000,-3670000,10141000,-4119000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234037,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-1,28841742,-1502060,-9490700,36743112,4488296,380097,-3344535,4990648,-6393000,-533000,42000,593000,-649000,-1363000,90000,2270000,5595000,191000
82,Other Non-Cash Items,- -,12385604,-26196518,119707113,-23614000,-24729061,-95955627,-82514696,8381479,100075535,45841333,-76833313,3080000,11346000,15995000,-70942000,-171307000,-210093000,-367940000,-246760000,-280483000,-1300586000
83,Cash Provided by Operating Activities,- -,123733462,43983073,113230309,82124026,82799062,61892169,75731873,104144775,109926652,88817208,116348055,116646000,127894000,92863000,159844000,159991000,158677000,157888000,183431000,244321000,262264000
84,CAPEX,- -,-138561163,-420734348,-279711538,-270827645,-253862125,-147436542,-107172976,-82281370,-23067613,-15292446,-51398161,-1841000,-29526000,-44159000,-26734000,-19509000,-83693000,-581183000,-961350000,-1110946000,-926490000
85,Acquisitions Net,- -,-38129513,-230327850,- -,- -,- -,189328702,- -,- -,- -,- -,- -,- -,-233363000,-75149000,- -,- -,-153979000,-33086000,- -,-7006000,-26012000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56618791,-13806209,- -,- -,- -,- -,-5990000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11132767,22699631,- -,4973000,7870000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,89474052,19091657,-2232755,26830995,35469190,99233594,8995565,38168771,-32701980,-4496719,-49807443,-28933000,-27423000,95734000,-14633000,12004000,-83315000,676953000,54960000,-12466000,-72922000
89,Cash Used for Investing Activites,- -,-87216624,-631970540,-281944294,-243996650,-218392936,141125753,-98177411,-44112599,-101255617,-10895743,-101205604,-25801000,-253589000,20127000,-20787000,11779000,-237847000,95861000,-876094000,-1066822000,-1025424000
90,Debt Repayment,- -,-53582863,-24946516,- -,- -,- -,- -,- -,-90224729,-24784857,-180383857,-53269654,-42000000,-78692000,-319965000,-52719000,-421183000,-90142000,-279768000,-598000,-638000,-254711000
91,Common Stock Issued,- -,- -,- -,- -,1805364,3032084,1364820,1048037,- -,- -,- -,7386935,956000,3116000,1781000,- -,1611000,- -,- -,502003000,552932000,303060000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-51569192,-12170,- -,- -,- -,-2694000,- -,- -,-3000,-1000,-12046000,-63530000,-71000,-25018000,- -
93,Dividends Paid,- -,- -,- -,- -,-20842838,-30272901,-33779286,-28554265,-34106425,-29344978,-23357737,-38332424,-93822000,-90331000,-103205000,-108327000,-113095000,-122637000,-125131000,-150607000,-163064000,-191082000
94,Other Financing Activites,- -,18777404,695506543,200965124,367894514,16850237,-66765096,-1967438,85466259,19337843,77089332,38407978,41590000,328036000,330676000,17091000,492707000,119587000,792612000,-7202000,993985000,476208000
95,Cash Used/Provided by Financing Activities,- -,-34805459,670560027,200965124,348857041,-10390580,-99179562,-81042857,-38877065,-34791992,-126652261,-45807165,-95970000,162129000,-90713000,-143958000,-39961000,-105238000,324183000,343525000,1358197000,333475000
96,Effect of Forex Changes on Cash,- -,3355894,-2731428,13139837,5112526,-6852150,4323596,9014512,-19906469,5481569,-1033165,596264,-710000,8013000,-1564000,7823000,-4749000,7212000,11295000,-10431000,-3093000,918000
97,Net Change In Cash,- -,5067272,79841132,45389970,192097945,-152836605,108161957,-94473882,1248642,-20639388,-49763961,-30068450,-5835000,44447000,20713000,2922000,127060000,-177196000,589227000,-359569000,532603000,-428767000
98,Cash at the End of Period,- -,70325717,149386276,168437156,348248908,182877805,291697179,153365370,189713262,141529177,85420665,57132097,51073000,95520000,116233000,119155000,246215000,69019000,658246000,298677000,831280000,402513000
99,Cash at the Beginning of Period,- -,65258444,69545144,123047186,156150963,335714409,183535222,247839253,188464620,162168565,135184626,87200547,56908000,51073000,95520000,116233000,119155000,246215000,69019000,658246000,298677000,831280000
100,Free Cash Flow,- -,-14827702,-376751275,-166481230,-188703620,-171063064,-85544374,-31441103,21863405,86859039,73524762,64949894,114805000,98368000,48704000,133110000,140482000,74984000,-423295000,-777919000,-866625000,-664226000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
