,https://roic.ai/company/HSTO,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1383701/000119312514121420/0001193125-14-121420-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000119312515091168/0001193125-15-091168-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459016014564/0001564590-16-014564-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459017004617/0001564590-17-004617-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459018004914/0001564590-18-004914-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459019007030/0001564590-19-007030-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459020010122/0001564590-20-010122-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459021012536/0001564590-21-012536-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459022009664/0001564590-22-009664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-15616492,-22319891,-24148626,-29733440,-17396410,-18010000,-11385000,-18769000,-15009000
74,Depreciation and Amortization,10446,-538900,67860,105840,108300,91000,145000,98000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,257451,2330660,3315943,3353456,4098392,3757000,438000,618000,- -
77,Change in Working Capital,- -,-20387956,813909,6385130,10189110,-22176680,-8939000,-14351000,13664000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,140000,-34000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,678000,-396000,- -
80,Accounts Payable,407089,1499601,-581218,2856020,6638056,-5760000,493000,-881000,- -
81,Other Working Capital,54081487,33693531,34507440,40892570,51081680,28905000,19966000,5615000,19279000
82,Other Non-Cash Items,4716878,22655932,-2595276,46886014,-30209432,1481680,18450000,20350000,1345000
83,Cash Provided by Operating Activities,-10631717,-18260155,-22546190,26997000,-33210040,-34857000,-1291000,-12054000,- -
84,CAPEX,-3910,-242681,-88524,-109553,-25506,-66000,-152000,-49000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,11018000,- -
86,Purchases of Investments,- -,-29639190,-58365836,-40904650,-132925286,-39637000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-48392797,54072000,62574000,44597003,93079542,69685000,- -,- -,- -
89,Cash Used for Investing Activites,-48396707,24190129,4119640,3582800,-39871250,29982000,-152000,10969000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-32000,-507000,- -
91,Common Stock Issued,41393,- -,22305226,13521913,30609789,- -,- -,5098000,- -
92,Common Stock Repurchased,-4158953,-9912674,22389960,13627520,19576720,479000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,63268846,9736421,-22305226,-13521913,-19109789,-118000,513000,1192000,- -
95,Cash Used/Provided by Financing Activities,59151286,-176253,22389960,13627520,31076720,361000,481000,5783000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,122862,5753721,3963420,44207320,-42004570,-4514000,-962000,4698000,- -
98,Cash at the End of Period,4158953,9912674,3963420,58083410,16078840,11564840,2075000,6773000,- -
99,Cash at the Beginning of Period,4036091,4158953,- -,13876090,58083410,16078840,3037000,2075000,6773000
100,Free Cash Flow,-10635627,-18502836,-22634710,26887450,-33235550,-34923000,-1443000,-12103000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1383701/000119312514121420/0001193125-14-121420-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000119312515091168/0001193125-15-091168-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459016014564/0001564590-16-014564-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459017004617/0001564590-17-004617-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459018004914/0001564590-18-004914-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459019007030/0001564590-19-007030-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459020010122/0001564590-20-010122-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459021012536/0001564590-21-012536-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459022009664/0001564590-22-009664-index.htm
102,false,,,,,,,,,
