,https://roic.ai/company/JKS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481513/000119312511107730/d20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420412022455/v306822_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420413025236/v342779_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420414023526/v373516_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420415023130/v404971_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420416095266/v435663_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420417017271/0001144204-17-017271-index.html,https://www.sec.gov/Archives/edgar/data/1481513/000114420418022061/tv490765_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420419019055/tv516936_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000110465920050992/jks-20191231x20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27242191,27323587,152479597,521204802,433850961,279130015,456076191,1777020667,3683664081,2501417491,1928302849,3104916803,5653853691,7481678114
32,Short-Term Investments,- -,- -,50462300,34705845,494215034,722461319,734093262,132875725,29427066,71301081,2684530,- -,1170817846,570000000
33,Cash and Short-Term Investments,27242191,27323587,202941897,555910647,928065995,1001591334,1190169453,1909896392,3713091147,2572718572,1930987379,3104916803,6824671537,8051678114
34,Net Receivables,168762091,187739948,343522876,1013905876,1714142588,2131086656,2736725751,4099290658,4707228099,8273966579,8425095109,8522399677,8352902686,8217670493
35,Inventory,172134867,272030481,245192398,819514531,798075329,527962378,712029215,1891148051,3203325042,4473514697,4273729991,5743327938,5818788985,8376935829
36,Other Current Assets,30330912,41886382,178993233,805143091,1168189828,324968790,703798209,2506984460,2970945710,4375096553,4978043900,5483615418,10691883495,9035847039
37,Total Current Assets,398470061,528980398,970650404,3194474145,4608473740,3985609158,5342722628,10407319561,14594589998,19695296401,19607856379,22854259836,31688246703,33682131475
38,PP&E,57479350,352929483,741481449,1938978220,3840798972,3902675226,4617184182,7604255379,10945394169,5284946287,7396785793,10514368945,13144246566,15131044145
39,Goodwill,- -,- -,45645832,45645832,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6961969,165509635,228656641,262809696,371699318,372122813,377853979,404270928,439663419,471237322,495011583,610306596,634317506,796799232
41,Intangible Assets,6961969,165509635,274302473,308455528,371699318,372122813,377853979,404270928,439663419,471237322,495011583,610306596,634317506,796799232
42,Investments,- -,- -,- -,- -,- -,35183709,123686539,103118031,116787142,7200000,22321863,25531136,278021287,194257539
43,Tax Assets,- -,- -,- -,328103,- -,- -,- -,102123906,125843595,134791362,275372108,338069324,271286263,255107432
44,Other Non-Current Assets,96368418,230600932,256215012,438109795,355427311,76729415,149777743,466548629,922270181,497168381,839056942,1510646072,1828599028,3173035047
45,Total Non-Current Assets,160809737,749040050,1271998934,2685871646,4567925601,4386711163,5268502443,8680316873,12549958506,6395343352,9028548289,12998922073,16156470650,19550243395
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,559279798,1278020448,2242649338,5880345791,9176399341,8372320321,10611225071,19087636434,27144548504,26090639753,28636404668,35853181909,47844717353,53232374870
48,Accounts Payable,8721314,23985326,99932826,355011660,340998588,1377372203,1767736682,3149210336,3784783463,4290070506,4663530987,5327791996,4988939566,4450608676
49,Short-Term Debt,33625199,150000000,657727269,1743298425,4149498025,3708457086,4223799714,5059310267,7324001224,10709135011,11887193532,13185362530,16833475914,19725592776
50,Tax Payable,- -,- -,- -,92200131,121539092,26548657,41657124,153616334,195608628,252581596,117680118,150329382,487401464,112429498
51,Deferred Revenue,- -,- -,- -,- -,85523982,121031162,147583274,423088515,15629000,- -,37399944,910086,748615,- -
52,Other Current Liabilities,268575668,307345289,189067308,843602803,1066566007,1031583006,1097994627,1891755433,4110493449,3363451376,3374292394,5627121729,9454065072,7040594169
53,Total Current Liabilities,310922181,481330615,946727403,2941912888,5642586602,6238443457,7237114297,10523364551,15234907136,18362656893,19962416857,24141186341,31277229167,31216795621
54,Long-Term Debt,- -,- -,348750000,269250000,543277235,650581668,1162000000,3296898645,5483968436,488519559,678279279,2592718062,3177427632,7891862605
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2779473,2481027,- -,- -,- -,2572785,11379810,50650530,70121943,25893228,250733941,328713193
57,Other Non-Current Liabilities,61663685,406340270,1500000,1500000,85361926,109483789,191497186,1731981199,2062495833,728599774,1236323547,639406338,698300088,804241468
58,Total Non-Current Liabilities,61663685,406340270,353029473,273231027,628639161,760065457,1353497186,5031452629,7557844079,1267769863,1984724769,3258017628,4126461661,9024817266
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338412288,1130680919,910900340
61,Total Liabilities,372585866,887670885,1299756876,3215143915,6271225763,6998508914,8590611483,15554817180,22792751215,19630426756,21947141626,27399203969,35403690828,40241612887
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7707,7809,9566,13832,13200,13202,15574,17560,17711,17881,18604,21727,24767,26052
64,Retained Earnings,74675654,243053372,233758692,1123098703,1217457158,-325021804,-142897904,463151264,1047044597,2758267275,2849339968,3202528312,3981660004,4216350412
65,Other Comprehensive Income/Loss,-1577144,-10853358,-54694338,- -,178849753,179277653,197798641,263779123,364345312,571037030,540181851,640477101,752658935,563393058
66,Other Total Stockholders Equity,102647642,158141740,763818542,1542089341,1498870404,1510853243,1954826513,2780149376,2910460626,3131386700,3299732832,3996864174,4568974309,5208074752
67,Total Stockholders Equity,175753859,390349563,942892462,2665201876,2895190515,1365122294,2009742824,3507097323,4321868246,6460708886,6689273255,7839891314,9303318015,9987844274
68,Total Liabilities And Stockholders Equity,548339725,1278020448,2242649338,5880345791,9166416278,8363631208,10600354307,19061914503,27114619461,26091135642,28636414881,35239095283,44707008843,50229457161
69,Minority Interest,10940073,- -,- -,- -,9983063,8689113,10870764,25721931,29929043,-495889,-10213,614086626,3137708510,3002917709
70,Total Liabilities & Equity,559279798,1278020448,2242649338,5880345791,9176399341,8372320321,10611225071,19087636434,27144548504,26090639753,28636404668,35853181909,47844717353,53232374870
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481513/000119312511107730/d20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420412022455/v306822_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420413025236/v342779_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420414023526/v373516_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420415023130/v404971_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420416095266/v435663_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420417017271/0001144204-17-017271-index.html,https://www.sec.gov/Archives/edgar/data/1481513/000114420418022061/tv490765_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420419019055/tv516936_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000110465920050992/jks-20191231x20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,76045545,218719958,85409632,881873227,273342819,-1542422068,188011825,673025055,683751534,1826709975,141705689,406478694,898662226,230384653
74,Depreciation and Amortization,1619101,15544260,46090126,100885266,269628161,335604559,363237794,441736101,630659475,788390184,616053698,817277504,978948514,1383202096
75,Deferred Income Tax,- -,- -,-1342038,8110198,4209187,-518086,910065,-170760020,-6554493,22048774,-7507742,-106925932,291623774,94158083
76,Stock Based Compensation,- -,- -,- -,24128751,9879124,17343110,17992206,42689995,112714385,203269631,64867902,29307903,4578315,922868
77,Change in Working Capital,-74191257,-528872286,-261514974,-767866629,-1649141819,553679625,-205237749,-1099530600,-469675067,-4329806336,-1199583063,-788234678,-1227423394,-3129829363
78,Accounts Receivable,-228368,-90427849,-143616567,-373984543,-1340304800,-897969098,763210,-1518225126,49993499,-3039995017,-472740459,532112402,323751911,451673786
79,Inventory,-162655366,-249181987,46504747,-603924606,-180222899,-62224526,-347795326,-1255054117,-1410968951,-2001046682,-114224770,-1690466292,-209819715,-2822713480
80,Accounts Payable,10675039,17612737,66469936,282452726,25056512,991337723,385386974,1380031845,591977556,795468163,395689004,647009092,220281418,-389250096
81,Other Working Capital,- -,- -,- -,92200131,-108969261,-9826997,26552112,275721519,873434523,231344767,-645264947,343952588,1278611123,-816941991
82,Other Non-Cash Items,68025,50779575,55060432,-16717763,293947785,1352563803,260174928,299907027,388153694,-313579968,207370822,256642315,464253488,2012648003
83,Cash Provided by Operating Activities,3541414,-243828493,-76296822,230413050,-798134743,716250943,625089069,187067558,1339049528,-1802967740,-177092694,614545806,1410642923,591486340
84,CAPEX,-154108555,-427781413,-285554645,-1346218602,-2134333863,-241659445,-1006501568,-3015673829,-3050998815,-4208258787,-2602900416,-2593252228,-3716852476,-4145976570
85,Acquisitions Net,4484990,91951777,-69248833,- -,- -,-40784599,-86502516,-139047885,-65235668,-643208320,-1431120,11760083,-96758225,28646590
86,Purchases of Investments,- -,- -,-50400000,- -,-459509189,-1391451906,-1739243853,-244500000,-39323880,-171321196,-191646751,-600000000,- -,-570000000
87,Sales/Maturities of Investments,- -,- -,- -,15816513,- -,1163205621,1727611910,132500000,114248971,62274418,260263302,602684530,- -,- -
88,Other Investing Activites,-87670915,-96847977,-37737451,-260429487,41255018,6429422,-195227016,-906050325,-330949924,-2062911688,64392763,-1497862995,-2254485334,-245925603
89,Cash Used for Investing Activites,-167973565,-333753025,-400157058,-1552545215,-2433671124,-500772189,-1286122774,-4158754486,-3314637733,-6908979750,-2433193432,-3934825126,-6025288715,-4918689701
90,Debt Repayment,-2562673,-129271420,-733220776,-2080551297,-4920894805,-4600565060,-3769138668,-3984432151,-7143671191,-16267355505,-17507567331,-12499219570,-15654584053,-25589782711
91,Common Stock Issued,97198495,- -,- -,- -,- -,- -,413004026,770201158,- -,- -,- -,663235987,488950795,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-56857774,- -,- -,- -,- -,- -,- -,- -,- -,-29294325
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,88612982,710792126,1334509627,3777368507,8130173661,4229856738,4197214920,8517923915,10994303657,23722416738,19617325790,15808591857,22547451271,31916355591
95,Cash Used/Provided by Financing Activities,183248804,581520706,601288851,1696817210,3152421082,-370708322,841080278,5303692922,3850632466,7455061233,2109758459,3972608274,7381818013,6297278555
96,Effect of Forex Changes on Cash,-82484,-3857792,321039,-5959840,-7969056,508622,-3100397,-11061518,31599153,74639667,-72586975,68323815,24758635,-169261838
97,Net Change In Cash,18734169,81396,125156010,368725205,-87353841,-154720946,176946176,1320944476,1906643414,108826359,-573114642,720652769,2791930856,1800813356
98,Cash at the End of Period,27242191,27323587,152479597,521204802,433850961,279130015,456076191,1777020667,3683664081,2501417491,1928302849,3482027573,6273958429,8074771785
99,Cash at the Beginning of Period,8508022,27242191,27323587,152479597,521204802,433850961,279130015,456076191,1777020667,2392591132,2501417491,2761374804,3482027573,6273958429
100,Free Cash Flow,-150567141,-671609906,-361851467,-1115805552,-2932468606,474591498,-381412499,-2828606271,-1711949287,-6011226527,-2779993110,-1978706422,-2306209553,-3554490230
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481513/000119312511107730/d20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420412022455/v306822_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420413025236/v342779_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420414023526/v373516_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420415023130/v404971_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420416095266/v435663_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420417017271/0001144204-17-017271-index.html,https://www.sec.gov/Archives/edgar/data/1481513/000114420418022061/tv490765_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000114420419019055/tv516936_20f.htm,https://www.sec.gov/Archives/edgar/data/1481513/000110465920050992/jks-20191231x20f.htm,- -
102,Forex Rate,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
