,https://roic.ai/company/RCEL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-1937711,-1285563,184419,-2289632,-563078,-812059,-1535399,-1121724,-1544363,- -,-4984436,- -,-8885197,-12777830,-11661082,-4138790,-5115450,-1920484,-7767699,-7385618,-4846245,-5451453,-5808477,-8845652,-12134838,-24624077,-42030000,-26583000
24,Net Income ratio,-Infinity,-Infinity,Infinity,-Infinity,-0.9659,-Infinity,-Infinity,-Infinity,-7.9476,- -,-12.8108,- -,-10.0581,-16.1542,-9.6995,-2.1103,-2.2275,-0.5758,-2.2642,-2.8749,-1.9184,-2.5844,-7.7624,-9.7499,-13.7790,-4.5631,-2.9468,-0.9094
25,EPS,-8.15,-5.17,-0.74,-9.15,-2.07,-1.32,-0.77,-0.55,-1.92,- -,-2.96,- -,-3.43,-3.24,-16.51,-3.75,-3.93,-1.53,-2.79,-2.08,-1.26,-1.31,-1.14,-1.17,-1.29,-1.95,-2.07,-1.17
26,EPS Diluted,-8.15,-5.17,-0.74,-9.15,-2.07,-1.32,-0.77,-0.55,-1.92,- -,-2.96,- -,-3.43,-3.24,-16.51,-3.75,-3.93,-1.53,-2.79,-2.08,-1.26,-1.31,-1.14,-1.17,-1.29,-1.95,-2.07,-1.17
27,Weighted Average Shares Outstanding,9203,9426,9426,9426,249697,614530,1992050,1996899,806031,- -,1682628,- -,2586879,3943108,706448,1103068,1273008,1360683,2810748,3546230,3838904,4166695,5719084,7653326,9366022,12666541,20290966,22674313
28,Weighted Average Shares Outstanding Diluted,9203,9426,9426,9426,249697,614530,1992050,1996899,806031,- -,1682628,- -,2586879,3943108,706448,1103068,1273008,1360683,2810748,3546230,3838904,4166695,5719084,7653326,9366022,12666541,20290966,22674313
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1762303/000119312520233145/0001193125-20-233145-index.htm,https://www.sec.gov/Archives/edgar/data/1762303/000156459021045962/0001564590-21-045962-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2211723,- -,2538906,- -,6365539,10439815,8098534,2806198,3285431,13540196,8423146,9688939,3434943,189940,3115482,2912805,10890716,20298268,73639000,110746000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382698,322820,169974,67332,- -,- -,- -,- -,537050,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2211723,- -,2538906,- -,6365539,10439815,8481232,3129018,3455405,13607528,8423146,9688939,3434943,189940,3652532,2912805,10890716,20298268,73639000,110746000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,376339,- -,205232,- -,626551,723491,1081625,530452,810057,1386676,1496177,1109158,2397932,1154675,1509614,1591103,3994239,2087082,2432000,7883000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,29450,- -,50929,- -,535474,358656,715185,712889,656372,680772,732354,695205,736472,455995,1023555,797260,849060,740793,1125000,1647000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,147816,- -,323955,- -,424927,250254,251957,205246,123183,176412,141065,171191,184037,2271915,168227,293568,628602,1090795,1191000,1054000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2765329,- -,3119022,- -,7952490,11772217,10530000,4577605,5045016,15851388,10792741,11664493,6753383,4072525,6353928,5594735,16362617,24216938,78387000,121330000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,194562,- -,193308,- -,400883,271030,371374,124735,96289,75283,89088,115927,131622,102387,70564,297682,545495,1287584,3710000,2938000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5543906,- -,5856758,- -,4724255,- -,4221054,3069122,2714391,2762636,74708,- -,- -,- -,- -,- -,- -,224582,364000,472000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5543906,- -,5856758,- -,4724255,- -,4221054,3069122,2714391,2762636,74708,- -,- -,- -,- -,- -,- -,224582,364000,472000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,56085,- -,- -,- -,- -,- -,382698,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,0,- -,- -,- -,- -,-38590,- -,-0,- -,- -,- -,- -,- -,- -,- -,0,1000,761000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5794553,- -,6050066,- -,5125138,271030,4975127,3355268,2810680,2837919,163795,115927,131622,102387,70564,297682,545495,1512166,4075000,4171000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,8559882,- -,9169089,- -,13077628,12043247,15505126,7932873,7855696,18689307,10956536,11780420,6885005,4174911,6424492,5892418,16908113,25729104,82462000,125501000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,77017,- -,302870,- -,1272844,380880,704519,254842,311319,722214,1029906,886791,415139,803493,1151641,760797,199745,475604,4333000,3120000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,36265,- -,10139,- -,- -,- -,31892,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,124797,- -,198261,- -,656546,686315,1393188,690691,721572,812897,1172535,1352110,1266576,137066,155519,1195747,2652761,3925270,3376000,4270000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,238079,- -,511270,- -,1929390,1067195,2129599,945533,1032891,1535111,2202441,2238901,1681715,940559,1307160,1956543,2852506,4400875,7709000,7390000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,75357,- -,- -,- -,- -,- -,417505,- -,- -,- -,- -,- -,- -,- -,- -,- -,98684,37858,- -,878000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427679,435000,1075000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54873,2847066,- -,- -,- -,- -,- -,- -,- -,- -,- -,1917000,503000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,75357,- -,- -,- -,- -,- -,417505,54873,2847066,- -,- -,- -,- -,- -,- -,- -,98684,465537,2352000,2456000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,150714,- -,- -,- -,- -,- -,835009,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98684,37858,1917000,878000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,313436,- -,511270,- -,1929390,1067195,2547103,1000406,3879957,1535111,2202441,2238901,1681715,940559,1307160,1956543,2951190,4866412,10061000,9846000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,16957212,- -,25887721,- -,45494347,62845902,83068780,70071602,75534132,108755770,104041897,101701936,104922072,89773069,94291881,103591755,119592322,143064598,3000,3000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-9937172,- -,-18758728,- -,-36374192,-54354241,-72972828,-65694081,-74184834,-95212476,-98938365,-94896306,-100365459,-87022074,-90441503,-101603258,-109155130,-128689460,-194913000,-221496000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,1226406,- -,1528826,- -,2028084,2484391,2862071,2554946,2626442,3610901,3650564,2735889,646677,483358,1266954,1947378,3519731,6487554,8000000,8259000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,-0,- -,- -,0,-0,-0,-0,- -,0,0,-0,0,-0,0,-0,- -,259311000,328889000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,8246446,- -,8657819,- -,11148238,10976052,12958023,6932467,3975740,17154196,8754096,9541519,5203290,3234352,5117332,3935874,13956923,20862692,72401000,115655000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,8559882,- -,9169089,- -,13077628,12043247,15505126,7932873,7855696,18689307,10956536,11780420,6885005,4174911,6424492,5892418,16908113,25729104,82462000,125501000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,-0,- -,- -,-0,-0,- -,-0,0,0,-0,-0,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,8559882,- -,9169089,- -,13077628,12043247,15505126,7932873,7855696,18689307,10956536,11780420,6885005,4174911,6424492,5892418,16908113,25729104,82462000,125501000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1762303/000119312520233145/0001193125-20-233145-index.htm,https://www.sec.gov/Archives/edgar/data/1762303/000156459021045962/0001564590-21-045962-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1937711,-1285563,184419,-2289632,-563078,-812059,-1535399,-1121724,-1544363,- -,-4984436,- -,-8885197,-12777830,-11661082,-4138790,-5115450,-1920484,-7767699,-7385618,-4846245,-5451453,-5808477,-8845652,-12134838,-24624077,-42030000,-26583000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,77460,262000,111833,- -,702813,- -,745937,852621,221965,491494,517571,650877,521931,66620,63711,62624,- -,139703,105448,264730,465000,715000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1946728,16486000,5664000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527250,80503,3415348,4681921,-2304621,-4768329,380053,10304152,-5725977,835292,-4353924,-1939702,1914802,-1408576,9871919,6305953,50861936,-7013000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-729000,-1399000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86929,68677,-468000,-745000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2308000,-1333000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527250,2607753,6023101,10705022,8400401,3632072,4012125,14316277,8590300,9425592,5071668,3131966,5046768,3638192,13510111,19816064,70678000,1221000
82,Other Non-Cash Items,1179711,753563,-868007,2289632,291415,812059,644700,279970,-466384,- -,-4271373,-80503,-5106687,-1730121,10052458,3728175,2598763,-11959219,8705587,-765696,2211520,921095,-4044883,1557001,-9869285,-3142611,-48529936,1316000
83,Cash Provided by Operating Activities,-758000,-532000,-683588,- -,-271663,- -,-813239,-579754,-1898914,- -,-6025747,- -,-9830599,-8973408,-3691281,-4687450,-1619063,-2924673,-4266157,-7249403,-6924939,-6407437,-7938557,-8557524,-12026757,-19249278,-22747000,-25901000
84,CAPEX,- -,- -,- -,- -,- -,- -,-101513,-7336,-27643,- -,-146786,- -,-135439,-79996,-193922,-71245,-71108,-89200,-77400,-76290,-71122,-29639,-36061,-332426,-366377,-1256835,-847000,-1174000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2671528,-725781,-986543,-57894,-305869,- -,-3187925,-866257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,27150,910390,1521410,439537,422503,- -,1090621,384721,761780,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,482462,- -,- -,- -,- -
88,Other Investing Activites,-0,0,- -,0,0,- -,-94653,- -,-1661945,- -,- -,-461476,6960,9934,-28364,4402,- -,- -,- -,- -,4707,369,329,0,- -,-224582,-257000,-280000
89,Cash Used for Investing Activites,-2644378,184609,534866,381643,116634,- -,-2198816,-488872,-927807,- -,-146786,-461476,-128478,-70062,-135912,-66842,-71108,-89200,-77400,-76290,-66414,-29270,-35733,150036,-366377,-1256835,-847000,-1174000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-7253,- -,- -,-3694,- -,- -,-12908,-374705,-354113,-965120,- -,- -,- -,- -,- -,- -,- -,- -,-42000,-11000
91,Common Stock Issued,255983,186098,- -,- -,- -,2661440,4289501,1079089,777338,- -,5088198,11739691,7426092,11682855,2829,- -,1680972,13374917,- -,9492029,- -,4738361,7486919,6953018,21861870,31541086,81702000,69106000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-241424,- -,-175000,- -,-462988,- -,-666175,-987860,- -,- -,-50000,-217600,-94925,-673650,- -,-575378,-664754,-506452,-1825643,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,106951,41034,-44529,- -,173344,-347790,164675,149980,-0,161410,600843,763486,-2221,58877,- -,134063,168328,-115972,484540,-2619065,-4603000,-5046000
95,Cash Used/Provided by Financing Activities,255983,186098,- -,- -,- -,2661440,4155027,1120123,550556,- -,4798553,11388206,6924592,10844975,-10079,-213295,1877703,12955683,-97146,8877256,- -,4297046,6990493,6330594,20520767,28922021,77057000,64049000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37929,-100258,-332131,-1754,-7461,25440,123765,-126281,-197675,-21381,1499462,3000,133000
97,Net Change In Cash,-2976380,-25309,-9340,82498,-49026,2032634,1503236,335316,-1442256,- -,438872,4284415,-498672,3163880,-3677608,-4025216,330343,9408565,-4542263,2177698,-6560773,-522968,900114,-293078,8106252,9915370,53466000,37107000
98,Cash at the End of Period,40337,13399,4683,86325,31897,2066854,3263008,3325616,2211723,- -,2538906,7053366,6365539,10439815,8098534,2806198,3285431,13540196,8423146,9688939,3434943,2275349,3115482,2912805,10890716,20298268,73840000,110947000
99,Cash at the Beginning of Period,3016716,38708,14023,3827,80924,34220,1759772,2990300,3653980,- -,2100034,2768950,6864211,7275935,11776143,6831414,2955088,4131631,12965409,7511241,9995715,2798317,2215368,3205882,2784464,10382898,20374000,73840000
100,Free Cash Flow,-587984,-396016,-544206,-299145,-165660,-628806,-554487,-303271,-1092647,- -,-4359681,-6642315,-7430224,-7691029,-3725538,-3854253,-1447102,-3214986,-4443363,-6692097,-6590920,-4944147,-5964428,-6908459,-12393134,-20506113,-23594000,-27075000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1762303/000119312520233145/0001193125-20-233145-index.htm,https://www.sec.gov/Archives/edgar/data/1762303/000156459021045962/0001564590-21-045962-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
