,https://roic.ai/company/INTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,9771,- -,60788,180782,1490174,504210,2964340,2208259,656425,4399083
62,Preferred Stock,- -,- -,- -,- -,1000,500,650,809,800,930,1227
63,Common Stock,2000,3800,- -,5650,28485,32711,260628,8965,29825,103165,194488
64,Retained Earnings,-2012,- -,- -,-117288,-129174,-5159757,-4826882,-11469936,-20983207,-22064982,-45076096
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,18000,-13546,- -,50850,-6817,3644483,4357674,9325344,19864239,21851284,53845263
67,Total Stockholders Equity,17988,-9746,-25430,-60788,-106506,-1482063,-207930,-2134818,-1088343,-109603,8964882
68,Total Liabilities And Stockholders Equity,- -,25,- -,- -,74276,8111,296280,829522,1119916,546822,13363965
69,Minority Interest,17988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17988,25,- -,- -,74276,8111,296280,829522,1119916,546822,13363965
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1520118/000105652012000299/0001056520-12-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000105652013000148/0001056520-13-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000146970914000265/0001469709-14-000265-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1520118/000147793217004487/0001477932-17-004487-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793218006154/0001477932-18-006154-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793219005609/0001477932-19-005609-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793220005565/0001477932-20-005565-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793221006641/0001477932-21-006641-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-47746,- -,-35358,- -,-5030583,332875,-5577450,-9513271,-1081775,-22433081
74,Depreciation and Amortization,- -,- -,- -,- -,- -,47,481346,59875,552958,575210,408802
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,3049503,746243,809000,1394057,120000,16537500
77,Change in Working Capital,- -,4523,-60788,-74151,- -,-1352695,1279004,-2585193,665095,1482228,2667574
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-648853,- -,- -,- -
80,Accounts Payable,- -,4523,-4073,3803,- -,-6630,18353,17815,12055,45415,-281639
81,Other Working Capital,- -,- -,-60788,-134939,- -,-1487634,-208630,-2793823,-2128728,-646500,2021074
82,Other Non-Cash Items,- -,2012,22531,77954,- -,2855715,-3105151,6146266,6193121,-1766764,1251490
83,Cash Provided by Operating Activities,- -,-41211,-38257,-31555,- -,-478013,-265683,-1147502,-708040,-671101,-1567715
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-612435,-42447,-123349,-18329289
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-9651,- -,-372586,-7374678
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,52800,714847,231782,714126,9211118
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,325120,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,52800,417881,189335,218191,-9118171
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-125000,- -,-130308,-46252
91,Common Stock Issued,- -,18000,18500,- -,- -,55000,- -,720000,- -,- -,8135000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5248,20341,30946,- -,379144,226600,160000,525945,541583,4688000
95,Cash Used/Provided by Financing Activities,- -,23248,38841,30946,- -,434144,226600,755000,525945,411275,12776748
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-17963,584,30946,- -,-43869,13717,25379,7240,-41635,2090862
98,Cash at the End of Period,- -,25,609,- -,- -,1974,15691,41070,48310,6675,2097537
99,Cash at the Beginning of Period,- -,17988,25,609,- -,45843,1974,15691,41070,48310,6675
100,Free Cash Flow,- -,-41211,-38257,-31555,- -,-478013,-265683,-1759937,-750487,-794450,-19897004
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1520118/000105652012000299/0001056520-12-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000105652013000148/0001056520-13-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000146970914000265/0001469709-14-000265-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1520118/000147793217004487/0001477932-17-004487-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793218006154/0001477932-18-006154-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793219005609/0001477932-19-005609-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793220005565/0001477932-20-005565-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793221006641/0001477932-21-006641-index.htm
102,false,,,,,,,,,,,
