,https://roic.ai/company/DOMO,2017,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505952/000150595219000016/0001505952-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1505952/000150595220000018/0001505952-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595221000007/0001505952-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595222000012/0001505952-22-000012-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,68984000,61972000,176973000,80843000,90794000,83561000
32,Short-Term Investments,- -,- -,- -,17967000,- -,- -
33,Cash and Short-Term Investments,68984000,61972000,176973000,98810000,90794000,83561000
34,Net Receivables,22298000,35484000,48421000,47967000,48272000,64149000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,11388000,15805000,21360000,25485000,26110000,25392000
37,Total Current Assets,102670000,113261000,246754000,172262000,165176000,173102000
38,PP&E,15722000,14952000,12595000,12816000,18408000,33976000
39,Goodwill,9478000,9478000,9478000,9478000,9478000,9478000
40,Intangible Assets,2791000,3026000,4415000,3865000,3356000,2875000
41,Intangible Assets,12269000,12504000,13893000,13343000,12834000,12353000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7261000,14638000,19390000,18317000,20020000,25158000
45,Total Non-Current Assets,35252000,42094000,45878000,44476000,51262000,71487000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,137922000,155355000,292632000,216738000,216438000,244589000
48,Accounts Payable,8035000,12121000,2609000,2298000,1085000,4770000
49,Short-Term Debt,- -,- -,- -,- -,3808000,3439000
50,Tax Payable,13156000,14891000,13660000,11426000,13053000,8316000
51,Deferred Revenue,48719000,66712000,88959000,105290000,129079000,168335000
52,Other Current Liabilities,40154000,49428000,48139000,46473000,51950000,59976000
53,Total Current Liabilities,96908000,128261000,139707000,154061000,185922000,236520000
54,Long-Term Debt,- -,46332000,97245000,101074000,101165000,120745000
55,Deferred Revenue,1217000,4244000,4943000,4454000,3173000,2420000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,595993000,698482000,6210000,6329000,9637000,10882000
58,Total Non-Current Liabilities,597210000,749058000,108398000,111857000,113975000,134047000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5364000,20196000
61,Total Liabilities,694118000,877319000,248105000,265918000,299897000,370567000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,26000,28000,30000,33000
64,Retained Earnings,-581211000,-757773000,-912082000,-1037738000,-1122372000,-1224483000
65,Other Comprehensive Income/Loss,330000,506000,438000,389000,877000,388000
66,Other Total Stockholders Equity,24683000,35301000,956145000,988141000,1038006000,1098084000
67,Total Stockholders Equity,-556196000,-721964000,44527000,-49180000,-83459000,-125978000
68,Total Liabilities And Stockholders Equity,137922000,155355000,292632000,216738000,216438000,244589000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,137922000,155355000,292632000,216738000,216438000,244589000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505952/000150595219000016/0001505952-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1505952/000150595220000018/0001505952-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595221000007/0001505952-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595222000012/0001505952-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-183120000,-176562000,-154309000,-125656000,-84634000,-102111000
74,Depreciation and Amortization,5199000,8131000,8787000,6917000,4765000,5363000
75,Deferred Income Tax,- -,- -,-3513000,- -,- -,- -
76,Stock Based Compensation,9343000,9370000,21801000,23847000,33749000,60526000
77,Change in Working Capital,16652000,-20762000,122047000,937000,7563000,12309000
78,Accounts Receivable,-2802000,-13186000,-12937000,454000,-305000,-15877000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4537000,3250000,-8651000,-292000,-1341000,3755000
81,Other Working Capital,5762000,-15000000,107047000,2664000,5733000,16245000
82,Other Non-Cash Items,7782000,31166000,-126180000,13736000,22685000,24292000
83,Cash Provided by Operating Activities,-144144000,-148657000,-131367000,-80219000,-15872000,379000
84,CAPEX,-11644000,-7596000,-7976000,-6531000,-5811000,-6517000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-102084000,-11149000,- -
87,Sales/Maturities of Investments,- -,- -,- -,84800000,29200000,- -
88,Other Investing Activites,-500000,-315000,-1603000,-65000,-105000,- -
89,Cash Used for Investing Activites,-12144000,-7596000,-7976000,-23815000,12240000,-6517000
90,Debt Repayment,-42000,-37000,-44000,- -,- -,- -
91,Common Stock Issued,- -,- -,206627000,- -,- -,- -
92,Common Stock Repurchased,- -,-121000,- -,-1428000,-1745000,-10315000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3424000,149258000,47752000,9412000,14840000,9754000
95,Cash Used/Provided by Financing Activities,-3466000,149100000,254335000,7984000,13095000,-561000
96,Effect of Forex Changes on Cash,118000,141000,9000,-80000,488000,-534000
97,Net Change In Cash,-159636000,-7012000,115001000,-96130000,9951000,-7233000
98,Cash at the End of Period,68984000,61972000,176973000,80843000,90794000,83561000
99,Cash at the Beginning of Period,228620000,68984000,61972000,176973000,80843000,90794000
100,Free Cash Flow,-155788000,-156253000,-139343000,-86750000,-21683000,-6138000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505952/000150595219000016/0001505952-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1505952/000150595220000018/0001505952-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595221000007/0001505952-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1505952/000150595222000012/0001505952-22-000012-index.htm
102,false,,,,,,
