,https://roic.ai/company/ZIVO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,- -,- -,- -,- -,- -,6771,3244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1305,77623,73505,38944,9343,5753,13964,47113,896967,4489116,589573,720711,986188,1828305,8097237,3157816,550054
14,Depreciation and Amortization,- -,- -,- -,- -,15534,448589,631995,112809,33539,99584,37526,92400,74810,25687,29835,25000,25000,18750,- -,- -,620
15,EBITDA,-3611,-2055,-3430,-540817,-3842167,-5430683,-2835723,-2099235,-1770958,-1311523,-7070983,-2592097,-2005783,-3084510,-3732021,-3031280,-3465444,-6311436,-6538130,-8352350,-9105109
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-321.9149,-78.3189,-56.5891,-9.5384,-13.0112,-10.0109,-16.5722,-85.4758,-24.9502,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-3611,-2055,-3430,-540817,-3857701,-3179603,-3839058,-2234682,-1210053,-2653165,-4061045,-1938308,-2080593,-3110197,-5153137,-3056280,-3490444,-6330186,-6130643,-8352350,-8555675
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-321.9149,-78.6355,-33.1323,-12.9133,-13.8508,-6.8402,-33.5250,-49.0909,-18.6571,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-2669669,365151,103739,-594444,1242058,-3047464,-1539492,-1167812,-6985681,5833948,-2732851,-2569183,-3708188,-8504724,-3157816,-550054
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3248405,-10095878,680811,-5789131,-6059627,-10038374,-14635367,-11510166,-9105729
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3611,-2055,-3430,-540817,-3859006,-5956895,-3541223,-2250988,-1813840,-1416860,-7122473,-2731610,-3248405,-10095878,680811,-5789131,-6059627,-10038374,-14635367,-11510166,-9105729
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-321.9149,-78.6621,-62.0723,-11.9115,-13.9518,-10.2533,-17.9032,-86.0982,-26.2930,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.39,-0.22,-0.18,-4.80,-27.20,-26.40,-8.00,-4.00,-2.40,-1.60,-6.40,-2.40,-2.40,-7.20,0.80,-3.20,-4.00,-5.60,-7.20,-3.20,-1.60
26,EPS Diluted,-0.39,-0.22,-0.18,-4.80,-27.20,-26.40,-8.00,-4.00,-2.40,-1.60,-6.40,-2.40,-2.40,-7.20,0.30,-3.20,-4.00,-5.60,-7.20,-3.20,-1.60
27,Weighted Average Shares Outstanding,9281,9281,18562,120341,142308,227948,428927,529929,655386,920651,1089521,1207268,1267497,1402676,1566588,1636824,1673053,1740539,1958484,3454954,5077272
28,Weighted Average Shares Outstanding Diluted,9281,9281,18562,120341,142308,227948,428927,529929,655386,920651,1089521,1207268,1267497,1402676,2277562,1636824,1673053,1740539,1958484,3454954,5077272
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878208000430/0001078782-08-000430-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878212000877/0001078782-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878213000519/0001078782-13-000519-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878214000496/0001078782-14-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878215000536/0001078782-15-000536-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878216002508/0001078782-16-002508-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878217000387/0001078782-17-000387-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878218000204/0001078782-18-000204-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878219000119/0001078782-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878220000199/0001078782-20-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878221000172/0001078782-21-000172-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,895,17118,603908,9724,5110,- -,- -,15603,225696,47147,493104,1383,16589,506986,317135,388891,346111,137862
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,895,17118,603908,9724,5110,- -,- -,15603,225696,47147,493104,1383,16589,506986,317135,388891,346111,137862
34,Net Receivables,- -,- -,- -,556,- -,- -,12730,2415,49334,- -,- -,- -,- -,118467,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,7089,2563,4222,30759,21508,43769,4197,10554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1306,10622,13240,2822,4719,14725,90607,10855,24134,43658,76956,31724,12341,13437,15143,22615,23282,29953
37,Total Current Assets,- -,- -,- -,9846,30303,621370,56035,33752,107828,94804,37012,249830,90805,688527,33107,28930,520423,332278,411506,369393,167815
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49364
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,13966,13002,12035,11068,- -,- -,8168,7201,- -,1391281,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,13966,13002,12035,11068,10101,9134,8168,7201,6234,1391281,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122917,- -,845,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,8865,25566,253851,230025,317211,297857,294741,83546,136965,93750,68750,43750,216869,3877801,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,22831,38568,265886,241093,327312,306991,302909,213664,143199,1485876,68750,43750,216869,3877801,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,9846,53134,659938,321921,274845,435140,401795,339921,463494,234004,2174403,101857,72680,737292,4210079,411506,369393,167815
48,Accounts Payable,- -,- -,- -,27116,406852,160139,500547,533325,509262,541857,455592,660565,938640,483208,1225589,1325659,666365,541710,422426,1372428,1559627
49,Short-Term Debt,- -,- -,- -,- -,585359,693905,471545,26130,21718,157990,160580,315446,741412,1619319,3769400,1561617,7132689,1884019,18154620,5280342,5218514
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1981,144130,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,27837,27837,- -,- -,- -,- -,- -,- -,- -,1936800
52,Other Current Liabilities,- -,- -,- -,18665,163530,395980,119626,119346,154163,3075022,149371,784488,1653398,8774925,1238994,2083634,3383426,2135074,4116577,2055106,2678974
53,Total Current Liabilities,- -,- -,- -,45781,1155741,1250024,1091718,678801,685143,3774869,780543,1788336,3361287,10877452,6233983,4970910,11182480,4560803,22693623,8707876,11393915
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,23241,269194,143146,254437,104063,423393,593908,890811,237042,4598759,3176047,15953768,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,235000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,39498,82216,126446,158091,171995,48262,235000,- -,- -,- -,- -,- -,- -,- -,-11257037
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,62739,351410,269592,412528,511058,706655,828908,890811,237042,4598759,3176047,15953768,- -,- -,-11257037
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307664,- -,- -,- -,- -,- -,- -,- -,- -,44350
61,Total Liabilities,- -,- -,- -,45781,1155741,1250024,1154457,1030211,954735,4187397,1291601,2494991,4190195,11768263,6471025,9569669,14358527,20514571,22693623,8707876,136878
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,743,10388,12230,26521,39086,44226,59478,78636,92705,100036,105318,116852,128774,132157,136745,141107,180037,396737,- -
64,Retained Earnings,- -,- -,-49831,-540817,-4427920,-10384815,-13926038,-16177026,-17990866,-19407726,-26530198,-29261809,-32510214,-42606092,-41925281,-47714412,-53774039,-63812413,-78447780,-89957946,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-30000,-622526,-8824,-8824,-68924,-101316,-137876,-229309,-303152,-6250,-31250,-56250,-81250,-100000,-100000,-100000,- -
66,Other Total Stockholders Equity,- -,- -,- -,494494,3343083,10390734,13063240,15386258,17480717,15644804,25623689,27359585,28751857,32901630,35458589,38141516,40097309,47466814,56085626,81322726,- -
67,Total Stockholders Equity,- -,- -,- -,-35935,-1102607,-590086,-832536,-755366,-519595,-3785602,-951680,-2031497,-3956191,-9593860,-6369168,-9496989,-13621235,-16304492,-22282117,-8338483,-11310614
68,Total Liabilities And Stockholders Equity,- -,- -,- -,9846,53134,659938,321921,274845,435140,401795,339921,463494,234004,2174403,101857,72680,737292,4210079,411506,369393,-11173736
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11341551
70,Total Liabilities & Equity,- -,- -,- -,9846,53134,659938,321921,274845,435140,401795,339921,463494,234004,2174403,101857,72680,737292,4210079,411506,369393,167815
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878208000430/0001078782-08-000430-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878212000877/0001078782-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878213000519/0001078782-13-000519-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878214000496/0001078782-14-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878215000536/0001078782-15-000536-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878216002508/0001078782-16-002508-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878217000387/0001078782-17-000387-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878218000204/0001078782-18-000204-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878219000119/0001078782-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878220000199/0001078782-20-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878221000172/0001078782-21-000172-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3611,-2055,-3430,-540817,-3859006,-5956895,-3541223,-2250988,-1813840,-1416860,-7122473,-2731610,-3248405,-10095878,680811,-5789131,-6059627,-10038374,-14635367,-11510166,-9105729
74,Depreciation and Amortization,- -,- -,- -,- -,15534,448589,631995,112809,33539,99584,37526,92400,74810,25687,29835,25000,25000,18750,- -,- -,620
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,199187,- -,- -,- -,- -,139279,397997,1291444,- -,- -,- -,- -
77,Change in Working Capital,1100,-1600,3430,-35935,-1089503,496784,-407029,390634,67734,-3102750,2936534,-794975,-1731976,-6918443,3988049,1258896,-5720077,6433532,-18053592,13943634,-2887617
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-39672,49334,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-1876,4661,-1659,-26537,9251,-22261,39572,-6357,10554,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,92037,47082,-76848,204969,278075,-455432,744273,100070,-448061,-124656,-119285,950002,187199
81,Other Working Capital,- -,- -,- -,-35935,-1125438,-628654,-1035683,-645049,-577315,-3680065,-743531,-1538506,-3270482,-10188925,-6200876,-4941980,-10662057,-4228525,-22282117,-8338483,-11226100
82,Other Non-Cash Items,2511,3655,- -,559357,3652316,3362042,1227000,340805,776744,3070720,2708686,2140057,3132307,14002421,-7574020,1810351,7919787,-656799,27682373,-6140765,9404311
83,Cash Provided by Operating Activities,- -,- -,- -,-17395,-1280659,-1649480,-2089257,-1406740,-935823,-1150119,-1439727,-1294128,-1773264,-2986213,-2736046,-2296887,-2543473,-4242891,-5006586,-3707297,-2588415
84,CAPEX,- -,- -,- -,- -,- -,-17026,-123634,-3702,-119757,-14387,-29629,-4720,-3500,-331377,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-23365,- -,- -,- -,-119757,-14387,-29629,-4720,-3500,-331377,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-23365,-17026,-123634,-3702,-119757,-14387,-29629,-4720,-3500,-331377,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-42130,-8131,-14754,-20141,-7682,-361,- -,- -,-91130,- -,-217614,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1049295,1742500,1959976,1172000,791200,966520,1177730,617500,615000,859500,735500,48500,- -,- -,3433813,2650000,898200
92,Common Stock Repurchased,- -,- -,- -,- -,-296117,-97750,-142150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,18290,567069,608546,-199119,233828,301400,206117,321983,911579,990897,2904408,1508825,2263593,3125000,4053040,1862143,1014517,1481966
95,Cash Used/Provided by Financing Activities,- -,- -,- -,18290,1320247,2253296,1618707,1405828,1050470,1164506,1484959,1508938,1598215,3763547,2244325,2312093,3033870,4053040,5078342,3664517,2380166
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,16223,586790,-594184,-4614,- -,- -,- -,210093,-178549,445957,-491721,15206,490397,-189851,71756,-42780,-208249
98,Cash at the End of Period,- -,- -,- -,895,17118,603908,9724,5110,- -,- -,15603,225696,47147,493104,1383,16589,506986,317135,388891,346111,137862
99,Cash at the Beginning of Period,- -,- -,- -,- -,895,17118,603908,9724,5110,- -,- -,15603,225696,47147,493104,1383,16589,506986,317135,388891,346111
100,Free Cash Flow,- -,- -,- -,-17395,-1280659,-1666506,-2212891,-1410442,-1055580,-1164506,-1469356,-1298848,-1776764,-3317590,-2736046,-2296887,-2543473,-4242891,-5006586,-3707297,-2588415
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878208000430/0001078782-08-000430-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101026/000107878212000877/0001078782-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878213000519/0001078782-13-000519-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878214000496/0001078782-14-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878215000536/0001078782-15-000536-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878216002508/0001078782-16-002508-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878217000387/0001078782-17-000387-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878218000204/0001078782-18-000204-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878219000119/0001078782-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/1101026/000107878220000199/0001078782-20-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1101026/000107878221000172/0001078782-21-000172-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
