,https://roic.ai/company/KRTX,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,123000,123000,157000,792000
45,Total Non-Current Assets,12000,261000,318000,3026000,10337000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,2129000,92479000,393024000,347625000,527671000
48,Accounts Payable,798000,269000,547000,865000,1939000
49,Short-Term Debt,7674000,- -,58000,844000,2175000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,3039000,538000,2353000,5144000,16099000
53,Total Current Liabilities,11511000,807000,2958000,6853000,20213000
54,Long-Term Debt,3985000,- -,- -,1841000,5328000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1000,102000,150000,- -,104000
58,Total Non-Current Liabilities,3986000,102000,150000,1841000,5432000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,102000,208000,2685000,7503000
61,Total Liabilities,15497000,909000,3108000,8694000,25645000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,3000,3000,3000
64,Retained Earnings,-14043000,-32102000,-75512000,-144066000,-287871000
65,Other Comprehensive Income/Loss,-1000,-7000,5000,39000,-497000
66,Other Total Stockholders Equity,676000,123678000,465420000,482955000,790391000
67,Total Stockholders Equity,-13368000,91570000,389916000,338931000,502026000
68,Total Liabilities And Stockholders Equity,2129000,92479000,393024000,347625000,527671000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2129000,92479000,393024000,347625000,527671000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1771917/000156459020012311/0001564590-20-012311-index.html,https://www.sec.gov/Archives/edgar/data/1771917/000156459021008416/0001564590-21-008416-index.htm,https://www.sec.gov/Archives/edgar/data/1771917/000095017022001855/0000950170-22-001855-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-6032000,-17512000,-43957000,-68554000,-143805000
74,Depreciation and Amortization,1000,6000,58000,145000,506000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,215000,958000,12568000,13471000,29811000
77,Change in Working Capital,563000,100805000,298337000,-52002000,10845000
78,Accounts Receivable,- -,- -,- -,- -,-1750000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,537000,-529000,278000,318000,1071000
81,Other Working Capital,-9394000,91411000,389748000,337746000,- -
82,Other Non-Cash Items,1226000,-99634000,-297929000,37084000,1765000
83,Cash Provided by Operating Activities,-4027000,-15377000,-30923000,-69856000,-100878000
84,CAPEX,-13000,-132000,-115000,-419000,-3072000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4983000,-231718000,-344213000,-400829000
87,Sales/Maturities of Investments,- -,- -,57498000,254982000,381213000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-13000,-5115000,-174335000,-89650000,-22688000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,330077000,- -,270250000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,4250000,27577000,75206000,3659000,7325000
95,Cash Used/Provided by Financing Activities,4250000,27577000,405283000,3659000,277575000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,210000,7085000,200025000,-155847000,154009000
98,Cash at the End of Period,1942000,9027000,209052000,53205000,207214000
99,Cash at the Beginning of Period,1732000,1942000,9027000,209052000,53205000
100,Free Cash Flow,-4040000,-15509000,-31038000,-70275000,-103950000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1771917/000156459020012311/0001564590-20-012311-index.html,https://www.sec.gov/Archives/edgar/data/1771917/000156459021008416/0001564590-21-008416-index.htm,https://www.sec.gov/Archives/edgar/data/1771917/000095017022001855/0000950170-22-001855-index.htm
102,false,,,,,
