,https://roic.ai/company/CCLP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,0.1953,0.1596,0.1895,0.1738,0.1228,0.0910,0.0378,0.0062,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-11164000,-11898000,-151000,-5994000,-885000,-1276000,-24636000,-188395000,-148031000,-39517000,-51747000,-54845000,-72862000,4340000
20,Income Before Tax,18127000,10700000,15657000,9200000,19700000,19800000,10086000,-146731000,-136273000,-37675000,-34363000,-17620000,-59810000,-45320000
21,Income Before Tax Ratio,0.1814,0.1181,0.1935,0.0966,0.1814,0.1632,0.0357,-0.3206,-0.4377,-0.1275,-0.0783,-0.0370,-0.1983,-0.1490
22,Income Tax expense (Gain),6846000,4161000,1705000,1905000,3353000,2258000,-1172000,-101000,1865000,2784000,2615000,3353000,3144000,4952000
23,Net Income,11281000,6539000,13952000,7300000,16300000,17600000,11258000,-146630000,-138138000,-40459000,-36978000,-20973000,-73840000,-50272000
24,Net Income ratio,0.1129,0.0722,0.1724,0.0767,0.1501,0.1451,0.0398,-0.3204,-0.4437,-0.1369,-0.0843,-0.0440,-0.2448,-0.1653
25,EPS,1.24,0.72,1.53,0.45,1.04,1.11,0.47,-4.42,-4.07,-1.08,-0.81,-0.45,-1.56,-1.05
26,EPS Diluted,1.24,0.72,1.53,0.44,1.03,1.10,0.47,-4.42,-4.07,-1.13,-0.88,-0.45,-1.56,-1.05
27,Weighted Average Shares Outstanding,9097257,9097257,9097257,9044293,9163798,9230876,18928640,33186155,33940541,37618734,45769019,47078529,47352291,47873333
28,Weighted Average Shares Outstanding Diluted,9097257,9097257,9097257,9063339,9193407,9305066,18928640,33630734,33940541,37618734,45769019,47665909,47948052,47873333
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449488/000084496512000032/0000844965-12-000032-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948813000018/0001449488-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948814000023/compressco2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948815000013/compressco2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948816000090/0001449488-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948817000004/0001449488-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948818000002/0001449488-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948819000004/0001449488-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948820000005/0001449488-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948821000004/0001449488-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948822000010/0001449488-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,976000,4578000,6629000,17476000,12966000,9477000,34066000,10620000,20797000,7601000,15858000,2370000,16577000,6598000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,976000,4578000,6629000,17476000,12966000,9477000,34066000,10620000,20797000,7601000,15858000,2370000,16577000,6598000
34,Net Receivables,14313000,12617000,9241000,11227000,18599000,23819000,78828000,57775000,44904000,47776000,65067000,64760000,43837000,53520000
35,Inventory,18922000,18504000,17731000,16966000,15908000,14029000,113130000,49771000,31442000,42283000,65222000,56037000,31188000,33271000
36,Other Current Assets,1187000,1151000,1941000,1701000,3690000,1654000,5463000,8034000,4861000,4487000,5600000,4126000,5223000,7390000
37,Total Current Assets,35398000,36850000,35542000,47370000,51163000,48979000,231487000,126200000,102004000,102147000,151747000,127293000,96825000,100779000
38,PP&E,103712000,92834000,88342000,86307000,93615000,102014000,686427000,699280000,647006000,606479000,641319000,663373000,584038000,596360000
39,Goodwill,72161000,72161000,72161000,72161000,72161000,72161000,233623000,92402000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,277000,190000,102000,28000,- -,- -,62974000,48343000,37102000,33942000,30978000,28017000,25057000,22095000
41,Intangible Assets,72438000,72351000,72263000,72189000,72161000,72161000,296597000,140745000,37102000,33942000,30978000,28017000,25057000,22095000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,79000,38000,- -,129000,594000,937000,1464000,20000,28000,10000,13000,24000,10000,5000
44,Other Non-Current Assets,540000,424000,419000,349000,253000,1018000,16689000,14205000,- -,354000,2687000,3539000,4036000,3122000
45,Total Non-Current Assets,176769000,165647000,161024000,158974000,166623000,176130000,1001177000,854250000,684136000,640785000,674997000,694953000,613141000,621582000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,212167000,202497000,196566000,206344000,217786000,225109000,1232664000,980450000,786140000,742932000,826744000,822246000,709966000,722361000
48,Accounts Payable,1616000,1607000,1939000,3916000,4610000,4854000,37815000,12969000,15682000,21661000,33408000,47837000,19766000,28958000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,65778000,19074000,8078000,15526000,24898000,9505000,269000,- -
52,Other Current Liabilities,2474000,2261000,4660000,9411000,15929000,12051000,36978000,34857000,26154000,26819000,36047000,50285000,39380000,42337000
53,Total Current Liabilities,4090000,3868000,6599000,13327000,20539000,16905000,140571000,66900000,49914000,64006000,94353000,107627000,59415000,71295000
54,Long-Term Debt,- -,- -,145085000,- -,10050000,29959000,539961000,580481000,504090000,512176000,633013000,638238000,638631000,648789000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,18097000,19560000,18881000,4281000,4894000,4477000,1788000,656000,718000,1403000,1012000,1211000,1478000,819000
57,Other Non-Current Liabilities,133188000,145169000,48000,92000,53000,52000,63000,255000,88169000,70320000,30963000,26179000,35775000,1458000
58,Total Non-Current Liabilities,151285000,164729000,164014000,4373000,14997000,34488000,541812000,581392000,592977000,583899000,664988000,665628000,675884000,651066000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13822000,24059000,- -
61,Total Liabilities,155375000,168597000,170613000,17700000,35536000,51393000,682383000,648292000,642891000,647905000,759341000,773255000,735299000,722361000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-31954000,-44635000,-55892000,902000,1004000,413000,-3336000,-8393000,-10411000,-11489000,-15086000,-14573000,-14393000,-14404000
66,Other Total Stockholders Equity,88746000,78535000,81845000,187644000,181250000,263364000,553281000,340158000,153249000,106027000,82403000,63991000,- -,14404000
67,Total Stockholders Equity,56792000,33900000,25953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,212167000,202497000,196566000,206344000,217786000,225109000,1232664000,980450000,786140000,742932000,826744000,822246000,709966000,722361000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,212167000,202497000,196566000,206344000,217786000,225109000,1232664000,980450000,786140000,742932000,826744000,822246000,709966000,722361000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449488/000084496512000032/0000844965-12-000032-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948813000018/0001449488-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948814000023/compressco2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948815000013/compressco2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948816000090/0001449488-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948817000004/0001449488-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948818000002/0001449488-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948819000004/0001449488-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948820000005/0001449488-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948821000004/0001449488-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948822000010/0001449488-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,11281000,6539000,13952000,7300000,16300000,17600000,11258000,-146630000,-138138000,-40459000,-36978000,-20973000,-73840000,-50272000
74,Depreciation and Amortization,12112000,13823000,13112000,12521000,13227000,14349000,40879000,81838000,72123000,69140000,70500000,76663000,80533000,78234000
75,Deferred Income Tax,6281000,1243000,-895000,- -,1930000,-266000,-3514000,-605000,30000,757000,-178000,129000,226000,- -
76,Stock Based Compensation,722000,360000,392000,689000,1905000,1459000,1544000,2164000,3028000,1219000,639000,1064000,1389000,1954000
77,Change in Working Capital,-5029000,1674000,-4039000,5100000,-3419000,1450000,58842000,-31616000,-7210000,-13949000,19253000,-37728000,17744000,-7926000
78,Accounts Receivable,-1410000,734000,3159000,-2263000,-7477000,-5534000,-23943000,19732000,11208000,-2706000,-19287000,-2070000,18934000,- -
79,Inventory,-3312000,567000,775000,76000,1111000,2097000,-30972000,64893000,10542000,-10840000,-23536000,-291000,13199000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,31308000,32982000,28943000,34043000,30624000,32074000,90916000,59300000,52090000,38141000,57394000,19666000,37410000,29484000
82,Other Non-Cash Items,202000,297000,-2131000,-6725000,1166000,-5457000,-64190000,196742000,131611000,22360000,-23115000,48541000,-5290000,-21990000
83,Cash Provided by Operating Activities,25569000,23936000,20391000,18885000,31109000,29135000,44819000,101893000,61444000,39068000,30121000,67696000,20762000,- -
84,CAPEX,-33036000,-2997000,-8715000,-11193000,-20947000,-24574000,-48137000,-95272000,-10659000,-25126000,-103489000,-75798000,-14698000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-825000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,39000,115000,102000,- -,-39000,- -,-805000,-69000,-22000,2373000,-1000,11580000,19881000,- -
89,Cash Used for Investing Activites,-32997000,-2882000,-8613000,-11193000,-20986000,-24574000,-873942000,-95341000,-10681000,-22753000,-103490000,-64218000,5183000,- -
90,Debt Repayment,- -,- -,- -,-32200000,- -,- -,-93584000,-23000000,-172882000,-74900000,-258000000,-41567000,-413110000,- -
91,Common Stock Issued,- -,- -,- -,50234000,- -,- -,395794000,- -,76934000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,- -,-31913000,- -,- -
93,Dividends Paid,- -,- -,- -,-6816000,-24732000,-26969000,-36687000,-68360000,-51254000,-33068000,-31294000,-1907000,-1918000,- -
94,Other Financing Activites,7607000,-17854000,-9735000,-8011000,10050000,18993000,588777000,63000000,107312000,78671000,371001000,58417000,403343000,- -
95,Cash Used/Provided by Financing Activities,7607000,-17854000,-9735000,3207000,-14682000,-7976000,854300000,-28360000,-39890000,-29334000,81707000,-16970000,-11685000,- -
96,Effect of Forex Changes on Cash,-479000,402000,8000,-52000,49000,-74000,-588000,-1638000,-696000,-177000,-81000,4000,-53000,- -
97,Net Change In Cash,-300000,3602000,2051000,10847000,-4510000,-3489000,24589000,-23446000,10177000,-13196000,8257000,-13488000,14207000,- -
98,Cash at the End of Period,976000,4578000,6629000,17476000,12966000,9477000,34066000,10620000,20797000,7601000,15858000,2370000,16577000,- -
99,Cash at the Beginning of Period,1276000,976000,4578000,6629000,17476000,12966000,9477000,34066000,10620000,20797000,7601000,15858000,2370000,16577000
100,Free Cash Flow,-7467000,20939000,11676000,7692000,10162000,4561000,-3318000,6621000,50785000,13942000,-73368000,-8102000,6064000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449488/000084496512000032/0000844965-12-000032-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948813000018/0001449488-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948814000023/compressco2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948815000013/compressco2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948816000090/0001449488-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948817000004/0001449488-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948818000002/0001449488-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948819000004/0001449488-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948820000005/0001449488-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449488/000144948821000004/0001449488-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449488/000144948822000010/0001449488-22-000010-index.htm
102,false,,,,,,,,,,,,,,
