,https://roic.ai/company/DBRG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,157330000,66245000,3872000,170199000,43167000,141936000,185854000,376005000,921822000,461912000,1205190000,703544000,1602102000
32,Short-Term Investments,- -,- -,- -,32055000,30834000,- -,- -,1076441000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,157330000,66245000,3872000,202254000,74001000,141936000,185854000,1452446000,921822000,461912000,1205190000,703544000,1602102000
34,Net Receivables,- -,69929000,232619000,333569000,1036931000,2143917000,4137394000,3529987000,3470867000,1933224000,1802867000,1524753000,343008000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,7898000,84666000,283530000,-701253000,1377027000,1406663000,1187080000,4374772000,3825386000
37,Total Current Assets,157330000,136174000,236491000,535823000,1118830000,2370519000,4606778000,4281180000,5769716000,3801799000,4195137000,6603069000,5770496000
38,PP&E,- -,- -,- -,- -,112468000,1643997000,48463000,45455000,53632000,47932000,265328000,627001000,498578000
39,Goodwill,- -,- -,- -,- -,- -,20000000,678267000,680127000,1534561000,1534561000,1452891000,842929000,761368000
40,Intangible Assets,- -,- -,- -,- -,7773000,106060000,325513000,299979000,852872000,540264000,- -,- -,1187627000
41,Intangible Assets,- -,- -,- -,- -,7773000,126060000,1003780000,980106000,2387433000,2074825000,1452891000,842929000,1948995000
42,Investments,129087000,248750000,443500000,877081000,1369529000,1646977000,924465000,1076441000,2039181000,2543169000,2313805000,1737479000,935153000
43,Tax Assets,- -,- -,- -,- -,2391000,6713000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1112000,5533000,47528000,22663000,17561000,77582000,3455824000,3377809000,14535688000,13747524000,11605023000,10390082000,5044594000
45,Total Non-Current Assets,130199000,254283000,491028000,899744000,1509722000,3501329000,5432532000,5479811000,19015934000,18413450000,15637047000,13597491000,8427320000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,287529000,390457000,727519000,1435567000,2628552000,5871848000,10039310000,9760991000,24785650000,22215249000,19832184000,20200560000,14197816000
48,Accounts Payable,- -,2214000,- -,- -,- -,- -,67572000,82593000,98857000,94316000,143852000,177847000,121931000
49,Short-Term Debt,- -,20000000,69000000,108167000,138500000,164000000,- -,- -,- -,- -,- -,- -,291394000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,77060000,64440000,39923000,22735000,66419000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,29023000,42457000,- -,- -,- -,- -
52,Other Current Liabilities,14112000,20964000,31184000,-63797000,-80282000,23892000,136749000,97848000,669607000,366812000,917142000,3777805000,3253005000
53,Total Current Liabilities,14112000,43178000,100184000,44370000,58218000,187892000,204321000,209464000,810921000,461128000,1060994000,3955652000,3666330000
54,Long-Term Debt,- -,14000000,13845000,108167000,616107000,2748163000,4178803000,3715618000,10827810000,10039957000,9165205000,8341765000,5054295000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,41671000,29023000,42457000,40156000,32318000,37454000,37143000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,44951000,41462000,166276000,93174000,222206000,168384000,2016000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,153324000,148498000,588794000,434464000,425046000,712715000,525642000
58,Total Non-Current Liabilities,- -,14000000,13845000,108167000,616107000,2748163000,4418749000,3934601000,11625337000,10607751000,9844775000,9260318000,5619096000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181297000,552027000,485287000
61,Total Liabilities,14112000,57178000,114029000,152537000,674325000,2936055000,4623070000,4144065000,12436258000,11068879000,10905769000,13215970000,9285426000
62,Preferred Stock,- -,- -,- -,101000,101000,135000,250000,250000,1606966000,1407495000,999490000,999490000,854232000
63,Common Stock,146000,174000,326000,531000,765000,1096000,1123000,1140000,5433000,4841000,4878000,4841000,5692000
64,Retained Earnings,-1424000,1152000,5510000,-5167000,-20423000,-68003000,-131278000,-246064000,-1165412000,-2018302000,-3389592000,-6195456000,-6576180000
65,Other Comprehensive Income/Loss,-592000,936000,-2330000,5184000,2593000,-28491000,-18422000,-32109000,47316000,13999000,47668000,122123000,42383000
66,Other Total Stockholders Equity,275247000,330777000,599470000,1222682000,1701274000,2512743000,2995243000,3050582000,7913622000,7598019000,7553599000,7570473000,7820807000
67,Total Stockholders Equity,273377000,333039000,602976000,1223331000,1684310000,2417480000,2846916000,2773799000,8407925000,7006052000,5216043000,2501471000,2146934000
68,Total Liabilities And Stockholders Equity,287489000,390217000,717005000,1375868000,2358635000,5353535000,7469986000,6917864000,20844183000,18074931000,16121812000,15717441000,11432360000
69,Minority Interest,40000,240000,10514000,59699000,269917000,518313000,2569324000,2843127000,3941467000,4140318000,3710372000,4483119000,2765456000
70,Total Liabilities & Equity,287529000,390457000,727519000,1435567000,2628552000,5871848000,10039310000,9760991000,24785650000,22215249000,19832184000,20200560000,14197816000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679688/000167968821000018/0001679688-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1679688/000167968822000008/0001679688-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,17731000,42260000,62011000,101765000,123149000,149980000,115318000,-197891000,-519607000,-1048807000,-2675759000,-310097000
74,Depreciation and Amortization,- -,- -,- -,- -,310000,9177000,140977000,171682000,617779000,572406000,596262000,578282000,636555000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-138459000,-69430000,-9602000,-25086000,-68454000
76,Stock Based Compensation,- -,- -,204000,7330000,4283000,11265000,13714000,13638000,154429000,41876000,39573000,34959000,59416000
77,Change in Working Capital,- -,1445000,43311000,355146000,569159000,1122015000,2219830000,-330741000,887079000,-1618124000,-206528000,-486726000,-12322000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,92996000,136307000,491453000,1060612000,2182627000,4402457000,4071716000,4958795000,3340671000,3134143000,2647417000,- -
82,Other Non-Cash Items,- -,-9319000,-61358000,-353461000,-550228000,-1132847000,-2151375000,438464000,-773320000,2099844000,799970000,2664223000,-56861000
83,Cash Provided by Operating Activities,- -,9857000,24417000,71026000,125289000,132759000,373126000,408361000,549617000,506965000,170868000,89893000,248237000
84,CAPEX,- -,- -,- -,- -,-122750000,-1618069000,-1433679000,-501221000,-1325122000,- -,- -,- -,- -
85,Acquisitions Net,- -,-110652000,-178946000,-528347000,-672338000,-458881000,-412386000,-113174000,666287000,258291000,-214063000,119783000,104609000
86,Purchases of Investments,- -,- -,-187311000,- -,- -,-1653198000,-1120034000,-91017000,-480000,-34314000,-14928000,-11660000,-21418000
87,Sales/Maturities of Investments,- -,4121000,- -,78243000,180941000,28000000,- -,- -,272959000,43625000,57671000,32818000,18384000
88,Other Investing Activites,- -,-72129000,-176000,24127000,-821823000,827377000,1507285000,957224000,1717898000,-535815000,4370258000,-2072921000,44990000
89,Cash Used for Investing Activites,- -,-178660000,-366433000,-425977000,-1313220000,-2874771000,-1458814000,251812000,1331542000,-268213000,4198938000,-1931980000,146565000
90,Debt Repayment,- -,-60500000,-24000000,-211702000,-409060000,-1304075000,-2066688000,-2187823000,-6162695000,-2720990000,-6555709000,-2654999000,-1720402000
91,Common Stock Issued,- -,55613000,272261000,371002000,475190000,717870000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-8654000,- -,- -,- -,- -,-19998000,-935962000,-543143000,-10734000,-427604000,-150250000
93,Dividends Paid,- -,-10095000,-32894000,-57693000,-111336000,-155319000,-203803000,-229544000,-612338000,-431221000,-322697000,-185843000,-73384000
94,Other Financing Activites,- -,92698000,72933000,419671000,1105944000,3583288000,3331165000,1971408000,6364490000,2906950000,3109554000,4641473000,2355296000
95,Cash Used/Provided by Financing Activities,- -,77716000,279646000,521278000,1060738000,2841764000,1060674000,-465957000,-1346505000,-788404000,-3779586000,1373027000,411260000
96,Effect of Forex Changes on Cash,- -,2000,-3000,- -,161000,-983000,-6480000,-4065000,11163000,-11538000,1748000,7370000,-2825000
97,Net Change In Cash,- -,-91085000,-62373000,166327000,-127032000,98769000,43918000,190151000,545817000,-561190000,591968000,-461690000,803237000
98,Cash at the End of Period,- -,66245000,3872000,170199000,43167000,141936000,185854000,376005000,921822000,832730000,1424698000,963008000,1766245000
99,Cash at the Beginning of Period,- -,157330000,66245000,3872000,170199000,43167000,141936000,185854000,376005000,1393920000,832730000,1424698000,963008000
100,Free Cash Flow,- -,9857000,24417000,71026000,125289000,132759000,373126000,408361000,549617000,506965000,170868000,89893000,248237000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679688/000167968821000018/0001679688-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1679688/000167968822000008/0001679688-22-000008-index.htm
102,false,,,,,,,,,,,,,
