,https://roic.ai/company/UUUU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.6782,-0.5689,-0.9429,-1.3401,-0.7225,-0.8944,-0.7958,-6.4754,-16.7527,0.4840
25,EPS,- -,-30.28,-1.84,-2.65,-1.74,-1.74,-1.72,-2.69,-13.60,-6.14,-6.08,-2.42,-1.45,3.00,-2.27,-2.22,-2.46,-0.70,-0.39,-0.30,-0.40,-0.23,0.01
26,EPS Diluted,- -,-30.28,-1.84,-2.65,-1.74,-1.74,-1.72,-2.69,-13.60,-6.14,-6.08,-2.42,-1.45,3.00,-2.27,-2.22,-2.46,-0.70,-0.39,-0.30,-0.40,-0.23,0.01
27,Weighted Average Shares Outstanding,- -,44222,47506,62462,99346,208344,323784,408838,899200,1048010,1176201,1637714,2227525,5898175,16130452,19661661,33383972,56441058,70859107,83475400,95665367,121168136,146904524
28,Weighted Average Shares Outstanding Diluted,- -,44222,47506,62462,99346,208344,323784,408838,899200,1048010,1176201,1637714,2227525,5902497,16130452,19661661,33383972,56441058,70859107,83475400,95665367,121168136,149721117
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385849/000106299316008353/0001062993-16-008353-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584917000006/0001385849-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584918000018/0001385849-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584919000032/0001385849-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584920000032/0001385849-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584921000027/0001385849-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584922000024/0001385849-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4607,7156,118,5869,155902,393062,2174788,27769424,11600747,6771284,3623445,6962689,13657368,6628000,10410000,12965000,16901000,18574000,14640000,12810000,20168000,112517000
32,Short-Term Investments,- -,1731,761,756,- -,- -,- -,- -,- -,- -,- -,- -,- -,1626512,409000,284000,- -,- -,- -,27061000,4838000,2247000,494000
33,Cash and Short-Term Investments,- -,6337,7917,874,5869,155902,393062,2174788,27769424,11600747,6771284,3623445,6962689,15283880,7037000,10694000,12965000,16901000,18574000,41701000,17648000,22415000,113011000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3058,124670,26164,- -,- -,- -,- -,15267846,653000,600000,2617000,364000,1253000,1191000,1254000,1169000,3954000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30328167,28040000,31306000,30671000,16761000,16550000,16550000,22808000,27575000,30772000
36,Other Current Assets,- -,343,327,325,6399,18660,116146,51879,142172,106877,389558,331342,682516,464151,5172000,2431000,2734000,2104000,6814000,1411000,1462000,1313000,1568000
37,Total Current Assets,- -,6680,8244,1198,12268,174562,512266,2351337,27937760,11707624,7160843,3954788,7645205,61344044,40902000,45031000,48987000,36130000,43191000,60853000,43172000,52472000,149305000
38,PP&E,- -,67455,153507,109630,183855,408193,676759,1691274,10984171,20180549,1027945,28479410,33264144,133085319,100969000,65873000,120100000,130207000,116615000,113382000,110664000,107822000,105930000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,53236,39916,18717,- -,- -,- -,13908828,7772000,3882000,9117000,5799000,2502000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,53236,39916,18717,- -,- -,- -,13908828,7772000,3882000,9117000,5799000,2502000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1012000,380000,- -,- -,903000,1107000,654000,779000,38538000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,431,411,- -,- -,- -,- -,- -,0,791249,25531952,1021228,2566939,31469879,25478000,19075000,14076000,24321000,22127000,21424000,21230000,22163000,21673000
45,Total Non-Current Assets,- -,67887,153918,109630,183855,408193,676759,1744510,11024087,20990515,26559896,29500638,35831083,178464026,135231000,89210000,143293000,160327000,142147000,135913000,132548000,130764000,166141000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,74567,162162,110829,196123,582755,1189025,4095847,38961847,32698139,33720739,33455425,43476288,239808070,176133000,134241000,192280000,196457000,185338000,196766000,175720000,183236000,315446000
48,Accounts Payable,- -,89278,64196,40812,54641,64796,34697,57972,895927,1372680,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2033000,483000,3038000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,15568,702707,257865,165810,26939,1077,723675,378000,46000,3582000,6319000,3414000,- -,17154000,289000,324000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150275,1429000,1517000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,14090,61992,- -,325031,171934,159618,17745,109011,73774,1256303,801547,847453,15389789,5614000,4864000,10536000,5788000,6481000,8853000,3451000,11542000,2753000
53,Total Current Liabilities,- -,103368,126188,40812,379672,236730,194315,91284,1707645,1704319,1422112,828486,848530,17263739,7421000,6427000,14118000,12107000,9895000,8853000,22638000,12314000,6115000
54,Long-Term Debt,- -,65556,66627,26391,33233,- -,- -,- -,64523,155320,15666,1074,- -,22351830,17952000,15740000,28926000,23235000,24077000,15880000,- -,- -,145000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,227615,- -,- -,- -,61281,- -,186962,259100,328473,386316,16094830,13627000,15216000,7584000,26994000,25507000,30945000,26171000,13376000,13660000
58,Total Non-Current Liabilities,- -,65556,66627,254006,33233,- -,- -,61281,64523,342282,274766,329546,386316,38446660,31579000,30956000,38675000,50229000,49584000,46825000,26171000,13376000,13805000
59,Other Liabilities,- -,- -,133253,- -,- -,- -,- -,122561,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,76848,702707,257865,285883,12366,1077,532761,- -,92000,52000,- -,- -,- -,1046000,758000,469000
61,Total Liabilities,- -,168924,192814,294817,412905,236730,194315,152565,1772168,2046601,1696878,1158033,1234846,55710399,39000000,37383000,52793000,62336000,59479000,55678000,48809000,25690000,19920000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50519889,- -,- -,- -,- -,232835000,373934000,412334000,430383000,469303000,493958000,549317000,685903000
64,Retained Earnings,- -,-5909016,-3565727,-3165670,-3852803,-4408800,-5366194,-6776335,-19951349,-25369241,-32187740,-37700236,-40881589,-17601818,-120366000,-163978000,-242108000,-281521000,-306813000,-332058000,-370036000,-397812000,-396271000
65,Other Comprehensive Income/Loss,- -,-1242625,- -,- -,- -,- -,493942,-14241,-133209,-484362,-825501,-973750,-1242985,-953562,-610000,719000,3505000,3308000,2289000,3843000,2989000,2308000,1943000
66,Other Total Stockholders Equity,- -,7057284,3535074,2981681,3636020,4754825,6360904,10733859,57274238,56505141,14517213,70971378,84366016,231619502,- -,27282000,- -,- -,-2474000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,-94358,-30653,-183989,-216783,346025,994710,3943282,37189680,30651538,32023861,32297393,42241442,184097671,137133000,96858000,135331000,134121000,123385000,141088000,126911000,153813000,291575000
68,Total Liabilities And Stockholders Equity,- -,74567,162162,110829,196123,582755,1189025,4095847,38961847,32698139,33720739,33455425,43476288,239808070,176133000,134241000,188124000,196457000,182864000,196766000,175720000,179503000,311495000
69,Minority Interest,- -,0,- -,- -,-0,- -,-0,-0,- -,0,0,- -,- -,- -,- -,- -,4156000,- -,2474000,- -,- -,3733000,3951000
70,Total Liabilities & Equity,- -,74567,162162,110829,196123,582755,1189025,4095847,38961847,32698139,33720739,33455425,43476288,239808070,176133000,134241000,192280000,196457000,185338000,196766000,175720000,183236000,315446000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385849/000106299316008353/0001062993-16-008353-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584917000006/0001385849-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584918000018/0001385849-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584919000032/0001385849-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584920000032/0001385849-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584921000027/0001385849-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584922000024/0001385849-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1334386,-87447,-166053,-137237,-278064,-583727,-1188833,-12330019,-5824088,-7062959,-4355135,-3395704,16973227,-36590000,-43612000,-82217000,-39413000,-27766000,-25245000,-37978000,-27776000,1541000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,14241,135408,166943,117170,123687,103673,- -,14417000,3890000,5364000,4258000,4636000,3790000,1213000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437279,345101,703255,3642170,2694000,1405000,1099000,2657000,3525000,2762000,3771000,2598000,2158000
77,Change in Working Capital,- -,-9722,-21256,78331,-327791,305236,380120,1942102,23970062,-16226810,-4264575,-2612429,3670373,37283631,985000,5123000,-3735000,-10846000,9273000,18704000,-31466000,19624000,-2585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5985840,1803000,-6760000,5752000,13158000,73000,-4299000,-18534000,-6100000,-3219000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-96688,-117944,-39613,-367404,-62168,317951,2260053,26230115,10003305,5738730,3126302,6796674,44080305,33481000,38604000,34869000,24023000,33296000,52000000,20534000,40158000,- -
82,Other Non-Cash Items,- -,1242625,3822,13788,331659,-329703,-268103,-1493829,-18207853,19644238,7933274,3078994,-4043051,-72145443,9275000,28842000,77405000,31305000,-8000,-7795000,20082000,-26624000,-30408000
83,Cash Provided by Operating Activities,- -,-101484,-104881,-73934,-133369,-302531,-471710,-726319,-6432402,-2239717,-2839811,-3419782,-2961454,-14246415,-9219000,-4352000,-2084000,-12039000,-10340000,-7784000,-44378000,-32178000,-29294000
84,CAPEX,- -,-77958,-89243,-16072,-14506,-159537,-304658,-923994,-6619518,-11219856,-4617411,-2818361,-2476915,-7078585,-4724000,-2542000,-4297000,-260000,- -,-107000,- -,-627000,-1368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,499,- -,- -,- -,- -,- -,66764,1399000,- -,2459000,-1189000,- -,2940000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25554000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770000,2390000,- -,- -,- -,2554000,22575000,4208000,2554000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,0,- -,-773976,2830337,192006,-1551518,1334467,4977000,9563000,5268000,-4818000,1048000,- -,- -,- -,2000000
89,Cash Used for Investing Activites,- -,-77958,-89243,-16072,-14506,-159537,-304658,-923495,-6619518,-11993832,-1787075,-2626355,-4028433,-5677354,2422000,9411000,3430000,-6267000,1048000,-20167000,22575000,3581000,3186000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254511,-144607,-14481,-2251914,- -,-134000,-1730000,-3168000,-4095000,-10855000,-317000,-16015000,- -
91,Common Stock Issued,- -,163827,146689,- -,74695,528905,1068894,3541734,38379764,97308,- -,2799433,9754968,7128944,10213000,603000,2627000,25291000,14154000,31517000,19678000,52390000,106208000
92,Common Stock Repurchased,- -,- -,- -,-1028,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,18072,50203,84041,78911,82772,-68579,-126404,-4400,-306356,163720,-0,609245,21554525,- -,-1612000,491000,55000,365000,951000,998000,209000,11732000
95,Cash Used/Provided by Financing Activities,- -,181899,196892,83013,153606,611677,1000316,3415330,38375365,-209048,-90791,2654826,10349732,26431555,10213000,-1143000,1388000,22178000,10424000,21613000,20359000,36584000,117940000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194936,-401000,-134000,-180000,64000,541000,-71000,43000,107000,5000
97,Net Change In Cash,- -,2457,2767,-6993,5731,149609,223947,1765515,25323445,-14442597,-4717677,-3391311,3359845,6702722,3015000,3782000,2554000,3936000,1673000,-6409000,-1401000,8094000,91837000
98,Cash at the End of Period,- -,4607,7156,118,5869,155902,393062,2174788,27769424,11600747,6771284,3623445,6962689,13657368,6629000,10410000,12965000,16901000,18574000,34292000,32891000,40985000,132822000
99,Cash at the Beginning of Period,- -,2149,4389,7111,138,6292,169115,409273,2445979,26043344,11488962,7014757,3602844,6954646,3614000,6628000,10411000,12965000,16901000,40701000,34292000,32891000,40985000
100,Free Cash Flow,- -,-179442,-194124,-90006,-147875,-462068,-776369,-1650313,-13051920,-13459573,-7457222,-6238143,-5438369,-21325000,-13943000,-6894000,-6381000,-12299000,-10340000,-7891000,-44378000,-32805000,-30662000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385849/000106299316008353/0001062993-16-008353-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584917000006/0001385849-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584918000018/0001385849-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584919000032/0001385849-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584920000032/0001385849-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1385849/000138584921000027/0001385849-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1385849/000138584922000024/0001385849-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
