,https://roic.ai/company/CMRE-PE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,99685000,28855000,54062000,125194000,125110000,47890000,265278000,238745000,331196000,339332000,305033000,120358000,120019000,7841000
58,Total Non-Current Liabilities,1538716000,1371807000,1281852000,1425970000,1541471000,1733913000,1621722000,1403085000,1204014000,995051000,1469018000,1334696000,1454722000,2311115000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,247133000,233624000,360255000,372206000,339332000,136735000,132861000,116365000
61,Total Liabilities,1826250000,1555078000,1466640000,1652559000,1790882000,2028893000,1912098000,1675051000,1484000000,1271759000,1693687000,1601230000,1661696000,2681142000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,6000,6000,8000,8000,8000,8000,9000,11000,11000,12000,12000,12000
64,Retained Earnings,-232863000,-156164000,-74940000,-48854000,-40814000,-20047000,103000,44247000,31416000,43723000,38734000,60578000,-9721000,341482000
65,Other Comprehensive Income/Loss,-103369000,-60648000,-82895000,-141137000,-152842000,-85154000,-56134000,-44649000,-14424000,-969000,4539000,-1214000,-7957000,-2231000
66,Other Total Stockholders Equity,747577000,883516000,519971000,519971000,714100000,762142000,858665000,963904000,1057423000,1175774000,1313840000,1351352000,1366486000,1386636000
67,Total Stockholders Equity,-10750000,155222000,362142000,329986000,520452000,656949000,802642000,963510000,1074424000,1218539000,1357124000,1410728000,1348820000,1725899000
68,Total Liabilities And Stockholders Equity,1815500000,1710300000,1828782000,1982545000,2311334000,2685842000,2714740000,2638561000,2558424000,2490298000,3050811000,3011958000,3010516000,4407041000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1815500000,1710300000,1828782000,1982545000,2311334000,2685842000,2714740000,2638561000,2558424000,2490298000,3050811000,3011958000,3010516000,4407041000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,99779000,116929000,81224000,87592000,81129000,103087000,115087000,143764000,81702000,72876000,67239000,98999000,8877000,435121000
74,Depreciation and Amortization,77342000,75756000,70887000,78803000,80333000,89958000,105787000,101645000,100943000,96448000,96288000,113653000,108892000,136534000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,8623000,4951000,3866000,3755000,3879000,3655000,7414000
77,Change in Working Capital,53212000,-22981000,-28530000,25660000,-2315000,-8709000,8636000,-4859000,-18860000,-20297000,-43338000,569000,20487000,-16810000
78,Accounts Receivable,- -,- -,- -,- -,-87000,-22737000,13705000,1254000,-10000,-578000,-14368000,7417000,3852000,-12828000
79,Inventory,-1303000,1108000,1945000,199000,-63000,-1607000,-560000,987000,-837000,1753000,-134000,474000,91000,-9917000
80,Accounts Payable,-4406000,4996000,-4694000,-71000,1825000,-68000,482000,-2249000,-199000,2466000,1926000,-2371000,1367000,9639000
81,Other Working Capital,-27141000,-6743000,-13406000,27756000,-5811000,11981000,-2227000,-6470000,-14143000,-19121000,-28742000,-1576000,7719000,-7535000
82,Other Non-Cash Items,17185000,-7811000,4365000,3124000,8967000,2345000,13760000,-4510000,57823000,38094000,16840000,33291000,132373000,15857000
83,Cash Provided by Operating Activities,247518000,161893000,127946000,195179000,168114000,186681000,243270000,244663000,226559000,190987000,140784000,250391000,274284000,466494000
84,CAPEX,-104194000,-56767000,-54611000,-338582000,-265232000,-642284000,-88042000,-2758000,-2792000,-64231000,-142993000,-61975000,-101917000,-992093000
85,Acquisitions Net,- -,- -,- -,- -,- -,7337000,-85103000,-44881000,-35273000,-9890000,-2822000,24475000,32996000,8820000
86,Purchases of Investments,-56881000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,21674000,21421000,8030000,6082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63963000
88,Other Investing Activites,1100000,48157000,22731000,48742000,28723000,13891000,53882000,4655000,3675000,31451000,33170000,28642000,32524000,9218000
89,Cash Used for Investing Activites,-138301000,12811000,-23850000,-283758000,-236509000,-621056000,-119263000,-42984000,-34390000,-42670000,-112645000,-8858000,-36397000,-787456000
90,Debt Repayment,-879668000,-124505000,-97112000,-124610000,-170170000,-163669000,-366218000,-210359000,-357401000,-253804000,-500173000,-597607000,-451038000,-655400000
91,Common Stock Issued,- -,- -,- -,- -,194131000,48042000,96523000,96616000,69037000,91675000,111224000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1684000,- -
93,Dividends Paid,-279778000,-161230000,-10000000,-61506000,-73089000,-81515000,-93074000,-102287000,-75003000,-37758000,-49143000,-58655000,-65470000,-71263000
94,Other Financing Activites,1136917000,33051000,153792000,212917000,286848000,457575000,258472000,1367000,235991000,65658000,357559000,444109000,276330000,-16140000
95,Cash Used/Provided by Financing Activities,-22529000,-252684000,43396000,26801000,237720000,260433000,-104297000,-214663000,-127376000,-134229000,-80533000,-212153000,-241862000,482594000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,86688000,-77980000,147492000,-61778000,169325000,-173942000,19710000,-12984000,64793000,14088000,-52394000,29380000,-3975000,482594000
98,Cash at the End of Period,90262000,12282000,159774000,97996000,267321000,93379000,113089000,100105000,164898000,178986000,166491000,195871000,191896000,353528000
99,Cash at the Beginning of Period,3574000,90262000,12282000,159774000,97996000,267321000,93379000,113089000,100105000,164898000,218885000,166491000,195871000,191896000
100,Free Cash Flow,143324000,105126000,73335000,-143403000,-97118000,-455603000,155228000,241905000,223767000,126756000,-2209000,188416000,172367000,-525599000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
