,https://roic.ai/company/VATE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),857000,- -,40047000,- -,132137000,100700000,68303000,60733000,50526000,53440000,54169000,61347000,53888000,31458000,35490000,32506000,24135000,234000,12347000,39017000,43375000,55098000,75700000,95100000,79400000,59100000
14,Depreciation and Amortization,2164000,6733000,24547000,55319000,121058000,157796000,82380000,86067000,92744000,87729000,48156000,30594000,32798000,51690000,68403000,65148000,43239000,23964000,8967000,30939000,28863000,36569000,38700000,41100000,5900000,37600000
15,EBITDA,-5547000,-29425000,946000,-57417000,78531000,-47680000,112482000,207324000,138588000,-9214000,-130767000,98447000,61289000,554900000,75721000,59793000,90743000,128362000,-15277000,23509000,29327000,55496000,278800000,84100000,3800000,-125200000
16,EBITDA ratio,-0.0321,-0.1050,0.0022,-0.0689,0.0655,-0.0440,0.1098,0.1610,0.1026,-0.0078,-0.1293,0.1091,0.0684,0.6804,0.0990,0.0604,0.3483,0.5564,-0.0281,0.0210,0.0188,0.0340,0.1410,0.0424,0.0038,-0.1039
17,Operating Income,-8151000,-29889000,-35105000,-46398000,-112865000,-672297000,-3315000,69634000,39058000,-79921000,-212853000,31283000,38805000,31084000,12659000,12751000,-8663000,-39136000,-14426000,2229000,-1421000,-1132000,-55800000,29100000,-4100000,-10600000
18,Operating Income ratio,-0.0471,-0.1067,-0.0833,-0.0557,-0.0941,-0.6211,-0.0032,0.0541,0.0289,-0.0673,-0.2104,0.0347,0.0433,0.0381,0.0165,0.0129,-0.0332,-0.1697,-0.0266,0.0020,-0.0009,-0.0007,-0.0282,0.0147,-0.0041,-0.0088
19,Total Other Income Expenses (Gains),-417000,-6269000,-28543000,-66338000,-102751000,-120650000,-60588000,-9997000,-43740000,-70462000,-28793000,-31054000,-63876000,441775000,-32091000,-39951000,-41700000,14082000,-19460000,-48852000,-44372000,-38619000,238100000,-85800000,-23700000,-70100000
20,Income Before Tax,-8568000,-36158000,-63648000,-112736000,-215616000,-792947000,-63903000,59637000,-4682000,-150383000,-241646000,229000,-25071000,472859000,-19432000,-27200000,-50363000,-25054000,-33886000,-46623000,-45793000,-39751000,182300000,-56700000,-27800000,-80700000
21,Income Before Tax Ratio,-0.0495,-0.1290,-0.1510,-0.1354,-0.1798,-0.7325,-0.0624,0.0463,-0.0035,-0.1266,-0.2389,0.0003,-0.0280,0.5798,-0.0254,-0.0275,-0.1933,-0.1086,-0.0624,-0.0416,-0.0294,-0.0243,0.0922,-0.0286,-0.0276,-0.0670
22,Income Tax expense (Gain),196000,81000,- -,- -,- -,- -,-3598000,5769000,5899000,3997000,4866000,-9230000,-366000,-6134000,-9085000,869000,-4518000,-7442000,-24484000,-10882000,51638000,10740000,2400000,-20600000,10500000,5600000
23,Net Income,-8764000,-36239000,-63648000,-112736000,-174664000,-306176000,-34603000,54755000,-10581000,-154380000,-237958000,15736000,-25031000,477886000,-19087000,-38730000,27887000,111606000,-12107000,-35565000,-94549000,-46911000,162000000,-31500000,-92000000,-227500000
24,Net Income ratio,-0.0507,-0.1293,-0.1510,-0.1354,-0.1456,-0.2828,-0.0338,0.0425,-0.0078,-0.1300,-0.2353,0.0174,-0.0279,0.5860,-0.0250,-0.0392,0.1070,0.4838,-0.0223,-0.0317,-0.0607,-0.0287,0.0820,-0.0159,-0.0915,-0.1888
25,EPS,-0.63,-1.99,-2.61,-3.71,-4.39,-5.72,-0.54,0.59,-0.12,-1.62,-2.12,0.12,-0.18,6.27,-1.96,-2.98,2.02,7.94,-0.72,-1.50,-2.83,-1.16,3.14,-0.70,-1.88,-2.98
26,EPS Diluted,-0.63,-1.99,-2.61,-3.71,-4.39,-5.72,-0.54,0.56,-0.12,-1.62,-2.12,0.09,-0.18,5.22,-1.96,-2.98,2.02,7.94,-0.72,-1.50,-2.83,-1.16,2.90,-0.70,-1.88,-2.98
27,Weighted Average Shares Outstanding,13890524,18278324,24469918,30370061,39752600,53505912,64731307,90274889,89675961,95532035,112540392,128970852,142864381,9614899,9736086,13014166,13865485,14068800,19759619,26523100,37317827,42890462,44368753,44869529,50300000,77100000
28,Weighted Average Shares Outstanding Diluted,13890524,18278324,24469918,30370061,39752600,53505912,64731307,98150092,89675961,95532035,112540392,196774921,142864381,9815209,9736086,13014166,13865485,14068800,19759619,26523100,37317827,42890462,46872633,44869529,50700000,77100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006837/000100683721000027/0001006837-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1006837/000100683722000015/0001006837-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,92492000,64066000,49668000,42999000,64317000,81282000,37000000,42538000,41534000,41052000,23197000,8997000,107978000,158624000,115371000,97885000,325000000,239000000,232300000,45500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4867000,1231841000,1278958000,1340626000,3391600000,4028900000,4456100000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,92492000,64066000,49668000,42999000,64317000,81282000,37000000,42538000,41534000,41052000,23197000,8997000,112845000,1390465000,1394329000,1438511000,3716600000,4267900000,4688400000,45500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,160421000,200817000,190208000,141909000,118012000,113588000,99483000,89342000,76828000,81609000,17871000,18980000,179656000,792453000,842065000,918836000,1536800000,1494100000,1217200000,365700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14975000,12120000,9648000,12739000,- -,22600000,9900000,17000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,33105000,36930000,37465000,31905000,24278000,29022000,15846000,15147000,19439000,15539000,45858000,46923000,24156000,6065000,508000,-12739000,- -,- -,126400000,14400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,286018000,301813000,277341000,216813000,206607000,223892000,152329000,147027000,137801000,138200000,86926000,74900000,331632000,2201103000,2246550000,2357347000,5253400000,5784600000,6041900000,442600000
38,PP&E,- -,- -,- -,- -,- -,- -,330102000,341167000,326646000,285881000,111682000,144599000,112152000,147606000,138488000,152180000,65315000,2962000,239851000,214466000,286458000,374660000,376300000,405800000,113900000,239500000
39,Goodwill,- -,- -,- -,- -,- -,- -,48963000,59895000,83346000,85745000,34893000,40134000,32688000,64220000,63731000,71902000,60744000,3378000,27990000,61178000,98086000,131741000,171700000,126800000,111000000,127400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,29696000,22711000,27200000,11392000,2762000,1557000,746000,178807000,147749000,135677000,63024000,- -,31144000,29409000,39780000,117105000,219200000,227000000,174600000,208400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,78659000,82606000,110546000,97137000,37655000,41691000,33434000,243027000,211480000,207579000,123768000,3378000,59134000,90587000,137866000,248846000,390900000,353800000,285600000,335800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48674000,102801000,113882000,132919000,273000000,177500000,134500000,56000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15811000,52511000,1108000,1661000,2100000,2700000,4400000,3000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,29809000,25578000,44067000,41258000,36306000,50221000,32529000,21254000,26690000,45865000,25181000,6440000,28946000,81044000,49470000,102258000,208100000,233900000,162500000,3700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,438570000,449351000,481259000,424276000,185643000,236511000,178115000,411887000,376658000,405624000,214264000,12780000,392416000,541409000,588784000,860344000,1250400000,1173700000,700900000,638000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,724588000,751164000,758600000,641089000,392250000,460403000,330444000,558914000,514459000,543824000,301190000,87680000,724048000,2742512000,2835334000,3217691000,6503800000,6958300000,6742800000,1080600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,99653000,108615000,125002000,83941000,70586000,74893000,58671000,45819000,36942000,46627000,12218000,6964000,79794000,84434000,66792000,119236000,104700000,146900000,69700000,179200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,63231000,24385000,17122000,16092000,36997000,11228000,564797000,4274000,1143000,1948000,66000,- -,10444000,- -,- -,19670000,- -,63900000,53700000,69500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,22387000,19506000,16339000,17921000,30791000,18213000,10629000,7678000,10617000,7741000,53000,512000,1274000,3983000,6436000,800000,1900000,1800000,400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,35219000,- -,18315000,16513000,13303000,13882000,12891000,12258000,8821000,402000,41959000,21201000,43221000,- -,- -,- -,- -,79100000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,187905000,194688000,146344000,155377000,127474000,142582000,112323000,99879000,85892000,84993000,57318000,24334000,73385000,140955000,184941000,228256000,240200000,192700000,181300000,111700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,350789000,327688000,323687000,255410000,253372000,245216000,749094000,163854000,136868000,145826000,78423000,31700000,205582000,246590000,294954000,367162000,344900000,403500000,304700000,439500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,537757000,518066000,542230000,619120000,607077000,662675000,40040000,253242000,242748000,245814000,127046000,- -,332927000,371876000,428496000,573502000,743900000,775400000,507800000,615300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43221000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36052000,32208000,31311000,11367000,- -,- -,4281000,15304000,10740000,30300000,83700000,142300000,9100000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,3868000,1776000,1439000,2893000,56000,52000,2849000,5857000,19601000,19167000,15851000,1571000,72706000,2002241000,1985862000,2078165000,5191000000,5252100000,5187800000,4800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,541625000,519842000,543669000,622013000,607133000,662727000,42889000,295151000,294557000,296292000,154264000,1571000,405633000,2378398000,2472883000,2662407000,5965200000,6111200000,5837900000,629200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,662675000,- -,- -,- -,- -,- -,- -,- -,52697000,49717000,48500000,40400000,34600000,800000,58500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,892414000,847530000,867356000,877423000,860505000,907943000,791983000,459005000,431425000,442118000,232687000,33271000,611215000,2624988000,2767837000,3029569000,6310100000,6514700000,6142600000,1068700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,32297000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39845000,52619000,29459000,26296000,20300000,10300000,10400000,18800000
63,Common Stock,- -,- -,- -,- -,- -,- -,649000,885000,900000,1053000,1138000,1426000,1427000,10000,10000,14000,14000,14000,24000,35000,42000,44000,- -,- -,100000,100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-739832000,-685077000,-695658000,-850038000,-1087996000,-1074778000,-1099809000,6732000,-12355000,-51085000,-23198000,-29773000,-41880000,-79729000,-174278000,-221189000,-57200000,-96700000,-188700000,-416200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-68796000,-63333000,-72627000,-73545000,-74338000,-92883000,-82113000,4064000,4751000,2416000,-6469000,-14052000,-15178000,-35375000,-21647000,41688000,-112600000,168700000,396900000,6400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,607856000,651159000,658629000,686196000,692941000,718695000,718956000,85533000,86984000,142418000,98156000,98220000,106858000,156480000,210639000,226332000,- -,- -,341100000,325400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-167826000,-96366000,-108756000,-236334000,-468255000,-447540000,-461539000,96339000,79390000,93763000,68503000,54409000,89669000,94030000,44215000,73171000,88100000,349800000,559800000,-65500000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,724588000,751164000,758600000,641089000,392250000,460403000,330444000,555344000,510815000,535881000,301190000,87680000,700884000,2719018000,2812052000,3102740000,6398200000,6864500000,6702400000,1003200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3570000,3644000,7943000,- -,- -,23164000,23494000,23282000,114951000,105600000,93800000,40400000,77400000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,724588000,751164000,758600000,641089000,392250000,460403000,330444000,558914000,514459000,543824000,301190000,87680000,724048000,2742512000,2835334000,3217691000,6503800000,6958300000,6742800000,1080600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006837/000100683721000027/0001006837-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1006837/000100683722000015/0001006837-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8764000,-36239000,-63648000,-112736000,-174664000,-306176000,-34603000,54755000,-10581000,-154380000,-237958000,15736000,-25031000,477886000,-19087000,-38730000,27887000,111606000,-12107000,-35565000,-94549000,-46911000,162000000,-31500000,-92000000,-227500000
74,Depreciation and Amortization,2164000,6733000,24547000,55319000,121058000,157796000,82380000,86067000,92744000,87729000,48156000,30594000,32798000,51690000,68403000,65148000,43239000,23964000,8967000,30939000,28863000,36569000,38700000,41100000,5900000,37600000
75,Deferred Income Tax,196000,- -,- -,- -,- -,- -,-3247000,- -,- -,- -,- -,-12463000,5838000,-3891000,-6321000,-1763000,119000,-522000,-31838000,-13102000,27136000,-10453000,-2600000,-28100000,8100000,2000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000,1178000,1635000,5218000,5194000,2286000,11487000,11102000,8348000,5243000,9000000,7800000,2900000,2400000
77,Change in Working Capital,-2841000,3837000,3044000,-7043000,- -,-64771000,- -,38896000,-20471000,7749000,-8168000,25441000,-575441000,579938000,17760000,-8559000,16129000,34697000,82850000,1828463000,-2917000,38589000,2918315000,472600000,356100000,13400000
78,Accounts Receivable,-19400000,-34200000,-20800000,-64800000,-79707000,-9875000,13504000,-26708000,361000,19276000,14825000,5275000,-15658000,12519000,3405000,-540000,16372000,-2892000,23306000,-60720000,-55907000,-47073000,-30200000,52400000,43000000,-38300000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6616000,2610000,2220000,- -,- -,- -,- -,- -
80,Accounts Payable,11700000,30200000,-8200000,56200000,37600000,-28622000,-21185000,-8896000,7943000,-33792000,-18427000,-2652000,-5930000,-20474000,-8476000,-9747000,-8393000,-2014000,23956000,36216000,11905000,54373000,6600000,-29600000,1300000,57900000
81,Other Working Capital,162000,3999000,7043000,- -,- -,-64771000,-64771000,-25875000,-46346000,-38597000,-46765000,-21324000,-596765000,-16827000,933000,-7626000,8503000,43200000,126050000,1954513000,1951596000,1990185000,4908500000,5381100000,5737200000,7200000
82,Other Non-Cash Items,2305000,10912000,-35239000,8890000,-77414000,103095000,-9897000,-112772000,7518000,8184000,210840000,-47841000,570353000,-1077821000,-25906000,21618000,-68999000,-192346000,-26546000,-1854398000,112267000,-16895000,-2784015000,-351400000,-239300000,199100000
83,Cash Provided by Operating Activities,-6940000,-14757000,-71296000,-55570000,-131020000,-110056000,34633000,66946000,69210000,-50718000,12870000,11467000,8779000,28980000,36484000,42932000,23569000,-20315000,32813000,-32561000,79148000,6142000,341400000,110500000,41700000,27000000
84,CAPEX,-12745000,-39465000,-75983000,-331746000,-581316000,-263313000,-88101000,-74238000,-125358000,-49823000,-33016000,-44745000,-25441000,-15056000,-26421000,-31533000,-31747000,-12577000,-5819000,-21324000,-29048000,-31925000,-39700000,-41400000,-17800000,-24100000
85,Acquisitions Net,-1701000,-16349000,-1165000,-114282000,-57175000,-1584000,-882000,-2175000,-29608000,-243000,12720000,5940000,1093000,-77000,123000,10965000,183101000,270634000,-181934000,39251000,-66346000,-68418000,662300000,-47200000,232900000,-54500000
86,Purchases of Investments,-25125000,-73550000,- -,- -,-15000000,-295000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33034000,-54598000,-239941000,-341859000,-1184600000,-1060100000,-997100000,- -
87,Sales/Maturities of Investments,- -,25125000,- -,24691000,25933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4087000,- -,- -,2411000,12248000,186767000,300529000,331100000,872200000,920200000,- -
88,Other Investing Activites,- -,- -,22927000,- -,- -,- -,-1358000,- -,- -,5813000,2427000,-668000,5654000,26000,5077000,14149000,-1616000,87000,1921000,9681000,8350000,2420000,6300000,12800000,24100000,-144600000
89,Cash Used for Investing Activites,-39571000,-104239000,-54221000,-200173000,-240014000,-89650000,-31607000,-26921000,-71394000,-44253000,-17869000,-39473000,-18694000,-15107000,-21221000,-2332000,149738000,258144000,-216455000,-14742000,-140218000,-139253000,-224600000,-263700000,162300000,-223200000
90,Debt Repayment,-508000,-16881000,-2373000,-21927000,-16342000,-33744000,-25922000,-129353000,-35564000,-20269000,-11907000,-80415000,-28079000,-136163000,-13866000,-44970000,-120763000,-128036000,-689745000,-528679000,-22252000,-51596000,-697000000,-44500000,-185900000,-458100000
91,Common Stock Issued,77576000,1514000,4707000,173587000,3123000,10578000,143000,1617000,1402000,256000,4934000,19170000,- -,- -,- -,- -,124000,1158000,6000000,53975000,- -,- -,- -,- -,34500000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378000,- -,- -,- -,- -,- -,- -,-5800000,-8300000,- -,-10400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55390000,-121023000,-1626000,-5687000,-4220000,-3641000,-2000000,- -,- -,- -
94,Other Financing Activites,2407000,215500000,144500000,439354000,320567000,-84043000,26763000,57666000,27768000,109717000,32441000,102705000,- -,123494000,- -,6590000,-15108000,-2201000,969995000,583559000,45260000,170578000,820000000,115200000,-53200000,472800000
95,Cash Used/Provided by Financing Activities,79475000,200133000,146834000,591014000,307348000,-107209000,984000,-70070000,-6394000,89704000,25468000,41460000,-28079000,-12669000,-13866000,-38758000,-191137000,-250102000,284624000,103168000,18788000,115341000,115200000,62400000,-204600000,4300000
96,Effect of Forex Changes on Cash,214000,-1379000,-353000,75000,-9478000,-2944000,4529000,1619000,-5820000,-1402000,849000,3511000,-6288000,4334000,-2401000,-2324000,-25000,-1927000,-2001000,-5219000,-971000,284000,-500000,1000000,700000,-1300000
97,Net Change In Cash,33178000,79758000,20964000,335346000,-73164000,-309859000,8539000,-28426000,-14398000,-6669000,21318000,16965000,-44282000,5538000,-1004000,-482000,-17855000,-14200000,98981000,50646000,-43253000,-17486000,231500000,-89800000,38700000,2200000
98,Cash at the End of Period,35474000,115232000,136196000,471542000,398378000,83953000,92492000,64066000,49668000,42999000,64317000,81282000,37000000,83999000,41534000,41052000,23197000,8997000,107978000,158624000,115371000,97885000,330400000,240600000,233800000,47500000
99,Cash at the Beginning of Period,2296000,35474000,115232000,136196000,471542000,393812000,83953000,92492000,64066000,49668000,42999000,64317000,81282000,78461000,42538000,41534000,41052000,23197000,8997000,107978000,158624000,115371000,98900000,330400000,195100000,45300000
100,Free Cash Flow,-19685000,-54222000,-147279000,-387316000,-712336000,-373369000,-53468000,-7292000,-56148000,-100541000,-20146000,-33278000,-16662000,13924000,10063000,11399000,-8178000,-32892000,26994000,-53885000,50100000,-25783000,301700000,69100000,23900000,2900000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006837/000100683721000027/0001006837-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1006837/000100683722000015/0001006837-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
