,https://roic.ai/company/MAX,2018,2019,2020,2021
45,Total Non-Current Assets,43268000,37909000,82538000,152698000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,87366000,105397000,210337000,289804000
48,Accounts Payable,27014000,40455000,98249000,61770000
49,Short-Term Debt,1188000,873000,873000,8730000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,5254000,6584000,8333000,13716000
53,Total Current Liabilities,33456000,47912000,107455000,84216000
54,Long-Term Debt,13061000,96665000,182668000,178069000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,22498000,- -
57,Other Non-Current Liabilities,369000,74416000,2834000,89085000
58,Total Non-Current Liabilities,13430000,171081000,208000000,267154000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,46886000,218993000,315455000,351370000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,75953000,79547000,589000,606000
64,Retained Earnings,-35473000,-193143000,-418973000,-424476000
65,Other Comprehensive Income/Loss,-513000,- -,- -,- -
66,Other Total Stockholders Equity,513000,- -,384611000,419533000
67,Total Stockholders Equity,40480000,-113596000,-33773000,-4337000
68,Total Liabilities And Stockholders Equity,87366000,105397000,281682000,347033000
69,Minority Interest,- -,- -,-71345000,-57229000
70,Total Liabilities & Equity,87366000,105397000,210337000,289804000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1818383/000156459021013026/0001564590-21-013026-index.htm,https://www.sec.gov/Archives/edgar/data/1818383/000181838322000023/0001818383-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,18125000,17820000,-4366000,-5275000
74,Depreciation and Amortization,11956000,5653000,3490000,3353000
75,Deferred Income Tax,- -,- -,-132000,1830000
76,Stock Based Compensation,824000,2308000,24745000,45713000
77,Change in Working Capital,-8804000,8934000,768000,-15719000
78,Accounts Receivable,-5155000,-19216000,-40809000,20058000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-5373000,13441000,57793000,-36476000
81,Other Working Capital,10642000,19576000,20344000,- -
82,Other Non-Cash Items,548000,-12572000,26905000,-1281000
83,Cash Provided by Operating Activities,22649000,22143000,51410000,28621000
84,CAPEX,-640000,-294000,-296000,-650000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-10000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-10000,-148000,- -,- -
89,Cash Used for Investing Activites,-640000,-294000,-10296000,-650000
90,Debt Repayment,-12567000,-15073000,-131148000,-186375000
91,Common Stock Issued,- -,- -,124179000,- -
92,Common Stock Repurchased,- -,-67273000,-90008000,- -
93,Dividends Paid,-15878000,-95640000,-131417000,-338000
94,Other Financing Activites,3000000,160503000,200806000,185752000
95,Cash Used/Provided by Financing Activities,-25445000,-17483000,-27588000,-961000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-3436000,4366000,13526000,27010000
98,Cash at the End of Period,5662000,10028000,23554000,50564000
99,Cash at the Beginning of Period,9098000,5662000,10028000,23554000
100,Free Cash Flow,22009000,21849000,51114000,27971000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1818383/000156459021013026/0001564590-21-013026-index.htm,https://www.sec.gov/Archives/edgar/data/1818383/000181838322000023/0001818383-22-000023-index.htm
102,false,,,,
